"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool","i32","[rid]"
23,"UberVenariusVault",[7779],281,27,0,"",0,"","","",[],"",1344,[]
24,"UberEaterOfWorldsVault",[7780],282,27,0,"",0,"","","",[],"",1344,[]
25,"UberMavenVault",[7781],283,27,0,"",0,"","","",[],"",1344,[]
26,"UberSearingExarchVault",[7782],284,27,0,"",0,"","","",[],"",1344,[]
27,"UberSirusVault",[7783],285,27,0,"",0,"","","",[],"",1344,[]
28,"UberShaperVault",[7784],286,27,0,"",0,"","","",[],"",1344,[]
29,"UberUberElderVault",[7785],287,27,0,"",0,"","","",[],"",1344,[]
30,"CelestialReliquaryVault",[7786],288,"",0,"",0,"","","",[],"",1344,[]
31,"CelestialReliquaryVaultTencent",[7787],288,"",0,"",0,"","","",[],"",1344,[]
32,"BreachDomainFire2",[7741],1068,"",0,"",0,"","","",[],"",1344,[]
33,"BreachDomainCold2",[7742],1069,"",0,"",0,"","","",[],"",1344,[]
34,"BreachDomainLightning2",[7743],1070,"",0,"",0,"","","",[],"",1344,[]
35,"BreachDomainPhysical2",[7744],1066,"",0,"",0,"","","",[],"",1344,[]
36,"BreachDomainChaos2",[7745],1067,"",0,"",0,"","","",[],"",1344,[]
37,"BreachDomainFire3",[7746],1073,"",0,"",0,"","","",[],"",1344,[]
38,"BreachDomainCold3",[7747],1074,"",0,"",0,"","","",[],"",1344,[]
39,"BreachDomainLightning3",[7748],1075,"",0,"",0,"","","",[],"",1344,[]
40,"BreachDomainPhysical3",[7749],1071,"",0,"",0,"","","",[],"",1344,[]
41,"BreachDomainChaos3",[7750],1072,"",0,"",0,"","","",[],"",1344,[]
42,"BreachDomainFire4",[7751],1078,"",0,"",0,"","","",[],"",1344,[]
43,"BreachDomainCold4",[7752],1079,"",0,"",0,"","","",[],"",1344,[]
44,"BreachDomainLightning4",[7753],1080,"",0,"",0,"","","",[],"",1344,[]
45,"BreachDomainPhysical4",[7754],1076,"",0,"",0,"","","",[],"",1344,[]
46,"BreachDomainChaos4",[7755],1077,"",0,"",0,"","","",[],"",1344,[]
47,"BreachDomainFire5",[7756],1083,"",0,"",0,"","","",[],"",1344,[]
48,"BreachDomainCold5",[7757],1084,"",0,"",0,"","","",[],"",1344,[]
49,"BreachDomainLightning5",[7758],1085,"",0,"",0,"","","",[],"",1344,[]
50,"BreachDomainPhysical5",[7759],1081,"",0,"",0,"","","",[],"",1344,[]
51,"BreachDomainChaos5",[7760],1082,"",0,"",0,"","","",[],"",1344,[]
52,"EndgameLegionMap","[7761,7763,7764,7765,7762,7766,7767,7768,7769,7770]",1303,86,0,"",2,1,"","",[],"",1344,[]
53,"EndgameLegionMap2","[7761,7763,7764,7765,7762,7766,7767,7768,7769,7770]",1304,86,0,"",3,1,"","",[],"",1344,[]
54,"EndgameLegionMap3","[7761,7763,7764,7765,7762,7766,7767,7768,7769,7770]",1305,86,0,"",4,1,"","",[],"",1344,[]
55,"EndgameLegionMap4","[7761,7763,7764,7765,7762,7766,7767,7768,7769,7770]",1306,86,0,"",5,1,"","",[],"",1344,[]
56,"AfflictionBoss",[7771],1510,122,0,"",0,"","","",[],"",1344,[]
57,"MavenFight","[10365,10366,10367,10368,10369,10370,10371,10372,10373,10374,10376]",1746,157,0,"",1,1,"",1,[],"",1344,[]
58,"MavenBoss",[10417],1747,157,0,"",0,1,"",1,[],"",1344,[]
59,"VaalVault",[7778],280,24,0,"",0,"","","",[],"",1344,[]
60,"IncursionTemple",[10450],295,50,0,"",0,"","","",[8347],"",1344,[]
61,"UltimatumTrial",[10451],1757,159,0,"",0,"","",1,[],"",1344,[]
62,"HarvestBoss",[10452],1310,135,0,"",0,"","","",[],"",1344,[]
63,"SirusBoss","[7730,7731,7732,7733]",1650,110,0,"",0,"",1,"",[],"",1344,[]
64,"TangleMiniBossQuest",[10915],1290,197,79,986,0,"","","",[],"",1344,[]
65,"TangleMiniBoss",[10916],1290,197,83,"",0,1,"","",[],"",1344,[]
66,"TangleBossQuest",[10917],1293,198,83,986,0,"","","",[],"",1344,[]
67,"TangleBoss",[10918],1293,198,84,"",0,1,"","",[],"",1344,[]
68,"CleansingFireMiniBossQuest",[10919],1291,195,79,987,0,"","","",[],"",1344,[]
69,"CleansingFireMiniBoss",[10920],1291,195,83,"",0,1,"","",[],"",1344,[]
70,"CleansingFireBossQuest",[10921],1292,196,83,987,0,"","","",[],"",1344,[]
71,"CleansingFireBoss",[10922],1292,196,84,"",0,1,"","",[],"",1344,[]
72,"Lake",[10984],1788,205,0,"",0,"","","",[],"",1344,[]
73,"Crucible",[7675],1859,"",0,"",0,"","","",[],"",1344,[]
74,"CrucibleUber",[7676],1860,"",0,"",0,"","","",[],"",1344,[]
75,"UberBossShaper","[10419,10419,10419,10419,10419]",1250,20,85,"",0,"","","",[],"",318,[8305]
76,"UberBossUberElder","[10420,10420,10420,10420,10420]",1289,20,85,"",0,"","","",[],"",319,[8305]
77,"UberBossSirus","[10421,10421,10421,10421,10421]",1650,110,85,"",0,"","","",[],"",347,[8305]
78,"UberBossCortex","[10422,10422,10422,10422,10422]",453,"",85,"",0,"","","",[],"",91,"[20712,21938,21941,21943,8305]"
79,"UberBossMaven","[10423,10423,10423,10423,10423]",1747,157,85,"",0,"","","",[],"",885,[8305]
80,"UberBossEater","[10424,10424,10424,10424,10424]",1293,198,85,"",0,"","","",[],"",212,[8305]
81,"UberBossExarch","[10425,10425,10425,10425,10425]",1292,196,85,"",0,"","","",[],"",328,[8305]
