"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32"
45,1196,8125,"",424,2083,"[110,86,91]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","","",13,14,15,16
46,1185,8124,"",414,2073,"[31,95,92,49]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","","",16,16,16,16
47,1200,8136,"",427,2087,"[71,74,114,73]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","","",10,12,13,14
48,1119,8181,"",354,2008,"[39,50,90,4]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","","",5,7,9,11
49,1180,8161,"",410,2068,"[46,26]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","","",16,16,16,16
50,1121,8105,"",356,2010,"[83,48,112,34]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","","",6,8,10,12
51,1211,8100,"",437,2098,"[41,74,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","","",12,13,14,15
52,1134,8213,"",374,2023,"[109,97,30,20]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","","",6,8,10,12
53,1231,8143,"",454,2117,"[113,80,69]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","","",4,6,8,10
54,1172,8132,"",404,2061,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","","",11,12,13,14
55,1194,8157,"",422,2081,"[63,54,56,43]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","","",12,13,14,15
56,1238,8170,"",461,2124,"[55,14]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","","",12,13,14,15
57,1135,8077,"",375,2024,"[68,61,75,43]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","","",10,12,13,14
58,1241,8201,"",464,2127,"[84,41,74,6]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","","",10,12,13,14
59,1149,8163,"",387,2038,"[81,93,44,24]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","","",12,13,14,15
60,1243,8199,"",466,2129,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","","",10,12,13,14
61,1259,8106,"",469,2133,"[98,93,57,24]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","","",11,12,13,14
62,1106,8146,"",343,1995,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","","",16,16,16,16
63,1123,8214,"",364,2012,"[44,55,24,14]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","","",12,13,14,15
64,1192,8203,"",420,2079,"[80,78,94]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","","",4,6,8,10
65,1208,8174,"",434,2095,"[111,108,33]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","","",8,10,12,13
66,1109,8073,"",346,1998,"[37,109,20]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","","",4,6,8,10
67,1182,8165,"",412,2070,"[92,99,22]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","","",16,16,16,16
68,1179,8095,"",409,2067,"[82,106,88,57,18]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","","",9,11,12,13
69,1218,8075,"",443,2104,"[53,89,10]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","","",5,7,9,11
70,1268,8109,"",362,2141,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","","",15,16,16,16
71,1269,8185,"",471,2142,"[98,42,47,18]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","","",9,11,12,13
72,1139,8115,"",379,2028,"[37,109,16]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","","",4,6,8,10
73,1137,8089,"",377,2026,"[98,93,101,87,47]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","","",11,12,13,14
74,1118,8168,"",353,2007,"[51,101,85,47,58]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","","",11,12,13,14
75,1206,8111,"",432,2093,"[98,57,18]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","","",9,11,12,13
76,1181,8159,"",411,2069,"[62,79,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","","",15,16,16,16
77,1098,8083,"",335,1987,"[70,76,44,14]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","","",14,15,16,16
78,1191,8164,"",419,2078,"[36,64]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,"",3,5,7,9
79,1174,8176,"",405,2062,"[76,14]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","","",14,15,16,16
80,1232,8081,"",455,2118,"[53,64,8]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,"",3,5,7,9
81,1237,8226,"",460,2123,"[102,59,91]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","","",13,14,15,16
82,1178,8104,"",408,2066,"[83,68,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","","",8,10,12,13
83,1189,8211,"",417,2077,"[82,50,107,42,18]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","","",7,9,11,12
84,1112,8221,"",349,2001,"[35,85,58,32]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","","",9,11,12,13
85,1244,8140,"",467,2130,"[84,74,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","","",10,12,13,14
86,1229,8169,"",452,2115,"[31,104,45,22]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","","",14,15,16,16
87,1103,8152,"",340,1992,"[110,73,91]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","","",12,13,14,15
88,1242,8204,"",465,2128,"[111,33,68,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","","",8,10,12,13
89,1266,8137,"",330,2139,"[113,108,33,69]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","","",6,8,10,12
90,1203,8166,"",429,2090,"[48,112,2]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","","",4,6,8,10
91,1265,8172,"",360,2138,"[81,93,87,45]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","","",12,13,14,15
92,1148,8158,"",386,2037,"[46,67]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","","",16,16,16,16
93,1158,8123,"",393,2047,"[61,59,73,91]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","","",12,13,14,15
94,1128,8087,"",368,2017,"[107,36,64,8,28]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","","",5,7,9,11
95,1213,8205,"",439,2099,"[46,100,26]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","","",15,16,16,16
96,1107,8096,"",344,1996,"[82,107,88,28]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","","",7,9,11,12
97,1101,8209,"",338,1990,"[52,35,42,4]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","","",7,9,11,12
98,1261,8156,"",357,2135,"[71,61,75,73]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","","",10,12,13,14
99,1217,8117,"",442,2103,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","","",16,16,16,16
100,1263,8150,"",358,2136,"[31,95,104,12]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","","",14,15,16,16
101,1117,8085,"",352,2006,"[110,74,73,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","","",12,13,14,15
102,1230,8179,"",453,2116,"[70,81,44,22]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","","",14,15,16,16
103,1205,8102,"",431,2092,"[30,20,0]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","","",6,8,10,12
104,1240,8178,"",463,2126,"[110,86,100,40]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","","",13,14,15,16
105,1138,8113,"",378,2027,"[62,38]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","","",16,16,16,16
106,1140,8121,"",380,2029,"[111,54,68,43]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","","",10,12,13,14
107,1108,8119,"",345,1997,"[83,96,94,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","","",6,8,10,12
108,1136,8093,"",376,2025,"[65,89,10]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","","",7,9,11,12
109,1133,8207,"",373,2022,"[72,52,66,4]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","","",5,7,9,11
110,1122,8219,"",363,2011,"[104,101,87,45]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","","",12,13,14,15
111,1093,8091,"",329,1982,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","","",9,11,12,13
112,1102,8180,"",339,1991,"[50,107,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","","",5,7,9,11
113,1127,8084,"",367,2016,"[53,89,8,28]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","","",5,7,9,11
114,1260,8128,"",470,2134,"[35,85,42,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","","",9,11,12,13
115,1246,8188,"",472,2143,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16
116,1247,8189,"",473,2144,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16
117,1249,8190,"",474,2145,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16
118,1248,8191,"",475,2146,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16
119,1251,8193,"",477,2147,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16
120,1168,10555,"",401,2057,[],5,8,12,16,16,0,0,0,0,0,"","",1,7,9,11,12
121,1126,12535,"",366,2015,[],14,16,16,16,16,0,0,0,0,0,"","",1,15,16,16,16
122,1271,8234,"",483,2147,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17
123,1272,8233,"",484,2147,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17
124,1273,8235,"",485,2147,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17
125,1274,8231,"",486,2147,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17
126,1275,8232,"",487,2147,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17
