"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
26,3545,"[0,1,5,10]",15679,[],"",4,[],[],[],"","","",""
27,3546,"[0,1,5,10]",15679,[],"",4,[],[],[],"","","",""
28,3547,"[0,1,5,10]",15679,[],"",4,[],[],[],"","","",""
29,3520,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
30,3521,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
31,3522,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
32,3523,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
33,3536,"[0,1,3,5,7,9,11,13]",2599,[],8022,8,[],[],[],"","","",""
34,3537,"[0,1,3,5,7,9,11,13]",2599,[],8022,8,[],[],[],"","","",""
35,3538,"[0,1,3,5,7,9,11,13]",2599,[],8022,8,[],[],[],"","","",""
36,3539,"[0,1,3,5,7,9,11,13]",2599,[],8022,8,[],[],[],"","","",""
37,3473,"[0,1,10,15,20,25]",15467,[],"",6,[],[],[],"","","",""
38,3503,"[0,50,100,150,200,250,300,350]",561,[],562,8,[],[],[],"","","",""
39,3504,"[0,50,100,150,200,250,300,350]",567,[],568,8,[],[],[],"","","",""
40,3505,"[0,50,100,150,200,250,300,350]",564,[],565,8,[],[],[],"","","",""
41,3506,"[0,100,200,300,400,500,600,700]",16211,[],592,8,[],[],[],"","","",""
42,3507,"[0,50,100,150,200,250,300,350]",14736,[],16646,8,[],[],[],"","","",""
43,3648,"[0,50,100,150,200]",797,[],147,5,[],[],[],"","","",""
44,3647,"[0,50,100,150,200]",797,[],147,5,[],[],[],"","","",""
45,3646,"[0,50,100,150,200]",797,[],147,5,[],[],[],"","","",""
46,3649,"[0,50,100,150,200]",797,[],147,5,[],[],[],"","","",""
47,4403,"[0,10,20,30,40,50,60]",15477,[],"",7,[],[],[],"","","",""
48,3474,"[0,12,20,29]",16097,[48],"",4,[],[],[],1,"","",""
49,3475,"[0,14,22,32]",16097,[48],"",4,[],[],[],1,"","",""
50,3479,"[0,16,24,35]",16097,[48],"",4,[],[],[],1,"","",""
51,3477,"[0,18,26,38]",16097,[48],"",4,[],[],[],1,"","",""
52,3674,"[0,20,50,100]",15977,[],"",4,[],[],[],"","","",""
53,3676,"[0,20,50,100]",15977,[],"",4,[],[],[],"","","",""
54,3675,"[0,20,50,100]",15977,[],"",4,[],[],[],"","","",""
55,3677,"[0,20,50,100]",15977,[],"",4,[],[],[],"","","",""
56,3491,"[0,30,65,100,150,200]",1417,[],25,6,[],[],[],"","","",""
57,3706,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","",""
58,3692,"[0,25,50,75]",235,[],171,4,[],[],[],"","","",""
59,3628,"[0,100000,1000000]",15560,[],"",3,[],[],[],1,"","",""
60,3743,"[0,18,26,38]",16781,[50],"",4,[],[],[],1,"","",""
61,3740,"[0,16,24,35]",16781,[50],"",4,[],[],[],1,"","",""
62,3742,"[0,12,20,29]",16781,[50],"",4,[],[],[],1,"","",""
63,3741,"[0,14,22,32]",16781,[50],"",4,[16831],[1],[4],1,"","",""
64,3732,"[1,34,70,90,120]",16972,[],117,5,[],[],[],"","","",""
65,3763,"[0,22,55,88]",235,[],171,4,[],[],[],"","","",""
66,3764,"[0,22,55,88]",235,[],171,4,[],[],[],"","","",""
67,3765,"[0,22,55,88]",235,[],171,4,[],[],[],"","","",""
68,3766,"[0,22,55,88]",235,[],171,4,[],[],[],"","","",""
69,3796,"[0,1]",358,[],"",2,[],[],[],"","","",""
70,4523,"[0,1,2]",359,[],"",3,[],[],[],"","","",""
71,3942,"[0,1000,5000,10000,15000,20000]",233,[],110,6,[],[],[],"","","",""
72,3900,"[0,18,26,38,38]",17743,"[52,53]",17678,5,"[17811,17811,17114,17811]","[1,1,1,1]","[3,4,5,5]",1,"","",""
73,3897,"[0,16,24,35]",17743,"[52,53]",17678,4,[],[],[],1,"","",""
74,3899,"[0,12,20,29]",17743,"[52,53]",17678,4,[],[],[],1,"","",""
75,3898,"[0,14,22,32]",17743,"[52,53]",17678,4,[],[],[],1,"","",""
76,3969,"[0,10,20,50,100,150,200]",17861,[],"",7,[],[],[],"","","",""
77,4009,"[1,1]",0,[],"",2,[],[],[],"","","",1
78,4000,"[1,1]",0,[],"",2,[],[],[],"","","",1
79,4004,"[1,1]",0,[],"",2,[],[],[],"","","",1
80,4003,"[1,1]",0,[],"",2,"[19746,19746]","[0,1]","[1,2]","","","",1
81,3999,"[1,1]",0,[],"",2,[],[],[],"","","",""
82,4043,"[1,1]",0,[],"",2,"[16990,16990]","[0,1]","[1,2]","","","",1
83,4036,"[1,1]",0,[],"",2,[],[],[],"","","",1
84,4056,"[1,1]",0,[],"",2,[],[],[],"","","",1
85,4044,"[1,1]",0,[],"",2,[],[],[],"","","",1
86,4079,"[1,1]",0,[],"",2,[],[],[],"","","",1
87,6489,"[1,1]",0,[],"",2,[],[],[],"","","",1
88,6494,"[1,1]",0,[],"",2,[],[],[],"","","",1
89,6644,"[1,1,1,1]",0,[],"",4,[],[],[],"","","",1
90,6650,"[1,1,1,1]",0,[],"",4,[],[],[],"","","",1
91,6668,"[1,1,1]",0,[],"",3,[],[],[],"","","",1
92,6669,"[1,1]",0,[],"",2,[],[],[],"","","",1
