"rownum","Id","Description","SetId","Objective","HASH16","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string","string","string"
35,"UseCurrencyRampageBeyond","Use these Currency Items",6,"Use the following 23 currency items in either Rampage or Beyond.",23110,1,"","",0,1,"","","","","","","",""
36,"DefeatBeyondFoes","Kill these foes from Beyond",6,"Defend Wraeclast by defeating these 13 interdimensional monstrosities:",-29068,"","","",0,1,"","","","","","","",""
37,"MaxLevelMasters","Reach level 8 with the Masters",6,"Reach reputation level 8 with each of the following masters:",18522,1,"","",0,1,"","","","","","","",""
38,"FindUniquesRampageBeyond","Own these Unique Items",6,"Own 44 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Rampage and Beyond leagues are counted for this challenge.",-26921,1,"","",0,1,"","","","","","","",""
39,"KillUniqueBossesRampageBeyond","Kill these Unique Bosses",6,"Kill each of the following Unique bosses:",-24185,1,"","",0,1,"","","","","","","",""
40,"85ThreeClassesTormentBloodlines","Reach Level 85",7,"Attain character level 85 with at least three different classes in the Torment or Bloodlines leagues. This challenge still counts even if a character dies after reaching level 85.",18683,"","","",3,1,"","","","","","","",""
41,"IdentifyUniquesTormentBloodlines","Identify these Unique Items",7,"Identify these specific Unique Items to complete this challenge. Uniques in both the Torment and Bloodlines leagues are counted for this challenge. You can trade the item away afterwards.",-8988,1,"","",0,1,"","","","","","","",""
42,"KillBloodlinePacks","Kill Packs from these Bloodlines",7,"Kill packs of Magic monsters with each of these Bloodline Mods.",-19582,1,"","",0,1,"","","","","","","",""
43,"KillTormentSpirits","Kill these Tormented Spirits",7,"Kill each of these Tormented Spirits or Rare/Unique monsters possessed by them.",29661,1,"","",0,1,"","","","","","","",""
44,"ClearMapsTormentBloodlines","Full-clear these Maps",7,"Kill all the monsters in each of these End-Game Map areas in the Torment or Bloodlines leagues. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",-26499,"","","",0,1,"","","","","","","",""
45,"UseRecipesTormentBloodlines","Items from Vendor Recipes",7,"Complete vendor recipes in either Torment or Bloodlines to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",-8691,"","","",0,1,"","","","","","","",""
46,"CompleteEncountersTormentBloodlines","Complete these Encounters",7,"Kill these Rogue Exiles, open Strongboxes with these properties, touch these Shrines and kill Rare Monsters with these Nemesis mods in the Torment or Bloodlines leagues. Strongboxes do not need to be identified to count, but their ambushers must be defeated.",-30997,"","","",0,1,"","","","","","","",""
47,"CompleteMissionsTormentBloodlines","Complete these Missions",7,"Complete these missions for the Forsaken Masters in the Torment or Bloodlines leagues.",23250,"","","",0,"","","","","","","","",""
48,"Level80TOBLSoftcore","Reach Level 80",8,"Attain character level 80 in the One Month Torment/Bloodlines Event. This challenge still counts even if a character dies after reaching level 80.",-7315,"","","",0,1,"","","","","","","",""
49,"KillUniqueBossTOBLSoftcore","Kill One of these Unique Bosses",8,"Kill at least one of the following six Unique Bosses in the One Month Torment/Bloodlines Event.",-19553,"","","",1,"","","","","","","","",""
50,"CompleteEncountersTOBLSoftcore","Complete Forty Encounters",8,"Kill at least 40 of these 46 Tormented Spirits and packs of Magic monsters with Bloodline Mods in the One Month Torment/Bloodlines Event. Killing Rare or Unique monsters possessed by Tormented Spirits still counts.",3701,1,"","",40,"","","","","","","","",""
51,"CompleteMissionsTOBLSoftcore","Complete Eighteen Missions",8,"Complete at least 18 of these 21 missions for the Forsaken Masters in the One Month Torment/Bloodlines Event.",31557,"","","",18,"","","","","","","","",""
52,"Level80TOBLHardcore","Reach Level 80",9,"Attain character level 80 in the One Month Torment/Bloodlines Hardcore Event. This challenge still counts even if a character dies after reaching level 80.",-14525,"","","",0,1,"","","","","","","",""
53,"KillUniqueBossTOBLHardcore","Kill One of these Unique Bosses",9,"Kill at least one of the following six Unique Bosses in the One Month Torment/Bloodlines Hardcore Event.",29791,"","","",1,"","","","","","","","",""
54,"CompleteEncountersTOBLHardcore","Complete Forty Encounters",9,"Kill at least 40 of these 46 Tormented Spirits and packs of Magic monsters with Bloodline Mods in the One Month Torment/Bloodlines Hardcore Event. Killing Rare or Unique monsters possessed by Tormented Spirits still counts.",-12181,1,"","",40,"","","","","","","","",""
55,"CompleteMissionsTOBLHardcore","Complete Eighteen Missions",9,"Complete at least 18 of these 21 missions for the Forsaken Masters in the One Month Torment/Bloodlines Hardcore Event.",-9310,"","","",18,"","","","","","","","",""
56,"82ThreeClassesWarbandsTempest","Reach Level 82",10,"Attain character level 82 with at least three different classes in the Warbands or Tempest leagues. This challenge still counts even if a character dies after reaching level 82.",16383,"","","",3,1,"","","","","","","",""
57,"DivinationCardsWarbandsTempest","Redeem Divination Card Sets",10,"Turn in sets of at least 32 of the following 47 Divination card types to Tasuni:",-10213,1,"","",32,1,"","","","","","","",""
58,"KillWarbandMembersWarbandsTempest","Kill these Warband Members",10,"Kill each of the following Warband Members:",16121,"","","",0,1,"","","","","","","",""
59,"ClearTempestAreasWarbandsTempest","Clear Areas with Tempests",10,"Kill all the monsters in areas affected by at least 50 of these 54 Tempests. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",-3855,"","","",50,1,"","","","","","","",""
60,"KillUniqueMonstersWarbandsTempest","Kill these Unique Bosses",10,"Kill each of the following Unique bosses:",-26772,1,"","",0,1,"","","","","","","",""
61,"UseRecipesWarbandsTempest","Items from Vendor Recipes",10,"Complete vendor recipes in either Warbands or Tempest to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",14915,"","","",0,1,"","","","","","","",""
62,"CorruptJewelsWarbandsTempest","Corrupt these Unique Jewels",10,"Corrupt 36 of these 41 specific Unique Jewels to complete this challenge. Jewels in both the Warbands and Tempest leagues are counted for this challenge. You can trade the item away afterwards.",1616,1,"","",36,1,"","","","","","","",""
63,"PerformFeatsWarbandsTempest","Knowledge and Power",10,"Identify these Unique Items, kill a Rare Monster of each of these types, and kill all the monsters in the following areas in Warbands or Tempest. Character Uniques are any Unique Item named after that Character. 30 of these 33 deeds are required.",32555,1,"","",30,"","","","","","","","",""
64,"TalismanKillNormalBosses","Kill these Normal Act Bosses",12,"Kill each of the following Unique bosses in Normal Difficulty.",21321,"","","",0,"","","","","","","","",""
65,"TalismanCraftMasterMods","Master-craft these Item Types",12,"Use a Master's Crafting Bench to add a mod to each of the following types of item.",-3260,1,"","",0,1,"","","","","","","",""
66,"TalismanSummonUsingRares","Use these Rare Talismans",12,"Summon monsters at the Altars within Stone Circles using Rare Talismans of each of the following types.",-15760,1,"","",0,1,"","","","","","","",""
67,"TalismanKillCruelBosses","Kill these Cruel Act Bosses",12,"Kill each of the following Unique bosses in Cruel Difficulty.",14048,"","","",0,"","","","","","","","",""
68,"TalismanLevelMasters","Level these Masters",12,"Reach Reputation Level 3 with at least 6 of these 7 Forsaken Masters.",25602,"","","",6,"","","","","","","","",""
69,"TalismanKillCruelUniques","Kill Unique Monsters in Cruel",12,"Kill each of the following Unique monsters in Cruel Difficulty or higher.",11571,1,"","",0,"","","","","","","","",""
70,"TalismanUseCurrency","Use these Currency Items",12,"Use each of the following Currency Items.",-23591,1,"","",0,1,"","","","","","","",""
71,"TalismanUseStoneCircles","Use Talismans at Stone Circles",12,"Summon monsters at the Altars within Stone Circles using each of the following Talisman combinations.",-19493,"","","",0,"","","","","","","","",""
72,"FlashbackClearFetidPool","Full Clear: The Fetid Pool",11,"Fully clear the Fetid Pool. ",-20184,"",1,"",0,1,"","","","","","","",""
73,"FlashbackIdentifyUnique","Identify a Unique Item",11,"Identify any Unique Item. You can trade it away afterwards. ",22367,"",1,"",0,1,"","","","","","","",""
74,"FlashbackKillCruelKole","Kole the Cruel",11,"Kill Kole in Cruel difficulty or higher. ",-1449,"",1,"",0,1,"","","","","","","",""
75,"FlashbackUpgradeHideout","Room to Grow",11,"Create a medium-sized Hideout. ",24594,"",1,"",0,1,"","","","","","","",""
76,"FlashbackGoldenHand","The Golden Hand",11,"Complete the quest \""Through Sacred Ground\"" in Merciless difficulty.",-9996,"",1,"",0,1,"","","","","","","",""
77,"FlashbackClearVaalArea","Full Clear: Vaal Fragment",11,"Fully clear a Vaal Side Area that was created using a Map Device. ",30231,"",1,"",0,1,"","","","","","","",""
78,"FlashbackKillUniqueMapBoss","Kill a Unique Map Boss",11,"Kill the boss of a Unique Map. ",20725,"",1,"",0,1,"","","","","","","",""
79,"FlashbackReachLevel85","Reach level 85",11,"Reach level 85. ",28641,"",1,"",0,1,"","","","","","","",""
80,"FlashbackKillInvader","Defender",11,"Kill any Invasion Boss. ",-12170,"",1,"",0,1,"","","","","","","",""
81,"FlashbackKillTormentedUnique","Exorcist",11,"Kill a Unique monster that has been possessed by a Tormented spirit. ",9900,"",1,"",0,1,"","","","","","","",""
82,"FlashbackOpenStrongbox","Bait",11,"Open an unidentified Rare Strongbox. ",2690,"",1,"",0,1,"","","","","","","",""
83,"FlashbackKillStreak","Unstoppable",11,"Reach the fifth Rampage tier. ",-11278,"",1,"",0,1,"","","","","","","",""
84,"FlashbackKillKeepers","Finder of the Trove",11,"Kill a pack of Magic monsters with the Keepers of the Trove Bloodline mod. ",18298,"",1,"",0,1,"","","","","","","",""
85,"FlashbackKillWarbandLeader","Assassination",11,"Kill any Warband Leader. ",27386,"",1,"",0,1,"","","","","","","",""
86,"FlashbackKillOnslaughtBoss","A Worthy Foe",11,"Kill the Boss of a Tier 8 or higher Map while it has Onslaught. ",12387,"",1,"",0,1,"","","","","","","",""
87,"FlashbackKillBeyondBoss","Seal the Portal",11,"Kill a Unique Beyond boss. ",-4199,"",1,"",0,1,"","","","","","","",""
88,"FlashbackClearTempest","Weather the Storm",11,"Fully clear a Rare map that is affected by both a Tempest prefix and suffix. ",-12322,"",1,"",0,1,"","","","","","","",""
89,"FlashbackKillInnerTreasure","Treasure Hunter",11,"Kill a Rare monster with the Inner Treasure Nemesis mod. ",26594,"",1,"",0,1,"","","","","","","",""
90,"FlashbackKillIgnaPhoenix","Fall of the Phoenix",11,"Kill Igna Phoenix. ",-22018,"",1,"",0,1,"","","","","","","",""
91,"FlashbackTouchDivineShrine","Reach Out and Touch Faith",11,"Touch a Divine Shrine.",7570,"",1,"",0,1,"","","","","","","",""
92,"TalismanKillMercilessBosses","Kill these Merciless Act Bosses",12,"Kill each of the following Unique bosses in Merciless Difficulty.",27580,"","","",0,"","","","","","","","",""
93,"TalismanMercilessSideQuests","Complete Merciless Quests",12,"Complete each of the following quests in Merciless Difficulty.",20543,"","","",0,1,"","","","","","","",""
94,"TalismanClearCorruptedSideAreas","Full Clear: Vaal Side Areas",12,"Fully clear each of the following Corrupted Side Areas. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",-4773,"","","",0,"","","","","","","","",""
95,"TalismanKillBearers","Claim these Talismans",12,"Encounter, then kill monsters bearing twelve of these fourteen Talismans.",28784,1,"","",12,1,"","","","","","","",""
96,"TalismanKillTalismanBosses","Kill Bosses with Talismans",12,"Kill each of the following Unique bosses while they bear Talismans.",-24875,1,"","",0,1,"","","","","","","",""
97,"TalismanEncounterKillUniqueWithTier1","A Coveted Prize",12,"Encounter, then kill a Unique monster bearing a Tier 1 Talisman.",1875,"",1,"",0,1,"","","","","","","",""
98,"TalismanKillDoublePossessedMonster","Unnatural Influences",12,"Kill a Monster possessed by two or more Tormented Spirits.",25491,"",1,"",0,1,"","","","","","","",""
99,"TalismanKillMapBosses","Kill these Unique Map Bosses",12,"Kill each of the following Unique bosses.",-8552,"","","",0,1,"","","","","","","",""
100,"TalismanEnterUniqueMaps","Enter these Unique Maps",12,"Enter each of the following Unique Maps.",32112,1,"","",0,1,"","","","","","","",""
101,"TalismanKillExilesWithTalismans","Kill Exiles with Talismans",12,"Kill each of the following Rogue Exiles while they bear Talismans.",27718,1,"","",0,1,"","","","","","","",""
102,"TalismanCreateHideouts","Create Hideouts of these sizes",12,"Create or upgrade to Hideouts of at least the following sizes.",-16225,"","","",0,"","","","","","","","",""
103,"TalismanCorruptCartographersStrongbox","The Explorer's Folly",12,"Use a Vaal Orb on a Cartographer's Strongbox.",-23177,"",1,"",0,1,"","","","","","","",""
104,"TalismanKillRigwald","Kill Rigwald",12,"Kill Rigwald, the Wolven King.",2172,"",1,"",0,1,"","","","","","","",""
105,"TalismanClearTwinnedMaps","Full Clear: Twinned Maps",12,"Fully clear maps in each of the following tiers while they have the Twinned mod. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",522,"","","",0,1,"","","","","","","",""
106,"TalismanIdentifyRigwaldUniques","Identify Rigwald's Uniques",12,"Identify each of the following Unique Items. You can trade them away afterwards. ",921,1,"","",0,1,"","","","","","","",""
107,"TalismanVendorRecipes","Items from Vendor Recipes",12,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",23580,1,"","",0,1,"","","","","","","",""
108,"TalismanKillAvatarOfThunder","Kill the Avatar of Thunder",12,"Kill the Avatar of Thunder.",-25766,"",1,"",0,1,"","","","","","","",""
109,"TalismanDivinationCardStacks","Redeem Sets of Divination Cards",12,"Turn in Divination card sets of the following sizes to Tasuni.",26218,"","","",0,1,"","","","","","","",""
110,"TalismanCompleteEncounters","Complete these Encounters",12,"Complete each of the following Encounters.",11645,1,"","",0,"","","","","","","","",""
111,"TalismanIdentifyNewUniques","Identify new Unique Items",12,"Identify each of the following Unique Items. You can trade them away afterwards. ",7241,1,"","",0,1,"","","","","","","",""
112,"TalismanKillRigwald85","Kill Level 80+ Rigwald",12,"Kill Rigwald, the Wolven King in an area of at least Level 80.",5265,"",1,"",0,1,"","","","","","","",""
113,"TalismanReachLevel90","Reach Level 90",12,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-30787,"",1,"",0,"","","","","","","","",""
114,"TalismanIdentifyUniques","Identify these Treasures",12,"Identify four of these twelve Unique Items. You can trade them away afterwards. ",17002,1,"","",4,1,"","","","","","","",""
115,"TalismanLevel8Zana","Fully Level Zana",12,"Reach Reputation Level 8 with Zana, Master Cartographer.",28469,"",1,"",0,1,"","","","","","","",""
116,"PerandusKillAct1Uniques","Kill these Unique Monsters",13,"Kill each of the following Unique monsters in any Difficulty.",25912,1,"","",0,"","","","","","","","",""
117,"PerandusClearAct2Dungeons","Clear Act 2 Interiors",13,"Fully clear the following areas in Act 2. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",-13987,1,"","",0,1,"","","","","","","",""
118,"PerandusUnsealLabyrinth","Unseal the Labyrinth",13,"Open the Portal to the Labyrinth.",29054,"",1,"",0,1,"","","","","","","",""
119,"PerandusCompleteEncountersNormal","Complete these Encounters I",13,"Complete each of the following Encounters.",-13071,1,"","",0,"","","","","","","","",""
120,"PerandusVendorRecipes","Items from Vendor Recipes",13,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",31537,1,"","",0,1,"","","","","","","",""
121,"PerandusKillNormalActBosses","Kill these Normal Act Bosses",13,"Kill each of the following Unique bosses in Normal Difficulty.",30351,"","","",0,"","","","","","","","",""
122,"PerandusCreateHideout","Create a Hideout",13,"Create a Hideout of any size.",6946,"",1,"",0,1,"","","","","","","",""
123,"PerandusClearAct2Outdoors","Clear Act 2 Cruel Exteriors",13,"Fully clear the following areas in Act 2, in Cruel Difficulty or Higher. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",19226,1,"","",0,1,"","","","","","","",""
124,"PerandusKillRareMonstersInCruel","Kill Rare Monsters in Cruel",13,"Kill a Rare Monster of each of these types in either Cruel or Merciless Difficulty.",9586,1,"","",0,1,"","","","","","","",""
125,"PerandusUseCurrency","Use these Currency Items",13,"Use each of the following Currency Items.",7267,1,"","",0,1,"","","","","","","",""
126,"PerandusCompleteEncountersCruel","Complete these Encounters II",13,"Complete each of the following Encounters.",3978,1,"","",0,"","","","","","","","",""
127,"PerandusKillCruelActBosses","Kill these Cruel Act Bosses",13,"Kill each of the following Unique bosses in Cruel Difficulty.",15097,"","","",0,"","","","","","","","",""
128,"PerandusFullyUpgradeHideout","Fully Upgrade your Hideout",13,"Create or Upgrade to a Large-sized Hideout.",-9572,"",1,"",0,1,"","","","","","","",""
129,"PerandusLabyrinthEncounters","Complete these Encounters III",13,"Complete the following Encounters in the Labyrinth.",8852,1,"","",0,"","","","","","","","",""
130,"PerandusKillSideAreaBosses","Kill these Vaal Bosses",13,"Kill each of the following Unique monsters in any Difficulty.",19032,1,"","",0,1,"","","","","","","",""
131,"PerandusLevelMasters","Level these Masters",13,"Reach Reputation Level 5 with at least 6 of these 8 Forsaken Masters.",-9973,1,"","",6,"","","","","","","","",""
132,"PerandusPassiveRefunds","Complete These Quests",13,"Complete each of the following quests.",-28188,"","","",0,"","","","","","","","",""
133,"PerandusIdentifyPerandusUnique","Identify a Lost Treasure",13,"Identify one of the following 5 Unique Items. You can trade them away afterwards.",-26769,1,"","",1,1,"","","","","","","",""
134,"PerandusIdentifyLabyrinthUnique","Identify a Labyrinth Unique",13,"Identify one of the following 8 Unique Items. You can trade them away afterwards.",14053,1,"","",1,1,"","","","","","","",""
135,"PerandusOpenChests","Open these Perandus Chests",13,"Open the following Perandus Chests.",-16116,1,"","",0,1,"","","","","","","",""
136,"PerandusKillMinotaur","Kill Argus in each Difficulty",13,"Kill Argus in each Difficulty.",5413,"","","",0,"","","","","","","","",""
137,"PerandusKillGuards","Kill these Chest Guardians",13,"Kill each of the following Unique Perandus Chest Guardians.",-16245,"","","",0,"","","","","","","","",""
138,"PerandusAscend","Achieve Ascension",13,"Use the Ascendancy Device in each Difficulty.",-15482,"","","",0,"","","","","","","","",""
139,"PerandusKillIzaro","Challenge Izaro",13,"Defeat Izaro while the following conditions are active.",5412,1,"","",0,"","","","","","","","",""
140,"PerandusUseTrinkets","Use these Trinkets",13,"Use each of the following Trinkets while in the Labyrinth.",7843,1,"","",0,1,"","","","","","","",""
141,"PerandusApplyEnchantments","Apply these Enchantments",13,"Apply the following Enchantments to items via the Labyrinth.",-25088,1,"","",0,"","","","","","","","",""
142,"PerandusBuyItems","Buy these Items",13,"Purchase each of the following items from Cadiro Perandus.",-16814,1,"","",0,1,"","","","","","","",""
143,"PerandusKillMercilessBosses","Kill these Merciless Act Bosses",13,"Kill each of the following Unique bosses in Merciless Difficulty.",-10620,"","","",0,"","","","","","","","",""
144,"PerandusKillAtziriBosses","Kill Atziri's Elite",13,"Kill each of the following Unique monsters.",-29760,1,"","",0,1,"","","","","","","",""
145,"PerandusReach90","Reach level 90",13,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-15283,"",1,"",0,1,"","","","","","","",""
146,"PerandusClearUnidentifiedMaps","Clear Unidentified Rare Maps",13,"Fully clear the following rare end-game Maps while they're unidentified. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",3176,1,"","",0,1,"","","","","","","",""
147,"PerandusKillUniqueMapBosses","Kill these Unique Map Bosses",13,"Kill each of the following Unique bosses.",4364,1,"","",0,1,"","","","","","","",""
148,"PerandusCompleteEncountersMerciless","Complete these Encounters IV",13,"Complete each of the following Encounters.",-2231,1,"","",0,"","","","","","","","",""
149,"PerandusFullClearManor","Clear Perandus Manor",13,"Fully clear the Perandus Manor end-game Map. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",28444,"",1,"",0,1,"","","","","","","",""
150,"PerandusDivinationCards","Redeem Divination Card Sets",13,"Turn in sets of at least 7 of the following 13 Divination card types to Tasuni:",-738,1,"","",7,1,"","","","","","","",""
151,"PerandusKillT15Bosses","Kill Two Deadly Bosses",13,"Kill 2 of the following 3 Unique bosses.",7855,1,"","",2,"","","","","","","","",""
152,"PerandusClearTwinnedMaps","Clear Twinned Maps",13,"Fully clear maps in each of the following tiers while they have the Twinned mod. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",28674,"","","",0,1,"","","","","","","",""
153,"PerandusIdentifyTreasures","Identify these Treasures",13,"Identify four of these twelve Unique Items. You can trade them away afterwards.",-18833,1,"","",4,1,"","","","","","","",""
154,"PerandusClear8ModMaps","Clear Maps with Eight Mods",13,"Fully clear maps in 10 of the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",28773,"","","",10,1,"","","","","","","",""
155,"PerandusLevel8Zana","Fully Level Zana",13,"Reach Reputation Level 8 with Zana, Master Cartographer.",4947,"",1,"",0,1,"","","","","","","",""
156,"PerandusCatchFish","Catch these Fish",2,"Catch each of the following Unique Fish.",-11348,1,"",1,0,"","","","","","","","",""
157,"ProphecyActivateWaypoints","Activate Normal Waypoints",14,"Activate the Waypoints in each of the following areas in Normal difficulty.",24589,"","","",0,1,"","","","","","","",""
158,"ProphecyKillAct2Uniques","Kill these Act 2 Uniques",14,"Kill each of the following Unique bosses.",19455,1,"","",0,1,"","","","","","","",""
159,"ProphecyKillSilverBearers","Kill 50 Monsters Bearing Silver",14,"Kill 50 monsters that are carrying Silver Coins.",16815,"",1,"",0,1,"","","","","","","",""
160,"ProphecyFulfilProphecy","Fulfill a Prophecy",14,"Complete any Prophecy.",21773,"",1,"",0,1,"","","","","","","",""
