"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32","[rid]","bool","[rid]","bool"
111,"PhysicalTakenAsRandomElement","[Physical] damage from [HitDamage|Hits] taken as damage of a Random Element",[8006],1,[],[],36,1,[],0,[],"",[],""
112,"FireTakenAsPhysical","[Fire] damage from [HitDamage|Hits] taken as [Physical]",[9440],1,[],[],36,1,[],0,[],"",[],""
113,"FireTakenAsCold","[Fire] damage from [HitDamage|Hits] taken as [Cold]",[3213],1,[],[],36,1,[],0,[],"",[],""
114,"FireTakenAsLightning","[Fire] damage from [HitDamage|Hits] taken as [Lightning]",[3212],1,[],[],36,1,[],0,[],"",[],""
115,"FireTakenAsChaos","[Fire] damage from [HitDamage|Hits] taken as [Chaos]",[2199],1,[],[],36,1,[],0,[],"",[],""
116,"ColdTakenAsFire","[Cold] damage from [HitDamage|Hits] taken as [Fire]",[8995],1,[],[],36,1,[],0,[],"",[],""
117,"ColdTakenAsLightning","[Cold] damage from [HitDamage|Hits] taken as [Lightning]",[3216],1,[],[],36,1,[],0,[],"",[],""
118,"ColdTakenAsChaos","[Cold] damage from [HitDamage|Hits] taken as [Chaos]",[2200],1,[],[],36,1,[],0,[],"",[],""
119,"LightningTakenAsFire","[Lightning] damage from [HitDamage|Hits] taken as [Fire]",[8994],1,[],[],36,1,[],0,[],"",[],""
120,"LightningTakenAsCold","[Lightning] damage from [HitDamage|Hits] taken as [Cold]",[3214],1,[],[],36,1,[],0,[],"",[],""
121,"LightningTakenAsChaos","[Lightning] damage from [HitDamage|Hits] taken as [Chaos]",[2201],1,[],[],36,1,[],0,[],"",[],""
122,"DamageTaken","Damage taken modifier",[2218],7,"[10068,10066]",[],36,1,[],0,[],"",[],""
123,"DamageTakenFinal","Damage taken modifier",[6117],8,"[10071,10069]",[],36,1,[],0,[],"",[],""
124,"DamageTakenWhenHit","Damage taken when [HitDamage|Hit] modifier",[10061],7,[10066],[10068],36,1,[],0,[],"",[],""
125,"DamageTakenWhenHitFinal","Damage taken when [HitDamage|Hit] modifier",[9946],8,[10069],[10071],36,1,[],0,[],"",[],""
126,"DamageTakenOverTime","Damage taken over time modifier",[9958],7,[10067],[10068],36,1,[],0,[],"",[],""
127,"DamageTakenOverTimeFinal","Damage taken over time modifier",[9945],8,[10070],[10071],36,1,[],0,[],"",[],""
128,"PhysicalDamageTaken","[Physical] damage taken modifier",[3440],7,[10068],[10066],36,1,[],0,[],"",[],""
129,"PhysicalDamageTakenFinal","[Physical] damage taken modifier",[9945],8,[10071],[10069],36,1,[],0,[],"",[],""
130,"PhysicalDamageTakenWhenHit","[Physical] damage taken when [HitDamage|Hit] modifier",[10061],7,[],"[10066,10068]",36,1,[],0,[],"",[],""
131,"PhysicalDamageTakenWhenHitFinal","[Physical] damage taken when [HitDamage|Hit] modifier",[9946],8,[],"[10069,10071]",36,1,[],0,[],"",[],""
132,"PhysicalDamageTakenOverTime","[Physical] damage taken over time modifier",[9958],7,[],"[10067,10068]",36,1,[],0,[],"",[],""
133,"PhysicalDamageTakenOverTimeFinal","[Physical] damage taken over time modifier",[9945],8,[],"[10070,10071]",36,1,[],0,[],"",[],""
134,"FireDamageTaken","[Fire] damage taken modifier",[5282],7,[10068],[10066],36,1,[],0,[],"",[],""
135,"FireDamageTakenFinal","[Fire] damage taken modifier",[9951],8,[10071],[10069],36,1,[],0,[],"",[],""
136,"FireDamageTakenWhenHit","[Fire] damage taken when [HitDamage|Hit] modifier",[10064],7,[],"[10066,10068]",36,1,[],0,[],"",[],""
137,"FireDamageTakenWhenHitFinal","[Fire] damage taken when [HitDamage|Hit] modifier",[9952],8,[],"[10069,10071]",36,1,[],0,[],"",[],""
138,"FireDamageTakenOverTime","[Fire] damage taken over time modifier",[9961],7,[],"[10067,10068]",36,1,[],0,[],"",[],""
139,"FireDamageTakenOverTimeFinal","[Fire] damage taken over time modifier",[9951],8,[],"[10070,10071]",36,1,[],0,[],"",[],""
140,"ColdDamageTaken","[Cold] damage taken modifier",[5285],7,[10068],[10066],36,1,[],0,[],"",[],""
141,"ColdDamageTakenFinal","[Cold] damage taken modifier",[9947],8,[10071],[10069],36,1,[],0,[],"",[],""
142,"ColdDamageTakenWhenHit","[Cold] damage taken when [HitDamage|Hit] modifier",[10062],7,[],"[10066,10068]",36,1,[],0,[],"",[],""
143,"ColdDamageTakenWhenHitFinal","[Cold] damage taken when [HitDamage|Hit] modifier",[9948],8,[],"[10069,10071]",36,1,[],0,[],"",[],""
144,"ColdDamageTakenOverTime","[Cold] damage taken over time modifier",[9959],7,[],"[10067,10068]",36,1,[],0,[],"",[],""
145,"ColdDamageTakenOverTimeFinal","[Cold] damage taken over time modifier",[9947],8,[],"[10070,10071]",36,1,[],0,[],"",[],""
146,"LightningDamageTaken","[Lightning] damage taken modifier",[5284],7,[10068],[10066],36,1,[],0,[],"",[],""
147,"LightningDamageTakenFinal","[Lightning] damage taken modifier",[9949],8,[10071],[10069],36,1,[],0,[],"",[],""
148,"LightningDamageTakenWhenHit","[Lightning] damage taken when [HitDamage|Hit] modifier",[10063],7,[],"[10066,10068]",36,1,[],0,[],"",[],""
149,"LightningDamageTakenWhenHitFinal","[Lightning] damage taken when [HitDamage|Hit] modifier",[9950],8,[],"[10069,10071]",36,1,[],0,[],"",[],""
150,"LightningDamageTakenOverTime","[Lightning] damage taken over time modifier",[9960],7,[],"[10067,10068]",36,1,[],0,[],"",[],""
151,"LightningDamageTakenOverTimeFinal","[Lightning] damage taken over time modifier",[9949],8,[],"[10070,10071]",36,1,[],0,[],"",[],""
152,"ChaosDamageTaken","[Chaos] damage taken modifier",[5283],7,[10068],[10066],36,1,[],0,[],"",[],""
153,"ChaosDamageTakenFinal","[Chaos] damage taken modifier",[9953],8,[10071],[10069],36,1,[],0,[],"",[],""
154,"ChaosDamageTakenWhenHit","[Chaos] damage taken when [HitDamage|Hit] modifier",[10065],7,[],"[10066,10068]",36,1,[],0,[],"",[],""
155,"ChaosDamageTakenWhenHitFinal","[Chaos] damage taken when [HitDamage|Hit] modifier",[9954],8,[],"[10069,10071]",36,1,[],0,[],"",[],""
156,"ChaosDamageTakenOverTime","[Chaos] damage taken over time modifier",[9962],7,[],"[10067,10068]",36,1,[],0,[],"",[],""
157,"ChaosDamageTakenOverTimeFinal","[Chaos] damage taken over time modifier",[9953],8,[],"[10070,10071]",36,1,[],0,[],"",[],""
158,"DamageTakenReflected","Additional Reflected damage taken modifier",[4638],7,[10072],[],36,1,[],0,[],"",[],""
159,"CannotTakeReflectedPhysicalDamage","Cannot take Reflected [Physical] damage",[7278],4,[],[],36,1,[],0,[],"",[],""
160,"PhysicalDamageTakenReflected","Additional Reflected [Physical] damage taken modifier",[6946],7,[],"[10072,7278]",36,1,[],0,[],"",[],""
161,"CannotTakeReflectedElementalDamage","Cannot take Reflected [ElementalDamage|Elemental] damage",[7277],4,[],[],36,1,[],0,[],"",[],""
162,"FireDamageTakenReflected","Additional Reflected [Fire] damage taken modifier",[6963],7,[],"[10072,7277]",36,1,[],0,[],"",[],""
163,"ColdDamageTakenReflected","Additional Reflected [Cold] damage taken modifier",[6965],7,[],"[10072,7277]",36,1,[],0,[],"",[],""
164,"LightningDamageTakenReflected","Additional Reflected [Lightning] damage taken modifier",[6964],7,[],"[10072,7277]",36,1,[],0,[],"",[],""
165,"ChaosDamageTakenReflected","Additional Reflected [Chaos] damage taken modifier",[9956],7,[],[10072],36,1,[],0,[],"",[],""
166,"SpellDamageTaken","Additional [Spell] damage taken modifier",[1106],7,[],[],36,1,[],0,[],"",[],""
167,"AreaDamageTakenFromHits","Additional Area damage taken when [HitDamage|Hit] modifier",[7468],7,[],[],36,1,[],0,[],"",[],""
168,"MeleeDamageTaken","Additional damage taken from [Melee] [Attack|Attacks] modifier",[1323],7,[],[],36,1,[],0,[],"",[],""
169,"ProjectileDamageTaken","Additional damage taken from [Projectile|Projectiles] modifier",[711],7,[],[],36,1,[],0,[],"",[],""
170,"AttackProjectileDamageTaken","Additional damage taken from [Projectile] [Attack|Attacks] modifier",[9944],7,[],[],36,1,[],0,[],"",[],""
171,"DamageRemovedFromManaBeforeLife","Damage taken from Mana before Life",[1617],1,[10073],[],37,1,[],0,[],"",[],""
172,"PhysicalDamageRemovedFromManaBeforeLife","[Physical] damage taken from Mana before Life",[8989],1,[],[10073],37,1,[],0,[],"",[],""
173,"FireDamageRemovedFromManaBeforeLife","[Fire] damage taken from Mana before Life",[8990],1,[],[10073],37,1,[],0,[],"",[],""
174,"ColdDamageRemovedFromManaBeforeLife","[Cold] damage taken from Mana before Life",[8991],1,[],[10073],37,1,[],0,[],"",[],""
175,"LightningDamageRemovedFromManaBeforeLife","[Lightning] damage taken from Mana before Life",[8992],1,[],[10073],37,1,[],0,[],"",[],""
176,"ChaosDamageRemovedFromManaBeforeLife","[Chaos] damage taken from Mana before Life",[8993],1,[],[10073],37,1,[],0,[],"",[],""
177,"PhysicalDamageBypassesEnergyShield","[Physical] damage bypasses [EnergyShield|Energy Shield]",[2864],1,[239],[],37,1,[],0,[],"",[],""
178,"FireDamageBypassesEnergyShield","[Fire] damage bypasses [EnergyShield|Energy Shield]",[8950],1,[239],[],37,1,[],0,[],"",[],""
179,"ColdDamageBypassesEnergyShield","[Cold] damage bypasses [EnergyShield|Energy Shield]",[8963],1,[239],[],37,1,[],0,[],"",[],""
180,"LightningDamageBypassesEnergyShield","[Lightning] damage bypasses [EnergyShield|Energy Shield]",[8970],1,[239],[],37,1,[],0,[],"",[],""
181,"ChaosDamageDamagesEnergyShield","[Chaos] damage bypasses [EnergyShield|Energy Shield]",[2863],1,[239],[],37,1,[],0,[],"",[],""
182,"FlaskDuration","[Flask] duration modifier",[720],7,[],[],38,1,[],0,[],"",[],""
183,"FlaskRate","[Flask] Recovery rate modifier",[391],7,[],[],38,1,[],0,[],"",[],""
184,"FlaskLifeAmount","[Flask] Life amount modifier",[389],7,[],[],38,1,[],0,[],"",[],""
185,"FlaskLifeSpeed","[Flask] Life Recovery rate modifier",[721],7,[],[],38,1,[],0,[],"",[],""
186,"FlaskManaAmount","[Flask] Mana amount modifier",[390],7,[],[],38,1,[],0,[],"",[],""
187,"FlaskManaSpeed","[Flask] Mana Recovery rate modifier",[722],7,[],[],38,1,[],0,[],"",[],""
188,"FlaskChargesUsed","[Flask] Charges used modifier",[719],7,[],[],38,1,[],0,[],"",[],""
189,"FlaskChargesGained","[Flask] Charges gained modifier",[449],7,[],[],38,1,[],0,[],"",[],""
190,"FlaskChargesPerSecond","[Flask] Charges gained per second",[19837],0,[],[],38,1,[2],0,[],"",[],""
191,"CharmDuration","[Charm] duration modifier",[20300],7,[],[],39,1,[],0,[],"",[],""
192,"CharmChargesUsed","[Charm] Charges used modifier",[20297],7,[],[],39,1,[],0,[],"",[],""
193,"CharmChargesGained","[Charm] Charges gained modifier",[20298],7,[],[],39,1,[],0,[],"",[],""
194,"CharmChargesPerSecond","[Charm] Charges gained per second",[19802],0,[],[],39,1,[2],0,[],"",[],""
195,"Presence","[Presence] range",[18664],0,[14924],[],41,1,[],0,[],"",[],""
196,"MoveSpeed","Movement speed modifier",[235],7,[],[],41,1,[16],0,[],"",[],""
197,"EnemyCritReduce","Enemy [CriticalDamageBonus|Critical Damage Bonus]",[279],7,[],[],41,1,[],0,[],"",[],""
198,"Experience","Experience gain modifier",[151],7,[],[],41,1,[],0,[],"",[],""
199,"ExplodeOnLowLifeDamage","[Fire] damage from Life for [LowLife|Low Life] explosion",[670],1,[],[],41,1,[],0,[],"",[],""
200,"InfernalHoundIgnite","","[20954,20953]",12,[],[],41,1,[],0,[],"",[],""
201,"DPSComparison","Damage per second",[658],0,[],[2050],42,1,[14],0,[],"",[],""
202,"SkillDPS","",[658],12,[],"[2050,1161]",1,1,[],0,[],1,[],1
203,"SkillDamagePerUse","",[1952],12,[],[1161],1,1,[],0,[],1,[],1
204,"MH_TotalDamage","","[649,650]",12,[7234],"[424,1598,1161,20393]",1,1,[],0,[],1,[],1
205,"MH_PhysicalDamage","","[269,270]",12,[7234],"[424,1598,1161,20393]",1,1,[],0,[],1,[],1
206,"MH_FireDamage","","[257,258]",12,[7234],"[424,1598,20393]",1,1,[],0,[],1,[],1
207,"MH_ColdDamage","","[253,254]",12,[7234],"[424,1598,20393]",1,1,[],0,[],1,[],1
208,"MH_LightningDamage","","[261,262]",12,[7234],"[424,1598,20393]",1,1,[],0,[],1,[],1
209,"MH_ChaosDamage","","[265,266]",12,[7234],"[424,1598,20393]",1,1,[],0,[],1,[],1
210,"OH_TotalDamage","","[651,652]",12,[7235],"[424,1598,20393]",1,1,[],0,[],1,[],1
211,"OH_PhysicalDamage","","[271,272]",12,[7235],"[424,1598,20393]",1,1,[],0,[],1,[],1
212,"OH_FireDamage","","[259,260]",12,[7235],"[424,1598,20393]",1,1,[],0,[],1,[],1
213,"OH_ColdDamage","","[255,256]",12,[7235],"[424,1598,20393]",1,1,[],0,[],1,[],1
214,"OH_LightningDamage","","[263,264]",12,[7235],"[424,1598,20393]",1,1,[],0,[],1,[],1
215,"OH_ChaosDamage","","[267,268]",12,[7235],"[424,1598,20393]",1,1,[],0,[],1,[],1
216,"Spell_TotalDamage","","[653,654]",12,[424],"[1598,20393]",1,1,[],0,[],1,[],1
217,"Spell_PhysicalDamage","","[251,252]",12,[424],"[1598,20393]",1,1,[],0,[],1,[],1
218,"Spell_FireDamage","","[245,246]",12,[424],"[1598,20393]",1,1,[],0,[],1,[],1
219,"Spell_ColdDamage","","[243,244]",12,[424],"[1598,20393]",1,1,[],0,[],1,[],1
220,"Spell_LightningDamage","","[247,249]",12,[424],"[1598,20393]",1,1,[],0,[],1,[],1
221,"Spell_ChaosDamage","","[248,250]",12,[424],"[1598,20393]",1,1,[],0,[],1,[],1
222,"Secondary_TotalDamage","","[1599,1600]",12,[1598],[20393],1,1,[],0,[],1,[],1
223,"Secondary_PhysicalDamage","","[685,686]",12,[1598],[20393],1,1,[],0,[],1,[],1
224,"Secondary_FireDamage","","[689,690]",12,[1598],[20393],1,1,[],0,[],1,[],1
225,"Secondary_ColdDamage","","[687,688]",12,[1598],[20393],1,1,[],0,[],1,[],1
226,"Secondary_LightningDamage","","[691,692]",12,[1598],[20393],1,1,[],0,[],1,[],1
227,"Secondary_ChaosDamage","","[693,694]",12,[1598],[20393],1,1,[],0,[],1,[],1
228,"MH_FirePenetration","",[13585],12,[7234],"[424,20393]",1,1,[],0,"[257,258]",1,[],1
229,"MH_ColdPenetration","",[13586],12,[7234],[424],1,1,[],0,"[253,254]",1,[],1
230,"MH_LightningPenetration","",[13587],12,[7234],"[424,20393]",1,1,[],0,"[261,262]",1,[],1
231,"MH_ChaosPenetration","",[13595],12,[7234],"[424,20393]",1,1,[],0,"[265,266]",1,[],1
232,"OH_FirePenetration","",[13588],12,[7235],"[424,20393]",1,1,[],0,"[259,260]",1,[],1
233,"OH_ColdPenetration","",[13589],12,[7235],"[424,20393]",1,1,[],0,"[255,256]",1,[],1
234,"OH_LightningPenetration","",[13590],12,[7235],"[424,20393]",1,1,[],0,"[263,264]",1,[],1
235,"OH_ChaosPenetration","",[13596],12,[7235],"[424,20393]",1,1,[],0,"[267,268]",1,[],1
236,"FirePenetration","",[578],12,[],[20393],1,1,[],0,"[245,246,689,690]",1,[],1
237,"ColdPenetration","",[577],12,[],[20393],1,1,[],0,"[243,244,687,688]",1,[],1
238,"LightningPenetration","",[579],12,[],[20393],1,1,[],0,"[247,249,691,692]",1,[],1
239,"ChaosPenetration","",[584],12,[],[20393],1,1,[],0,"[248,250,693,694]",1,[],1
240,"PhysicalDamageOverTime","",[7621],12,[],"[2876,603]",1,1,[],0,[],1,[],1
241,"FireDamageOverTime","",[7625],12,[],"[2876,603]",1,1,[],0,[],1,[],1
242,"ColdDamageOverTime","",[7630],12,[],"[2876,603]",1,1,[],0,[],1,[],1
243,"LightningDamageOverTime","",[7634],12,[],"[2876,603]",1,1,[],0,[],1,[],1
244,"ChaosDamageOverTime","",[7638],12,[],"[2876,603]",1,1,[],0,[],1,[],1
