"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string","rid","rid"
127,169,0,370,49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
128,169,3,1854,10,11,12,13,16,14,15,"","","","","",""
129,169,5,4218,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","","","",""
130,571,0,"",49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
131,425,0,"","","","","","","","","","","","","",""
132,355,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
133,570,0,"","","","","","","","","","","","","",""
134,577,0,"","","","","","","","","","","","","",""
135,578,0,"","","","","","","","","","","","","",""
136,579,0,"","","","","","","","","","","","","",""
137,580,0,"","","","","","","","","","","","","",""
138,585,0,"","","","","","","","","","","","","",""
139,589,0,"","","","","","","","",1,"","","","",""
140,590,0,"","","","","","","","","","","","","",""
141,1,0,"","","","","","","","","","","","","",""
142,609,0,"","","","","","","","",1,"","","","",""
143,610,0,"","","","","","",190,190,1,"","","","",""
144,612,0,"","","","","","","","",1,"","","","",""
145,615,0,"","","","","","","","",1,"","","","",""
146,617,0,"","","","","","","","",1,"","","","",""
147,618,0,"","","","","","","","",1,"","","","",""
148,619,0,"","","","","","","","",1,"","","","",""
149,622,0,"","","","","","","","",1,"","","","",""
150,627,0,"","","","","","","","",1,"","","","",""
151,633,0,"","","","","","","","",1,"","","","",""
152,628,0,"","","","","","",184,184,1,"","","","",""
153,628,1,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","","","",""
154,628,2,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/MyrmidonLightningStrike/weaponsurge.epk","","","",""
155,628,3,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/VulcanLightningStrike/weaponsurge.epk","","","",""
156,628,4,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/void_emperor/epk/weaponsurge.epk","","","",""
157,636,0,"",215,215,"","","","","",1,"","","","",""
158,640,0,"","","","","","","","",1,"","","","",""
159,639,0,"",193,193,193,193,193,193,193,1,"Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
160,645,0,"","","","","","","","",1,"","","","",""
161,650,0,"","","","","","","","",1,"","","","",""
162,561,0,"","","",206,206,199,"","",1,"","","","",""
163,236,0,"","","",206,206,199,"","",1,"","","","",""
164,528,0,"","","","","",216,"","",1,"","","",216,""
165,656,0,"","","","","","","","",1,"","","","",""
166,527,0,8037,"","","","","","","",1,"","","","",""
167,675,0,"","","","","","","","",1,"","","","",""
168,694,0,"","","",218,218,218,218,"",1,"","","","",""
169,700,0,"","","","","","","","",1,"","","","",""
170,701,0,"","","","","","","","",1,"","","","",""
171,707,0,"","","","","","","","",1,"","","","",""
172,708,0,"","","","","","","","",1,"","","","",""
173,710,0,"","","","","","","","",1,"","","","",""
174,10,0,"","","","","","","","",1,"","","","",""
175,791,0,"","","",186,186,186,"","",1,"","","","",""
176,802,0,"","","","","","","","",1,"","","","",""
177,814,0,"","","","","","","","",1,"","","","",""
178,815,0,"","","","","","","","",1,"","","","",""
179,876,0,"","","","","","","","",1,"","","","",""
