"rownum","rid","i32","[string]"
147,36,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_5/footstep_S_puff.ao""]"
148,37,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_2/footstep_S.ao""]"
149,37,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_2/footstep_M.ao""]"
150,37,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_2/footstep_B.ao""]"
151,37,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_2/footstep_S_puff.ao""]"
152,38,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_S.ao""]"
153,38,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_M.ao""]"
154,38,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_B.ao""]"
155,38,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_S_puff.ao""]"
156,39,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_S.ao""]"
157,39,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_M.ao""]"
158,39,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_B.ao""]"
159,39,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_3/footstep_S_puff.ao""]"
160,40,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_S_puff.ao""]"
161,40,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_M_puff.ao""]"
162,40,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_B_puff.ao""]"
163,40,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_2/footstep_S_puff.ao""]"
164,41,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_2/footstep_S.ao""]"
165,41,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_2/footstep_M.ao""]"
166,41,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_2/footstep_B.ao""]"
167,41,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_2/footstep_S_puff.ao""]"
168,43,3,"[""Metadata/Effects/Environment/footsteps_FOUR/dusty/footstep_S.ao""]"
169,43,4,"[""Metadata/Effects/Environment/footsteps_FOUR/dusty/footstep_S_puff.ao""]"
170,43,1,"[""Metadata/Effects/Environment/footsteps_FOUR/dusty/footstep_M.ao""]"
171,43,5,"[""Metadata/Effects/Environment/footsteps_FOUR/dusty/footstep_M_puff.ao""]"
172,43,2,"[""Metadata/Effects/Environment/footsteps_FOUR/dusty/footstep_B.ao""]"
173,43,6,"[""Metadata/Effects/Environment/footsteps_FOUR/dusty/footstep_B_puff.ao""]"
