"rownum","i32_0","[rid]_4","[rid]_20","i32_36","i32_40","bool_44","bool_45","bool_46","[i32]_47","i32_63","i32_67","i32_71","i32_75","i32_79","bool_83","i32_84","bool_88","bool_89","i32_90","i32_94","bool_98","bool_99","bool_100","i32_101","bool_105","bool_106","i32_107","i32_111","i32_115"
65,1001,"[5398,5399,5402,5403,5406,5407,5410,5411]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
66,1002,"[5382,5383,5384,5385,5386,5387,5388,5389,5390,5391,5392,5393,5394,5395,5396,5397]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
67,1003,[5379],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"","",30,0,"","","",0,"","",13,13,0
68,1004,"[5400,5404,5408,5412,5421]",[],4,1,"",1,"","[1,5,3,5,3]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
69,1005,"[5401,5405,5409,5413,5422]",[],4,1,"",1,"","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
70,1006,"[5400,5404,5408,5412,5421]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
71,1007,"[5401,5405,5409,5413,5422]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
72,1008,"[5382,5386,5390,5394,5415,5383,5387,5391,5395,5416]",[],4,1,"",1,"","[1,5,3,5,3,1,5,3,5,3]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
73,1009,"[5384,5388,5392,5396,5417]",[],4,1,"",1,"","[2,5,3,2,3]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
74,1010,"[5385,5389,5393,5397,5418]",[],4,1,"",1,"","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
75,1011,"[5401,5405,5409,5413,5422]",[],4,1,"",1,"","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",5,0,"","","",0,"","",13,13,0
76,1012,[6605],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",33,0,"","","",0,"","",10,3,0
77,1013,[6621],[],4,1,"",1,"",[],4,0,4,0,0,"",1792,"","",0,0,"","",1,0,"",1,13,13,0
78,1014,[6643],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",14,0,"","",1,0,"",1,13,13,0
79,1015,[7110],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",42,0,"","","",0,"",1,3,10,0
80,1016,[7107],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",42,0,"","","",0,"",1,3,10,0
81,1017,[7154],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",18,0,"","","",0,"",1,10,3,0
82,1018,[4258],[],3,1,"",1,1,[],3,0,4,0,0,"",1792,"","",73,0,"","",1,0,"",1,13,13,0
83,1019,[7178],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",21,0,"","","",0,"","",13,13,0
84,1020,[7198],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",38,0,"","","",0,"","",3,10,0
85,1021,[7182],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",14,0,"","","",0,1,1,13,13,0
86,1022,[7266],[],4,1,"","","",[],1,0,7,0,0,"",1792,"","",12,0,"","","",0,"","",13,13,0
87,1023,"[7270,7271,7272,7273,7274]",[],4,1,"",1,"",[],1,0,13,0,0,1,1792,"","",10,0,"","","",0,1,1,13,13,0
88,1024,[7278],[],4,1,"",1,"",[],4,10,7,0,0,"",1792,"","",16,0,"","","",0,"","",13,13,0
89,1025,[7253],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",58,0,"","","",0,"","",10,3,0
90,1026,[7317],[],4,1,"",1,"",[],3,0,7,0,0,"",1792,"","",16,0,1,"",1,0,"","",13,13,0
91,1027,[7334],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
92,1028,[7319],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",38,0,"","","",0,"","",10,3,0
93,1029,[7351],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",90,0,"","","",0,"",1,3,10,0
94,1030,[7352],[],4,1,"",1,"",[],3,0,13,90,0,1,1792,"","",18,0,"","","",0,"",1,12,4,0
95,1031,[7344],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",55,0,"","","",0,"","",10,3,0
96,1032,[7645],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",50,0,"","","",0,"","",10,3,0
97,1033,[7316],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
98,1034,[7651],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",20,0,"","","",0,"",1,10,3,0
99,1035,[7656],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",49,0,"","","",0,"",1,10,3,0
100,1036,[7669],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
101,1037,[7711],[],12,1,"",1,"",[],4,0,13,0,0,1,1792,"","",18,0,"","","",0,"","",12,4,0
102,1038,[],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
103,1039,[7722],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",0,0,1,"","",0,"","",10,3,0
104,1040,[7805],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,0,0,"","","",0,"","",13,13,0
105,1041,[7805],[],4,1,"","","",[],1,0,2,180,0,"",1792,"",1,0,0,"","","",0,"","",13,13,0
106,1042,[7753],[],3,1,"",1,"",[],1,0,13,0,0,1,1792,"","",83,0,1,1,1,0,"","",2,6,100
107,1043,[7827],[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",0,0,1,1,1,0,"","",13,13,100
108,1044,[7858],[],3,1,"","","",[],3,0,13,0,0,"",1792,"","",46,0,"","","",0,"",1,10,3,0
109,1045,[7886],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
110,1046,[7887],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
111,1047,[7900],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",18,0,"","","",5500,"","",13,13,0
112,1048,[7353],[],4,1,"",1,"",[],3,0,13,90,0,1,1792,"","",18,0,"","","",0,"",1,12,4,0
113,1049,[7960],[],2,1,"",1,1,[],1,0,13,0,0,"",1792,"","",45,0,1,"",1,0,"","",2,6,100
114,1050,[8047],[],4,1,"",1,"",[],1,0,13,0,0,1,1792,"","",74,0,"","",1,10000,1,1,12,4,100
115,1051,[8073],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",9,0,"","",1,0,"","",13,13,0
116,1052,[7317],[],4,1,"",1,"",[],3,0,7,0,0,"",1792,"","",16,0,"","",1,0,1,"",13,13,0
117,1053,[8092],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",30,0,"","",1,0,1,1,13,13,0
118,1054,[8093],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",60,0,"","",1,0,1,1,13,13,0
119,1055,[8079],[],2,1,"",1,"",[],1,0,13,0,0,"",1792,"","",68,0,"","","",3000,1,"",2,4,0
120,1056,[8069],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",46,0,"","",1,0,1,"",13,13,0
121,1057,[8104],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
122,1058,[8112],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
123,1059,[8112],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",46,0,"","","",0,"",1,10,3,0
124,1060,[8112],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",60,0,"","","",0,"",1,10,3,0
125,1061,[8266],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",10,0,"","","",0,"","",2,6,200
126,1062,[8285],[],3,1,"",1,"",[],3,0,13,0,0,"",1792,"","",50,0,"","","",0,"","",3,10,0
127,1063,[8352],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",64,0,"","","",0,"","",10,3,0
128,1064,[8349],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
129,1065,[8605],[],2,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
130,1066,[8350],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
131,1067,[8389],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",45,0,"","",1,1700,1,1,13,13,0
132,1068,[6621],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",17,0,"","",1,0,1,"",13,13,0
133,1069,[8436],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",51,0,"","","",0,1,"",13,13,0
134,1070,[8509],[],3,1,"",1,"",[],1,0,13,0,0,1,1792,"","",110,0,"","","",0,"","",10,3,0
135,1071,[8564],[],12,1,"",1,"",[],3,0,13,0,0,1,1792,"","",44,0,"","",1,0,"",1,2,12,0
136,1072,[8351],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
137,1073,[8094],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",120,0,"","",1,0,1,1,13,13,0
138,1074,[5843],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",22,0,"","",1,0,1,"",13,13,0
139,1075,[8095],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",83,0,"","",1,0,1,1,13,13,0
140,1076,[8778],[],12,1,"",1,"",[],1,0,13,0,0,"",1792,"","",50,0,1,"","",0,"","",12,4,0
141,1077,[8629],[],3,1,"",1,"",[],3,0,13,0,0,1,1792,"","",36,0,"","","",0,"",1,10,3,0
142,1078,[8779],[],12,1,"",1,"",[],1,0,13,0,0,"",1792,"","",50,0,1,"","",0,"","",12,4,0
143,1079,[8836],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
144,1080,[8837],[],2,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"","",13,13,0
145,1081,[8838],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
146,1082,[8839],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",27,0,"","",1,0,"","",13,13,0
147,1083,"[8851,8855,8859,8863,8867,8871]",[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",4,0,"","","",0,"","",13,13,0
148,1084,"[8852,8856,8860,8864,8872]",[],4,1,"","","","[1,5,3,5,3]",1,0,2,0,0,"",1792,"","",4,0,"","","",0,"","",13,13,0
149,1085,"[8853,8857,8861,8865,8873]",[],4,1,"","","","[10,2,4,1,4]",1,0,2,0,0,"",1792,"","",4,0,"","","",0,"","",13,13,0
150,1086,[8887],[],3,1,"",1,"",[],1,0,7,0,0,1,1792,"","",37,0,"","",1,0,"",1,13,13,0
151,1087,[6203],[],3,1,"",1,"",[],3,0,13,0,0,"",1792,"","",37,0,"","",1,0,"",1,2,6,200
152,1088,[6202],[],4,1,"",1,"",[],1,0,13,0,0,"",1792,"","",26,0,"","",1,0,1,1,13,13,0
