"rownum","Id","MonsterVarietiesKey","i32_20","rid_24","bool_40","bool_41","i32_42","i32_46","bool_50","rid_51","rid_67","i32_83","bool_87","i32_88","string_92","bool_100","bool_101","i32_102"
51,1057,1400,158,"","",1,0,0,1,"","",0,"",0,"","",1,0
52,1058,1412,158,"",1,1,0,0,1,"","",0,1,0,"raging_spirits",1,1,0
53,1059,1443,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
54,1060,1497,158,"","","",0,0,"","","",0,"",0,"","","",0
55,1062,"",148,"","",1,0,0,"","","",0,"",0,"","",1,0
56,1063,1496,158,"","",1,0,0,"","","",0,"",0,"","",1,0
57,1064,"",151,"","",1,0,0,"","","",0,"",0,"","",1,0
58,1065,"",149,"","",1,0,0,"","","",0,"",0,"","",1,0
59,1066,"",150,"","",1,0,0,"","","",0,"",0,"","",1,0
60,1067,1506,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
61,1068,1507,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
62,1069,1508,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
63,1072,1509,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
64,1073,1510,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
65,1074,1498,158,"","",1,0,0,"","","",0,"",0,"","",1,0
66,1075,1499,158,"","",1,0,0,"","","",0,"",0,"","",1,0
67,1076,1500,158,"","",1,0,0,"","","",0,"",0,"","",1,0
68,1077,1524,158,"","","",0,0,"","","",0,"",0,"","",1,0
69,1079,1111,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
70,1080,1526,158,"","",1,0,0,"","","",0,"",0,"runes",1,1,0
71,1081,1528,158,"","",1,0,0,"","","",0,"",0,"","",1,0
72,1082,1529,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
73,1083,1634,158,"","",1,0,0,1,"","",0,1,0,"","",1,0
74,1084,1746,158,"",1,1,0,0,"","","",0,"",0,"essence_skeletons",1,1,0
75,1085,1747,158,"",1,1,0,0,"","","",0,"",0,"essence_skeletons",1,1,0
76,1086,1748,158,"",1,1,0,0,"","","",0,"",0,"essence_skeletons",1,1,0
77,1087,618,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
78,1088,1749,158,"",1,1,0,0,"","","",0,1,0,"bone_walls",1,1,0
79,1091,1764,158,"",1,1,0,0,"","","",0,1,0,"raging_fire",1,1,0
80,1092,"",153,8934,1,1,0,0,"","","",0,"",0,"executioner_minions",1,1,0
81,1093,1739,158,"","",1,0,0,"","","",0,"",0,"hysteria_orbs",1,1,0
82,1094,1652,158,"",1,1,0,0,"","","",0,1,0,"my_orb",1,1,0
83,1095,1817,158,"",1,1,0,0,"","","",0,"",0,"proxy_chieftain",1,1,0
84,1096,1818,158,"",1,1,0,0,"","","",0,"",0,"monkey_business",1,1,0
85,1097,1809,158,"","",1,0,0,"","","",0,"",0,"","",1,0
86,1098,1820,158,"","",1,0,0,"","","",0,"",0,"","",1,0
87,1099,1821,158,"","",1,0,0,1,"","",0,1,0,"charging_ox",1,1,0
88,1100,1832,158,"","",1,0,0,"","","",0,"",0,"my_cat",1,1,0
89,1101,"",154,"","",1,0,0,"","","",0,1,0,"my_demons",1,1,0
90,1102,1805,158,"","",1,0,0,"","","",0,"",0,"","",1,0
91,1103,1819,158,"","",1,0,0,"","","",0,"",0,"","",1,0
92,1104,1831,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
93,1105,386,158,"","",1,0,0,"","","",0,"",0,"clones",1,1,0
94,1106,1744,158,"",1,1,0,0,"","","",0,"",0,"reaper","",1,0
95,1107,"",155,"","",1,0,0,"","","",0,"",0,"minions",1,1,0
96,1108,"",156,"","",1,0,0,"","","",0,"",0,"minions",1,1,0
97,1109,"",157,"","",1,0,0,"","","",0,"",0,"minions",1,1,0
