"rownum","BaseItemTypesKey","i32_16","rid_20","rid_36"
294,4142,1,4,""
295,4143,1,7,""
296,4179,1,8,""
297,4181,1,2,""
298,4201,1,1,""
299,4188,1,2,""
300,4176,1,3,""
301,4205,1,2,""
302,4177,1,2,""
303,4175,1,2,""
304,4198,1,2,""
305,4239,1,8,""
306,4199,1,4,""
307,4186,1,2,""
308,4196,1,2,""
309,4178,1,4,""
310,4145,1,7,""
311,4146,1,9,""
312,4147,1,9,""
313,4149,1,2,""
314,4219,1,0,""
315,4236,1,1,""
316,4195,1,3,""
317,4244,1,2,""
318,4210,1,2,""
319,4209,1,2,""
320,4212,1,2,""
321,4158,1,9,""
322,4241,1,2,""
323,4151,1,3,""
324,4152,1,2,""
325,4157,1,4,""
326,4159,1,2,""
327,4155,1,2,""
328,4242,1,2,""
329,4160,1,2,""
330,4163,1,1,""
331,4161,1,2,""
332,4243,1,2,""
333,4222,1,0,""
334,4499,1,2,""
335,104,1,2,""
336,4162,1,2,""
337,4148,1,2,""
338,32,1,2,""
339,132,1,2,""
