"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]_64","AOFile","bool_88","[i32]_89","AppearanceChestsKey","ChestsKey","[rid]_137","i32_153","bool_157","i32_158"
17,"UniqueCorruptionVaalStrongboxCasterLow",1731,3222,33,[4506],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",86,[],58,1,16777216
18,"UniqueCorruptionVaalStrongboxCasterHigh",1731,3222,0,[4506],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",87,[],58,1,16777216
19,"UniqueCorruptionVaalStrongboxCasterExpedition",1731,3222,0,[4506],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[7236,0]","",87,[],58,1,16777216
20,"UniqueCorruptionVaalStrongboxArmourer",1731,3222,58,[4506],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",89,[],59,1,16777216
21,"UniqueCorruptionVaalStrongboxArmourerLow",1731,3222,33,[4506],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",90,[],59,1,16777216
22,"UniqueCorruptionVaalStrongboxArmourerHigh",1731,3222,0,[4506],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",91,[],59,1,16777216
23,"UniqueCorruptionVaalStrongboxArmourerExpedition",1731,3222,0,[4506],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[7236,0]","",91,[],59,1,16777216
24,"UniqueCorruptionVaalStrongboxJeweller",1731,3222,58,[4506],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",93,[],56,1,16777216
25,"UniqueCorruptionVaalStrongboxJewellerLow",1731,3222,33,[4506],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",94,[],56,1,16777216
26,"UniqueCorruptionVaalStrongboxJewellerHigh",1731,3222,0,[4506],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",95,[],56,1,16777216
27,"UniqueCorruptionVaalStrongboxJewellerExpedition",1731,3222,0,[4506],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[7236,0]","",95,[],56,1,16777216
28,"UniqueRevivingEzomyteStrongboxLarge",1732,3223,0,"[7238,7511]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",103,[],60,"",0
29,"UniqueRevivingEzomyteStrongboxLargeLow",1732,3223,0,"[7238,7511]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",104,[],60,"",0
30,"UniqueRevivingEzomyteStrongboxLargeHigh",1732,3223,0,"[7238,7511]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",105,[],60,"",0
31,"UniqueRevivingEzomyteStrongboxLargeExpedition",1732,3223,0,"[7238,7511]",0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedEzomyteStrongbox/BuriedStrongboxEzomyteTomb01.ao",1,[],"",105,[],60,"",0
32,"UniqueRevivingEzomyteStrongboxBasic",1732,3223,0,"[7238,7511]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",107,[],60,"",0
33,"UniqueRevivingEzomyteStrongboxBasicLow",1732,3223,0,"[7238,7511]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",108,[],60,"",0
34,"UniqueRevivingEzomyteStrongboxBasicHigh",1732,3223,0,"[7238,7511]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",109,[],60,"",0
35,"UniqueRevivingEzomyteStrongboxBasicExpedition",1732,3223,0,"[7238,7511]",0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedEzomyteStrongbox/BuriedStrongboxEzomyteTomb01.ao",1,[],"",109,[],60,"",0
36,"UniqueVentorsMysteryBox",1733,3224,0,"[13418,13419,13420,13422]",1000,[],"Metadata/Chests/StrongBoxes/VentorStrongbox/VentorStrongbox.ao",1,[13421],"",99,[],60,"",0
37,"UniqueVentorsMysteryBoxExpedition",1733,3224,0,"[13418,13419,13420,13422]",0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVentorsStrongbox/BuriedStrongboxVentorsGamble.ao",1,[13421],"",99,[],60,"",0
38,"UniqueEtchedBeetleChestOrnate",1734,3225,51,"[13476,13478]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",111,[],60,"",0
39,"UniqueEtchedBeetleChestOrnateLow",1734,3225,20,"[13476,13478]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",112,[],60,"",0
40,"UniqueEtchedBeetleChestOrnateHigh",1734,3225,0,"[13476,13478]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",113,[],60,"",0
41,"UniqueEtchedBeetleChestOrnateExpedition",1734,3225,0,"[13476,13478]",0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedLargeEtchedBeetleBoss/BuriedLargeEtchedBeetleBossChest01.ao",1,[],"",113,[],60,"",0
42,"UniqueEtchedBeetleChestJeweller",1734,3225,51,"[13477,13479]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",93,[],60,"",0
43,"UniqueEtchedBeetleChestJewellerLow",1734,3225,20,"[13477,13479]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",94,[],60,"",0
44,"UniqueEtchedBeetleChestJewellerHigh",1734,3225,0,"[13477,13479]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",95,[],60,"",0
45,"UniqueEtchedBeetleChestJewellerExpedition",1734,3225,0,"[13477,13479]",0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedLargeEtchedBeetleBoss/BuriedLargeEtchedBeetleBossChest01.ao",1,[],"",95,[],60,"",0
