"rownum","rid_0","[rid]_16","[rid]_32","[rid]_48","bool_64","bool_65"
257,20649,[20649],[],[],1,""
258,20956,"[20952,20953,20954]",[],[],"",""
259,20943,[20955],[],[],"",""
260,20944,[20948],[],[],"",""
261,20945,[20949],[],[],"",""
262,20946,[20950],[],[],"",""
263,20947,[20951],[],[],"",""
264,21310,[21345],[],[],"",""
265,21307,[21389],[],[],"",""
266,21390,[21390],[],[],"",""
267,21098,[21099],[],[],"",""
268,21116,[21117],[],[],"",""
269,21114,[21115],[],[],"",""
270,21216,[21217],[],[],"",""
271,21660,[21732],[],[],"",""
272,22128,[22127],[],[],"",""
273,22130,[437],[],[],"",""
274,22166,[127],[],[],"",1
275,22167,[113],[],[],"",1
276,22168,[110],[],[],"",1
277,22179,[24],[],[],"",1
278,22185,[118],[],[],"",1
279,22188,[562],[],[],"",1
280,22190,[568],[],[],"",1
281,22191,[22192],[],[],"",1
282,22325,[24],[],[],"",""
283,22326,[84],[],[],"",""
284,22354,[84],[],[],"",1
285,22355,[423],[],[],"",1
286,22356,[70],[],[],"",1
287,22357,[135],[],[],"",1
288,22358,[144],[],[],"",1
289,22481,[22482],[],[],"",""
290,1407,[22485],[],[],1,""
291,8409,[22584],[],[],"",""
292,22662,[22661],[],[],"",""
