"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
10,"KillExileRanger2",1,10,"Thena Moga","Thena Moga","Thena Moga","Thena Moga","디나 모가","Thena Moga","Фина Мога","Thena Moga","Thena Moga","緹也娜．摩迦",1,0,"",1,"",1
11,"KillExileTemplar2",1,11,"Tinevin Highdove","Tinevin Highdove","Tinevin Hochtaub","Tinevin Highdove","타인빈 하이도브","Tinevin Highdove","Тиневий Боголюб","Tinevin Highdove","Tinevin Highdove","媞娜雯．愛朵",1,0,"",1,"",1
12,"KillExileDuelist1",1,12,"Torr Olgosso","Torr Olgosso","Torr Olgosso","Torr Olgosso","토르 오글로소","Torr Olgosso","Торр Олгоссон","Torr Olgosso","Torr Olgosso","托爾．歐柯索",1,0,"",1,"",1
13,"HaveUniqueShieldStrInt4",8,13,"Aegis Aurora","Aegis Aurora","Aegis Aurora","Aegis Aurora","비호의 오로라","Égide Aurora","Эгида Авроры","Égida de la Aurora","Aegis Aurora","幻芒聖盾",1,1,"",1,"",1
14,"HaveUniqueHelmetDex5",8,21,"Alpha's Howl","Alpha's Howl","Heulen des Alphas","Alpha's Howl","우두머리의 울부짖음","Uivo do Alfa","Вой Альфы","Aullido del Alfa","Alpha's Howl","極地之嗥",1,1,"",1,"",1
15,"HaveUniqueBodyStrInt2",8,29,"Ambu's Charge","Ambu's Charge","Ambus Ansturm","Ambu's Charge","앰부의 돌진","Investida de Ambu","Раж Амбу","Carga de Ambu","Ambu's Charge","安姆布的戰甲",1,1,"",1,"",1
16,"HaveUniqueRing3",8,37,"Andvarius","Andvarius","Andvarius","Andvarius","앤드바리우스","Andvarius","Андвариус","Andvarius","Andvarius","貪慾之記",1,1,"",1,"",1
17,"HaveUniqueGlovesInt3",8,45,"Asenath's Gentle Touch","Asenath's Gentle Touch","Asenaths sanfte Berührung","Asenath's Gentle Touch","아세나스의 부드러운 손길","Toque Gentil de Asenath","Мягкое касание Азенат","Toque Gentil de Asenath","Asenath's Gentle Touch","安賽娜絲的安撫之語",1,1,"",1,"",1
18,"HaveUniqueBodyDex3",8,53,"Ashrend","Ashrend","Aschefetzen","Ashrend","부서진 잿더미","Ashrend","Пепел","Desgarro de Cenizas","Ashrend","燼裂",1,1,"",1,"",1
19,"HaveUniqueGlovesStrDex2",8,61,"Aurseize","Aurseize","Goldgreifer","Aurseize","아우르시즈","Aurseize","Златохваты","Agarre de Oro","Aurseize","奧爾之握",1,1,"",1,"",1
20,"HaveUniqueRapier2",8,69,"Aurumvorax","Aurumvorax","Aurumvorax","Aurumvorax","금빛 욕망","Aurumvorax","Аурумворакс","Aurumvorax","Aurumvorax","金獾",1,1,"",1,"",1
21,"HaveUniqueQuiver1",8,77,"Blackgleam","Blackgleam","Schwarzglut","Blackgleam","검은 섬광","Brilho-Negro","Отсвет мрака","Brillo Negro","Blackgleam","黑炎之芒",1,1,"",1,"",1
22,"HaveUniqueBootsInt4",8,85,"Bones of Ullr","Bones of Ullr","Gebeine des Ullr","Bones of Ullr","울러의 뼈","Ossos de Ullr","Кости Уллра","Huesos de Ullr","Bones of Ullr","烏勒爾之骨",1,1,"",1,"",1
23,"HaveUniqueOneHandMace1",8,93,"Brightbeak","Brightbeak","Goldschnabel","Brightbeak","밝은 부리","Ponta-Clara","Сияющий клюв","Pico Brillante","Brightbeak","光耀之錘",1,1,"",1,"",1
24,"HaveUniqueQuiver2",8,101,"Broadstroke","Broadstroke","Schicksalsschlag","Broadstroke","파괴의 살","Golpe-Largo","Тугой натяг","Impacto Amplio","Broadstroke","疾襲之鋒",1,1,"",1,"",1
25,"HaveUniqueBodyDex5",8,109,"Bronn's Lithe","Bronn's Lithe","Bronns Geschmeidigkeit","Bronn's Lithe","브론의 융통성","Agilidade de Bronn","Гибкость Бронна","Agilidad de Bronn","Bronn's Lithe","布隆的影衣",1,1,"",1,"",1
26,"HaveUniqueShieldStr3",8,117,"Chernobog's Pillar","Chernobog's Pillar","Chernobogs Pfeiler","Chernobog's Pillar","체르노보그의 기둥","Pilar de Chernobog","Столп Чернобога","Pilar de Chernobog","Chernobog's Pillar","邪神之柱",1,1,"",1,"",1
27,"HaveUniqueShieldDex2",8,125,"Crest of Perandus","Crest of Perandus","Perandus' Wappen","Crest of Perandus","페란두스의 문양","Brasão de Perandus","Щит семьи Перандус","Escudo de Armas Perandus","Crest of Perandus","普蘭德斯之徽",1,1,"",1,"",1
28,"HaveUniqueHelmetInt1",8,133,"Crown of Thorns","Crown of Thorns","Dornenkrone","Crown of Thorns","가시 왕관","Coroa de Espinhos","Терновый венец","Corona de Espinas","Crown of Thorns","刺棘之冠",1,1,"",1,"",1
29,"HaveUniqueAmulet13",8,141,"Daresso's Salute","Daresso's Salute","Daressos Salut","Daresso's Salute","다레소의 경례","Saudação de Daresso","Салют Дарессо","El Coraje de Daresso","Daresso's Salute","德瑞索的戰禮",1,1,"",1,"",1
30,"HaveUniqueBootsStrDex2",8,149,"Darkray Vectors","Darkray Vectors","Dunkelschimmervektoren","Darkray Vectors","어두운 빛의 궤적","Vetores do Raio Sombrio","Несущие тьму","Vectores de Rayos Oscuros","Darkray Vectors","暗雷",1,1,"",1,"",1
31,"HaveUniqueBow5",8,157,"Darkscorn","Darkscorn","Dunkelhohn","Darkscorn","어두운 냉소","Desdém Sombrio","Чёрная насмешка","Desdén Oscuro","Darkscorn","夜吟",1,1,"",1,"",1
32,"HaveUniqueRing12",8,165,"Death Rush","Death Rush","Todeseile","Death Rush","죽음의 재촉","Pressa da Morte","Смертельная спешка","Frenesí de Muerte","Death Rush","亡者呼喚",1,1,"",1,"",1
33,"HaveUniqueBow3",8,173,"Death's Harp","Death's Harp","Harfe des Todes","Death's Harp","죽음의 하프","Arpa da Morte","Арфа смерти","Arpa de la Muerte","Death's Harp","冥使之琴",1,1,"",1,"",1
34,"HaveUniqueGlovesInt2",8,181,"Doedre's Tenure","Doedre's Tenure","Doedres Talent","Doedre's Tenure","도이드리의 임기","Mandato de Doedre","Власть Доэдре","La Ocupación de Doedre","Doedre's Tenure","德瑞的精神手套",1,1,"",1,"",1
35,"HaveUniqueRing5",8,189,"Dream Fragments","Dream Fragments","Traumfragmente","Dream Fragments","꿈의 조각","Fragmentos dos Sonhos","Осколки снов","Fragmentos de Sueño","Dream Fragments","夢語之痕",1,1,"",1,"",1
36,"HaveUniqueHelmetStr1",8,197,"Ezomyte Peak","Ezomyte Peak","Höhepunkt der Ezomyten","Ezomyte Peak","에조미어의 면갑","Pico Ezomita","Триумф эзомита","Cresta Ezomita","Ezomyte Peak","艾茲麥的榮光",1,1,"",1,"",1
37,"HaveUniqueGlovesDexInt2",8,205,"Facebreaker","Facebreaker","Gesichtsbrecher","Facebreaker","페이스브레이커","Quebra-Cara","Мордобои","Rompe Caras","Facebreaker","毀面者",1,1,"",1,"",1
38,"HaveUniqueBodyDex4",8,213,"Foxshade","Foxshade","Fuchsschatten","Foxshade","여우 그림자","Sombra da Raposa","Лисья тень","Sombra de Zorro","Foxshade","狐毛鎧",1,1,"",1,"",1
39,"HaveUniqueTwoHandMace2",8,221,"Geofri's Baptism","Geofri's Baptism","Geofris Taufe","Geofri's Baptism","조프리의 세례","Batismo de Geofri","Благословение Джофри","Bautismo de Geofri","Geofri's Baptism","吉爾菲的淨罪之錘",1,1,"",1,"",1
40,"HaveUniqueRing11",8,229,"Gifts from Above","Gifts from Above","Geschenke des Himmels","Gifts from Above","하늘에서 내려준 선물","Presentes do Céu","Дары небес","Regalos del cielo","Gifts from Above","神賜",1,1,"",1,"",1
41,"HaveUniqueHelmetDex3",8,237,"Goldrim","Goldrim","Goldkranz","Goldrim","금테","Aro de Ouro","Золотой колпак","Armazón dorado","Goldrim","金縷帽",1,1,"",1,"",1
42,"HaveUniqueBootsDex2",8,245,"Goldwyrm","Goldwyrm","Goldwyrm","Goldwyrm","황금 아룡","Wyrm Dourada","Золотые полозы","Wyrm dorado","Goldwyrm","龍炎足跡",1,1,"",1,"",1
43,"HaveUniqueDagger4",8,253,"Heartbreaker","Heartbreaker","Herzensbrecher","Heartbreaker","심장 분쇄기","Destruidor de Corações","Губитель сердец","Rompecorazones","Heartbreaker","裂心刃",1,1,"",1,"",1
44,"HaveUniqueHelmetDex2",8,261,"Heatshiver","Heatshiver","Heißkalt","Heatshiver","열기와 오한","Calafrio Quente","Лёд и пламень","Temblores de Calor","Heatshiver","寒焰",1,1,"",1,"",1
45,"HaveUniqueTwoHandMace1",8,269,"Hrimnor's Hymn","Hrimnor's Hymn","Hrimnors Hymne","Hrimnor's Hymn","흐림노르의 찬가","Hino de Hrimnor","Гимн Гримнора","Himno de Hrimnor","Hrimnor's Hymn","雷姆諾的奪命樂具",1,1,"",1,"",1
46,"HaveUniqueBow7",8,277,"Infractem","Infractem","Infractem","Infractem","침범자","Infractem","Инфрактам","Infractem","Infractem","是我神創世",1,1,"",1,"",1
47,"HaveUniqueShieldDex1",8,285,"Kaltenhalt","Kaltenhalt","Kaltenhalt","Kaltenhalt","붙잡은 냉기","Kaltenhalt","Кальтенхалт","Fin del Frío","Kaltenhalt","冰霜之鏡",1,1,"",1,"",1
48,"HaveUniqueAmulet5",8,293,"Karui Ward","Karui Ward","Karui-Wacht","Karui Ward","카루이의 수호","Proteção Karui","Оберег каруи","Guarda Karui","Karui Ward","卡魯的戰徽",1,1,"",1,"",1
49,"HaveUniqueClaw4",8,301,"Last Resort","Last Resort","Letzter Ausweg","Last Resort","최후의 수단","Último Recurso","Последнее средство","Último Recurso","Last Resort","終息",1,1,"",1,"",1
50,"HaveUniqueBodyStrInt4",8,309,"Lightbane Raiment","Lightbane Raiment","Lichtbann-Gewand","Lightbane Raiment","사그라든 빛의 의복","Vestes da Ruína da Luz","Ряса отступника","Atuendo del Fin de la Luz","Lightbane Raiment","魔道之衣",1,1,"",1,"",1
51,"HaveUniqueTwoHandAxe3",8,317,"Limbsplit","Limbsplit","Gliedspalter","Limbsplit","사지 분할기","Desmembrador","Рукоруб","Troza Miembros","Limbsplit","斷罪",1,1,"",1,"",1
52,"HaveUniqueBow1",8,325,"Lioneye's Glare","Lioneye's Glare","Löwenauges Glanz","Lioneye's Glare","라이온아이의 섬광","Deslumbre de Lioneye","Взор Львиного глаза","La Mirada de Lioneye","Lioneye's Glare","獅眼的戰弓",1,1,"",1,"",1
53,"HaveUniqueBootsStrDex1",8,333,"Lioneye's Paws","Lioneye's Paws","Löwenauges Pranken","Lioneye's Paws","라이온아이의 발","Patas de Lioneye","Лапы Львиного глаза","Las Garras de Lioneye","Lioneye's Paws","獅眼的鬥志",1,1,"",1,"",1
54,"HaveUniqueGlovesStr1",8,341,"Lochtonial Caress","Lochtonial Caress","Lochtoniale Schmeichler","Lochtonial Caress","록토니얼의 손길","Cuidado Lochtonial","Ласка Локтона","Caricia lochtonial","Lochtonial Caress","意識之緣",1,1,"",1,"",1
55,"HaveUniqueHelmetDexInt1",8,349,"Malachai's Simula","Malachai's Simula","Malachais Simula","Malachai's Simula","말라카이의 위장막","Simula de Malachai","Личина Малахая","Máscara de Malachai","Malachai's Simula","瑪拉凱的祭具",1,1,"",1,"",1
56,"HaveUniqueTwoHandMace3",8,357,"Marohi Erqi","Marohi Erqi","Marohi Erqi","Marohi Erqi","마로히 에르키","Marohi Erqi","Марохи Эрки","Marohi Erqi","Marohi Erqi","爾奇的巨靈之錘",1,1,"",1,"",1
57,"HaveUniqueShieldInt2",8,365,"Matua Tupuna","Matua Tupuna","Matua Tupuna","Matua Tupuna","마투아 투푸나","Matua Tupuna","Матуа Тапуна","Matua Tupuna","Matua Tupuna","遠祖之顱",1,1,"",1,"",1
58,"HaveUniqueWand2",8,373,"Midnight Bargain","Midnight Bargain","Übereinkunft bei Mitternacht","Midnight Bargain","심야의 교섭","Barganha da Meia-Noite","Полуночная сделка","Trato a Medianoche","Midnight Bargain","冥約",1,1,"",1,"",1
59,"HaveUniqueDagger2",8,381,"Mightflay","Mightflay","Machthäuter","Mightflay","강력한 가죽칼","Esfola Poderosa","Свежеватель","Desolladora Poderosa","Mightflay","力量獵刃",1,1,"",1,"",1
60,"HaveUniqueWand1",8,389,"Moonsorrow","Moonsorrow","Mondkummer","Moonsorrow","달의 슬픔","Pesar da Lua","Тоска луны","Lamentos de Luna","Moonsorrow","泣月",1,1,"",1,"",1
61,"HaveUniqueClaw2",8,397,"Mortem Morsu","Mortem Morsu","Mortem Morsu","Mortem Morsu","고통스러운 죽음","Mortem Morsu","Укус смерти","Mortem Morsu","Mortem Morsu","噬魂之牙",1,1,"",1,"",1
62,"HaveUniqueGlovesDexInt1",8,405,"Ondar's Clasp","Ondar's Clasp","Ondars Umklammerung","Ondar's Clasp","온다르의 걸쇠","Fivela de Ondar","Объятия Ондара","Agarre de Ondar","Ondar's Clasp","恩德的迅影",1,1,"",1,"",1
63,"HaveUniqueBelt3",8,413,"Perandus Blazon","Perandus Blazon","Perandus' Zeichen","Perandus Blazon","페란두스 문장","Brasão de Perandus","Герб рода Перандус","Blasón de Perandus","Perandus Blazon","普蘭德斯之印",1,1,"",1,"",1
64,"HaveUniqueStaff3",8,421,"Pillar of the Caged God","Pillar of the Caged God","Pfeiler des gefangenen Gottes","Pillar of the Caged God","갇힌 신의 기둥","Pilar do Deus Aprisionado","Столп пленённого бога","Pilar del Dios Encarcelado","Pillar of the Caged God","囚神杵",1,1,"",1,"",1
65,"HaveUniqueTwoHandSword4",8,429,"Queen's Decree","Queen's Decree","Anordnung der Königin","Queen's Decree","여왕의 법령","Decreto da Rainha","Царский указ","El Decreto de la Reina","Queen's Decree","威嚴之刃",1,1,"",1,"",1
66,"HaveUniqueBow4",8,437,"Quill Rain","Quill Rain","Stachelregen","Quill Rain","화살 비","Chuva de Penas","Ливень перьев","Lluvia de Plumas","Quill Rain","驟雨之弦",1,1,"",1,"",1
67,"HaveUniqueBootsInt5",8,445,"Rainbowstride","Rainbowstride","Regenbogenschreiter","Rainbowstride","무지갯빛 발걸음","Passo do Arco-Íris","Радужная поступь","Andar Arcoíris","Rainbowstride","虹幕",1,1,"",1,"",1
68,"HaveUniqueShieldInt1",8,453,"Rathpith Globe","Rathpith Globe","Rathpith-Globus","Rathpith Globe","래스피스 구체","Globo de Rathpith","Вал мёртвых","Orbe de médula","Rathpith Globe","獻祭之心",1,1,"",1,"",1
69,"HaveUniqueTwoHandAxe2",8,461,"Reaper's Pursuit","Reaper's Pursuit","Schnitters Jagd","Reaper's Pursuit","수확자의 추적","Perseguição do Ceifador","Погоня жнеца","Persecución del segador","Reaper's Pursuit","死神的取魂器",1,1,"",1,"",1
70,"HaveUniqueOneHandSword1",8,469,"Redbeak","Redbeak","Rotspitze","Redbeak","붉은 부리","Bico Vermelho","Красный клюв","Pico rojo","Redbeak","赤紅短刃",1,1,"",1,"",1
71,"HaveUniqueTwoHandSword1",8,477,"Rigvald's Charge","Rigvald's Charge","Rigwalds Ansturm","Rigvald's Charge","리그월드의 돌진","Investida de Rigvald","Клич Ригвальда","Carga de Rigvald","Rigvald's Charge","瑞佛的奮戰長劍",1,1,"",1,"",1
72,"HaveUniqueHelmetInt4",8,485,"Rime Gaze","Rime Gaze","Starrender Reif","Rime Gaze","냉기의 시선","Olhar da Geada","Ледяной взгляд","Mirada de escarcha","Rime Gaze","酷寒的凝視",1,1,"",1,"",1
73,"HaveUniqueShieldStrInt5",8,493,"Rise of the Phoenix","Rise of the Phoenix","Auferstehung des Phönix","Rise of the Phoenix","불사조의 비상","Ascensão da Fênix","Возрождение Феникса","Renacer del fénix","Rise of the Phoenix","烈炎之翼",1,1,"",1,"",1
74,"HaveUniqueGlovesInt1",8,501,"Sadima's Touch","Sadima's Touch","Sadimas Berührung","Sadima's Touch","사디마의 손길","Toque de Sadima","Касание Садимы","Toque de Sadima","Sadima's Touch","獵寶者的護手",1,1,"",1,"",1
75,"HaveUniqueRing13",8,509,"Shavronne's Revelation","Shavronne's Revelation","Shavronnes Offenbarung","Shavronne's Revelation","샤브론의 계시","Revelação de Shavronne","Откровение Шавронн","La revelación de Shavronne","Shavronne's Revelation","薛朗的啟示之環",1,1,"",1,"",1
76,"HaveUniqueBodyInt1",8,517,"Shavronne's Wrappings","Shavronne's Wrappings","Shavronnes Umhüllung","Shavronne's Wrappings","샤브론의 겉옷","Vestimenta de Shavronne","Наряд Шавронн","Los ropajes de Shavronne","Shavronne's Wrappings","薛朗的護身長袍",1,1,"",1,"",1
77,"HaveUniqueTwoHandSword2",8,525,"Shiversting","Shiversting","Stechender Frost","Shiversting","오한의 검","Ferroada Arrepiante","Дрожащее жало","Aguja escalofriante","Shiversting","寒光劍",1,1,"",1,"",1
78,"HaveUniqueAmulet3",8,533,"Sidhebreath","Sidhebreath","Sidhe-Hauch","Sidhebreath","요정의 숨결","Sopro dos Sidhe","Дыхание Ши","Aliento de hada","Sidhebreath","魔靈之符",1,1,"",1,"",1
79,"HaveUniqueBow2",8,541,"Silverbranch","Silverbranch","Silberzweig","Silverbranch","은빛 가지","Ramo Argênteo","Серебряная ветвь","Rama plateada","Silverbranch","幻銀之弦",1,1,"",1,"",1
80,"HaveUniqueBootsDex1",8,549,"Sin Trek","Sin Trek","Sündenmarsch","Sin Trek","죄악의 여정","Jornada do Pecado","Поход Греха","Travesía de pecados","Sin Trek","敏銳思維",1,1,"",1,"",1
81,"HaveUniqueGlovesStrDex1",8,557,"Slitherpinch","Slitherpinch","Schlangengriff","Slitherpinch","뱀의 손길","Aperto Escorregadio","Ползучий хват","Pellizco de víbora","Slitherpinch","蒼蟒之鱗",1,1,"",1,"",1
82,"HaveUniqueBodyInt7",8,565,"Soul Mantle","Soul Mantle","Seelenmantel","Soul Mantle","영혼의 외투","Manto d'Alma","Покров духа","Manto de almas","Soul Mantle","祖靈之約",1,1,"",1,"",1
83,"HaveUniqueAmulet1",8,573,"Stone of Lazhwar","Stone of Lazhwar","Stein von Lazhwar","Stone of Lazhwar","라즈워의 보석","Pedra de Lazhwar","Камень Лазвара","Piedra de Lazhwar","Stone of Lazhwar","拉茲瓦的靈石",1,1,"",1,"",1
84,"HaveUniqueStaff2",8,581,"Taryn's Shiver","Taryn's Shiver","Taryns Schauder","Taryn's Shiver","타린의 오한","Tremor de Taryn","Дрожь Тарина","Temblor de Taryn","Taryn's Shiver","塔林的顫慄之語",1,1,"",1,"",1
85,"HaveUniqueTwoHandAxe4",8,589,"The Blood Reaper","The Blood Reaper","Blutschnitter","The Blood Reaper","피의 수확자","O Ceifador de Sangue","Кровавый жнец","Guadaña de sangre","The Blood Reaper","竭血之鐮",1,1,"",1,"",1
86,"HaveUniqueHelmetStrDex4",8,597,"The Bringer of Rain","The Bringer of Rain","Regenbringer","The Bringer of Rain","비의 인도자","O Portador da Chuva","Несущий дождь","El Portador de Lluvia","The Bringer of Rain","祭禮之雨",1,1,"",1,"",1
87,"HaveUniqueBodyInt3",8,605,"The Covenant","The Covenant","Der Schwur","The Covenant","계약","O Pacto","Договор","El Pacto","The Covenant","血誓",1,1,"",1,"",1
88,"HaveUniqueAmulet7",8,613,"The Ignomon","The Ignomon","Das Ignomon","The Ignomon","이그노몬","O Ignomon","Гномон","El Ignomon","The Ignomon","烈陽徽記",1,1,"",1,"",1
89,"HaveUniqueHelmetStrDex1",8,621,"The Peregrine","The Peregrine","Wanderfalke","The Peregrine","송골매","O Peregrino","Чужестранец","El Peregrino","The Peregrine","疾風的沉思",1,1,"",1,"",1
90,"HaveUniqueStaff1",8,629,"The Searing Touch","The Searing Touch","Sengende Berührung","The Searing Touch","이글거리는 손길","O Toque Lancinante","Опаляющее касание","El Toque Abrasador","The Searing Touch","熾炎之使",1,1,"",1,"",1
91,"HaveUniqueSceptre1",8,637,"The Supreme Truth","The Supreme Truth","Allwaltende Wahrheit","The Supreme Truth","지고의 진리","A Verdade Suprema","Высшая истина","La Verdad Suprema","The Supreme Truth","無上箴言",1,1,"",1,"",1
92,"HaveUniqueGlovesDexInt3",8,645,"Thunderfist","Thunderfist","Donnerfaust","Thunderfist","천둥 주먹","Punho do Trovão","Кулаки грома","Puño de Trueno","Thunderfist","轟天雷",1,1,"",1,"",1
93,"HaveUniqueRapier1",8,653,"Tipua Kaikohuru/The Goddess Bound","Tipua Kaikohuru/The Goddess Bound","Tipua Kaikohuru/Die gefesselte Göttin","Tipua Kaikohuru/The Goddess Bound","티푸아 카이코후루/속박된 여신","Tipua Kaikohuru/O Vínculo da Deusa","Типуа Каикохуру / Запрет богини","Tipua Kaikohuru/La Diosa Apresada","Tipua Kaikohuru/The Goddess Bound","女神的靈縛",1,1,"",1,"",1
94,"HaveUniqueDagger3",8,661,"Ungil's Gauche","Ungil's Gauche","Ungils linke Hand","Ungil's Gauche","웅힐의 투박함","Desastre de Ungil","Кинжал Ангила","Torpeza de Ungil","Ungil's Gauche","恩吉爾的叉刃",1,1,"",1,"",1
95,"HaveUniqueAmulet15",8,669,"Victario's Acuity","Victario's Acuity","Victarios Schärfe","Victario's Acuity","빅타리오의 예리함","Acuidade de Victario","Проницательность Виктарио","Agudeza de Victario","Victario's Acuity","維多里奧的捷思",1,1,"",1,"",1
96,"HaveUniqueWand3",8,677,"Void Battery","Void Battery","Leerenspeicher","Void Battery","공허 충전기","Bateria do Vácuo","Накопитель пустоты","Batería de Vacío","Void Battery","潛能魔棒",1,1,"",1,"",1
97,"HaveUniqueAmulet14",8,685,"Voll's Devotion","Voll's Devotion","Volls Hingabe","Voll's Devotion","볼의 헌신","Devoção de Voll","Благочестие Волла","Devoción de Voll","Voll's Devotion","福爾的忠誠之符",1,1,"",1,"",1
98,"HaveUniqueBootsStrInt1",8,693,"Wake of Destruction","Wake of Destruction","Pfad der Zerstörung","Wake of Destruction","파괴의 경야","Despertar da Destruição","Зачинщики разрушений","Despertar de la Destrucción","Wake of Destruction","覆滅之兆",1,1,"",1,"",1
99,"HaveUniqueBootsInt2",8,701,"Wanderlust","Wanderlust","Wanderlust","Wanderlust","방랑벽","Sede de Viajar","Странники","Deseos del Viajero","Wanderlust","苦行之履",1,1,"",1,"",1
100,"HaveUniqueBootsInt1",8,709,"Wondertrap","Wondertrap","Wunderschreiter","Wondertrap","기적의 발판","Armadilha Maravilhosa","Ведущие к чудесам","Trampa Milagrosa","Wondertrap","迴光之跡",1,1,"",1,"",1
101,"HaveUniqueBelt1",8,717,"Wurm's Molt","Wurm's Molt","Wurms Häutung","Wurm's Molt","웜의 허물","Couro de Wurm","Кожа Змия","Muda de Sierpe","Wurm's Molt","龍蛻之帶",1,1,"",1,"",1
102,"HaveUniqueBodyInt8",8,725,"Zahndethus' Cassock","Zahndethus' Cassock","Zahndethus' Talar","Zahndethus' Cassock","잔데투스의 성직복","Batina de Zahndetos","Сутана Зандитуса","Sotana de Zahndethus","Zahndethus' Cassock","札德圖斯的聖衣",1,1,"",1,"",1
103,"UseCurrencyIdentification",1,733,"Scroll of Wisdom","Scroll of Wisdom","Identifikationsrolle","Scroll of Wisdom","감정 주문서","Pergaminho de Sabedoria","Свиток мудрости","Pergamino de Sabiduría ","Scroll of Wisdom","知識卷軸",1,2,"",1,"",1
104,"UseCurrencyPortal",1,734,"Portal Scroll","Portal Scroll","Portalrolle","Portal Scroll","포탈 주문서","Pergaminho de Portal","Свиток портала","Pergamino de Portal","Portal Scroll","傳送卷軸",1,2,"",1,"",1
105,"UseCurrencyUpgradeToMagic",1,735,"Orb of Transmutation","Orb of Transmutation","Umwandlungssphäre","Orb of Transmutation","진화의 오브","Orbe de Transmutação","Сфера превращения","Orbe de Transmutación ","Orb of Transmutation","蛻變石",1,2,"",1,"",1
106,"UseCurrencyAddModToMagic",1,736,"Orb of Augmentation","Orb of Augmentation","Aufwertungssphäre","Orb of Augmentation","확장의 오브","Orbe da Ampliação","Сфера усиления","Orbe de Aumento","Orb of Augmentation","增幅石",1,2,"",1,"",1
107,"UseCurrencyArmourQuality",1,737,"Armourer's Scrap","Armourer's Scrap","Plattnerstück","Armourer's Scrap","방어구 장인의 고철","Sucata do Armeiro","Деталь доспеха","Restos de Armaduras","Armourer's Scrap","護甲片",1,2,"",1,"",1
108,"UseCurrencyWeaponQuality",1,738,"Blacksmith's Whetstone","Blacksmith's Whetstone","Schleifstein","Blacksmith's Whetstone","대장장이의 숫돌","Amolador do Ferreiro","Точильный камень","Piedra de Afilar","Blacksmith's Whetstone","磨刀石",1,2,"",1,"",1
109,"UseCurrencyRerollMagic",1,739,"Orb of Alteration","Orb of Alteration","Veränderungssphäre","Orb of Alteration","변화의 오브","Orbe de Alteração","Сфера перемен","Orbe de Alteración ","Orb of Alteration","改造石",1,2,"",1,"",1
110,"UseCurrencyRerollSocketColours",1,740,"Chromatic Orb","Chromatic Orb","Färbungssphäre","Chromatic Orb","색채의 오브","Orbe Cromático","Цветная сфера","Orbe Cromático ","Chromatic Orb","幻色石",1,2,"",1,"",1
