"rownum","MetamorphosisRewardTypesKey","i32","Description","i32"
131,11,3,"Drops additional Essences",31505
132,12,1,"Drops additional Essences",31505
133,12,2,"Drops additional Essences",31505
134,12,3,"Drops additional Essences",31505
135,12,4,"Drops additional Essences",31505
136,13,0,"Drops additional Map Fragments",53880
137,13,1,"Drops additional Map Fragments",53880
138,13,2,"Drops additional Map Fragments",53880
139,13,3,"Drops additional Map Fragments",53880
140,13,4,"Drops additional Map Fragments",53880
141,13,5,"Drops additional Map Fragments",53880
142,13,6,"Drops additional Map Fragments",53880
143,13,7,"Drops additional Map Fragments",53880
144,14,0,"Drops additional Rusted Scarabs",12589
145,14,1,"Drops additional Polished Scarabs",11653
146,14,2,"Drops additional Gilded Scarabs",11361
147,15,0,"Drops additional Fossils",32278
148,15,1,"Drops additional Fossils",32278
149,15,2,"Drops additional Fossils",32278
150,15,3,"Drops additional Fossils",32278
151,15,4,"Drops additional Fossils",32278
152,15,5,"Drops additional Fossils",32278
153,15,6,"Drops a Resonator",59711
154,16,0,"Drops additional Currency Items",46310
155,16,1,"Drops additional Currency Items",46310
156,16,2,"Drops additional Currency Items",46310
157,16,3,"Drops additional Currency Items",46310
158,16,4,"Drops additional Currency Items",46310
159,16,5,"Drops additional Currency Items",46310
160,16,6,"Drops additional Currency Items",46310
161,16,7,"Drops additional Currency Items",46310
162,16,8,"Drops additional Currency Items",46310
163,16,9,"Drops additional Currency Items",46310
164,16,10,"Drops additional Currency Items",46310
165,16,11,"Drops additional Currency Items",46310
166,16,12,"Drops additional Currency Items",46310
167,16,13,"Drops additional Currency Items",46310
168,16,14,"Drops additional Currency Items",46310
169,16,15,"Drops additional Currency Items",46310
170,16,16,"Drops additional Currency Items",46310
171,16,17,"Drops additional Currency Items",46310
172,16,18,"Drops additional Currency Items",46310
173,16,19,"Drops additional Currency Items",46310
174,16,20,"Drops additional Currency Items",46310
175,16,21,"Drops additional Currency Items",46310
176,17,0,"Drops additional Divination Cards",56804
177,17,1,"Drops additional Divination Cards",56804
178,17,2,"Drops additional Divination Cards",56804
179,17,3,"Drops additional Divination Cards",56804
180,17,4,"Drops additional Divination Cards",56804
181,17,5,"Drops additional Divination Cards",56804
182,17,6,"Drops additional Divination Cards",56804
183,17,7,"Drops additional Divination Cards",56804
184,18,0,"Drops additional Currency Items",46310
185,18,1,"Drops additional Currency Items",46310
186,18,2,"Drops additional Currency Items",46310
187,18,3,"Drops additional Currency Items",46310
188,18,4,"Drops additional Currency Items",46310
189,18,5,"Drops additional Quality Gems",38458
190,18,6,"Drops additional Quality Gems",38458
191,18,7,"Drops a Map Item",11032
192,18,8,"Drops additional Rare Jewellery",24009
193,18,9,"Drops additional Rare Armour",17718
194,18,10,"Drops additional Rare Weapons",21643
195,18,11,"Drops additional Rare Weapons",21643
196,19,0,"Drops additional Rare Talismans",61261
197,19,1,"Drops additional Rare Talismans",61261
198,19,2,"Drops additional Rare Talismans",61261
199,19,3,"Drops additional Rare Talismans",61261
200,19,4,"Drops additional Rare Talismans",61261
201,19,5,"Drops additional Rare Talismans",61261
202,19,6,"Drops additional Rare Talismans",61261
203,19,7,"Drops additional Rare Talismans",61261
204,19,8,"Drops additional Rare Talismans",61261
205,19,11,"Drops additional Rare Talismans",61261
206,19,12,"Drops additional Rare Talismans",61261
207,19,13,"Drops a Talisman Unique Item",28849
208,20,0,"Drops Enchanted Gloves",33220
209,20,1,"Drops Enchanted Boots",39486
210,20,2,"Drops an Enchanted Helmet",45212
211,20,3,"Drops an Offering to the Goddess",6531
212,20,4,"Drops an Enchanted Helmet",45212
213,21,1,"Drops additional Legion Incubators",3359
214,21,2,"Drops additional Legion Incubators",3359
215,21,3,"Drops additional Legion Incubators",3359
216,21,4,"Drops additional Legion Incubators",3359
217,22,0,"Drops additional Blight Oils",21332
218,22,1,"Drops additional Blight Oils",21332
219,22,2,"Drops additional Blight Oils",21332
220,22,3,"Drops additional Blight Oils",21332
221,22,4,"Drops additional Blight Oils",21332
222,22,5,"Drops additional Blight Oils",21332
223,22,6,"Drops additional Blight Oils",21332
224,22,7,"Drops additional Blight Oils",21332
225,22,8,"Drops additional Blight Oils",21332
226,22,9,"Drops additional Blight Oils",21332
227,22,10,"Drops additional Blight Oils",21332
228,22,11,"Drops additional Blight Oils",21332
229,22,12,"Drops additional Blight Oils",21332
230,22,13,"Drops additional Blight Oils",21332
231,22,14,"Drops additional Blight Oils",21332
232,22,15,"Drops additional Blight Oils",21332
233,22,16,"Drops a Blighted Map",5439
234,22,17,"Drops a Blighted Map",5439
235,22,18,"Drops a Blighted Map",5439
236,22,19,"Drops a Blighted Map",5439
237,22,20,"Drops a Blighted Map",5439
238,22,21,"Drops a Blighted Map",5439
239,22,22,"Drops a Blighted Map",5439
240,22,23,"Drops a Blighted Map",5439
241,22,24,"Drops a Blighted Map",5439
242,22,25,"Drops a Blighted Map",5439
243,22,26,"Drops a Blighted Map",5439
244,22,27,"Drops a Blighted Map",5439
245,22,28,"Drops a Blighted Map",5439
246,22,29,"Drops a Blighted Map",5439
247,22,30,"Drops a Blighted Map",5439
248,22,31,"Drops a Blighted Map",5439
249,23,0,"Drops additional Catalysts",14784
250,23,1,"Drops additional Catalysts",14784
251,23,2,"Drops additional Catalysts",14784
252,22,32,"Drops a Map with a Blight Encounter",23869
253,21,5,"Drops additional Legion Splinters",15116
254,3,10,"Drops additional Maps",40327
255,24,0,"Drops a Turbulent Catalyst",38920
256,25,0,"Drops an Imbued Catalyst",46106
257,26,0,"Drops an Abrasive Catalyst",3026
258,27,0,"Drops a Tempering Catalyst",51849
259,28,0,"Drops a Fertile Catalyst",32976
260,29,0,"Drops a Prismatic Catalyst",40095
261,30,0,"Drops an Intrinsic Catalyst",32428
262,31,0,"Drops a Noxious Catalyst",53246
263,32,0,"Drops an Accelerating Catalyst",10952
264,33,0,"Drops an Unstable Catalyst",46515
