"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
26,"Church","Church","Église","Kirche","教会","교회","Igreja","Церковь","Iglesia","Church","教堂"
27,"ClosedBetaSupporterPacks","Closed Beta","Bêta fermée","Geschlossene Beta","クローズドベータ","비공개 베타","Beta Fechado","Закрытая бета","Beta cerrada","โคลสเบต้า","封測"
28,"Coastal","Coastal","Côtier","Küste","海岸","해안가","Costal","Побережье","Costa","Coastal","濱海"
29,"Coliseum","Coliseum","Colisée","Kolosseum","コロシアム","대경기장","Coliseu","Колизей","Coliseo","Coliseum","競技鬥服"
30,"Core2021","Core 2021","Universel (2021)","Universell 2021","コア 2021","2021 코어","Principais 2021","Основные 2021","Universal 2021","คอร์ 2021","2021 熔核之心"
31,"Courthouse","Courthouse","Prétoire","Gericht","裁判所","법원","Tribunal","Суды","Juzgado","Courthouse","失序教院"
32,"Crypt","Crypt","Crypte","Krypta","地下聖堂","지하실","Cripta","Склеп","Cripta","Crypt","靜謐陵墓"
33,"Crystal","Crystal","Cristal","Kristall","結晶","수정","Cristal","Кристальные","Cristal","Crystal","水晶"
34,"Cursed","Cursed","Maudit","Piratenfluch","呪い","저주받은","Amaldiçoado","Проклятые","Maldito","Cursed","惡咒邪術"
35,"Darkprism","Darkprism","Prisme-nuit","Dunkelprisma","ダークプリズム","검은 분광","Prisma Sombrio","Тёмное отражение","Prisma oscuro","Darkprism","黑曜稜石"
36,"Delirium","Delirium","Delirium","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","Delirium","譫妄異域"
37,"Delve","Delve","Delve","Delve","デルヴ","탐광","Delve","Спуск","Delve","Delve","掘獄"
38,"Demonic","Demonic","Démoniaque","Dämonisch","悪魔","악마","Demoníaco","Демонические","Demoníaco","Demonic","惡魔"
39,"Desert","Desert","Désert","Wüste","砂漠","사막","Deserto","Пустыня","Desierto","Desert","沙漠"
40,"Dragon","Dragon","Dragon","Drache","ドラゴン","용","Dracônico","Драконьи","Dragón","Dragon","龍"
41,"Dungeon","Dungeon","Donjon","Verlies","地下牢","던전","Masmorra","Подземелье","Mazmorra","Dungeon","地牢"
42,"Effects","Effects","Effets","Effekte","エフェクト","이펙트","Efeitos","Эффекты","Efectos","Effects","特效"
43,"Elder","Elder","Ancien","Ältester","エルダー","엘더","Ancião","Древний","Antiguo","Elder","異界尊師"
44,"Elemental","Elemental","Élémentaire","Elementar","元素","원소","Elemental","Стихийные","Elemental","Elemental","元素"
45,"Encampment","Encampment","Campement","Lager","野営地","야영지","Acampamento","Лагерь","Campamento","Encampment","營地"
46,"Ethercraft","Ethercraft","Forgéther","Ätherschmiede","イーサクラフト","창공 공예","Éter","Эфириалы","Etermancia","Ethercraft","乙太工藝"
47,"Excavation","Excavation","Excavation","Grabungsstätte","採掘場","발굴터","Escavação","Раскопки","Excavación","Excavation","挖掘場"
48,"Exiles","Exiles","Exilés","Verbannte","エグザイル","유배자","Exilados","Изгнанники","Exiliados","Exiles","流亡者"
49,"Expedition","Expedition","Expédition","Expedition","エクスペディション","탐험","Expedition","Экспедиция","Expedition","Expedition","死境探險"
50,"Eyrie","Eyrie","Aquila","Adlergarde","エアリー","창공의 날개","Eyrie","Орлиное гнездо","Nido de halcones","Eyrie","傲世翔鷹"
51,"Fairgraves","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴス","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","Fairgraves","費爾船長"
52,"Fire","Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","Fire","火"
53,"FireAndIce","Fire and Ice","Feu et Glace","Feuer und Eis","火と氷","화염 및 얼음","Fogo e Gelo","Огонь и лёд","Hielo y fuego","Fire and Ice","冰與火"
54,"Forest","Forest","Forêt","Wald","森林","숲","Floresta","Лес","Bosque","Forest","森林"
55,"ForsakenMasters","Forsaken Masters","Maîtres réprouvés","Vergessene Meister","見捨てられたマスター","버림받은 대가들","Mestres Esquecidos","Отверженные Мастера","Maestros errantes","Forsaken Masters","被遺忘的大師"
56,"Frontier","Frontier","Frontière","Grenzland","フロンティア","개척자","Fronteiras","Рубеж","Frontera","Frontier","失落邊境"
57,"Gardens","Gardens","Jardins","Gärten","庭園","정원","Jardins","Сады","Jardines","Gardens","花園"
58,"Ghostflame","Ghostflame","Spectreflamme","Geisterflamme","鬼火","유령불꽃","Fantasmagórico","Призрачное пламя","Llamas fantasmales","Ghostflame","青焰"
59,"Glimmerwood","Glimmerwood","Boiscintillant","Düsterwald","グリマーウッド","미광의 숲","Madeira Cintilante","Мерцающий лес","Bosque encantado","Glimmerwood","微熠之森"
60,"Gloom","Gloom","Lugubre","Finsternis","グルーム","순흑","Sombrio","Мгла","Penumbra","Gloom","隱忍"
61,"Goddess","Goddess","Déesse","Göttin","女神","여신","Deusa","Богиня","Diosa","Goddess","女神"
62,"Golden","Golden","Doré","Golden","黄金","황금","Dourado","Золотые","Dorado","Golden","黃金"
63,"Gore","Gore","Gore","Blut","血塗れ","선혈","Sanguinolento","Кровавые","Sangriento","Gore","鮮血"
64,"Gothic","Gothic","Gothique","Gothic","ゴシック","고딕","Gótico","Готические","Gótico","Gothic","歌德"
65,"Halloween","Halloween","Halloween","Halloween","ハロウィン","핼러윈","Halloween","Хэллоуин","Halloween","ฮาโลวีน","萬聖節"
66,"Harbinger","Harbinger","Harbinger","Harbinger","ハービンジャー","선구자","Harbinger","Предвестник","Harbinger","Harbinger","神諭"
67,"Harmonious","Harmonious","Harmonieux","Harmonisch","ハーモニアス","조화로운","Harmonioso","Равновесие","Armonioso","Harmonious","和煦太祥"
68,"Harmony","Harmony","Harmonie","Harmonie","調和","조화","Harmonia","Гармония","Armonía","Harmony","萬物和諧"
69,"Havenwood","Havenwood","Havrebois","Waldelf","ヘイヴンウッド","안식의 숲","Outonal","Тихая роща","Santuario del bosque","Havenwood","庇護之木"
70,"Heist","Heist","Heist","Heist","ハイスト","강탈","Heist","Кража","Heist","Heist","劫盜同盟"
71,"HideoutItem","Hideout Item","Objet de Repaire","Versteck-Gegenstand","隠れ家アイテム","은신처 아이템","Item de Refúgio","Предметы для убежища","Objeto de guarida","ไอเทมที่ซ่อน","藏身處物品"
72,"Highgate","Highgate","Hautevoie","Hohenpforte","ハイゲート","하이게이트","Highgate","Македы","Atalaya","Highgate","統治者之殿"
73,"Ice","Ice","Glace","Eis","氷","얼음","Gelo","Ледяные","Hielo","Ice","冰"
74,"Illusionist","Illusionist","Illusionniste","Illusionist","奇術師","환상술사","Ilusionista","Иллюзионист","Ilusionista","Illusionist","神幻術士"
75,"Infernal","Infernal","Inferal","Höllisch","地獄","지옥불","Infernal","Адские","Infernal","Infernal","煉獄"
76,"Innocence","Innocence","Innocence","Innocence","イノセンス","이노센스","Innocence","Невинность","Inocencia","Innocence","善"
77,"Jingwei","Jingwei","Jingwei","Jingwei","女娃","정위","Jingwei","Jingwei","Jingwei","Jingwei","精衛"
78,"Karui","Karui","Karui","Karui","カルイ","카루이","Karui","Каруи","Karui","Karui","卡魯"
79,"Labyrinth","Labyrinth","Labyrinthe","Labyrinth","ラビリンス","미궁","Labirinto","Лабиринт","Laberinto","Labyrinth","帝王迷宮"
80,"Legion","Legion","Légion","Legion","リージョン","군단","Legion","Легион","Legion","Legion","戰亂之殤"
81,"Library","Library","Bibliothèque","Bibliothek","図書館","도서관","Biblioteca","Библиотека","Biblioteca","Library","圖書館"
82,"Lightning","Lightning","Foudre","Blitz","雷","번개","Relampejante","Молнии","Relámpago","Lightning","雷霆"
83,"Maraketh","Maraketh","Maraketh","Maraketh","マラケス","마라케스","Maraketh","Маракеты","Maraketh","Maraketh","馬拉克斯"
84,"MidnightPact","Midnight Pact","Pacte de minuit","Mitternachtspakt","ミッドナイトパクト","심야의 서약","Pacto da Meia-Noite","Полночная сделка","Pacto de medianoche","Midnight Pact","血夜冥約"
85,"Miracle","Miracle","Miracle","Wunder","奇跡","기적","Milagroso","Чудесные","Milagroso","Miracle","魔幻奇蹟"
86,"Miscellaneous","Miscellaneous","Divers","Sonstige","その他","기타","Genérico","Разное","Misceláneo","อื่นๆ","其它"
87,"Nature","Nature","Nature","Natur","自然","자연","Natureza","Природа","Naturaleza","Nature","自然"
88,"Necrotic","Necrotic","Nécrotique","Nekrotisch","ネクロティック","괴사","Necrótico","Некротические","Necrótico","Necrotic","亡者之息"
89,"OpenBetaSupporterPacks","Open Beta","Bêta ouverte","Offene Beta","オープンベータ","오픈 베타","Beta Aberto","Открытая бета","Beta abierta","โอเพ่นเบต้า","公測"
90,"Oriath","Oriath","Oriath","Oriath","オリアス","오리아스","Oriath","Ориат","Oriath","Oriath","奧瑞亞"
91,"Ornate","Ornate","Orné","Verziert","華美","화려한","Ornamentado","Резные","Ornamentado","Ornate","華麗"
92,"Ossuary","Ossuary","Ossuaire","Ossuarium","納骨堂","납골당","Ossuário","Костница","Osario","Ossuary","葬骨禮堂"
93,"Polar","Polar","Polaire","Polar","ポーラー","극빙","Polarizado","Полярные","Polar","Polar","極光"
94,"Polaris","Polaris","Polaris","Polaris","北極星","폴라리스","Polaris","Полярность","Polaris","Polaris","北極星辰"
95,"Primeval","Primeval","Primitif","Urzeitlich","原始","원시","Primitivo","Первобытные","Primitivo","Primeval","原始"
96,"PureLight","Pure Light","Lumière pure","Reines Licht","純粋な光","순수한 빛","Luz Pura","Чистый свет","Pura luz","Pure Light","淨光"
97,"Purple","Purple","Violet","Violett","紫","보라색","Púrpura","Фиолетовые","Morado","Purple","紫諱"
98,"Reliquary","Reliquary","Reliquaire","Reliquienkammer","聖廟","성유물 보관실","Relicário","Реликварий","Relicario","Reliquary","聖物"
99,"Ritual","Ritual","Ritual","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","Ritual","邪靈祭祀"
100,"Ruins","Ruins","Ruines","Ruinen","遺跡","유적","Ruínas","Руины","Ruinas","Ruins","遺跡"
101,"Sarn","Sarn","Sarn","Sarn","サーン","사안","Sarn","Сарн","Sarn","Sarn","薩恩"
102,"Sceptre","Sceptre","Sceptre","Zepter","杖","셉터","Cetro","Перст","Cetro","Sceptre","幽魂"
103,"Scourge","Scourge","Scourge","Scourge","スカージ","스컬지","Scourge","Нашествие","Scourge","Scourge","轉世災魘"
104,"SinAndInnocence","Sin and Innocence","Péché et Innocence","Sin und Innocence","シンとイノセンス","씬과 이노센스","Pecado e Inocência","Грех и Невинность","Inocencia y Pecado","Sin and Innocence","罪和善"
105,"SlavePens","Slave Pens","Enclos aux esclaves","Sklavenpferche","奴隷収容所","노예 감호소","Senzalas","Узилище","Jaulas de esclavos","Slave Pens","奴役監牢"
106,"Steampunk","Steam-Powered","Thermique","Dampfbetrieben","蒸気機関","증기 동력","A Vapor","Паровые","Steampunk","Steam-Powered","蒸氣泰坦"
107,"Stygian","Stygian","Stygien","Schauerlich","スティギアン","명계","Estígio","Стигийские","Estigio","Stygian","冥河"
108,"Sunprism","Sunprism","Prisme-soleil","Sonnenprisma","サンプリズム","태양 분광","Prisma Solar","Светлое отражение","Prisma solar","Sunprism","烈陽稜石"
109,"Synthesis","Synthesis","Synthesis","Synthesis","シンセシス","결합","Synthesis","Синтез","Synthesis","Synthesis","尋夢追憶"
110,"Temple","Temple","Temple","Tempel","寺院","사원","Templo","Храмовые","Templo","Temple","神殿"
111,"Thaumaturgy","Thaumaturgy","Thaumaturgie","Thaumaturgie","魔術","마석학","Taumaturgia","Техномант","Taumaturgia","Thaumaturgy","奇幻魔術"
112,"Twilight","Twilight","Crépuscule","Zwielicht","トワイライト","황혼","Crepúsculo","Сумрачные","Crepúsculo","Twilight","傾城暮光"
113,"UltimateChaos","Ultimate Chaos","Chaos ultime","Ultimatives Chaos","混沌の極み","극한의 혼돈","Caos Supremo","Безграничный Хаос","Caos definitivo","Ultimate Chaos","最終混沌"
114,"Ultimatum","Ultimatum","Ultimatum","Ultimatum","ウルティメイタム","결전","Ultimatum","Ультиматум","Ultimatum","Ultimatum","最後通牒"
115,"Utility","Utility","Utilitaire","Nützliches","ユーティリティ","특수","Utilitário","Функциональные","Utilidad","ของใช้สอย","功能"
116,"Vaal","Vaal","Vaal","Vaal","ヴァール","바알","Vaal","Ваал","Vaal","Vaal","瓦爾"
117,"Verdant","Verdant","Verdoyant","Grünend","新緑","신록","Verdejante","Зелёные","Verde","Verdant","自然之力"
118,"Viper","Viper","Vipère","Viper","ヴァイパー","독사","Víbora","Аспид","Víbora","Viper","至尊毒蛇"
119,"Warlord","Warlord","Seigneur de guerre","Kriegsfürst","大将軍","전쟁군주","Senhor da Guerra","Вождь","Señor de la guerra","Warlord","總督軍"
120,"Zenith","Zenith","Zénith","Zenit","天頂","북극성","Zenith","Зенит","Cenit","Zenith","極盛之尊"
121,"Sentinel","Sentinel","Sentinel","Sentinel","センチネル","파수꾼","Sentinel","Дозор","Sentinel","Sentinel","守望號令"
122,"Teleporter","Teleporter","Téléporteur","Teleporter","テレポーター","순간이동기","Teleportador","Телепортатор","Teletransportador","เครื่องเทเลพอร์ต","傳送裝置"
123,"Games","Games","Jeux","Spiele","ゲーム","게임","Jogos","Игры","Juegos","เกม","娛樂"
124,"Sanctum","Sanctum","Sanctum","Sanctum","サンクタム","성역","Sanctum","Святилище","Sanctum","Sanctum","禁忌聖域"
