"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid"
31,3842,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"",""
32,3843,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"",""
33,3856,"[0,1,3,5,7,9,11,13]",2649,[],8449,8,[],[],[],"","",""
34,3857,"[0,1,3,5,7,9,11,13]",2649,[],8449,8,[],[],[],"","",""
35,3858,"[0,1,3,5,7,9,11,13]",2649,[],8449,8,[],[],[],"","",""
36,3859,"[0,1,3,5,7,9,11,13]",2649,[],8449,8,[],[],[],"","",""
37,3793,"[0,1,10,15,20,25]",16163,[],"",6,[],[],[],"","",""
38,3823,"[0,50,100,150,200,250,300,350]",572,[],573,8,[],[],[],"","",""
39,3824,"[0,50,100,150,200,250,300,350]",578,[],579,8,[],[],[],"","",""
40,3825,"[0,50,100,150,200,250,300,350]",575,[],576,8,[],[],[],"","",""
41,3826,"[0,100,200,300,400,500,600,700]",16939,[],605,8,[],[],[],"","",""
42,3827,"[0,50,100,150,200,250,300,350]",15412,[],17304,8,[],[],[],"","",""
43,3968,"[0,50,100,150,200]",779,[],153,5,[],[],[],"","",""
44,3967,"[0,50,100,150,200]",779,[],153,5,[],[],[],"","",""
45,3966,"[0,50,100,150,200]",779,[],153,5,[],[],[],"","",""
46,3969,"[0,50,100,150,200]",779,[],153,5,[],[],[],"","",""
47,4695,"[0,10,20,30,40,50,60]",16173,[],"",7,[],[],[],"","",""
48,3794,"[0,12,20,29]",16807,[48],"",4,[],[],[],1,"",""
49,3795,"[0,14,22,32]",16807,[48],"",4,[],[],[],1,"",""
50,3799,"[0,16,24,35]",16807,[48],"",4,[],[],[],1,"",""
51,3797,"[0,18,26,38]",16807,[48],"",4,[],[],[],1,"",""
52,3994,"[0,20,50,100]",16687,[],"",4,[],[],[],"","",""
53,3996,"[0,20,50,100]",16687,[],"",4,[],[],[],"","",""
54,3995,"[0,20,50,100]",16687,[],"",4,[],[],[],"","",""
55,3997,"[0,20,50,100]",16687,[],"",4,[],[],[],"","",""
56,3811,"[0,30,65,100,150,200]",25,[],"",6,[],[],[],"","",""
57,4026,"[0,10,20,30]",0,[],"",4,[],[],[],1,"",""
58,4012,"[0,25,50,75]",242,[],177,4,[],[],[],"","",""
59,3948,"[0,100000,1000000]",16264,[],"",3,[],[],[],1,"",""
60,4063,"[0,18,26,38]",17442,[50],"",4,[],[],[],1,"",""
61,4060,"[0,16,24,35]",17442,[50],"",4,[],[],[],1,"",""
62,4062,"[0,12,20,29]",17442,[50],"",4,[],[],[],1,"",""
63,4061,"[0,14,22,32]",17442,[50],"",4,[17494],[1],[4],1,"",""
64,4052,"[1,34,70,90,120]",17639,[],123,5,[],[],[],"","",""
65,4083,"[0,22,55,88]",242,[],177,4,[],[],[],"","",""
66,4084,"[0,22,55,88]",242,[],177,4,[],[],[],"","",""
67,4085,"[0,22,55,88]",242,[],177,4,[],[],[],"","",""
68,4086,"[0,22,55,88]",242,[],177,4,[],[],[],"","",""
69,4116,"[0,1]",366,[],"",2,[],[],[],"","",""
70,4815,"[0,1,2]",367,[],"",3,[],[],[],"","",""
71,4269,"[0,1000,5000,10000,15000,20000]",240,[],116,6,[],[],[],"","",""
72,4227,"[0,18,26,38,38]",18357,"[52,53]",18291,5,"[18433,18433,17790,18433]","[1,1,1,1]","[3,4,5,5]",1,"",""
73,4224,"[0,16,24,35]",18357,"[52,53]",18291,4,[],[],[],1,"",""
74,4226,"[0,12,20,29]",18357,"[52,53]",18291,4,[],[],[],1,"",""
75,4225,"[0,14,22,32]",18357,"[52,53]",18291,4,[],[],[],1,"",""
76,4296,"[0,10,20,50,100,150,200]",18504,[],"",7,[],[],[],"","",""
77,4310,"[1,1]",0,[],"",2,[],[],[],"","",""
78,4354,[],"",[],"",0,[],[],[],"",1,18817
79,4394,"[0,2000,5000]",18880,[],"",3,[],[],[],"","",""
80,4396,"[0,2000,5000]",18880,[],"",3,[],[],[],"","",""
81,4397,"[0,2000,5000]",18880,[],"",3,[],[],[],"","",""
82,4398,"[0,2000,5000]",18880,[],"",3,[],[],[],"","",""
83,4393,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70]",0,[],"",15,[],[],[],"","",""
84,4318,"[0,22,29,35,35]",18975,"[54,55]",18973,5,[],[],[],1,"",""
85,4315,"[0,24,32,38]",18975,"[54,55]",18973,4,[],[],[],1,"",""
86,4317,"[0,20,26]",18975,"[54,55]",18973,3,[],[],[],1,"",""
