"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
27,"1_2_13",5,30,12,4,0,94,0,20,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0,100,100,18
28,"1_2_14_2",5,30,12,4,0,94,0,10,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0,100,100,18
29,"1_2_14_3",5,30,12,4,0,94,0,7,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0,100,100,18
30,"1_2_15",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,0,15,51,18,0,100,100,18
31,"1_3_1",5,14,0,4,0,94,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,51,18,0,100,100,16
32,"Act3Default",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,100,16
33,"1_3_18_1",5,30,12,4,0,94,0,7,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0,100,100,16
34,"1_3_18_2",5,30,12,4,0,94,0,7,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0,100,100,16
35,"1_4_1",5,14,0,4,0,94,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,100,100,18,20,0,0,100,100,15
36,"Act4Default",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,100,15
37,"Act4Dreams",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,8,51,18,0,100,100,15
38,"Act4Belly",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0,100,100,15
39,"1_5_1",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0,100,100,14
40,"Act5FirstHalfDefault",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,100,14
41,"Act5SecondHalfDefault",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,100,14
42,"2_6_1",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,15,0,15,100,100,0,51,18,0,100,100,14
43,"Act6EarlyDefault",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,15,0,15,100,100,12,51,18,0,100,100,14
44,"Act6Default",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,12,0,15,100,100,18,51,18,0,100,100,14
45,"Act7Default",5,30,12,4,0,94,0,20,10,0,0,9,0,13,10,0,10,0,12,0,14,100,100,18,51,18,0,100,100,12
46,"2_7_5_map",5,30,12,4,0,94,0,20,10,0,0,9,0,13,10,0,10,0,12,0,14,100,100,0,51,18,0,100,100,12
47,"2_7_3",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,15,0,15,100,0,0,51,18,0,100,100,12
48,"Act8Default",5,30,12,4,0,94,0,20,10,0,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0,100,100,12
49,"Act9Default",5,30,12,4,0,94,0,20,10,0,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,100,12
50,"Act10Default",5,30,12,4,0,94,0,20,10,0,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,100,12
51,"2_10_9",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,100,12
52,"2_10_6",5,30,12,4,0,94,0,20,10,0,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,0
53,"Incursion",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
54,"Delve_Hub",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
55,"Delve_Endless",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
56,"Delve_Main",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
57,"Delve_Empty",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
58,"Delve1",5,10,10,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
59,"Delve2",5,15,15,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
60,"Delve3",5,20,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
61,"Delve4",5,25,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
62,"Delve5",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
63,"DelveCity1",5,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
64,"DelveCity2",5,15,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
65,"DelveCity3",5,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
66,"DelveCity4",5,25,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
67,"DelveCity5",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
68,"BetrayalStoryVault",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
69,"BetrayalLaboratory",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
70,"BetrayalSafeHouse",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0,100,0
71,"BetrayalMastermindFight",0,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
72,"Synthesis_Main2",5,15,10,4,0,94,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
73,"Synthesis_Main3",5,30,20,4,0,94,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
74,"Synthesis_Main4",5,30,20,4,0,94,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0
75,"Synthesis_Main5",5,30,20,4,0,94,0,20,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,51,18,0,0,0,0
76,"Synthesis_Single2",0,15,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"Synthesis_Single3",0,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"SynthesisBoss",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"MapAtziri",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,66,36,0,0,100,0
80,"MapTierLess",5,24,16,4,0,94,0,6,0,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,100,10
81,"OldAtlasDefault",5,24,16,4,0,94,0,16,8,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,100,10
82,"UniqueMapCowardsTrial",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"MapTier1_7Unique",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"UniqueMapMaelstromOfChaos",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
85,"MapTier3_3Unique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"UniqueMapMaoKun",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
87,"MapTier4_1Unique",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
88,"UniqueMapActonsNightmare",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
89,"UniqueMapPoorjoysAsylum",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
90,"UniqueMapWhakawairuaTuahu",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
91,"UniqueMapBlackguardSalute",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
92,"UniqueMapObasCursedTrove",5,24,16,4,0,2502,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"UniqueMapOlmecsSanctum",5,24,16,4,0,94,0,4,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
94,"UniqueMapDeathAndTaxes",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"UniqueMapWraeclastPantheon",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
96,"Map2TierLess",5,24,16,4,0,94,0,6,0,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,100,10
97,"UniqueMapUntaintedParadise",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"UniqueMapVaultsOfAtziri",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"UniqueMapCaerBlaidd",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
100,"UniqueMapPerandusManor",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"UniqueMapVinktarSquare",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
102,"UniqueMapHallowedGround",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"MapAtlasVaalPyramid",5,24,16,4,0,94,0,6,0,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,100,10
104,"UniqueMapPutridCloister",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"MapAtlasPitUnique",5,24,16,4,0,94,0,16,8,8,0,0,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10,0,0,0
106,"MapAtlasScriptorium",5,50,33,4,0,94,0,16,8,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,100,10
107,"ShapersRealm",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"BreachBoss",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
109,"MapHarbinger",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"MapWorldsDefault",5,24,16,4,0,94,0,16,8,8,8,8,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,100,10
111,"MapWorldsMazeUnique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"MapWorldsDunesUnique",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,0,0,0,0,0,0,0,0,43,12,0,0,0,0
113,"MapWorldsMoonTempleUnique",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0
114,"MapWorldsPitUnique",5,24,16,4,0,94,0,16,8,8,8,8,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10,0,0,0
115,"Master_TH_Shipgraveyard",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
116,"Master_SP_Volcano",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
117,"MapWorldsDefaultHardMode",3,5,3,4,0,3600,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,5,100,0,0
118,"EarlyAct1HardMode",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0
119,"MidAct1HardMode",0,0,0,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0
120,"Act2HardMode",0,5,3,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0
121,"Act3HardMode",0,5,3,4,0,3600,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0,100,0,0
122,"CampaignDefaultHardMode",3,5,3,4,0,3600,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0,100,0,0
123,"Sanctum",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
124,"LakeLeague",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
