"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
10,"AccountNotLoggedIn","This operation requires the account to be logged in.","Vous devez vous connecter pour effectuer cette opération.","Für diesen Vorgang musst du dich mit deinem Konto anmelden.","この処理にはアカウントにログインしている必要があります。","오류 현상으로 서버와의 접속이 끊어졌습니다. 게임을 지속하려면 다시 로그인해야 합니다.","Esta operação requer que você esteja conectado.","Для данной операции необходимо авторизоваться.","Esta operación requiere que inicies sesión con tu cuenta.","การดำเนินการนี้จำเป็นต้องล็อกอินบัญชี","必須要登入帳號來完成這項操作。"
11,"Timeout","The operation timed out.","L'opération a expiré.","Der Vorgang wurde wegen Zeitüberschreitung abgebrochen.","処理がタイムアウトしました。","작업이 중단되었습니다.","Tempo limite excedido para a operação.","Время истекло.","La operación ha caducado.","หมดเวลาดำเนินการ","操作逾時。"
12,"Disconnected","Disconnected from server.","Déconnexion du serveur.","Die Verbindung zum Server wurde unterbrochen.","サーバーから切断されました。","서버 접속이 해제되었습니다.","Desconectado do servidor.","Отключен от сервера.","Desconectado del servidor.","ขาดการเชื่อมต่อกับเซิร์ฟเวอร์","伺服器斷線。"
13,"TerrainGenerationOutOfSync","The terrain generator for the client is out of sync with the server. Please create a new instance and try again.","Le générateur de terrain du client n'est plus synchronisé avec le serveur. Veuillez créer une nouvelle instance et réessayez.","Der Terrain-Generator für den Client läuft nicht mehr synchron zum Server. Bitte erstelle eine neue Instanz und versuche es erneut.","クライアントの地形ジェネレータがサーバーと同期していません。新しいインスタンスを作成して操作をやり直してください。","클라이언트 지형 생성기와 서버 간의 동기화가 일치하지 않습니다. 새 인스턴스를 만들어 다시 시도해 주십시오.","O gerador de terreno do cliente está dessincronizado com o servidor. Por favor, crie uma nova instância e tente novamente.","Генератор местности для клиента не синхронизирован с сервером. Пожалуйста, создайте новую локацию и повторите попытку.","El generador de terreno para el cliente está desincronizado con el servidor. Inicia una nueva instancia e inténtalo de nuevo.","ตัวสร้างพื้นผิวของไคลเอนท์ไม่ได้ซิงค์กับเซิร์ฟเวอร์ กรุณาสร้างอินสแตนซ์ใหม่แล้วลองอีกครั้ง","地形產生器與伺服器無法連線。請嘗試重新產生新的地圖。"
14,"UnexpectedDisconnect","An unexpected disconnection occurred.","Une déconnexion inattendue est survenue.","Die Verbindung wurde unerwartet unterbrochen.","予期せぬ切断が発生しました。","서버 접속이 예기치 못하게 해제되었습니다.","Você foi inesperadamente desconectado.","Произошло неожиданное отключение от сервера.","Se ha producido una desconexión inesperada.","ขาดการเชื่อมต่ออย่างไม่คาดคิด","發生無法預期的斷線。"
15,"CharacterDoesNotExist","The specified character does not exist.","Le personnage indiqué n'existe pas.","Der angegebene Charakter existiert nicht.","指定されたキャラクターは存在していません。","해당 캐릭터가 존재하지 않습니다.","O personagem especificado não existe.","Указанный персонаж не существует","El personaje especificado no existe.","ไม่มีตัวละครที่ระบุ","該角色不存在。"
16,"NotCharacterOwner","An attempt was made to retreive a character that this account is not the owner of.","Une tentative de récupération de personnage qui n'appartient pas à ce compte a été effectuée.","Es wurde versucht, auf einen Charakter zuzugreifen, der nicht dem Kontoinhaber gehört.","このアカウントが所有者ではないキャラクターの取得が試みられました。","본 계정이 소유하지 않은 캐릭터를 되찾으려는 시도가 있었습니다.","Foi feita uma tentativa de recuperar um personagem que não é dessa conta.","Совершена попытка восстановления персонажа, не относящегося к данной учетной записи.","Se ha intentado recuperar un personaje que no pertenece a esta cuenta.","มีความพยายามที่จะรับตัวละครที่บัญชีนี้ไม่ใช่เจ้าของ","嘗試取回的角色並非此帳號所有。"
17,"LinkedItemDoesNotExist","The specified linked item does not exist.","L'objet lié indiqué n'existe pas.","Der angegebene verknüpfte Gegenstand existiert nicht.","指定のリンクされたアイテムは存在していません。","링크된 해당 아이템이 존재하지 않습니다.","O item ligado especificado não existe.","Указанный предмет не существует","El objeto vinculado especificado no existe.","ไม่มีไอเทมเชื่อมโยงที่ระบุ","指定連結的物品不存在。"
18,"DatabaseError","An unexpected database error occurred. Try again.","Une erreur inattendue est survenue dans la base de données. Veuillez réessayer.","Ein unerwarteter Fehler in der Datenbank ist aufgetreten. Bitte versuche es erneut.","予期せぬデータベースエラーが発生しました。操作をやり直してください。","예기치 못한 데이터베이스 오류가 발생했습니다. 다시 시도해주십시오.","Ocorreu um erro inesperado no banco de dados. Tente novamente.","Ошибка баз данных. Попробуйте позже.","Se ha producido un error de base de datos inesperado. Inténtalo de nuevo.","เกิดข้อผิดพลาดของฐานข้อมูลที่ไม่คาดคิด โปรดลองอีกครั้ง","出現無法預期的資料庫錯誤，請重試。"
19,"TransferredToInstance","Account has been transfered to another instance.","Ce compte a été transféré vers une autre instance.","Das Konto wurde auf eine andere Instanz übertragen.","アカウントは別のインスタンスに移動させられました。","계정이 다른 인스턴스로 전송되었습니다.","A conta foi transferida para outra instância.","Персонаж был перемещён в другую местность.","La cuenta se ha transferido a otra instancia.","บัญชีถูกถ่ายโอนไปยังอินสแตนซ์อื่นแล้ว","此帳號已經被轉移到另一方。"
20,"CharacterNameAlreadyExists","A character with this name already exists.","Un personnage portant ce nom existe déjà.","Es existiert bereits ein Charakter mit diesem Namen.","その名前のキャラクターは既に存在しています。","동일한 이름을 사용하는 캐릭터가 이미 존재합니다.","Já existe um personagem com este nome.","Персонаж с таким именем уже существует.","Ya existe un personaje con este nombre.","มีตัวละครที่ใช้ชื่อนี้อยู่แล้ว","此角色名稱已被使用。"
21,"CharacterNameInvalid","The character name contains invalid characters. Valid names only contain letters and underscores.","Le nom du personnage contient des caractères non autorisés (vous ne pouvez utiliser que des lettres et des tirets bas)","Der Charaktername enthält ungültige Zeichen. Gültige Namen enthalten nur Buchstaben und Unterstriche.","キャラクター名に不正な文字が含まれています。適正な名前には文字とアンダースコアのみ使用可能です。","캐릭터 이름에 유효하지 않은 글자가 있습니다. 알파벳이나 밑줄만 입력 가능합니다.","O nome do personagem contém caracteres inválidos. Nomes válidos possuem apenas letras e o símbolo de underline.","Имя персонажа содержит запрещенные символы. Разрешается использовать только буквы и нижние подчеркивания.","El nombre del personaje contiene caracteres inválidos. Los nombres válidos solamente contienen letras y guion bajo.","ชื่อตัวละครมีตัวอักษรที่ไม่ถูกต้อง โดยชื่อตัวละครจะให้ใช้ได้แค่ตัวอักษรและขีดล่าง","角色名稱包含無效字元。有效名稱包含字元和下底線。"
22,"CharacterNameTooShort","The character name is too short.","Le nom du personnage est trop court.","Der Charaktername ist zu kurz.","キャラクター名が短すぎます。","캐릭터 이름이 너무 짧습니다.","O nome do personagem é muito curto.","Имя персонажа слишком коротко.","El nombre del personaje es demasiado corto.","ชื่อตัวละครสั้นเกินไป","名稱過短。"
23,"CharacterNameTooLong","The character name is too long.","Le nom du personnage est trop long.","Der Charaktername ist zu lang.","キャラクター名が長すぎます。","캐릭터 이름이 너무 깁니다.","O nome do personagem é muito longo.","Имя персонажа чересчур длинное.","El nombre del personaje es demasiado largo.","ชื่อตัวละครยาวเกินไป","名稱過長。"
24,"CharacterInvalidClass","Invalid character class.","Classe de personnage non valide.","Ungültige Charakterklasse.","不正なキャラクタークラスです。","유효하지 않은 캐릭터 직업입니다.","Classe de personagem inválida.","Неверный класс персонажа.","Clase inválida de personaje.","คลาสของตัวละครไม่ถูกต้อง","無效的職業。"
25,"LeagueDoesNotExist","This league does not exist.","Cette ligue n'existe pas.","Diese Liga existiert nicht.","このリーグは存在していません。","존재하지 않는 리그입니다.","Esta liga não existe.","Такой лиги не существует.","Esta liga no existe.","ไม่มีลีกนี้อยู่","此聯盟並不存在。"
26,"InvalidCharacterFlags","Invalid character flags.","Les marquages de ce personnage ne sont pas valides.","Ungültige Zeichen.","不正なキャラクターフラグです。","유효하지 않은 캐릭터 플래그입니다.","Bandeiras de personagem inválidas.","Неверный флаг персонажа.","Banderas de personaje inválidas.","แฟลกของตัวละครไม่ถูกต้อง","無效的角色旗幟。"
27,"LeagueNameAlreadyExists","A league with this name already exists.","Une ligue portant ce nom existe déjà.","Es existiert bereits eine Liga mit diesem Namen.","この名前のリーグは既に存在しています。","동일한 이름을 사용하는 리그가 이미 존재합니다.","Já existe uma liga com este nome.","Лига с таким названием уже существует.","Ya existe una liga con este nombre.","มีลีกที่ใช้ชื่อนี้อยู่แล้ว","相同名稱的聯盟已經存在。"
28,"LeagueNameInvalid","This is not a valid league name.","Ce nom de ligue n'est pas valide.","Ungültiger Liga-Name.","不正なリーグ名です。","유효하지 않은 리그 이름입니다.","Nome de liga inválido.","Недопустимое название лиги.","Este no es un nombre de liga válido.","ชื่อลีกไม่ถูกต้อง","這不是一個有效的聯盟名稱。"
29,"LeagueDescriptionInvalid","This is not a valid league description.","Cette description de ligue n'est pas valide.","Ungültige Liga-Beschreibung.","不正なリーグ説明文です。","유효하지 않은 리그 설명입니다.","Descrição de liga inválida.","Недопустимое описание лиги.","Esta no es una descripción de liga válida.","คำอธิบายลีกไม่ถูกต้อง","這不是一個有效的聯盟描述。"
30,"AlreadyInParty","The operation could not be completed because you are already in a party.","L'opération n'a pas pu aboutir car vous faites déjà partie d'un groupe.","Der Vorgang konnte nicht abgeschlossen werden, da du bereits Mitglied einer Gruppe bist.","あなたが既にパーティーに参加しているため、処理を完了できませんでした。","파티에 이미 속해 있기 때문에 해당 작업을 완료할 수 없습니다.","A operação não pode ser concluída porque você já está em um grupo.","Действие невозможно выполнить, поскольку вы находитесь в группе.","La operación no pudo completarse porque ya estás en un grupo.","ไม่สามารถดำเนินการให้เสร็จสิ้นได้เนื่องจากคุณอยู่ในปาร์ตี้อยู่แล้ว","這項指令無法被完成，因為你已經在隊伍裡了。"
31,"NotItemOwner","Your character is not the owner of this item.","Votre personnage n'est pas le propriétaire de cet objet.","Dein Charakter ist nicht der Besitzer dieses Gegenstands.","あなたのキャラクターはこのアイテムの所有者ではありません。","본 아이템을 소유하고 있는 캐릭터가 아닙니다.","Seu personagem não é o dono deste item.","Ваш персонаж не является владельцем этого предмета.","Tu personaje no es el propietario de este objeto.","ตัวละครของคุณไม่ใช่เจ้าของไอเทมชิ้นนี้","你並非該項掉落物的擁有者。"
32,"NotAPartyMember","The target of this operation was not a party member.","La cible de cette opération n'était pas un membre du groupe.","Das Ziel dieser Aktion war kein Gruppenmitglied.","処理の目標がパーティーメンバーではありませんでした。","본 작업의 대상을 파티원으로 지정하지 않았습니다.","O alvo dessa operação não era um membro do grupo.","Цель данной операции не была членом группы","El objetivo de esta operación no fue un miembro del grupo.","เป้าหมายของการดำเนินการนี้ไม่ใช่สมาชิกปาร์ตี้","這項操作的目標必須是隊伍成員。"
33,"PartyPromotionRequired","You cannot perform this operation because you are not the party leader","Seul le chef du groupe peut effectuer cette action.","Du kannst diese Aktion nicht ausführen, da du nicht der Gruppenanführer bist.","あなたはパーティーリーダーではないため、この処理を行うことはできません。","파티장이 아니기 때문에 해당 작업을 실행할 수 없습니다.","Você não pode executar esta operação porque você não é o líder do grupo","Вы не можете осуществить это действие, так как вы не лидер группы","No puedes realizar esta operación porque no eres el líder del grupo.","คุณไม่สามารถทำการดำเนินการนี้ได้เนื่องจากคุณไม่ใช่สมาชิกปาร์ตี้","你不能執行此項操作，因為你並非隊伍的隊長。"
34,"PartyDoesNotExist","The party does not exist.","Ce groupe n'existe pas.","Diese Gruppe existiert nicht.","パーティーが存在していません。","존재하지 않는 파티입니다.","O grupo não existe.","Группа не существует.","El grupo no existe.","ไม่มีปาร์ตี้นี้","隊伍並不存在。"
35,"PartyLeaderOnlyCanOpenMapPortals","Only the Party Leader may open Map Portals. The Party Leader can promote other players to Party Leader from the Party UI.","Seul le chef du groupe peut ouvrir des portails de Carte. Il peut également nommer un autre membre du groupe en tant que chef depuis la fenêtre Groupe.","Nur der Gruppenanführer kann Kartenportale öffnen. Der Gruppenanführer kann andere Spieler über die Gruppen-Benutzeroberfläche zum Gruppenanführer machen.","パーティーリーダーのみがマップポータルを開くことができます。パーティーリーダーはパーティーUIから他のプレイヤーをリーダーに昇格させることができます。","파티장만 지도 포탈을 열 수 있습니다. 또한 파티장만이 파티 UI를 통해 다른 플레이어를 파티장으로 승격시킬 수 있습니다.","Apenas o Líder do Grupo pode abrir Portais para Mapas. O Líder do Grupo pode promover outros jogadores para Líder do Grupo na IU do Grupo.","Только лидер группы может открывать порталы на карту. Лидер группы может повысить других игроков до лидера группы в интерфейсе группы. ","Solo el líder del grupo puede abrir portales a los mapas. El líder del grupo puede promover a otros jugadores para que se conviertan en líder en la IU de los grupos.","มีเพียงหัวหน้าปาร์ตี้เท่านั้นที่สามารถเปิดวาร์ปแผนที่ได้ หัวหน้าปาร์ตี้สามารถยกตำแหน่งของตนเองให้ผู้เล่นคนอื่นได้จากหน้าจอปาร์ตี้","只有隊長可以開啟地圖傳送門。隊長可於隊伍頁面將其他玩家提升為隊長。"
36,"ServiceDoesNotExist","The service does not exist.","Ce service n'existe pas.","Dieser Dienst existiert nicht.","サービスが存在していません。","존재하지 않는 서비스입니다.","O serviço não existe.","Сервис не существует.","El servicio no existe.","ไม่มีบริการนี้","伺服器並不存在。"
37,"CommandInvalid","The service does not respond to this command, or there was an error in the syntax.","Le service ne répond pas à cette commande, ou vous avez commis une erreur de syntaxe.","Der Dienst reagiert nicht auf diesen Befehl oder es liegt ein Syntaxfehler vor.","サービスがこのコマンドに対応していないか、書式が間違っています。","서비스가 명령에 반응하지 않거나 구문 오류가 발생했습니다.","O serviço não responde a este comando ou houve um erro de sintaxe.","Сервис не ответил на команду, либо была допущена ошибка синтаксиса.","El servicio no responde a este comando, o hubo un error en la sintaxis.","บริการไม่ตอบสนองต่อคำสั่งนี้ หรือมีข้อผิดพลาดในโครงสร้างคำสั่ง","伺服器無法回應此指令或指令語法有錯誤。"
38,"DestinationUnreachable","Unable to make contact with service.","Impossible d'établir un contact avec le service.","Es konnte keine Verbindung zum Dienst hergestellt werden.","サービスとの接触ができません。","서비스와 연결할 수 없습니다.","Impossível contatar o serviço.","Не удалось создать контакт.","No es posible contactar con el servicio.","ไม่สามารถติดต่อกับบริการได้","無法連線至這個伺服器。"
39,"NotInPartyWith","You must be in a party with this player.","Vous devez être dans le même groupe que ce joueur.","Du musst mit diesem Spieler in einer Gruppe sein.","あなたはこのプレイヤーとパーティーに入っている必要があります。","이 플레이어와 같은 파티에 속해야 합니다.","Você deve estar em um grupo com este jogador.","Вы должны быть в группе с этим игроком","Debes estar en un grupo con este jugador.","คุณต้องอยู่ในปาร์ตี้เดียวกับผู้เล่นนี้","你必須跟該玩家在同一個隊伍。"
40,"NotInParty","You are not in this party.","Vous ne faites pas partie de ce groupe.","Du bist nicht Mitglied dieser Gruppe.","あなたはこのパーティーに参加していません。","이 파티에 속한 상태가 아닙니다.","Você não está neste grupo.","Вы не находитесь в данной группе.","No estás en este grupo.","คุณไม่ได้อยู่ในปาร์ตี้นี้","你不在這個隊伍中。"
41,"InstanceFull","The instance is full.","Cette instance est pleine.","Diese Instanz ist voll.","このインスタンスは満員です。","인스턴스가 가득 찼습니다.","A instância está cheia.","Подземелье заполнено.","La instancia está completa.","อินสแตนซ์เต็มแล้ว","地圖已滿。"
42,"InvalidInstanceTransfer","Transfer to this instance is not allowed using this method.","Le transfert vers cette instance à l'aide de cette méthode n'est pas autorisé.","Ein Transfer in diese Instanz ist mit dieser Methode nicht zulässig.","この方法でのこのインスタンスへの移動は許可されていません。","해당 방법으로는 이 인스턴스로 전송할 수 없습니다.","Não é permitido mudar para essa instância utilizando este método.","Перемещение в область невозможно данным способом.","La transferencia a esta instancia no está permitida usando este método.","ไม่อนุญาตให้เคลื่อนย้ายไปยังอินสแตนซ์นี้ด้วยวิธีการนี้","用此方法進入地圖並不允許。"
43,"PortalDoesNotExist","The other side of the portal disconnected.","L'autre côté du portail est déconnecté.","Auf der anderen Portalseite wurde die Verbindung unterbrochen.","ポータルの反対側が切断されました。","포탈 반대편의 연결이 해제되었습니다.","O outro lado do portal desconectou.","Портал с другой стороны был закрыт.","El otro lado del portal se desconectó.","ขาดการเชื่อมต่อกับอีกด้านหนึ่งของวาร์ปนี้","傳送門的另一端中斷連線了。"
44,"OutOfYourLeague","That character is in a different League.","Ce personnage n'est pas dans la même ligue que vous.","Dieser Charakter ist aus einer anderen Liga.","そのキャラクターは別のリーグにいます。","해당 캐릭터는 다른 리그에 있는 캐릭터입니다.","Este personagem está em uma liga diferente.","Этот персонаж в другой лиге.","Este personaje está en una liga diferente.","ตัวละครนั้นอยู่คนละลีกกับคุณ","該角色與在不同的聯盟。"
45,"DownForMaintenance","The realm is currently down for maintenance. Try again later.","Le royaume est actuellement en maintenance. Veuillez réessayer plus tard.","Der Realm ist aufgrund von Wartungsarbeiten derzeit nicht erreichbar. Bitte versuche es später erneut.","現在メンテナンス中です。時間を置いてやり直してください。","해당 서버는 현재 점검 중입니다. 나중에 다시 시도해 주십시오.","O servidor está em manutenção e indisponível no momento. Tente novamente mais tarde.","Сервер в настоящее время закрыт на техническое обслуживание. Попробуйте еще раз позже.","El reino está actualmente caído por mantenimiento. Inténtalo de nuevo más tarde.","เซิร์ฟเวอร์กำลังปิดปรับปรุง กรุณาเข้าใหม่ในภายหลัง","伺服器關閉維修中，請稍後再試。"
46,"InstanceAuthenticationInvalid","Your authentication for instance transfer was invalid.","Votre authentification de transfert d'instance n'était pas valide.","Ungültige Authentifizierung für den Instanzentransfer.","あなたのインスタンス移動の認証が失敗しました。","인스턴스 전송의 인증이 유효하지 않습니다.","Sua autenticação para transferência de instância foi inválida.","Авторизация на перемещение в область не удалась","Tu autenticación para transferencia de instancia es inválida.","การรับรองความถูกต้องของคุณสำหรับการถ่ายโอนอินสแตนซ์ไม่ถูกต้อง","你所輸入的驗證是無效的。"
47,"PartyFull","Your party is full.","Votre groupe est plein.","Deine Gruppe ist voll.","あなたのパーティーは満員です。","파티가 가득 찼습니다.","Seu grupo está cheio.","Ваша группа заполнена.","Tu grupo está lleno.","ปาร์ตี้ของคุณเต็มแล้ว","你的隊伍已滿。"
48,"TooManyCharacters","You have no character slots left.","Vous n'avez plus d'emplacement de personnage.","Du hast keine Charakterplätze mehr frei.","キャラクタースロットが残っていません。","남아있는 캐릭터 슬롯이 없습니다.","Você não tem espaços de personagem restantes.","Достигнут предел максимального количества персонажей.","No posees más espacios disponibles para personajes.","ตัวละครครบจำนวนสูงสุดแล้ว","已經達到角色數量的最大上限 。"
49,"InvalidActivationKey","Invalid activation key.","Clé d'activation non valide.","Ungültiger Aktivierungsschlüssel.","不正なアクティベーションキーです。","유효하지 않은 활성화 키입니다.","Chave de ativação inválida.","Неверный ключ активации.","Clave de activación inválida.","คีย์เปิดใช้งานไม่ถูกต้อง","無效的啟動金鑰。"
50,"EmailValidationRequired","An account has been created with this email address already. You must verify your account by email before logging in.","Un compte a déjà été créé à l'aide de cette adresse mail. Vous devez authentifier votre compte par e-mail avant de vous connecter.","Es wurde bereits ein Konto mit dieser E-Mail-Adresse erstellt. Du musst dein Konto per E-Mail-Adresse bestätigen, bevor du dich anmeldest.","このメールアドレスを使ったアカウントは既に作成されています。ログインする前にメールでアカウントを認証する必要があります。","이미 계정이 만들어진 이메일 주소입니다. 로그인하기 전에 계정을 확인해 주십시오.","Já foi criada uma conta com este endereço de e-mail. Você deve verificar sua conta por e-mail antes de entrar.","Аккаунт с такой электронной почтой уже был создан. Чтобы авторизоваться, вам необходимо активировать аккаунт с помощью данных из письма.","Ya se ha creado una cuenta con esta dirección de correo electrónico. Debes verificar tu cuenta por correo electrónico antes de conectarte.","มีบัญชีที่สร้างด้วยอีเมลนี้อยู่แล้ว คุณต้องยืนยันบัญชีของคุณด้วยอีเมลก่อนที่จะล็อกอิน","已將你的帳戶與電子郵件綁定，在登入前必須先前往信箱進行驗證。"
51,"MissingRequiredField","Please fill out all required fields.","Veuillez renseigner tous les champs requis.","Bitte fülle alle erforderlichen Felder aus.","全ての必須項目に記入してください。","필수 입력란을 모두 채워 주십시오.","Por favor, preencha todos os campos obrigatórios.","Пожалуйста, заполните все требуемые поля.","Completa todos los campos requeridos.","โปรดกรอกข้อมูลในช่องที่จำเป็นทั้งหมด","請填寫所有必要欄位。"
52,"InvalidArgument","An argument was invalid.","Un argument n'était pas valide.","Ungültiges Argument.","不正な引数です。","유효하지 않은 변수입니다.","Um argumento foi inválido.","Аргумент неверен","Un argumento era inválido.","อาร์กิวเมนต์ไม่ถูกต้อง","有一個項目是無效的。"
53,"GameComplete","The game has ended.","La partie est terminée.","Das Spiel ist beendet.","ゲームは終了しました。","게임이 종료되었습니다.","O jogo foi encerrado.","Игра завершена","El juego ha terminado.","เกมจบแล้ว","比賽已經結束。"
54,"LeagueHasEnded","The league has ended. You cannot create characters in it anymore.","Cette ligue a pris fin. Vous ne pouvez plus y créer de personnage.","Die Liga ist beendet. Du kannst keine Charaktere mehr darin erstellen.","リーグは終了しました。これ以上ここでキャラクターを作成することはできません。","리그가 종료되었습니다. 더 이상 캐릭터를 만들 수 없습니다.","A liga foi encerrada. Você não pode criar mais personagens.","Лига завершена. Вы больше не можете создавать персонажей.","La liga ha terminado. Ya no puedes crear más personajes en ella.","ลีกจบแล้ว คุณไม่สามารถสร้างตัวละครในนั้นได้อีกต่อไป","聯盟已經結束，你無法再選擇該位角色。"
55,"LeagueClosedForEntry","Entry to this league has closed.","Les inscriptions dans cette ligue sont closes.","Der Zugang zu dieser Liga ist geschlossen.","このリーグへの入場は終了しました。","리그 가입이 종료되었습니다.","Entrada para essa liga foi fechada.","Возможность входа в эту лигу была закрыта.","El ingreso a esta liga ha cerrado.","การเข้าร่วมลีกนี้ปิดแล้ว","此聯盟入口已經關閉。"
56,"AlreadyOnIgnoreList","This account is already on your ignore list.","Ce compte figure déjà dans votre liste noire.","Dieses Konto ist bereits auf deiner Ignorieren-Liste.","このアカウントは既にあなたのブロックリストに追加されています。","이미 차단 목록에 있는 계정입니다.","Esta conta já está na sua lista de ignorados.","Этот аккаунт уже в вашем списке игнорирования.","Esta cuenta ya se encuentra en tu lista de ignorados.","บัญชีนี้อยู่ในรายชื่อการบล็อคของคุณอยู่แล้ว","該帳號已在黑名單中。"
