"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","Mods","PresentARMFile","HASH16","IncursionArchitectKey","PastARMFile","TSIFile","UIIcon","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","AchievementItemsKeys","i32","i32","RoomUpgradeFrom_IncursionRoomsKey","ItemisedFlavourText"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","[rid]"
56,"BossLightningII","Omnitect Reactor Plant","Réacteur central de l'Omnitecte","Reaktoranlage des Omnitekten","オムニテクト動力室","종합체 원전 시설","Planta do Reator Omniteca","Реактор Всезодчего","Planta de reactor del Omnitecto","เครื่อง​ปฏิกรณ์​มหาสถาปนิก","全能反應廠",2,0,78,"[15799,15814,15831,15846]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_present_2.arm",42207,21,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossLightningRoom2","Power flows to where no man goes.","Là où le pouvoir afflue, l'homme ne s'aventure plus.","Die Energie bindet Macht. Seht Euch vor, wenn sie erwacht.","誰も流れぬ所に、力は流れる。","사람이 가지 못하는 곳, 전력은 지나간다.","O poder emana de onde nenhum homem pode ir.","Фривольно мощь парит вовек, но к ней не ступит человек.","El poder circula hacia donde nadie se aventura.","พลังงานไหลไปสู่ที่ที่ไร้ผู้ใดสัญจร","權力流向無人之處。","Monsters throughout the Temple have additional lightning damage.\nAdds additional Lightning monster packs throughout the Temple.\nAugments the Omnitect with lightning.","Les monstres infligent des Dégâts de foudre supplémentaires partout dans le Temple.\nAjoute des groupes supplémentaires de monstres de foudre partout dans le Temple.\nOctroie de la foudre à l'Omnitecte.","Monster im Tempel verursachen zusätzlichen Blitzschaden.\nFügt dem Tempel zusätzliche Gruppen von Blitzmonstern hinzu.\nVerstärkt den Omnitekten mit Blitz.","寺院内のモンスターが追加の雷ダメージを与える。\n寺院内に雷モンスターパックが追加されり。\nオムニテクトが雷で強化される。","사원에 등장하는 몬스터가 추가 번개 피해를 줍니다.\n사원에 번개 몬스터 무리가 추가로 등장합니다.\n번개가 종합체를 보조합니다.","Monstros do Templo têm dano de raio adicional.\nAdiciona grupos de monstros de Raio adicionais por todo o Templo.\nAmplia o Omniteto com raio.","Монстры во всем храме наносят дополнительный урон от молнии.\nДобавляет дополнительные группы монстров молнии по всему храму.\nУсиливает Всезодчего молнией.","Los monstruos del templo tienen daño de rayo adicional.\nAgrega grupos de monstruos de rayo adicionales por todo el templo.\nMejora al Omnitecto con rayo.","มอนสเตอร์ทั่วทั้งวิหาร เสริมความเสียหาย สายฟ้า\nเพิ่มกองมอนสเตอร์สายฟ้า เพิ่มเติม ทั่วทั้งวิหาร\nมหาสถาปนิก มีการเสริมพลัง สายฟ้า","整座神殿的怪物有額外閃電傷害。\n增加整座神殿額外怪物群。\n使用閃電增強全能。",[],41,461,34,"","Monsters throughout the Temple have additional lightning damage.\nAdds additional Lightning monster packs throughout the Temple.\nAugments the Omnitect with lightning.","Les monstres infligent des Dégâts de foudre supplémentaires partout dans le Temple.\nAjoute des groupes supplémentaires de monstres de foudre partout dans le Temple.\nOctroie de la foudre à l'Omnitecte.","Monster im Tempel verursachen zusätzlichen Blitzschaden.\nFügt dem Tempel zusätzliche Gruppen von Blitzmonstern hinzu.\nVerstärkt den Omnitekten mit Blitz.","寺院内のモンスターが追加の雷ダメージを与える。\n寺院内に雷モンスターパックが追加されり。\nオムニテクトが雷で強化される。","사원에 등장하는 몬스터가 추가 번개 피해를 줍니다.\n사원에 번개 몬스터 무리가 추가로 등장합니다.\n번개가 종합체를 보조합니다.","Monstros do Templo têm dano de raio adicional.\nAdiciona grupos de monstros de Raio adicionais por todo o Templo.\nAmplia o Omniteto com raio.","Монстры во всем храме наносят дополнительный урон от молнии.\nДобавляет дополнительные группы монстров молнии по всему храму.\nУсиливает Всезодчего молнией.","Los monstruos del templo tienen daño de rayo adicional.\nAgrega grupos de monstruos de rayo adicionales por todo el templo.\nMejora al Omnitecto con rayo.","มอนสเตอร์ทั่วทั้งวิหาร เสริมความเสียหาย สายฟ้า\nเพิ่มกองมอนสเตอร์สายฟ้า เพิ่มเติม ทั่วทั้งวิหาร\nมหาสถาปนิก มีการเสริมพลัง สายฟ้า","整座神殿的怪物有額外閃電傷害。\n增加整座神殿額外怪物群。\n使用閃電增強全能。","[15799,15831]"
57,"PoisonRoomIII","Toxic Grove","Bosquet toxique","Toxischer Hain","毒性の木立","독성 수목원","Bosque Tóxico","Ядовитая роща","Arboleda tóxica","สวน​เปี่ยม​พิษ","劇毒果園",3,0,"","[15756,15844]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_present_3.arm",7899,0,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/PoisonRoom3","Toxins pave a verdant grave.","Des toxines foudroyantes tapissent une tombe verdoyante.","Ein grünes Grab, bereitet durch giftige Saat.","碧い墓所を築く毒素。","독소로 만들어진 녹빛 묘지.","Toxinas pavimentam uma tumba verdejante.","Пускают древа в дело яд, затем в тиши тела едят.","La toxina se posa en una tumba verdosa.","สารพิษปูทางสู่สุสานเขียวชอุ่ม","毒素鋪墊茂盛的墳墓。","Spreads poisonous and parasitic plants throughout the Temple.\nContains a valuable item.","Répand des plantes vénéneuses et parasitaires partout dans le Temple.\nRenferme un objet de valeur.","Verbreitet giftige und parasitäre Pflanzen im Tempel.\nEnthält einen wertvollen Gegenstand.","毒および寄生性の植物が寺院にはびこる。\n貴重なアイテムがある。","사원 전체에 기생형 독성 식물이 퍼집니다.\n값진 아이템이 등장합니다.","Espalha plantas venenosas e parasitas pelo Templo.\nContém um item valioso.","Рассаживает ядовитые и паразитические растения по всему храму.\nСодержит ценный предмет.","Esparce plantas venenosas y parasitarias por el templo.\nContiene un objeto valioso.","ต้นไม้พิษและกาฝาก แพร่กระจายทั่วทั้งวิหาร\nมี ไอเทมล้ำค่า 1 ชิ้น","遍佈有毒和腐蝕的植物於整座神殿。\n含有價值的物品。",[9221],57,465,35,2386,"Spreads poisonous and parasitic plants throughout the Temple.\nContains a valuable item.","Répand des plantes vénéneuses et parasitaires partout dans le Temple.\nRenferme un objet de valeur.","Verbreitet giftige und parasitäre Pflanzen im Tempel.\nEnthält einen wertvollen Gegenstand.","毒および寄生性の植物が寺院にはびこる。\n貴重なアイテムがある。","사원 전체에 기생형 독성 식물이 퍼집니다.\n값진 아이템이 등장합니다.","Espalha plantas venenosas e parasitas pelo Templo.\nContém um item valioso.","Рассаживает ядовитые и паразитические растения по всему храму.\nСодержит ценный предмет.","Esparce plantas venenosas y parasitarias por el templo.\nContiene un objeto valioso.","ต้นไม้พิษและกาฝาก แพร่กระจายทั่วทั้งวิหาร\nมี ไอเทมล้ำค่า 1 ชิ้น","遍佈有毒和腐蝕的植物於整座神殿。\n含有價值的物品。",[15759]
58,"SacrificeRoomIII","Apex of Ascension","Apex de l'ascension","Apex des Aufstiegs","上昇の頂","승천의 정점","Ápice da Ascensão","Пик вознесения","Ápice de ascensión","ยอด​แห่ง​การ​ครอง​อำนาจ","祭祀之巔",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_present_3.arm",63046,1,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/SacrificeRoom3","Form sliced through, but born anew.","Fendu à travers ses contours, mais verra à nouveau le jour.","Aus alter Pracht entsteigt neue Macht.","切り裂かれた姿。新たな誕生。","형체는 쪼개지나, 다시금 태어난다.","A forma despedaçada, mas renascida.","Тело протыкается, заново рождается.","Cercenado, pero de nuevo engendrado.","รูปทรงถูกสับเป็นชิ้นแต่ก็ได้เกิดใหม่","形體切割，重獲新生。","Allows you to sacrifice a unique item.\nAhuana drops an additional Unique Item.","Vous permet de sacrifier un Objet unique.\nAhuana cède un Objet unique supplémentaire.","Ermöglicht das Opfern eines einzigartigen Gegenstands.\nAhuana lässt einen zusätzlichen einzigartigen Gegenstand fallen.","ユニークアイテムを生贄にすることができる。\nアフアナは追加のユニークアイテムを落とす。","고유 아이템을 희생할 수 있습니다.\n아후아나가 고유 아이템 1개를 추가로 떨어뜨립니다.","Permite que você sacrifique um item único.\nAhuana derruba um Item Único adicional.","Позволяет вам пожертвовать уникальный предмет.\nПри убийстве Ахваны выпадает дополнительный уникальный предмет.","Te permite sacrificar un objeto único.\nAhuana arroja un objeto único adicional.","ทำให้คุณสามารถสังเวย ไอเทมยูนิค ได้ 1 ชิ้น\nอะฮัวนา ดรอป ไอเทมยูนิค เพิ่มเติม 1 ชิ้น","允許你獻祭一個傳奇物品。\n阿呼阿娜掉落 1 個額外傳奇物品。",[9221],63,466,36,2366,"Allows you to sacrifice a unique item.","Vous permet de sacrifier un Objet unique.","Ermöglicht das Opfern eines einzigartigen Gegenstands.","ユニークアイテムを生贄にすることができる。","고유 아이템을 희생할 수 있습니다.","Permite que você sacrifique um item único.","Позволяет вам пожертвовать уникальный предмет.","Te permite sacrificar un objeto único.\nAhuana arroja un objeto único adicional.","ทำให้คุณสามารถสังเวย ไอเทมยูนิค ได้ 1 ชิ้น","允許你獻祭一個傳奇物品。",[]
59,"StormRoomIII","Storm of Corruption","Orage de corruption","Sturm der Verderbtheit","腐敗の嵐","타락의 태풍","Tempestade da Corrupção","Буря осквернения","Tormenta de corrupción","พายุ​มรสุม​แห่ง​มลทิน","腐敗風暴",3,0,"","[15826,15812]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_present_3.arm",5133,2,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/StormRoom3","Darkness flies across the skies.","Les ténèbres prolifèrent dans l'atmosphère.","Es braut sich eine Dunkelheit am Himmel zusammen.","暗き闇が天を舞う。","하늘에 도사린 어둠.","A escuridão voa pelos céus.","Тенью трогая дома, в небесах витает тьма.","La oscuridad vuela a través de los cielos.","ความมืดโบยบินบนท้องฟ้า","黑暗痕空而過。","Adds Corrupting or Radiating Tempests to the Temple.\nBuffs from Tempests have 200% increased duration.\nContains a valuable item.","Ajoute des Tempêtes corruptrices ou radieuses dans le Temple.\nLes effets bénéfiques provenant des Tempêtes ont 200% d'Augmentation de Durée.\nRenferme un objet de valeur.","Fügt dem Tempel verderbende oder strahlende Stürme hinzu.\nStärkungen von Stürmen haben 200% verlängerte Dauer.\nEnthält einen wertvollen Gegenstand.","寺院に穢れのテンペストおよび放射のテンペストが追加される。\nテンペストで得られるバフの持続時間が200%増加する。\n貴重なアイテムがある。","사원에 타락한 폭풍 혹은 발산하는 폭풍을 추가합니다.\n폭풍으로 인해 자신에게 적용되는 버프의 지속시간이 200% 증가합니다.\n값진 아이템이 1개 등장합니다.","Adiciona Tempestades Corrompedores ou Radiantes ao Templo.\nBuffs das Tempestades têm duração aumentada em 200%.\nContém itens valiosos.","Добавляет в храм Бури порчи или Бури лучей.\nПоложительные эффекты Бурь длятся на 200% дольше.\nСодержит ценный предмет.","Agrega Tempestades corruptoras o radiantes al templo.\nLas bonificaciones de las tempestades tienen duración aumentada un 200%.\nContiene un objeto valioso.","เพิ่ม วายุพลังก่อมลทิน หรือ วายุพลังก่อราศี เข้าไปในวิหาร\nบัฟจาก วายุพลัง มีระยะเวลา เพิ่มขึ้น 200%\nมี ไอเทมล้ำค่า 1 ชิ้น","附加汙染或幅射的風暴於神殿。\n來自風暴的增益效果增加 200% 持續時間。\n含有價值的物品。",[9221],66,467,37,2376,"Adds Corrupting or Radiating Tempests to the Temple.","Ajoute des Tempêtes corruptrices ou radieuses dans le Temple.","Fügt dem Tempel verderbende oder strahlende Stürme hinzu.","寺院に穢れのテンペストおよび放射のテンペストが追加される。","사원에 타락한 폭풍 혹은 발산하는 폭풍을 추가합니다.","Adiciona Tempestades Corrompedores ou Radiantes ao Templo.","Добавляет в храм Бури порчи или Бури лучей.","Agrega Tempestades corruptoras o radiantes al templo.","เพิ่ม วายุพลังก่อมลทิน หรือ วายุพลังก่อราศี เข้าไปในวิหาร","附加汙染或幅射的風暴於神殿。",[15826]
60,"TrapRoomIII","Defense Research Lab","Labo d'études sur la défense","Forschungslabor der Verteidigung","防御研究所","방어물 연구소","Laboratório de Pesquisa de Defesas","Оборонная лаборатория","Laboratorio de investigación de defensas","ห้อง​วิจัย​การ​ป้องกัน","禦防研究所",3,0,"","[15788,15815,15838]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_present_3.arm",11681,3,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrapRoom3","Whirring blades and barricades.","Lames grinçantes et barricades imposantes.","Stahl auf Stahl, die Funken sprühen, doch die Barrikade wird nicht verglühen.","渦巻くブレード、立ち塞がるバリケード","윙윙대는 칼날과 방해물.","Lâminas dançantes e barricadas.","Цепных пил звенья и укрепленья.","chirriantes espadas y barricadas.","ใบมีดและเครื่องกีดขวางครางหึ่ง","飛舞的刀刃和路障。","Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.\nContains a valuable item.","Les monstres ont une Zone d'effet augmentée partout dans le Temple.\nAjoute des Pièges partout dans le Temple.\nRenferme un objet de valeur.","Monster im Tempel haben vergrößerten Wirkungsbereich.\nFügt dem Tempel Fallen hinzu.\nEnthält einen wertvollen Gegenstand.","寺院内のモンスターの効果範囲が増加する。\n寺院内に罠が設置される。\n貴重なアイテムがある。","사원에 등장하는 몬스터의 효과 범위가 증가합니다.\n사원 전체에 덫을 추가합니다.\n값진 아이템이 등장합니다.","Monstros do Templo têm área de efeito aumentada.\nAdiciona armadilhas pelo templo.\nContém um item valioso.","Монстры во всём храме имеют увеличение области действия.\nРасставляет ловушки по всему храму.\nСодержит ценный предмет.","Los monstruos del templo tienen su área de efecto aumentada.\nAgrega trampas por el templo.\nContiene un objeto valioso.","มอนสเตอร์ทั่วทั้งวิหาร มีพื้นที่ส่งผล เพิ่มขึ้น\nเพิ่ม กับดัก เข้าไปทั่วทั้งวิหาร\nมี ไอเทมล้ำค่า 1 ชิ้น","增加整座神殿怪物的範圍效果。\n附加陷阱於整座神殿。\n含有價值的物品。",[9221],69,468,38,2384,"Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.\nContains a valuable item.","Les monstres ont une Zone d'effet augmentée partout dans le Temple.\nAjoute des Pièges partout dans le Temple.\nRenferme un objet de valeur.","Monster im Tempel haben vergrößerten Wirkungsbereich.\nFügt dem Tempel Fallen hinzu.\nEnthält einen wertvollen Gegenstand.","寺院内のモンスターの効果範囲が増加する。\n寺院内に罠が設置される。\n貴重なアイテムがある。","사원에 등장하는 몬스터의 효과 범위가 증가합니다.\n사원 전체에 덫을 추가합니다.\n값진 아이템이 등장합니다.","Monstros do Templo têm área de efeito aumentada.\nAdiciona armadilhas pelo templo.\nContém um item valioso.","Монстры во всём храме имеют увеличение области действия.\nРасставляет ловушки по всему храму.\nСодержит ценный предмет.","Los monstruos del templo tienen su área de efecto aumentada.\nAgrega trampas por el templo.\nContiene un objeto valioso.","มอนสเตอร์ทั่วทั้งวิหาร มีพื้นที่ส่งผล เพิ่มขึ้น\nเพิ่ม กับดัก เข้าไปทั่วทั้งวิหาร\nมี ไอเทมล้ำค่า 1 ชิ้น","增加整座神殿怪物的範圍效果。\n附加陷阱於整座神殿。\n含有價值的物品。",[15788]
61,"CartographyRoomIII","Atlas of Worlds","Atlas des Mondes","Atlas der Welten","アトラス・オブ・ワールド","아틀라스의 세계","Atlas dos Mundos","Атлас миров","Atlas de los mundos","สมุด​แผนที่​โลกา","異界輿圖",3,0,"",[15817],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_present_3.arm",54094,4,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/CartographyRoom3","Devices baroque hide worlds bespoke.","Derrière les dispositifs de la démesure se dissimulent des mondes sur mesure.","Das Gerät uralt, verbirgt Welten ungeahnter Vielfalt.","装置の奇妙さが隠すは、世界の特異さ。","기이한 장치들로 정형화된 세상을 드리우다.","Dispositivos barrocos escondem mundos perfeitos.","В механизме до поры скрыты новые миры.","Dispositivos anticuados esconden mundos personalizados.","อุปกรณ์พิสดารซ่อนโลกเอาไว้","裝置過度裝飾以隱藏世界的預示。","Contains chests full of maps.\nArchitects drop Map-related Currency.","Renferme des coffres remplis de Cartes.\nLes Architectes cèdent des Objet monétaires en rapport avec les Cartes.","Enthält Truhen voller Karten.\nArchitekten lassen Kartenwährungsgegenstände fallen.","マップが詰まったチェストがある。\n寺院内のアーキテクトがマップ関連カレンシーを落とす。","지도가 가득 담긴 상자가 등장합니다.\n건축가가 지도 관련 화폐를 떨어뜨립니다.","Contém baús cheios de mapas.\nArquitetos derrubam Itens Monetários relacionados a mapas.","Содержит сундуки с картами.\nИз архитекторов выпадает валюта, связанная с картами.","Contiene cofres llenos de mapas.\nLos Arquitectos arrojan objetos monetarios relacionados con los mapas.","มี หีบ ที่อัดแน่นไปด้วย แผนที่\nสถาปนิก ดรอป เงินตราที่เกี่ยวกับแผนที่","含有裝滿地圖的藏寶箱。",[9221],24,469,39,2374,"Contains chests full of maps.","Renferme des coffres remplis de Cartes.","Enthält Truhen voller Karten.","マップが詰まったチェストがある。","지도가 가득 담긴 상자가 등장합니다.","Contém baús cheios de mapas.","Содержит сундуки с картами.","Contiene cofres llenos de mapas.","มี หีบ ที่อัดแน่นไปด้วย แผนที่","含有裝滿地圖的藏寶箱。",[]
62,"QueensChambersIII","Throne of Atziri","Trône d'Atziri","Thron von Atziri","アトジリの玉座","앗지리의 왕좌","Trono de Atziri","Трон Атзири","Trono de Atziri","บัลลังก์​ของ​อัถสิริ","阿茲里宴殿",3,0,"","[15803,15856]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_present_3.arm",63579,5,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/QueensChambers3","A vision, sublime, untouched by time.","Pour sa beauté elle a passé le pacte, le temps l'a laissée intacte.","Eine erhabene Vision, die verführt, von der Zeit unberührt.","時空を超えた荘厳な美女","세월을 거스르는 장엄한 광경.","Uma visão, sublime, intocada pelo tempo.","Пусть время старит ежечасно, над миражом оно не властно.","Una visión sublime, intacta en el tiempo.","วิสัยชิ้นเอกที่อยู่รอดผ่านกาลเวลา","崇高的願景，不受時間影響。","Increases the number of magic monsters throughout the Temple.\nContains Queen Atziri.","Augmente le nombre de Monstres Magiques partout dans le Temple.\nRenferme la Reine Atziri.","Erhöht die Anzahl von magischen Monstern im Tempel.\nEnthält Königin Atziri.","寺院内のマジックモンスターの数が増加する。\n女王アトジリが待ち受けている。","사원에 등장하는 마법 몬스터의 숫자가 증가합니다.\n앗지리 여왕이 등장합니다.","Aumenta a quantidade de monstros mágicos no Templo.\nContém a Rainha Atziri.","Увеличивает количество волшебных монстров во всём храме.\nВ этой комнате находится Царица Атзири.","Aumenta la cantidad de monstruos mágicos en el templo.\nContiene a la Reina Atziri.","เพิ่มจำนวนของ มอนสเตอร์เมจิก ทั่วทั้งวิหาร\nมี ราชินีอัถสิริ","增加整座神殿的怪物速度。\n含有阿茲里女王。",[9221],60,470,40,2370,"Increases the number of magic monsters throughout the Temple.\nContains Queen Atziri.","Augmente le nombre de Monstres Magiques partout dans le Temple.\nRenferme la Reine Atziri.","Erhöht die Anzahl von magischen Monstern im Tempel.\nEnthält Königin Atziri.","寺院内のマジックモンスターの数が増加する。\n女王アトジリが待ち受けている。","사원에 등장하는 마법 몬스터의 숫자가 증가합니다.\n앗지리 여왕이 등장합니다.","Aumenta a quantidade de monstros mágicos no Templo.\nContém a Rainha Atziri.","Увеличивает количество волшебных монстров во всём храме.\nВ этой комнате находится Царица Атзири.","Aumenta la cantidad de monstruos mágicos en el templo.\nContiene a la Reina Atziri.","เพิ่มจำนวนของ มอนสเตอร์เมจิก ทั่วทั้งวิหาร\nมี ราชินีอัถสิริ","增加整座神殿的怪物速度。\n含有阿茲里女王。",[15803]
63,"ChestsIII","Museum of Artefacts","Musée des artéfacts","Museum der Artefakte","アーティファクト博物館","유물 박물관","Museu dos Artefatos","Музей артефактов","Museo de artefactos","พิพิธภัณฑ์​วัตถุ​โบราณ","文物展館",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_present_3.arm",49758,6,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Chests3","Heirlooms, rotten, long-forgotten.","De la pourriture pour héritage, de l'oubli pour tout enrobage.","Erbstücke in Kassetten, verrottet, längst vergessen.","家宝。腐りて、忘却の果て。","오래도록 잊히고 썩어버린 가보.","Heranças, podres, a muito esquecidas.","Закрытое на семь замков, гниёт наследие веков.","Reliquias, putrefactas, largamente olvidadas.","ของที่ระลึก ผุพังและถูกลืมเลือน","傳家寶、腐朽、長期被遺忘。","Contains chests full of items.","Renferme des coffres remplis d'objets.","Enthält Truhen voller Gegenstände.","アイテムが詰まったチェストがある。","아이템이 가득 담긴 상자가 등장합니다.","Contém baús cheios de itens.","Содержит сундуки с предметами.","Contiene cofres llenos de objetos.","มี หีบ ที่อัดแน่นไปด้วย ไอเทม","含有裝滿物品的藏寶箱。",[9221],27,471,41,2369,"Contains chests full of items.","Renferme des coffres remplis d'objets.","Enthält Truhen voller Gegenstände.","アイテムが詰まったチェストがある。","아이템이 가득 담긴 상자가 등장합니다.","Contém baús cheios de itens.","Содержит сундуки с предметами.","Contiene cofres llenos de objetos.","มี หีบ ที่อัดแน่นไปด้วย ไอเทม","含有裝滿物品的藏寶箱。",[]
64,"CorruptionRoomIII","Locus of Corruption","Noyau de la corruption","Quell der Verderbtheit","腐敗の根源","타락의 현장","Local da Corrupção","Очаг осквернения","Foco de corrupción","สถาน​บังเกิด​มลทิน","腐敗之地",3,0,"","[15766,15862]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/corruption_present_3.arm",57960,7,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/CorruptionRoom3","Darkness coalesces, imbues, and blesses.","Les ténèbres unissent, imprègnent et bénissent.","Die Dunkelheit segnet, bindet und überwindet.","溶け合い、染み入り、闇が祝福する。","어둠은 한데 모여 스며들고, 축복을 내린다.","A escuridão adere, imbúi e abençoa.","Мрак сгущается, вползает, темнотой благословляет.","La oscuridad fusiona, embuye y bendice.","ความมืดมนรวมตัว ฝังตัวและประสาทพร","黑暗凝聚、灌注和祝福。","Reduces player maximum resistances throughout the Temple.\nContains an Altar of Corruption.","Réduit les Résistances maximales des joueurs partout dans le Temple.\nRenferme un Autel de corruption.","Verringert die maximalen Widerstände des Spielers im Tempel.\nEnthält einen Altar der Verderbung.","寺院内でプレイヤーの耐性の最大値が減少する。\n腐敗の祭壇がある。","사원 전체에서 플레이어의 저항 최대치가 감소합니다.\n타락의 제단이 등장합니다.","Reduz as resistências máximas do jogador pelo Templo.\nContém um Altar da Corrupção.","Снижает максимум сопротивлений игроков во всём храме.\nСодержит Алтарь осквернения.","Reduce las resistencias máximas del jugador en el templo.\nContiene un Altar de corrupción.","ลดค่าต้านทาน ทุกชนิด สูงสุด ของผู้เล่นทั่วทั้งวิหาร\nมี แท่นบูชาแห่งมลทิน 1 แท่น","減少玩家的最大抗性於整座神殿。\n含有腐化祭壇。",[9221],30,472,42,2365,"Reduces player maximum resistances throughout the Temple.\nContains an Altar of Corruption.","Réduit les Résistances maximales des joueurs partout dans le Temple.\nRenferme un Autel de corruption.","Verringert die maximalen Widerstände des Spielers im Tempel.\nEnthält einen Altar der Verderbung.","寺院内でプレイヤーの耐性の最大値が減少する。\n腐敗の祭壇がある。","사원 전체에서 플레이어의 저항 최대치가 감소합니다.\n타락의 제단이 등장합니다.","Reduz as resistências máximas do jogador pelo Templo.\nContém um Altar da Corrupção.","Снижает максимум сопротивлений игроков во всём храме.\nСодержит Алтарь осквернения.","Reduce las resistencias máximas del jugador en el templo.\nContiene un Altar de corrupción.","ลดค่าต้านทาน ทุกชนิด สูงสุด ของผู้เล่นทั่วทั้งวิหาร\nมี แท่นบูชาแห่งมลทิน 1 แท่น","減少玩家的最大抗性於整座神殿。\n含有腐化祭壇。",[15766]
65,"ExplosivesRoomIII","Shrine of Unmaking","Sanctuaire de l'anéantissement","Schrein der Aufhebung","破壊の祭壇","파괴의 성소","Altar da Ruína","Обитель развоплощения","Santuario de desintegración","แท่นบูชา​แห่ง​การ​ทำลาย​ล้าง","毀滅神殿",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/explosives_present_3.arm",62364,8,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/ExplosivesRoom3","Flames and smoke soar; what was is no more.","Flammes et fumées s'élèvent ; ce qui fut jadis s'achève.","Ein Knall ebnet den Weg, die Vergangenheit ist der Beleg.","炎と煙が舞い、嘗ての面影が無い。","화염과 연기가 솟구칠 때. 아무것도 남지 않았다.","Chamas e fumaça planam; o que era, não é mais.","В печи огонь гудит, пылает. Что было — дымом ускользает.","Las llamas y el humo se elevan; lo que fue ya no existe.","เปลวไฟและควันพวยพุ่ง สิ่งของสลายไป","烈焰和煙霧飄揚；都已不復存在。","Contains Explosive Charges.\nContains three Sealed Coffers.","Renferme des Charges explosives.\nRenferme trois Coffres scellés.","Enthält explosive Ladungen.\nEnthält drei Versiegelte Truhen.","爆発物保管箱がある。\n封印された金庫が3個ある。","폭발물이 등장합니다.\n봉인된 궤짝이 3개 등장합니다.","Contém Cargas Explosivas.\nContém três Cofres Selados.","Содержит взрывные заряды.\nСодержит три запечатанных ящика.","Contiene cargas explosivas.\nContiene tres arcas selladas.","มี วัตถุระเบิด\nมี หีบปิดผนึก 3 ใบ","含有多個爆裂物。\n含有 3 個密封寶箱。",[9221],48,473,43,2388,"Contains Explosive Charges.","Renferme des Charges explosives.","Enthält explosive Ladungen.","爆発物保管箱がある。","폭발물이 등장합니다.","Contém Cargas Explosivas.","Содержит взрывные заряды.","Contiene cargas explosivas.","มี วัตถุระเบิด","含有多個爆裂物。",[]
