"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective (English)","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
227,"PerandusBuyItems","Buy these Items","Achetez ces objets","Erwerbt diese Gegenstände","Buy these Items","아이템 구입하기","Compre estes Itens","Купить предметы","Compra estos Objetos","ซื้อไอเทมเหล่านี้","大財主",13,"Purchase each of the following items from Cadiro Perandus.","Achetez chacun des objets suivants à Cadiro Pérandus :","Erwerbt jeden der folgenden Gegenstände von Cadiro Perandus.","Purchase each of the following items from Cadiro Perandus.","카디로 페란두스로부터 다음 아이템을 전부 구입하십시오.","Adquira cada um dos seguintes itens através do Cadiro Perandus.","Купите предметы у Кадиро","Cómprale cada uno de los siguientes objetos a Cadiro Perandus.","ซื้อไอเทมแต่ละอันดังต่อไปนี้ จาก Cadiro Perandus","從卡迪羅普蘭德斯身上購買以下物品。",48722,1,"","",0,1,"","","","","",""
228,"PerandusKillMercilessBosses","Kill these Merciless Act Bosses","Tuez ces Boss d'actes en Impitoyable","Tötet diese Akt-Bosse im Schwierigkeitsgrad 'Gnadenlos'","Kill these Merciless Act Bosses","각 장의 보스 처치하기 (무자비)","Mate estes Chefes no Impiedoso","Убить безжалостных боссов","Mata a estos Jefes de Acto en Despiadado","สังหารบอสตาม Act เหล่านี้ใน Merciless ","無情殺手",13,"Kill each of the following Unique bosses in Merciless Difficulty.","Tuez chacun des Boss uniques suivants en difficulté Impitoyable :","Tötet jeden der folgenden einzigartigen Bosse im Schwierigkeitsgrad 'Grausam'.","Kill each of the following Unique bosses in Merciless Difficulty.","무자비 난이도에서 다음 고유 보스를 전부 처치하십시오.","Mate cada um dos seguintes chefes Únicos na Dificuldade Impiedoso.","Убейте боссов на сложности Безжалостный мир.","Mata cada uno de los siguientes Jefes Únicos en dificultad Despiadada.","สังหาร Unique bosses แต่ละตัวดังต่อไปนี้ ที่อยู่ในระดับความยาก Merciless","在無情難度擊殺指定傳奇怪物。",54916,"","","",0,"","","","","","",""
229,"PerandusKillAtziriBosses","Kill Atziri's Elite","Tuez l'élite d'Atziri","Tötet Atziris Elite","Kill Atziri's Elite","앗지리의 정예병 처치하기","Mate a Elite da Atziri","Элита Атзири","Mata Élites de Atziri","สังหาร Atziri's Elite","阿茲里的精英",13,"Kill each of the following Unique monsters.","Tuez chacun des Monstres uniques suivants :","Tötet jedes der folgenden einzigartigen Monster.","Kill each of the following Unique monsters.","다음 고유 몬스터를 전부 처치하십시오.","Mate cada um dos seguintes monstros Únicos.","Убейте уникальных монстров.","Mata cada uno de los siguientes Monstruos Únicos.","สังหาร Unique monsters แต่ละตัวดังต่อไปนี้","擊殺以下傳奇怪物。",35776,1,"","",0,1,"","","","","",""
230,"PerandusReach90","Reach level 90","Atteignez le niveau 90","Erreicht die Stufe 90","Reach level 90","90레벨 도달하기","Alcance Nível 90","Достичь 90 уровня","Alcanza Nivel 90","เพิ่มเลเวลถึง 90","練功達人",13,"Attain character level 90. This challenge still counts even if your character dies afterwards.","Atteignez le niveau 90. Une fois terminé, ce défi n'est pas perdu si votre personnage meurt.","Erreicht die Charakterstufe 90. Diese Herausforderung wird selbst dann angerechnet, wenn ein Charakter stirbt, nachdem er Stufe 90 erreicht hat.","Attain character level 90. This challenge still counts even if your character dies afterwards.","캐릭터 90레벨에 도달하십시오. 해당 도전과제는 캐릭터가 죽은 후에도 집계됩니다.","Alcance nível 90 com um personagem. Este desafio ainda contará mesmo se o seu personagem morrer depois.","Дорастите героев до 90 уровня в лиге испытаний. Если герой умрет после достижения 90 уровня, он все равно идет в зачет.","Alcanza nivel 90. Este desafío cuenta aunque tu personaje muera después.","ตัวละครถึงเลเวล 90, ความท้าทายนี้ยังคงนับแม้ว่าตัวละครของคุณจะตายหลังจากนั้น","將角色提升等級至 90。專家級角色死亡仍然算達成。",50253,"",1,"",0,1,"","","","","",""
231,"PerandusClearUnidentifiedMaps","Clear Unidentified Rare Maps","Videz des Cartes rares non identifiées","Säubern: Nicht identifizierte seltene Karten","Clear Unidentified Rare Maps","미확인 희귀 지도 확보하기","Limpe Mapas Raros Não Identificados","Пройти неопознанные карты","Limpia Mapas Raros sin Identificar","กวาดล้าง Rare Maps ที่ไม่ได้ตรวจสอบ","賭命",13,"Fully clear the following rare end-game Maps while they're unidentified. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","Débarrassez les Cartes ci-dessous de tous leurs monstres. Celles-ci doivent impérativement être rares et non identifiées. Tapez la commande /restant pour savoir combien de monstres il vous reste à tuer. Ce défi sera comptabilisé pour tous les joueurs présents.","Säubert folgende seltene und nicht identifizierte Endgame-Karten. Verwendet den Befehl /übrig, um zu sehen, wie viele Monster übrig sind. Alle in diesem Gebiet erhalten Punkte für die gemeisterte Aufgabe.","Fully clear the following rare end-game Maps while they're unidentified. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","다음 미확인된 희귀 엔드게임 지도를 장악하십시오. /remaining 명령어로 근처에 몬스터가 얼마나 남았는지 확인할 수 있습니다. 지역에 있는 모든 플레이어가 장악에 대한 보상을 받습니다.","Limpe completamente Mapas raros de nível alto enquanto estiverem não identificados. Use o comando /restante para ver quantos monstros faltam, assim que estiver próximo do fim. Todos na área receberão crédito pela limpeza.","Убейте всех монстров на редких картах, которые не опознаны. Используйте команду /осталось, чтобы увидеть количество монстров. Всем игрокам в области зачтётся зачистка.","Limpia completamente los siguientes Mapas raros del fin del juego mientras están sin identificar. Usa el comando /restante para ver cuántos monstruos restan, cuando te encuentres cerca. Todos dentro del área recibirán el crédito por limpiar el área completamente.","กวาดล้างทั้งหมดของพื้นที่ใน rare end-game Maps ดังต่อไปนี้, ในขณะที่ยังไม่ได้ตรวจสอบ ใช้คำสั่ง /remaining เพื่อดูจำนวนของมอนสเตอร์ที่อยู่, เมื่อคุณอยู่ใกล้เคียง. ทุกคนที่อยู่ในพื้นที่ก็จะได้รับ credit การกวาดล้างด้วยเช่นกัน","全清以下未鑑定稀有異界地圖。你可以使用 /remaining 來確認剩餘怪物數量。每一位參與清空的隊員都會在清空時被納入計算。",3176,1,"","",0,1,"","","","","",""
232,"PerandusKillUniqueMapBosses","Kill these Unique Map Bosses","Tuez ces Boss uniques dans les Cartes","Tötet Bosse einzigartiger Karten","Kill these Unique Map Bosses","지도의 고유 보스 처치하기","Mate Estes Chefes de Mapas Únicos","Убить уникальных боссов","Mata a estos Jefes de Mapa Únicos","สังหารบอสเหล่านี้ใน Unique Map","狩獵異界頭目",13,"Kill each of the following Unique bosses.","Tuez chacun des Boss uniques suivants :","Tötet jeden der folgenden einzigartigen Bosse.","Kill each of the following Unique bosses.","다음 고유 보스를 전부 처치하십시오.","Mate cada um dos seguintes chefes Únicos.","Убейте боссов на картах.","Mata cada uno de los siguientes jefes Únicos.","สังหาร Unique bosses แต่ละตัวดังต่อไปนี้","殺死以下傳奇頭目。",4364,1,"","",0,1,"","","","","",""
233,"PerandusCompleteEncountersMerciless","Complete these Encounters IV","Achevez ces rencontres IV","Absolviert diese Gefechte IV","Complete these Encounters IV","인카운터 완료하기 IV","Complete estes Encontros IV","События 4","Completa estos Encuentros IV","สำเร็จ Encounters IV","見多識廣 4",13,"Complete each of the following Encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","Complete each of the following Encounters.","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes Encontros.","Выполните следующие действия в игре.","Completa cada uno de los siguientes Encuentros.","สำเร็จ Encounters ดังต่อไปนี้ ตามในแต่ละแบบ","完成以下的遭遇。",63305,1,"","",0,"","","","","","",""
234,"PerandusFullClearManor","Clear Perandus Manor","Videz le Manoir des Pérandus","Säubern: Perandus-Anwesen","Clear Perandus Manor","페란두스 저택 완료하기","Limpe a Mansão de Perandus","Зачистить особняк Перандусов","Limpia la Mansión Perandus","กวาดล้างในคฤหาสน์ Perandus","直搗普蘭德斯",13,"Fully clear the Perandus Manor end-game Map. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","Débarrassez la Carte Manoir des Pérandus de tous ses monstres. Tapez la commande /restant pour savoir combien de monstres il vous reste à tuer. Ce défi sera comptabilisé pour tous les joueurs présents.","Säubert die Endgame-Karte 'Perandus-Anwesen'. Verwendet den Befehl /übrig, um zu sehen, wie viele Monster übrig sind, sobald Ihr Euch nähert. Alle in diesem Gebiet erhalten Punkte für die gemeisterte Aufgabe.","Fully clear the Perandus Manor end-game Map. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","엔드게임 지도인 페란두스 저택(Perandus Manor)을 장악하십시오. /remaining 명령어로 근처에 몬스터가 얼마나 남았는지 확인할 수 있습니다. 지역에 있는 모든 플레이어가 장악에 대한 보상을 받습니다.","Limpe completamente o Mapa de nível alto, Mansão de Perandus. Use o comando /restante para ver quantos monstros faltam, assim que estiver próximo do fim. Todos na área receberão crédito pela limpeza.","Убить всех монстров в особняке Перандусов - уникальной карте. Используйте команду /осталось, чтобы увидеть количество монстров. Всем игрокам в области зачтётся зачистка.","Limpia completamente el Mapa de fin de juego de la Mansión Perandus. Usa el comando /restante para ver cuántos monstruos restan, cuando te encuentres cerca. Todos dentro del área recibirán el crédito por limpiar el área completamente.","กวาดล้างทั้งหมดของพื้นที่ใน Perandus Manor end-game Map ดังต่อไปนี้, ใช้คำสั่ง /remaining เพื่อดูจำนวนของมอนสเตอร์ที่อยู่, เมื่อคุณอยู่ใกล้เคียง. ทุกคนที่อยู่ในพื้นที่ก็จะได้รับ credit การกวาดล้างด้วยเช่นกัน","全清普蘭德斯莊園異界地圖。你可以使用 /remaining 來確認剩餘怪物數量。每一位參與清空的隊員都會在清空時被納入計算。",28444,"",1,"",0,1,"","","","","",""
235,"PerandusDivinationCards","Redeem Divination Card Sets","Remettez des jeux de Cartes divinatoires","Löst Sets mit Weissagungskarten ein","Redeem Divination Card Sets","점술 카드 세트 교환하기","Resgate estas Cartas de Adivinhação","Наборы карт","Intercambia Barajas de Cartas de Adivinación","แลกไพ่พยากรณ์","命運卡好玩",13,"Turn in sets of at least 7 of the following 13 Divination card types to Tasuni:","Remettez à Tasuni les jeux complets de Cartes divinatoires ci-dessous. Vous devez accomplir au moins 7 objectifs sur les 13 proposés.","Löst bei Tasuni Sets von mindestens 7 der folgenden 13 Typen von Weissagungskarten ein:","Turn in sets of at least 7 of the following 13 Divination card types to Tasuni:","13가지 유형의 점술 카드 세트 중 7가지 이상을 타수니에게 제출하십시오.","Entregue ao menos 7 dos seguintes 13 tipos de Cartas de Adivinhação ao Tasuni:","Сдайте Тасуни минимум 7 из 13 наборов карт:","Entrégale barajas de al menos 7 de los siguientes 13 tipos de cartas de Adivinación a Tasuni:","ส่งชุดการ์ด XXX ตามที่กำหนดไว้ YYY ตามชนิดของการ์ด Divination ให้ Tasuni:","與達蘇尼兌換至少 7  種以下的命運卡的牌組：",64798,1,"","",7,1,"","","","","",""
236,"PerandusKillT15Bosses","Kill Two Deadly Bosses","Tuez deux de ces Boss redoutables","Tötet zwei tödliche Bosse","Kill Two Deadly Bosses","2명의 강력한 보스 처치하기","Mate Dois Chefes Mortais","Убить боссов","Mata Dos Jefes Mortíferos","สังหาร Deadly Bosses 2 ตน","王中之王",13,"Kill 2 of the following 3 Unique bosses.","Tuez 2 des 3 Boss uniques suivants :","Tötet zwei der folgenden drei einzigartigen Bosse.","Kill 2 of the following 3 Unique bosses.","다음 3명 중 2명의 고유 보스를 처치하십시오.","Mate 2 dos seguintes 3 chefes Únicos","Убейте 2 из 3 этих боссов.","Mata a 2 de los siguientes 3 jefes Únicos.","สังหาร Unique bosses จาก 2 ใน 3 ดังต่อไปนี้","擊殺下列 3 名傳奇頭目的其中 2 名。",7855,1,"","",2,"","","","","","",""
237,"PerandusClearTwinnedMaps","Clear Twinned Maps","Videz des Cartes jumelées","Säubern: Karten mit doppeltem Boss","Clear Twinned Maps","이중 지도 완료하기","Limpe Mapas Geminados","Зачистить двойные карты","Limpia mapas gemelos","กวาดล้างใน Twinned Maps","孿生之禍",13,"Fully clear maps in each of the following tiers while they have the Twinned mod. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","Pour chacun des paliers ci-dessous, entrez dans une Carte avec le mod \""Jumelé\"" et débarrassez-la de tous ses monstres. Tapez la commande /restant pour savoir combien de monstres il vous reste à tuer. Ce défi sera comptabilisé pour tous les joueurs présents.","Säubert Karten mit dem Modifikator 'Doppelt' jedes folgenden Levels. Verwendet den Befehl /übrig, um zu sehen, wie viele Monster übrig sind. Alle in diesem Gebiet erhalten Punkte für die gemeisterte Aufgabe.","Fully clear maps in each of the following tiers while they have the Twinned mod. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","\""이중\"" 속성 부여를 보유한 지도를 다음 등급별로 장악하십시오. /remaining 명령어로 근처에 몬스터가 얼마나 남았는지 확인할 수 있습니다. 지역에 있는 모든 플레이어가 장악에 대한 보상을 받습니다.","Limpe completamente mapas de cada um dos seguintes tiers enquanto eles possuírem a propriedade Geminado. Use o comando /restante para ver quantos monstros faltam, assim que estiver próximo do fim. Todos na área receberão crédito pela limpeza.","Убить всех монстров на картах с 2 боссами. Используйте команду /осталось, чтобы увидеть количество монстров. Всем игрокам в области зачтётся зачистка.","Limpia completamente mapas de cada uno de los siguientes grados mientras tienen el modificador Gemelo. Usa el comando /restante para ver cuántos monstruos restan, cuando te encuentres cerca. Todos dentro del área recibirán el crédito por limpiar el área completamente.","กวาดล้างทั้งหมดของแผนที่ตาม Tiers ดังต่อไปนี้ ในขณะที่มี Twinned mod, ใช้คำสั่ง /remaining เพื่อดูจำนวนของมอนสเตอร์ที่อยู่, เมื่อคุณอยู่ใกล้เคียง. ทุกคนที่อยู่ในพื้นที่ก็จะได้รับ credit การกวาดล้างด้วยเช่นกัน","全清以下有地圖詞綴「孿生的」的所有地圖階級。你可以使用 /remaining 來確認剩餘怪物數量。每一位參與清空的隊員都會在清空時被納入計算。",28674,"","","",0,1,"","","","","",""
238,"PerandusIdentifyTreasures","Identify these Treasures","Identifiez ces trésors","Identifiziert diese Schätze","Identify these Treasures","보물 식별하기","Identifique estes Tesouros","Опознать сокровища","Identifica estos Tesoros","ตรวจสอบสมบัติเหล่านี้","獨具慧眼",13,"Identify four of these twelve Unique Items. You can trade them away afterwards.","Identifiez 4 des 12 Objets uniques ci-dessous. Vous êtes libre de vous en séparer ensuite.","Identifiziert vier dieser zwölf einzigartigen Gegenstände. Ihr könnt die Gegenstände im Anschluss handeln.","Identify four of these twelve Unique Items. You can trade them away afterwards.","다음 12개 중 4개의 고유 아이템을 식별하십시오. 식별한 후에도 거래할 수 있습니다.","Identifique quatro destes doze Itens Únicos. Você pode negociá-los depois.","Опознайте 4 из 12 уникальных предметов. После этого предмет можно обменять.","Identifica cuatro de estos doce Objetos Únicos. Después puedes intercambiarlos.","ตรวจสอบ Unique Items จาก 4 ใน 12 ชิ้น คุณสามารถแลกเปลี่ยนมันได้หลังจากนี้","鑑定以下 12 種傳奇物品中的 4 種。鑑定後可以販售或交易掉此傳奇物品。",46703,1,"","",4,1,"","","","","",""
239,"PerandusClear8ModMaps","Clear Maps with Eight Mods","Videz des Cartes à huit mods","Säubern: Karten mit acht Mods","Clear Maps with Eight Mods","8개의 속성 부여가 적용된 지도 지역 확보하기","Limpe Mapas com Oito Mods","Карты с 8 свойствами","Limpia Mapas con Ocho Modificadores","กวาดล้างใน 8 Mod Maps","八方雲集",13,"Fully clear maps in 10 of the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","Pour 10 des 15 paliers ci-dessous, entrez dans une Carte dotée de 8 mods et débarrassez-la de tous ses monstres. Une Carte corrompue par un Orbe vaal a des chances de recevoir 8 mods. Tapez la commande /restant pour savoir combien de monstres il vous reste à tuer. Ce défi sera comptabilisé pour tous les joueurs présents.","Säubert Karten aus 10 der folgenden 15 Level mit je acht Modifikatoren. Karten mit acht Modifikatoren können durch das Verderben mit Vaalsphären entstehen. Verwendet den Befehl /übrig, um zu sehen, wie viele Monster übrig sind. Alle in diesem Gebiet erhalten Punkte für die gemeisterte Aufgabe.","Fully clear maps in 10 of the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","8개의 속성이 부여된 다음 15등급 지도 지역 중 10곳을 장악하십시오. 8개의 속성이 부여된 지도는 바알 오브를 사용한 타락의 결과물이 될 수 있습니다. /remaining 명령어로 근처에 몬스터가 얼마나 남았는지 확인할 수 있습니다. 지역에 있는 모든 플레이어가 장악에 대한 보상을 받습니다.","Limpe completamente 10 mapas dos seguintes 15 tiers enquanto eles possuírem 8 mods. Use o comando /restante para ver quantos monstros faltam, assim que estiver próximo do fim. Todos na área receberão crédito pela limpeza.","Убейте монстров на картах 10 разных уровней с 8 свойствами. 8 свойств на картах можно получить осквернением сферы ваал. Используйте команду /осталось, чтобы увидеть количество монстров. Всем игрокам в области зачтётся зачистка.","Limpia completamente mapas en 10 de los siguientes 15 grados mientras tengan 8 modificadores. Usa el comando /restante para ver cuántos monstruos restan, cuando te encuentres cerca. Todos dentro del área recibirán el crédito por limpiar el área completamente.","กวาดล้างทั้งหมดของแผนที่ตาม Tiers จาก 10 ใน 15 แบบดังต่อไปนี้ ในขณะที่มี 8 mod, ใช้คำสั่ง /remaining เพื่อดูจำนวนของมอนสเตอร์ที่อยู่, เมื่อคุณอยู่ใกล้เคียง. ทุกคนที่อยู่ในพื้นที่ก็จะได้รับ credit การกวาดล้างด้วยเช่นกัน","以下 15 個地圖階級中全清 10 個擁有 8 個地圖詞綴的異界地圖。 擁有 8 個詞綴的異界地圖可以透過瓦爾寶珠的汙染取得。你可以使用 /remaining 來確認剩餘怪物數量。每一位參與清空的隊員都會在清空時被納入計算。",28773,"","","",10,1,"","","","","",""
240,"PerandusLevel8Zana","Fully Level Zana","Atteignez le maximum auprès de Zana","Zanas Ansehen","Fully Level Zana","자나 레벨업 완료하기","Treine a Zana ao Máximo","Зана максимального уровня","Sube de Nivel completamente a Zana","เลเวลของ Zana เต็มแล้ว","札娜是我的",13,"Reach Reputation Level 8 with Zana, Master Cartographer.","Atteignez le niveau 8 de réputation auprès de Zana, Maître-cartographe. ","Erreicht für Zana, Meisterkartographin, ein Ansehen der Stufe 8.","Reach Reputation Level 8 with Zana, Master Cartographer.","지도의 대가 자나의 평판 레벨을 8까지 올리십시오.","Atinja Nível 8 de Reputação com a Zana, Mestre da Cartografia.","Прокачать до 8 уровня репутацию с Заной, Мастером странствий.","Alcanza Reputación Nivel 8 con Zana, Maestra Cartógrafa.","เพิ่มค่าชื่อเสียงกับ Zana ถึงเลเวล 8, Master Cartographer","將製圖大師札娜的聲望提升至等級 8。",4947,"",1,"",0,1,"","","","","",""
241,"PerandusCatchFish","Catch these Fish","Attrapez ces poissons","Fangt diese Fische","Catch these Fish","생선 잡기","Pesque estes Peixes","Поймать рыбу","Pesca a estos Peces","จับปลาเหล่านี้","到陣來釣魚",2,"Catch each of the following Unique Fish.","Attrapez chacun des Poissons uniques suivants : ","Fangt jeden dieser einzigartigen Fische.","Catch each of the following Unique Fish.","다음 고유 생선을 전부 잡으십시오.","Pesque cada um dos seguintes Peixes Únicos.","Выловите уникальных рыб.","Pesca cada uno de los siguientes Peces Únicos.","ตก Unique Fish แต่ละตัวดังต่อไปนี้","捕捉下列傳奇魚。",54188,1,"",1,0,"","","","","","",""
242,"ProphecyActivateWaypoints","Activate Normal Waypoints","Activez ces points de téléportation en Normal","Aktiviert normale Wegpunkte","Activate Normal Waypoints","거점 활성화하기 (일반)","Ative Marcadores: Normal","Обычный мир: порталы","Activa los Traslocadores en Normal","เปิดแท่นวาร์ปในระดับ Normal","瞬間移動",14,"Activate the Waypoints in each of the following areas in Normal difficulty.","Activez les Points de téléportation de chacune des zones suivantes en difficulté Normale :","Aktiviert diese Wegpunkte in den folgenden Gebieten im Schwierigkeitsgrad 'Normal'.","Activate the Waypoints in each of the following areas in Normal difficulty.","일반 난이도에서 다음 지역의 거점을 전부 활성화하십시오.","Ative cada Marcador das seguinte áreas na Dificuldade Normal.","Активируйте порталы следующих областей в Обычном мире.","Activa los Traslocadores en cada una de las siguientes áreas en dificultad Normal.","เปิดใช้งานแท่นวาร์ปในแต่ละพื้นที่ของระดับความยาก Normal","在一般難度下開啟下列區域中的傳送點。",24589,"","","",0,1,"","","","","",""
243,"ProphecyKillAct2Uniques","Kill these Act 2 Uniques","Tuez ces Boss uniques de l'acte 2","Tötet diese einzigartigen Bosse aus Akt 2","Kill these Act 2 Uniques","2장 고유 보스 처치하기","Mate estes Únicos do Ato 2","Убить уникальных боссов ","Mata a estos Únicos del Acto 2","สังหารเหล่ายูนิคใน Act2","受死吧，第二章",14,"Kill each of the following Unique bosses.","Tuez chacun des Boss uniques suivants :","Tötet jeden der folgenden einzigartigen Bosse.","Kill each of the following Unique bosses.","다음 고유 보스를 전부 처치하십시오.","Mate cada um dos seguintes chefes Únicos.","Убейте следующих уникальных боссов.","Mata cada uno de los siguientes Jefes Únicos.","สังหารบอสระดับ ยูนิค แต่ละตัวต่อไปนี้","殺死以下傳奇頭目。",19455,1,"","",0,1,"","","","","",""
244,"ProphecyKillSilverBearers","Kill 50 Monsters Bearing Silver","Tuez 50 Monstres porteurs d'argent","Tötet 50 Monster mit Silber","Kill 50 Monsters Bearing Silver","실버 코인을 가진 몬스터 50마리 처치","Mate 50 Monstros da Prata","Убить монстров с серебром","Mata a 50 Monstruos que Lleven Plata","สังหารมอนสเตอร์ 50 ตัวที่มีเหรียญเงิน","銀幣控",14,"Kill 50 monsters that are carrying Silver Coins.","Tuez 50 monstres qui portent des Pièces d'argent.","Tötet 50 Monster, die Silbermünzen tragen.","Kill 50 monsters that are carrying Silver Coins.","실버 코인을 지니고 있는 몬스터 50마리를 처치하십시오.","Mate 50 monstros que estejam carregando Moedas de Prata.","Убейте 50 монстров с серебряными монетами.","Mata 50 monstruos que lleven Monedas de Plata.","สังหารมอนสเตอร์ 50 ตัวที่มีเหรียญเงิน","殺死 50 隻身上有銀幣的怪物。",16815,"",1,"",0,1,"","","","","",""
245,"ProphecyFulfilProphecy","Fulfill a Prophecy","Réalisez une Prophétie","Erfüllt eine Prophezeiung","Fulfill a Prophecy","예언 이행하기","Complete uma Profecia","Исполнить пророчество","Cumple una Profecía","สำเร็จภารกิจ Prophecy","預言都是真的",14,"Complete any Prophecy.","Réalisez une Prophétie.","Erfüllt eine beliebige Prophezeiung.","Complete any Prophecy.","예언을 하나 이행하십시오.","Complete qualquer Profecia.","Завершите любое пророчество.","Completa cualquier Profecía.","สำเร็จภารกิจต่างๆของ Prophecy","完成 1 個預言。",21773,"",1,"",0,1,"","","","","",""
246,"ProphecyCompleteEncounters1","Complete these Encounters I","Achevez ces rencontres I","Absolviert diese Gefechte I","Complete these Encounters I","인카운터 완료하기 I","Complete estes Encontros I","События 1","Completa estos Encuentros I","สำเร็จภารกิจการเผชิญหน้า ที่ 1","經歷豐富 I",14,"Complete each of the following Encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","Complete each of the following Encounters.","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes Encontros.","Выполните следующие действия в игре.","Completa cada uno de los siguientes Encuentros.","สำเร็จภารกิจการเผชิญหน้าในแต่ละภารกิจต่อไปนี้","完成以下的遭遇。",26568,1,"","",0,"","","","","","",""
247,"ProphecyKillNormalActBosses","Kill these Normal Act Bosses","Tuez ces Boss d'actes en Normal","Tötet diese Akt-Bosse im Schwierigkeitsgrad 'Normal'","Kill these Normal Act Bosses","각 장의 보스 처치하기 (일반)","Mate estes Chefes no Normal","Обычный мир: убить боссов","Mata a estos Jefes de Acto en Normal","สังหารเหล่าหัวหน้าใน Normal Act ","受死吧，普通頭目",14,"Kill each of the following Unique bosses in Normal Difficulty.","Tuez chacun des Boss uniques suivants en difficulté Normale :","Tötet jeden der folgenden einzigartigen Bosse im Schwierigkeitsgrad 'Normal'.","Kill each of the following Unique bosses in Normal Difficulty.","일반 난이도에서 다음 고유 보스를 전부 처치하십시오.","Mate cada um dos seguintes chefes Únicos na Dificuldade Normal.","Убейте следующих уникальных боссов на сложности Обычный мир.\r\n","Mata cada uno de los siguientes Jefes Únicos en Dificultad Normal.","สังหารหัวหน้าระดับ Unique แต่ละตัวของระดับความยาก Normal ต่อไปนี้","在一般難度擊殺下列傳奇頭目。",23317,"","","",0,"","","","","","",""
248,"ProphecyCreateHideout","Create a Hideout","Créez un Repaire","Erschafft ein Versteck","Create a Hideout","은신처 생성하기","Crie um Refúgio","Создать убежище","Crea una Guarida","สร้างที่ซ่อน","建造家園",14,"Create a Hideout of any size.","Aménagez un Repaire, quelle qu'en soit la superficie.","Erschafft ein Versteck beliebiger Größe.","Create a Hideout of any size.","규모에 상관없이 은신처를 생성하십시오.","Crie um Refúgio de qualquer tamanho.","Создайте убежище любого размера.","Crea una Guarida de cualquier tamaño.","สร้างที่ซ่อนของคุณ","創造任意大小的藏身處。",21299,"",1,"",0,1,"","","","","",""
