"rownum","BaseItemType","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemType","IsVaalVariant","MinionGlobalSkillLevelStat","GemType","bool","bool","Awakened","GemColour","MinLevelReq","ItemExperienceType","CraftingTypes","MtxSlotTypes","bool","GemEffects","bool","TutorialVideo","UI_Image","i32","CraftingLevel","bool","i32","bool","[rid]"
30,397,0,100,0,"","","",0,1,1,"",2,23,0,[2],[0],"",[32],"","Art/Videos/SkillTutorials/SnipersMark.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSnipersMark.dds",0,7,"",2,"",[]
31,398,0,0,100,"","",22164,0,1,1,"",3,32,0,[1],[0],"",[33],"","Art/Videos/SkillTutorials/Despair.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDespair.dds",1,9,"",2,"",[]
32,399,0,0,100,"","","",0,1,1,"",3,32,0,[7],[0],"",[34],"","Art/Videos/SkillTutorials/LightningWarp.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningWarp.dds",3,9,"",2,"",[]
33,408,100,0,0,"","","",0,1,1,"",1,7,0,[6],[0],"",[35],"","Art/Videos/SkillTutorials/ArmourBreaker.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArmourBreaker.dds",0,3,"",2,"",[]
34,409,0,100,0,"","","",0,1,1,"",2,32,0,[2],[0],"",[36],"","Art/Videos/SkillTutorials/RainofArrows.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRainOfArrows.dds",0,9,"",2,"",[]
35,3034,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[37],"","","",0,1,"",0,"",[4]
36,2952,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[38],"","","",0,1,"",0,"",[0]
37,410,0,0,100,"","","",0,1,1,"",3,42,0,[7],[0],"",[39],"","Art/Videos/SkillTutorials/Firestorm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFirestorm.dds",0,11,"",2,"",[]
38,411,0,50,50,"","","",0,1,1,"",4,1,0,[10],[0],"",[40],"","Art/Videos/SkillTutorials/FallingThunder.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFallingThunder.dds",0,1,"",2,"",[]
39,412,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[41],"","","",0,0,"",2,"",[]
40,413,0,100,0,"","","",0,1,1,"",2,1,0,[2],[0],"",[42],"","Art/Videos/SkillTutorials/LightningArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningArrow.dds",3,1,"",2,"",[]
41,415,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[43],"","","",0,0,"",2,"",[]
42,416,100,0,0,"","","",0,1,1,"",1,7,0,[6],[1],"",[44],"","Art/Videos/SkillTutorials/ShockwaveTotem.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShockwaveTotem.dds",0,3,"",2,"",[]
43,2982,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[45],"","","",0,2,"",0,"","[1,2,3]"
44,414,0,0,100,"","","",0,1,1,"",3,15,0,[7],[0],"",[46],"","Art/Videos/SkillTutorials/Arc.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArc.dds",2,5,"",2,"",[]
45,417,0,0,100,"","","",0,1,1,"",3,11,0,[7],[0],"",[47],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArcticArmour.dds",1,4,"",2,"",[]
46,2944,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[48],"","","",0,2,"",0,"","[0,2,3]"
47,3042,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[49],"","","",0,2,"",0,"","[4,2,3]"
48,2992,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[50],"","","",0,2,"",0,"","[1,2,3]"
49,2991,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[51],"","","",0,1,"",0,"",[1]
50,3001,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[52],"","","",0,3,"",0,"","[1,2,3]"
51,418,0,0,100,"","",22160,0,1,1,"",3,23,0,[7],[0],"",[53],"","Art/Videos/SkillTutorials/Flammability.bk2","",0,7,"",2,"",[]
52,419,0,0,100,"","",22161,0,1,1,"",3,23,0,[7],[0],"",[54],"","Art/Videos/SkillTutorials/Hypothermia.bk2","",0,7,"",2,"",[]
53,420,0,0,100,"","",22162,0,1,1,"",3,23,0,[7],[0],"",[55],"","Art/Videos/SkillTutorials/Conductivity.bk2","",0,7,"",2,"",[]
54,421,0,0,100,"","","",0,1,1,"",3,15,0,[7],[0],"",[56],"","Art/Videos/SkillTutorials/Incinerate.bk2","",0,5,"",2,"",[]
55,3035,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[57],"","","",0,2,"",0,"","[4,2,3]"
56,3055,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[58],"","","",0,1,"",0,"",[4]
57,2984,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[59],"","","",0,1,"",0,"",[1]
58,422,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[60],"","","",0,0,"",2,"",[]
59,423,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[61],"","","",0,0,"",2,"",[]
60,424,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[62],"","","",0,0,"",2,"",[]
61,425,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[63],"","Art/Videos/SkillTutorials/Flameblast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlameblast.dds",0,13,"",2,"",[]
62,426,0,100,0,"","","",0,1,1,"",2,15,0,"[2,8]",[0],"",[64],"","Art/Videos/SkillTutorials/Barrage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBarrage.dds",0,5,"",2,"",[]
63,427,0,0,100,"","","",0,1,1,"",3,42,0,[7],[0],"",[65],"","Art/Videos/SkillTutorials/BallLightning.bk2","",2,11,"",2,"",[]
64,428,0,0,100,"","","",0,1,1,"",3,42,0,[1],[0],"",[66],"","Art/Videos/SkillTutorials/BoneOffering.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBoneOffering.dds",1,11,"",2,"",[]
65,429,100,0,0,"","","",0,1,1,"",1,11,0,"[6,9]",[0],"",[67],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHeraldOfAsh.dds",0,4,"",2,"",[]
66,430,0,50,50,"","","",0,1,1,"",4,11,0,[10],[0],"",[68],"","","",0,4,"",2,"",[]
67,431,0,100,0,"","","",0,1,1,"",2,11,0,"[10,2,9,8]",[0],"",[69],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHeraldOfThunder.dds",0,4,"",2,"",[]
68,432,0,0,100,"","","",2,1,1,"",3,27,0,[1],[0],"",[70],"","","",2,8,"",2,"",[]
69,433,100,0,0,"","","",0,1,1,"",1,7,0,[6],[0],"",[71],"","Art/Videos/SkillTutorials/InfernalCry.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageInfernalCry.dds",0,3,"",2,"",[]
70,3072,0,0,100,"","","",1,1,1,"",3,1,17,[7],[0],"",[72],"","","",0,1,"",0,"",[4]
71,3028,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[73],"","","",0,1,"",0,"","[4,2,3]"
72,2976,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[74],"","","",0,1,"",0,"","[1,2,3]"
73,435,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[75],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRollingMagma.dds",0,0,"",2,"",[]
74,436,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[76],"","Art/Videos/SkillTutorials/FrostBomb.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostBomb.dds",2,1,"",2,"",[]
75,437,0,0,100,"","","",0,1,1,"",3,7,0,[7],[0],"",[77],"","Art/Videos/SkillTutorials/OrbofStorms.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageOrbOfStorms.dds",2,3,"",2,"",[]
76,438,100,0,0,"","","",0,1,1,"",1,1,0,[6],[0],"",[78],"","Art/Videos/SkillTutorials/Earthquake.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEarthquake.dds",0,1,"",2,"",[]
77,439,0,0,100,"","","",0,1,1,"",3,1,0,[1],[0],"",[79],"","Art/Videos/SkillTutorials/Contagion.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageContagion.dds",3,1,"",2,"",[]
78,440,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[80],"","","",0,0,"",2,"",[]
79,441,0,0,100,"","","",0,1,1,"",3,7,0,[1],[0],"",[81],"","Art/Videos/SkillTutorials/EssenceDrain.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEssenceDrain.dds",3,3,"",2,"",[]
80,3069,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[82],"","","",0,1,"",0,"",[4]
81,442,100,0,0,"","","",0,1,1,"",1,32,0,[6],[0],"",[83],"","Art/Videos/SkillTutorials/Sunder.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSunder.dds",0,9,"",2,"",[]
82,443,0,0,100,"","","",0,1,1,"",3,7,0,[7],[0],"",[84],"","Art/Videos/SkillTutorials/Frostbolt.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostbolt.dds",1,3,"",2,"",[]
83,3054,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[85],"","","",0,3,"",0,"",[4]
84,444,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[86],"","","",0,0,"",2,"",[]
85,400,0,0,100,"","",9634,0,1,1,"",3,1,0,[],[0],"",[90],"","Art/Videos/SkillTutorials/SkeletalSniper.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalSniper.dds",0,0,"",2,"",[]
86,401,0,0,100,"","",9634,0,1,1,"",3,32,0,[1],[0],"",[88],"","Art/Videos/SkillTutorials/SkeletalReaver.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalReaver.dds",0,9,"",2,"",[]
87,402,0,0,100,"","",9634,0,1,1,"",3,53,0,[1],[0],"",[89],"","Art/Videos/SkillTutorials/SkeletalBrute.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalBrute.dds",0,13,"",2,"",[]
88,403,0,0,100,"","",9634,0,1,1,"",3,1,0,[1],[0],"",[90],"","Art/Videos/SkillTutorials/SkeletalSniper.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalSniper.dds",0,1,"",2,"",[]
89,404,0,0,100,"","",9634,0,1,1,"",3,15,0,[1],[0],"",[91],"","Art/Videos/SkillTutorials/SkeletalFrostMage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalFrostMage.dds",0,5,"",2,"",[]
90,405,0,0,100,"","",9634,0,1,1,"",3,42,0,[1],[0],"",[92],"","Art/Videos/SkillTutorials/SkeletalStormMage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalStormMage.dds",0,11,"",2,"",[]
91,406,0,0,100,"","",9634,0,1,1,"",3,7,0,[1],[0],"",[93],"","Art/Videos/SkillTutorials/SkeletalArsonist.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalArsonist.dds",0,3,"",2,"",[]
92,407,0,0,100,"","",9634,0,1,1,"",3,53,0,[1],[0],"",[94],"","Art/Videos/SkillTutorials/SkeletalCleric.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalCleric.dds",0,13,"",2,"",[]
93,3030,0,0,100,"","","",1,1,1,"",3,1,0,[6],[0],"",[95],"","","",0,2,"",0,"","[4,2,3]"
94,2931,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[96],"","","",0,1,"",0,"","[0,2,3]"
95,2980,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[97],"","","",0,1,"",0,"","[1,2,3]"
96,2981,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[98],"","","",0,2,"",0,"","[1,5]"
97,2959,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[99],"","","",0,3,"",0,"",[0]
98,3004,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[100],"","","",0,1,"",0,"","[1,2,3]"
99,2951,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[101],"","","",0,1,"",0,"","[0,2,3]"
100,3014,0,100,0,"","","",1,1,1,"",2,5,17,[2],[0],"",[102],"","","",0,2,"",0,"","[1,2,3]"
101,3059,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[103],"","","",0,1,"",0,"",[4]
102,445,0,0,100,"","",22163,0,1,1,"",3,23,0,[1],[0],"",[104],"","Art/Videos/SkillTutorials/Vulnerability.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageVulnerability.dds",0,7,"",2,"",[]
103,3039,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[105],"","","",0,1,"",0,"",[4]
104,446,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[106],"","","",0,0,"",2,"",[]
105,3036,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[107],"","","",0,1,"",0,"","[4,2,3]"
106,447,0,100,0,"","","",1,1,1,"",2,18,0,[6],[0],"",[108],"","","",0,2,"",0,"","[1,2,3]"
107,2936,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[109],"","","",0,1,"",0,"",[0]
108,448,0,100,0,"","","",0,1,1,"",2,11,0,[2],[0],"",[110],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImagePlagueBearer.dds",0,4,"",2,"",[]
109,3058,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[111],"","","",0,2,"",0,"",[4]
110,2953,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[112],"","","",0,1,"",0,"",[0]
111,2956,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[113],"","","",0,2,"",0,"",[0]
112,449,50,50,0,"","","",0,1,1,"",4,32,0,[9],"[0,1]","",[114],"","Art/Videos/SkillTutorials/ArtilleryBallista.bk2","",0,9,"",2,"",[]
113,2994,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[115],"","","",0,1,"",0,"","[1,2,3]"
114,434,100,0,0,"","","",0,1,1,"",1,42,0,[6],[0],"",[116],"","Art/Videos/SkillTutorials/SeismicCry.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSeismicCry.dds",0,11,"",2,"",[]
115,450,100,0,0,"","","",0,1,1,"",1,23,0,[6],[0],"",[117],"","Art/Videos/SkillTutorials/Earthshatter.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEarthshatter.dds",0,7,"",2,"",[]
116,451,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[118],"","","",0,0,"",2,"",[]
117,452,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[119],"","Art/Videos/SkillTutorials/FlameWall.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlameWall.dds",0,1,"",2,"",[]
118,3070,0,0,100,"","","",1,"",1,"",3,1,17,[7],[0],"",[120],"","","",0,1,"",0,"","[4,2,3]"
119,453,0,0,100,"","","",0,1,1,"",3,42,0,[1],[0],"",[121],"","Art/Videos/SkillTutorials/Hexblast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHexblast.dds",2,11,"",2,"",[]
120,454,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[122],"","","",0,0,"",2,"",[]
121,455,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[123],"","","",0,0,"",2,"",[]
122,2937,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[124],"","","",0,1,"",0,"",[0]
123,2940,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[125],"","","",0,3,"",0,"",[0]
124,2938,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[126],"","","",0,1,"",0,"","[0,2,3]"
125,456,100,0,0,"","","",0,1,1,"",1,1,0,[6],[0],"",[127],"","Art/Videos/SkillTutorials/Boneshatter.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBoneshatter.dds",0,1,"",2,"",[]
126,457,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[128],"","Art/Videos/SkillTutorials/EyeOfWinter.bk2","",0,13,"",2,"",[]
127,458,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[129],"","","",0,0,"",2,"",[]
128,2988,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[130],"","","",0,3,"",0,"",[1]
129,459,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[131],"","Art/Videos/SkillTutorials/LightningConduit.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningConduit.dds",0,13,"",2,"",[]
130,460,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[132],"","","",0,0,"",2,"",[]
131,461,100,0,0,"","","",0,1,1,"",1,32,0,[6],[0],"",[133],"","Art/Videos/SkillTutorials/VolcanicFissure.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageVolcanicFissure.dds",0,9,"",2,"",[]
132,462,0,100,0,"","","",0,1,1,"",2,15,0,[8],[0],"",[134],"","Art/Videos/SkillTutorials/RapidStrikes.bk2","",0,5,"",2,"",[]
133,463,0,100,0,"","","",0,1,1,"",2,1,0,[8],[0],"",[135],"","Art/Videos/SkillTutorials/Disengage.bk2","",0,1,"",2,"",[]
134,464,0,100,0,"","","",0,1,1,"",2,23,0,[8],[0],"",[136],"","Art/Videos/SkillTutorials/Bloodhunt.bk2","",0,7,"",2,"",[]
135,465,0,100,0,"","","",0,1,1,"",2,1,0,[8],[0],"",[137],"","Art/Videos/SkillTutorials/WhirlingSlash.bk2","",0,1,"",2,"",[]
136,466,0,100,0,"","","",0,1,1,"",2,15,0,[8],[0],"",[138],"","Art/Videos/SkillTutorials/Spearfield.bk2","",0,5,"",2,"",[]
137,467,0,0,100,"","","",2,1,1,"",3,51,0,[],[0],"",[139],1,"","",0,0,"",2,"",[]
138,468,0,100,0,"","","",0,1,1,"",2,7,0,[8],[0],"",[140],"","Art/Videos/SkillTutorials/LightningSpear.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageStormSpear.dds",0,3,"",2,"",[]
139,469,0,100,0,"","","",0,1,1,"",2,23,0,[8],[0],"",[141],"","Art/Videos/SkillTutorials/GlacialLance.bk2","",0,7,"",2,"",[]
140,470,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[142],"","","",0,0,"",2,"",[]
141,471,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[143],"","","",0,0,"",2,"",[]
142,472,0,50,50,"","","",0,1,1,"",4,42,0,[10],[0],"",[144],"","Art/Videos/SkillTutorials/WhirlingAssault.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageWhirlingAssault.dds",0,11,"",2,"",[]
143,473,100,0,0,"","","",0,1,1,"",1,1,0,[6],[0],"",[145],"","Art/Videos/SkillTutorials/RollingSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDoubleSlam.dds",0,1,"",2,"",[]
144,474,0,100,0,"","","",0,1,1,"",2,1,0,[2],[0],"",[146],"","Art/Videos/SkillTutorials/EscapeShot.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEscapeShot.dds",2,1,"",2,"",[]
145,475,100,0,0,"","","",0,1,1,"",1,42,0,[6],[0],"",[147],"","Art/Videos/SkillTutorials/SuperchargedSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSuperchargedSlam.dds",0,11,"",2,"",[]
146,476,0,100,0,"","","",0,1,1,"",2,1,17,[],[0],"",[148],"","","",0,0,"",2,"",[]
147,477,0,50,50,"","","",0,1,1,"",4,15,0,[10],[0],"",[149],"","Art/Videos/SkillTutorials/WindBlast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageWindBlast.dds",0,5,"",2,"",[]
148,478,50,50,0,"","","",0,1,1,"",4,1,0,[],[0],"",[150],"","","",0,0,"",2,"",[]
149,479,0,100,0,"","","",0,1,1,"",2,1,0,[],[0],"",[151],"","","",0,0,"",2,"",[]
