"rownum","Id","AnimatedObject","AdditionalAnimatedObjects","i32","i32","i32","i32","i32","i32","bool"
34,"MapBastille","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Bastille01.ao",[],0,0,0,0,-10,10,""
35,"MapCreek","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Creek01.ao",[],0,0,0,0,-10,10,""
36,"MapCrimsonShores","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/CrimsonShores01.ao",[],0,0,0,0,-10,10,""
37,"MapDecay","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Decay01.ao",[],0,0,0,0,-10,10,""
38,"MapDerelictMansion","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/DerelictMansion01.ao",[],0,0,0,0,-10,10,""
39,"MapDeserted","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Deserted01.ao",[],0,0,0,0,-10,10,""
40,"MapGothicCity","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/GothicCity01.ao",[],0,0,0,0,-10,10,""
41,"MapHideout_Generic","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/GenericHideout01.ao",[],0,0,0,0,-10,10,""
42,"MapHive","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Hive01.ao",[],0,0,0,0,-10,10,""
43,"MapInferno","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Inferno01.ao",[],0,0,0,0,-10,10,""
44,"MapMineshaft","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Mineshaft01.ao",[],0,0,0,0,-10,10,""
45,"MapOasis","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Oasis01.ao",[],0,0,0,0,-10,10,""
46,"MapOutlands","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Outlands01.ao",[],0,0,0,0,-10,10,""
47,"MapRiverside","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Riverside01.ao",[],0,0,0,0,-10,10,""
48,"MapRockpools","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Rockpools01.ao",[],0,0,0,0,-10,10,""
49,"MapSump","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Sump01.ao",[],0,0,0,0,-10,10,""
50,"MapUniqueCastaway","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Castaway01.ao",[],0,0,0,0,-10,10,""
51,"MapUniqueUntaintedParadise","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/UntaintedParadise01.ao",[],0,0,0,0,-10,10,""
52,"MapUniqueVault","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalVault01.aoc",[],0,0,0,0,-10,10,""
53,"MapUniqueMerchant01","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MerchantCamp01.ao",[],0,0,0,0,-10,10,""
54,"MapUniqueMerchant02","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MerchantCamp01.ao",[],0,0,0,0,-10,10,""
55,"MapUniqueMerchant03","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MerchantCamp01.ao",[],0,0,0,0,-10,10,""
56,"MapVaalVillage","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalVillage01.ao",[],0,0,0,0,-10,10,""
57,"MapVoidReliquary","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VoidReliquary01.ao",[],0,0,0,0,-10,10,""
58,"MapAzmerianRanges","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/AzmeriRanges.ao",[],0,0,0,0,-10,10,""
59,"MapSunTemple","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SunTemple01.ao",[],0,0,0,0,-10,10,""
60,"MapChannel","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Channel01.ao",[],0,0,0,0,-10,10,""
61,"MapVaalFoundry","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalFoundry01.ao",[],0,0,0,0,-10,10,""
62,"MapVaalFactory","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalFactory01.ao",[],0,0,0,0,-10,10,""
63,"MapUniqueWildwood","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/WildWood.ao",[],0,0,0,0,-10,10,""
64,"MapUniqueLake","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/KalandraLake.ao",[],0,0,0,0,-10,10,""
65,"MapUniqueSelenite","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Selenite.ao",[],0,0,0,0,-10,10,""
66,"MapUniqueMegalith","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Megalith.ao",[],0,0,0,0,-10,10,""
67,"MapTrenches","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Trenches01.ao",[],0,0,0,0,-10,10,""
68,"MapFrozenFalls","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Glacier01.ao",[],0,0,0,0,-10,10,""
