"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","[i32]"
160,223,[19427],[750],[],[],[]
161,243,[19427],[750],[],[],[]
162,5721,[13311],[-500],[],[],[]
163,5720,[451],[1000],[],[],[]
164,5722,[19427],[1000],[],[],[]
165,67,[6166],[15000],[],[],[1]
166,302,[18743],[10000],[],[],[]
167,5725,[19086],[100],[],[],[]
168,224,[19427],[750],[],[],[]
169,225,[19427],[750],[],[],[]
170,340,[20159],[500],[],[],[]
171,328,[19858],[100],[],[],[]
172,330,[19858],[100],[],[],[]
173,329,[19858],[100],[],[],[]
174,245,[18183],[5000],[],[],[]
175,228,[13311],[-500],[],[],[]
176,247,[13311],[-500],[],[],[]
177,368,[20477],[250],[],[],[]
178,155,[18408],[100],[],[],[]
179,5633,[19980],[500],[],[],[]
180,269,[3239],[1000],[],[],[]
181,271,[3239],[1000],[],[],[]
182,187,[18408],[200],[],[],[]
183,341,[3239],[500],[],[],[]
184,262,[8457],[100],[],[],[]
185,287,[16699],[1000],[],[],[1]
186,338,[20101],[2000],[],[],[]
187,349,[20311],[40000],[],[],[]
188,354,[19427],[1000],[],[],[]
189,360,[20446],[-10000],[],[],[]
190,350,[13311],[-250],[],[],[]
191,363,[19542],[500],[],[],[]
192,352,[20651],[100],[],[],[]
193,367,[19068],[1000],[],[],[]
194,366,[349],[50000],[],[],[]
195,356,[20321],[250],[],[],[]
196,364,[20444],[1000],[],[],[]
197,339,[20119],[-250],[],[],[]
198,351,"[20314,20316]","[-250,-250]",[],[],[]
199,357,[13311],[-500],[],[],[]
200,138,[584],[1000],[],[],[]
201,359,[18388],[200],[],[],[0]
202,30,[3239],[500],[],[],[]
203,5792,[20524],[-15000],[],[],[]
204,5769,[20530],[500],[],[],[]
205,5783,[349],[50000],[],[],[]
206,5776,[3239],[1000],[],[],[0]
207,5771,[19718],[1000],[],[],[]
208,5772,[19716],[1000],[],[],[]
209,5773,[19717],[1000],[],[],[]
210,5774,[8606],[1000],[],[],[]
211,5775,[8607],[1000],[],[],[]
212,133,[638],[1000],[],[],[]
213,5762,[20828],[500],[],[],[]
214,5785,[3239],[500],[],[],[]
215,5786,[3239],[500],[],[],[]
216,5784,[3239],[500],[],[],[]
217,327,[3239],[500],[],[],[]
218,5745,[19204],[500],[],[],[]
219,5790,[22353],[50],[],[],[]
220,5791,[638],[1000],[],[],[]
221,5781,[19877],[750],[],[],[]
222,370,[20771],[100],[],[],[2]
223,342,[3239],[1000],[],[],[]
224,343,[3239],[1000],[],[],[]
225,5876,[349],[100000],[],[],[]
226,118,[12712],[2000],[],[],[1]
227,372,[12712],[2000],[],[],[1]
228,112,[17728],[200],[],[],[1]
229,131,[18388],[100],[],[],[1]
230,5884,[21562],[100],[],[],[]
231,381,[7389],[2000],[],[],[]
232,132,[17728],[200],[],[],[]
233,365,[20424],[200],[],[],[1]
234,305,[638],[1000],[],[],[]
235,377,[18151],[1500],[],[],[]
236,113,[3239],[1000],[],[],[0]
237,119,[21718],[500],[],[],[]
238,309,[17728],[200],[],[],"[1,2]"
239,5925,[19427],[750],[],[],[]
240,5927,[19427],[750],[],[],[]
241,308,[22027],[1000],[],[],[]
242,5877,[349],[75000],[],[],[]
243,111,[22037],[1000],[],[],[1]
244,389,[2078],[1000],[],[],[]
245,263,[13311],[-500],[],[],[]
246,385,[13311],[-500],[],[],[]
247,5990,[20268],[1000],[],[],[]
248,380,[349],[80000],[],[],[]
249,373,[1911],[500],[],[],[]
250,391,[349],[25000],[],[],[]
251,5904,[21318],[250],[],[],[]
252,378,[22001],[2500],[],[],[]
253,376,[392],[1500],[],[],"[0,1]"
254,312,[17728],[250],[],[],[]
255,382,[21443],[50],[],[],"[1,2]"
256,384,[17728],[100],[],[],[]
257,375,[1228],[200],[],[],[0]
258,5987,[639],[1000],[],[],[]
259,386,[17728],[150],[],[],[]
260,5882,[19427],[750],[],[],[]
261,374,[19068],[1000],[],[],[]
