"rownum","rid","[rid]","[i32]"
194,2222,[592],[75]
195,2342,[135],[-30]
196,2447,[118],[-5]
197,2449,[118],[-20]
198,2452,[118],[8]
199,2759,[171],[-10]
200,2987,[18220],[15]
201,3003,[18221],[15]
202,3031,[543],[150]
203,3032,[543],[25]
204,3049,[18223],[40]
205,3057,[18224],[40]
206,3212,[18627],[-50]
207,3262,[2538],[25]
208,3264,[480],[4]
209,3306,[24],[10]
210,3334,[20268],[-10]
211,3336,[20268],[22]
212,3402,[19257],[100]
213,3537,[20036],[2]
214,3550,[1606],[1]
215,3579,[4777],[100]
216,3580,[18140],[10]
217,3581,[19347],[50]
218,3583,[1193],[1]
219,3585,[19068],[100]
220,3593,[15774],[1]
221,3594,[17031],[12]
222,3595,[19047],[1]
223,3743,[21715],[1]
224,2451,[118],[-20]
225,2875,[119],[750]
226,2878,[119],[273]
227,2925,[3018],[500]
228,2942,[101],[5]
229,2996,[210],[12]
230,3186,[18417],[25]
231,3188,[18229],[15]
232,3222,[153],[12]
233,3272,[739],[1]
234,3298,[196],[-50]
235,3299,[9614],[50]
236,3301,"[12588,12726]","[1,1]"
237,3312,[19406],[1]
238,3335,[20268],[7]
239,3394,[18412],[12]
240,3401,[2038],[1]
241,3410,[7752],[25]
242,3511,[18109],[35]
243,3515,[1400],[4000]
244,3533,[1993],[-30]
245,3549,[5076],[1]
246,3607,[8181],[1]
247,3608,[8179],[1]
248,3609,[8189],[1]
249,3669,[7394],[1]
250,3670,[7698],[-1]
251,3869,[1475],[100]
252,3870,[18015],[100]
253,3875,[19796],[100]
254,2238,[138],[40]
255,2518,[127],[50]
256,2871,[119],[570]
257,3139,[947],[4]
258,3274,[17022],[75]
259,3281,[1886],[1]
260,3397,[16860],[1]
261,3403,[5491],[-5]
262,3404,[5492],[15]
263,3546,[4888],[300]
264,3547,[20296],[1]
265,3418,[19597],[1]
266,3419,[19582],[40]
267,3420,[19585],[1]
268,3318,[18782],[1]
269,3555,[20172],[1]
270,2935,[99],[15]
271,2937,[99],[30]
272,3193,[18768],[40]
273,3430,[19674],[1]
274,3431,[19623],[1]
275,3551,[20760],[1]
276,3554,[18899],[100]
277,3560,[4011],[10000]
278,3181,[18228],[100]
279,3270,[2322],[1]
280,3553,[20017],[100]
281,2936,[99],[12]
282,2949,[101],[12]
283,2988,[210],[7]
284,3266,[20743],[1]
285,3456,[19034],[25]
286,3602,[18979],[25]
287,2938,[99],[7]
288,2991,[210],[15]
289,2992,[210],[15]
290,2997,[210],[15]
291,3180,[18228],[100]
292,3183,[18417],[100]
293,2934,[99],[25]
294,2946,[101],[15]
295,2967,[70],[50]
296,3154,[168],[3]
297,3205,[169],[25]
298,3267,[170],[50]
299,3268,[1080],[-50]
300,3460,[1128],[2]
301,2947,[101],[5]
302,3185,[18417],[40]
303,3557,[19195],[-30]
304,3558,[20734],[100]
305,3561,[4381],[2]
306,3892,[193],[30]
307,3432,[19681],[50]
308,3522,[958],[1]
309,3794,[22209],[1]
310,3692,[21059],[10]
311,2349,[135],[12]
312,2350,[135],[12]
313,2351,[135],[35]
314,2352,[135],[10]
315,2354,[135],[15]
316,2357,[135],[15]
317,3730,[696],[1]
318,3779,"[21142,21144,21145]","[1,60,5000]"
319,3153,[18902],[20]
320,3728,[8015],[1]
321,3727,[12480],[1]
322,3740,[21700],[1]
323,3291,[9038],[50]
324,3373,[3266],[15]
325,3762,[21061],[100]
326,3344,[1082],[20]
327,3293,[21158],[20]
328,3755,[21586],[1]
329,3796,[21867],[1]
330,3703,[21529],[1]
331,3739,[3118],[1]
332,3467,[7390],[25]
333,3729,[1617],[1]
334,3788,[21691],[6000]
335,3786,[22377],[2]
336,2383,[144],[20]
337,2385,[144],[20]
338,3893,[193],[25]
339,3480,[9487],[1]
340,3481,[9488],[1]
341,3807,[15815],[1]
342,2297,[140],[25]
343,2298,[140],[30]
344,2299,[140],[25]
345,2300,[140],[30]
346,2303,[140],[25]
347,3691,[21523],[1]
348,3787,[21690],[1]
349,3782,[21941],[1]
350,3768,[21542],[10]
351,3725,[21157],[4]
352,3712,[471],[25]
353,3747,[21716],[15]
354,3208,[9019],[7]
355,3700,[21230],[1]
356,3688,[1326],[1]
357,3682,[21166],[1]
358,3466,[2229],[20]
359,3816,[585],[10]
360,3815,[21841],[1]
361,3693,[21060],[5]
362,3695,[21164],[1]
363,3696,[21162],[100]
364,3694,[21064],[10]
365,3680,[21168],[1]
366,3817,[2609],[1]
367,3809,[22036],[100]
368,3388,[133],[40]
369,3758,[21063],[10000]
370,3149,[132],[40]
371,3150,[132],[75]
372,3151,[132],[1000]
373,3763,[21860],[100]
374,3746,[1233],[150]
375,3868,[18017],[100]
376,2265,[138],[30]
377,2268,[138],[25]
378,3792,[21742],[1]
379,3455,[19034],[15]
380,3778,[451],[1]
381,3840,[451],[1]
382,3781,[21940],[1]
383,2990,[210],[20]
384,2515,[113],[125]
385,3521,[160],[-25]
386,3756,[5686],[1]
387,2953,[335],[5]
388,3785,[21702],[1]
389,2926,[3013],[650]
390,2927,[3013],[1000]
391,2928,[3013],[800]
392,3726,[14764],[5000]
393,3709,[21624],[1]
394,2885,[119],[2700]
395,2886,[119],[900]
396,2887,[119],[750]
397,2888,[119],[600]
398,2890,[119],[450]
399,2891,[119],[1800]
400,2892,[119],[1350]
401,2893,[119],[300]
402,3871,[1478],[100]
403,2326,[142],[40]
404,2329,[142],[30]
405,2331,[142],[30]
406,2815,[1105],[15]
407,2825,[1107],[50]
408,3319,[4822],[1]
409,3791,[21543],[1]
410,3814,[22158],[1]
411,3799,[21965],[40]
412,3795,[21870],[32]
413,3737,[2764],[15]
414,3738,[2764],[20]
415,2980,[70],[25]
416,2968,[70],[10]
417,3803,[18544],[25]
418,3824,[22238],[1]
419,3732,[104],[1]
420,3427,[4629],[5]
421,3271,[5153],[100]
422,3194,[18768],[175]
423,3711,[12653],[1]
424,3681,[21169],[1]
425,3683,[21167],[1]
426,3735,[19871],[-20]
427,3731,[1245],[1]
428,3224,[153],[-50]
429,3754,[15942],[1]
430,3808,[21942],[1]
431,3482,[9485],[1]
432,3483,[9486],[1]
433,3764,[21876],[1]
434,3800,[21873],[50]
435,3801,[21873],[100]
436,3767,[21874],[50]
437,3213,[18627],[-50]
438,3214,[18627],[45]
439,3802,[21967],[1]
440,3206,[169],[25]
441,3766,[15737],[1]
442,3684,[21139],[1]
443,3523,[1276],[1]
444,3136,[14121],[-40]
445,3137,[14121],[-50]
446,3129,[201],[40]
447,3133,[14120],[-50]
448,3187,[18229],[75]
449,3702,[19393],[25]
450,3742,[20747],[4]
451,3519,[2398],[1]
452,3733,[21556],[25]
453,3710,[21493],[1]
454,3689,[21496],[1]
455,3736,[20192],[1]
456,10012,[3239],[22]
