"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","IgnoredStats","bool"
138,"WhirlingSlashSandstormPlayer",98,"[17927,20689,21365,1986]","[17728,12713,18506,21246,18759,12712,12714,21400,21661,13147]","[18,3,250,10,-30,150,3,1,50,3]",1,0.055,0,"[18292,104,17959,17958,17960]",1
139,"SpearfieldPlayer","","[605,3683,2899]","[13632,349,17524,13146,17731,18314,22466]","[70,6000,40,20,6,10,300]",1,0.0927,0,[],""
140,"TornadoPlayer","","[1713,13183,605,14706,17927,18585]","[14122,1116,349,17728,18331,18336,18338,18578,18639,20365]","[1,1000,6000,30,100,60,50,-70,160,50]",1.5,0.2735,0,[],""
141,"LightningConduitPlayer","",[1323],"[17578,17928,17728,15792]","[30,1000,100,20]",1.82,0.14,0.0068,[],""
142,"GalvanicFieldPlayer","","[1323,1713,18585]","[349,7667,15826,15990,18578,18639]","[6000,20,100,1,-70,160]",0.337,0.14,0.0082,[],""
143,"MtxDirectLineOfAntsPlayer","",[2899],[],[],1,0.0927,0,[],""
144,"MtxPolymorphCatPlayer","",[2899],"[349,8709]","[6000,107]",1,0.0927,0,[],""
145,"MtxBestiaryStampedeQuicksilverRhoaPlayer","",[2899],[],[],1,0.0927,0,[],""
146,"DemonMagusPlayer","","[18517,18410]","[13245,13621,13246,18528,18411]","[1,20,-30,-50,12000]",1,0.0927,0,[],""
147,"LightningSpearPlayer",106,"[488,4430,6491,10057,18282,13604,18585,20790,7250,18605,20785,22316,12215]","[17728,1102,6713,18656,18578,18639,20365,22312,22315,1749]","[50,80,25,100,-70,160,60,50,3,105]",1,0.0927,0,[],""
148,"LightningSpearSecondaryProjectilePlayer",94,[17470],"[1102,18656]","[20,100]",1,0.0927,0,"[13604,22312,7250,18605,20785,22316,12215]",1
149,"GlacialLancePlayer",106,"[488,6708,4400,18349,18585,10057,4430,6491,22244,22154,17470,18605,20785,22316,17249]","[1101,17728,349,3093,18578,18639,20365,22180,1749]","[60,12,6000,1000,-70,160,60,30,105]",1,0.055,0,[],""
150,"GlacialLanceWallsPlayer",5,[20689],"[1101,17728]","[40,26]",1,0.0927,0,"[17728,4400,17470,18605,20785,22316]",1
151,"SummonInfernalHoundPlayer","",[18410],"[447,20214,20215,22145]","[8,20,15,1]",1,0.0927,0,[],""
152,"SiegeCascadePlayer",56,"[488,605,18585,18349,20041,1324,21243]","[18434,18388,18392,18401,17728,17731,18429,18578,18639,1100,20365,18427]","[90,1,500,200,40,5,70,-70,160,80,50,-100]",1,0.055,0,[],""
153,"SiegeCascadeExplodePlayer",5,[],[17731],[5],1,0.055,0,[],1
154,"SiegeCascadeAmmoPlayer",78,"[18484,20043,18585,2899,20689]","[18408,17898,18578,18639,20365,20625]","[1,1000,-30,160,60,-30]",1,0.055,0,[],""
155,"HailstormRoundsPlayer",56,"[488,605,18585,18349,20041,1986]","[18434,18388,18392,1101,18578,18639,20365,17728,17731]","[90,1,300,80,-70,160,60,12,25]",1,0.055,0,[],""
156,"HailstormRoundsAmmoPlayer",78,"[20168,18484,20043,18585,2899,20519,20689,21239]","[17898,18578,18639,20365,20625]","[1000,-30,160,60,-50]",1,0.055,0,[],""
157,"StormblastBoltsPlayer",56,"[488,605,18585,18349,20041]","[18434,18388,18392,1102,18578,18639,17728,17731,349,20365,20886]","[90,3,150,60,-70,160,8,35,8000,50,30]",1,0.055,0,[],""
158,"StormblastBoltsExplosionPlayer",5,"[605,20689]","[1102,17728]","[40,8]",1,0.055,0,"[349,18388]",1
159,"StormblastBoltsAmmoPlayer",78,"[18484,20043,18585,2899,20689,21239]","[18408,17898,18578,18639,20365]","[5,1000,-30,160,60]",1,0.055,0,[],""
160,"ExplosiveShotPlayer",55,"[488,18349,18435,4430,6491,10057,18473,9017,8812,13977,18585,18673,1986]","[18434,1100,18481,18488,18489,18490,18506,18578,18639,20365]","[90,30,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
161,"ExplosiveShotExplosionPlayer",5,"[605,20689]","[18409,1100]","[0,50]",1,0.055,0,[8812],""
162,"ExplosiveShotAmmoPlayer",78,"[18484,18585,2899,20689]","[18408,17898,18578,18639,20365,20625]","[1,1000,-30,160,60,-30]",1,0.055,0,[],""
163,"IncendiaryShotPlayer",55,"[488,2747,18349,8812,18435,18673,4430,6491,10057,9017,18585,1986]","[18430,18431,18433,18434,18388,8164,6713,18427,1100,18488,18489,18490,18506,18521,17728,18657,7389,18578,18639,20365]","[3,20,9,90,10,10,40,0,80,1,8,300,75,220,19,100,0,-70,160,50]",1,0.055,0,[],""
164,"IncendiaryShotConePlayer",0,"[20689,605]",[],[],1,0.055,0,[18506],""
165,"IncendiaryShotAmmoPlayer",78,"[18484,18585,2899,20689]","[18408,17898,18578,18639,20365]","[1,1000,-30,160,60]",1,0.055,0,[],""
166,"HighVelocityRoundsPlayer",55,"[488,18349,18534,18435,18673,4430,6491,10057,18473,9017,8812,18585,1986,19830]","[18477,18434,10173,5916,18481,18488,18489,18490,18506,18578,18639,20365]","[2,90,0,6,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
167,"HighVelocityRoundsArmourBrokenPlayer",75,"[20433,20689]",[],[],1,0.055,0,[],1
168,"HighVelocityRoundsAmmoPlayer",78,"[18484,18585,2899,20689]","[18408,17898,18578,18639,20365]","[1,1000,-30,160,60]",1,0.055,0,[],""
169,"FragmentationRoundsPlayer",55,"[488,2747,18349,18435,18673,4430,6491,10057,9017,18501,8812,18585,1986,18859,1324]","[18430,18431,18433,18434,18388,8164,6713,18427,10173,5916,18506,18578,18639,20365]","[3,20,8,90,10,10,40,0,0,2,100,-70,160,50]",1,0.055,0,[],""
170,"FragmentationRoundsFreezeShatterPlayer",17,"[605,20689,16704]",[17728],[18],1,0.055,0,"[18388,8812,18506,5916,2747,18530,18859]",1
171,"FragmentationRoundsAmmoPlayer",78,"[18484,18585,2899,20689]","[18408,17898,18578,18639,20365]","[1,1000,-30,160,60]",1,0.055,0,[],""
172,"GlacialBoltPlayer",55,"[488,18349,18435,4430,6491,10057,18473,9017,13977,8812,18585,18673,1986]","[18434,1101,18481,18488,18489,18490,18506,18578,18639,20365]","[90,60,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
173,"GlacialBoltWallPlayer",58,"[605,20689]","[1101,349,499,18301,17728]","[40,8000,63,231,18]",1,0.055,0,[18506],1
174,"GlacialBoltAmmoPlayer",78,"[18484,18585,2899,20689]","[18408,17898,18578,18639,20365]","[1,1000,-30,160,60]",1,0.055,0,[],""
175,"PermafrostBoltsPlayer",55,"[488,2747,18349,8812,18435,18673,4430,6491,10057,9017,18585,1986]","[18430,18431,18433,18434,18388,8164,6713,1101,18506,18521,17728,18578,18639,20365]","[3,20,14,90,10,10,40,80,100,40,27,-70,160,50]",1,0.055,0,[],""
176,"PermafrostBoltsConePlayer",0,"[20689,605,21880]",[],[],1,0.055,0,[18506],""
177,"PermafrostBoltsAmmoPlayer",78,"[18484,18585,2899,20689]","[18408,17898,18578,18639,20365]","[1,1000,-30,160,60]",1,0.055,0,[],""
178,"PlasmaBlastPlayer",55,"[488,18349,18435,18673,4430,6491,10057,8812,18585,4400]","[18434,1102,18488,18489,18490,18506,18578,18639,18656,20365,16612,20668]","[90,70,2,8,300,400,-70,160,30,50,2000,35]",1,0.055,0,[],""
179,"PlasmaBlastExplosionPlayer",5,"[605,20689]","[1102,17728]","[30,32]",1,0.055,0,"[8812,18506,4400,8126,16612]",1
180,"PlasmaBlastAmmoPlayer",78,"[18484,18585,2899,20689,21239]","[18408,17898,18578,18639,20365]","[1,1000,-30,160,60]",1,0.055,0,[],""
181,"GalvanicShardsPlayer",55,"[488,2747,18349,18435,18673,4430,6491,10057,9017,8812,18585,18605,21239]","[18430,18431,18433,18434,18388,8164,6713,1102,18506,18578,18639,20365]","[3,20,14,90,6,10,40,60,100,-70,160,50]",1,0.055,0,[],""
182,"GalvanicShardsBeamPlayer",11,[20689],"[166,1102]","[1,40]",1,0.055,0,"[8812,18408,18506,18388,2747,18605]",1
183,"GalvanicShardsAmmoPlayer",78,"[18484,18585,2899,20689,21239]","[18408,17898,18578,18639,20365,20625]","[5,1000,-30,160,60,-50]",1,0.055,0,[],""
184,"AxeChopPlayer","",[],"[3502,1228]","[50,20]",1,0.0927,0,[],""
185,"AxeSlashPlayer","","[104,9245]","[1228,17524]","[5,7]",1,0.0927,0,[],""
186,"RollingSlamPlayer","","[605,1986,18791,2899]","[16612,16250,17524,19206,18968,1896]","[1000,15,20,36,1,-30]",1,0.0927,0,[],""
187,"RollingSlamFirstSlamPlayer",22,[20689],"[17728,18427]","[14,50]",1,0.0927,0,[2899],""
188,"RollingSlamSecondSlamPlayer",23,[20689],"[17731,21141]","[18,50]",1,0.0927,0,[2899],""
189,"WhirlingAssaultPlayer","","[9245,9017,17927,1986,605]","[16612,17524]","[1400,42]",1,0.0927,0,[],""
190,"WeaponGrantedChaosboltPlayer","","[488,4430,10057,5637,18585,18673]","[800,18578,18639,20365]","[1109,-70,160,60]",2.2,0.14,0.0068,[],""
191,"EscapeShotPlayer","","[488,605,854,17249,18349,4430,6491,10057,13977,1986]","[17728,1101,16612,6477]","[24,100,700,20]",1,0.0927,0,[],""
192,"SuperchargedSlamPlayer",4,"[605,1986,18717,22283]","[17728,17961,17967,16420,17612,18258]","[16,60,3,3,1000,1000]",1,0.0927,0,[],""
193,"SuperchargedSlamAftershockPlayer",18,[20689],"[17728,18298,18320]","[12,4,250]",1,0.0927,0,[],""
194,"EvasiveStrikePlayer","",[],"[1228,17524]","[8,27]",1,0.0927,0,[],""
