"rownum","Id","ItemClass","Width","Height","Name","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool","UncutGemSoundEffect","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","ShopTag","rid"
10,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],37,1,11,3892935821,[],"","","",[],[],"",1,"","","","","",[],"",""
11,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,527,[],37,1,12,1315720499,[],"","","",[],[],"","","","","","","",[],"",""
12,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],37,1,13,3610411607,[],"","","",[],[],"","","","","","","",[],"",""
13,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,520,[],37,1,14,2131686967,"[148,8334]","","","",[],[],"","","","","","","",[],"",""
14,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,519,[],37,1,16,3226424873,[],"","","",[],[],"","","","","","","",[],"",""
15,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,526,[],37,1,17,3636285277,[9207],"","","",[],[],"","","","","","","",[],"",""
16,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,18,4122699490,[],"","","",[],[],"","","","","","","",[],"",""
17,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],37,1,19,1328218349,[],"","","",[],[],"","","","","","","",[],"",""
18,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",12,"",[],1,726,[348],37,1,20,3715417279,[7079],"","","",[],[],"","","","","","","",[],"",""
19,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,515,[348],37,1,21,128553707,[7566],"","","",[],[],"","","","","","","",[],"",""
20,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,727,[],37,1,31,471734571,[8717],"","","",[],[],"","","","","","","",[],"",""
21,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],37,1,32,3340498317,[9009],"","","",[],[],"","","","","","","",[],"",""
22,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",30,1,1,"Lesser Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",25,"",[],1,512,[1111],37,1,33,4074381865,"[7815,8947]","","","",[],[],"","","","","","","",[],"",""
23,"Metadata/Items/Currency/CurrencyAddSkillGemSocket4",30,1,1,"Greater Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",45,"",[],1,513,[1111],37,0,34,1357587227,[],"","","",[],[],"","","","","","","",[],"",""
24,"Metadata/Items/Currency/CurrencyAddSkillGemSocket5",30,1,1,"Perfect Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",65,"",[],1,514,"[1111,1112]",37,0,35,4236459768,[],"","","",[],[],"","","","","","","",[],"",""
25,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",30,1,1,"Artificer's Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,34,[1111],37,0,36,2332891975,[],"","","",[],[],"","","","","","","",[],"",""
26,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],37,1,37,2147777789,[8140],"","","",[],[],"","","","","","","",[],"",""
27,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],37,1,38,764311090,[],"","","",[],[],"","","","","","","",[],"",""
28,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],37,1,39,1784206883,[],"","","",[],[],"","","","","","","",[],"",""
29,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],37,1,6,3693179543,[7318],"","","",[],[],"","","","","","","",[],"",""
30,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],37,0,26,1594034883,[],"","","",[],[],"","","","","","","",[],"",""
31,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],37,0,28,1280989466,[],"","","",[],[],"","","","","","","",[],"",""
32,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],37,0,29,216495198,[],"","","",[],[],"","","","","","","",[],"",""
33,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],37,0,30,3069034818,[],"","","",[],[],"","","","","","","",[],"",""
34,"Metadata/Items/Currency/CurrencyUpgradeRandomlyShard",30,1,1,"Chance Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],37,0,27,4080113757,[],"","","",[],[],"","","","","","","",[],"",""
35,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,40,2003183108,[],"","","",[],[],"","","","","","","",[],"",""
36,"Metadata/Items/Currency/CurrencyVultureFeather",30,1,1,"Golden Vulture Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,40,2537209939,[],"","","",[],[],"","","","","","","",[],"",""
37,"Metadata/Items/Currency/CurrencyToucanFeather",30,1,1,"Rainbow Toucan Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,40,3358351990,[],"","","",[],[],"","","","","","","",[],"",""
38,"Metadata/Items/Currency/CurrencyKiwiFeather",30,1,1,"Jade Kiwi Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,40,3822050671,[],"","","",[],[],"","","","","","","",[],"",""
39,"Metadata/Items/Currency/CurrencyPeacockFeather",30,1,1,"Stygian Peacock Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,40,2379253733,[],"","","",[],[],"","","","","","","",[],"",""
40,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],37,0,41,1639118317,[],"","","",[],[],"","","","","","","",[],"",""
41,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,42,2516757370,[],"","","",[],[],"","","","","","","",[],"",""
42,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,517,[],37,1,43,118945160,[],"","","",[],[],"","","","","","","",[],"",""
43,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,47,3921210930,[],"","","",[],[],"","","","","","","",[],"",""
44,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,48,770737543,[],"","","",[],[],"","","","","","","",[],"",""
45,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,49,3944541803,[],"","","",[],[],"","","","","","","",[],"",""
46,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,50,869188640,[],"","","",[],[],"","","","",1,"","",[],"",""
47,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],37,0,51,2667030065,[],"","","",[],[],"","","","","","","",[],"",""
48,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,52,1684876054,[],"","","",[],[],"","","","","","","",[],"",""
49,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],37,1,53,3652735456,[],"","","",[],[],"","","","","","","",[],"",""
50,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,54,1322399661,[],"","","",[],[],"","","","","","","",[],"",""
51,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],37,1,55,4259388226,[],"","","",[],[],"","","","","","","",[],"",""
52,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,56,1338342621,[],"","","",[],[],"","","","","","","",[],"",""
53,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,57,952467265,[],"","","",[],[],"","","","","","","",[],"",""
54,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,58,3536551846,[],"","","",[],[],"","","","","","","",[],"",""
55,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,59,1432765449,[],"","","",[],[],"","","","","","","",[],"",""
56,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,60,1575994632,[],"","","",[],[],"","","","","","","",[],"",""
57,"Metadata/Items/Currency/CurrencyEssenceLife",30,1,1,"Essence of the Body","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12091,606369470,[],"","","",[],[],"","","","","",42,"",[],"",""
58,"Metadata/Items/Currency/CurrencyEssenceMana",30,1,1,"Essence of the Mind","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12092,1860412592,[],"","","",[],[],"","","","","",42,"",[],"",""
59,"Metadata/Items/Currency/CurrencyEssenceDefences",30,1,1,"Essence of Enhancement","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12093,3614522244,[],"","","",[],[],"","","","","",42,"",[],"",""
60,"Metadata/Items/Currency/CurrencyEssencePhysical",30,1,1,"Essence of Torment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12094,371926669,[],"","","",[],[],"","","","","",42,"",[],"",""
61,"Metadata/Items/Currency/CurrencyEssenceFire",30,1,1,"Essence of Flames","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12095,2825035247,[],"","","",[],[],"","","","","",42,"",[],"",""
62,"Metadata/Items/Currency/CurrencyEssenceCold",30,1,1,"Essence of Ice","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12096,558387611,[],"","","",[],[],"","","","","",42,"",[],"",""
63,"Metadata/Items/Currency/CurrencyEssenceLightning",30,1,1,"Essence of Electricity","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12097,4217435183,[],"","","",[],[],"","","","","",42,"",[],"",""
64,"Metadata/Items/Currency/CurrencyEssenceChaos",30,1,1,"Essence of Ruin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12098,3288707393,[],"","","",[],[],"","","","","",42,"",[],"",""
65,"Metadata/Items/Currency/CurrencyEssenceAttack",30,1,1,"Essence of Battle","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12099,3519825351,[],"","","",[],[],"","","","","",42,"",[],"",""
66,"Metadata/Items/Currency/CurrencyEssenceCaster",30,1,1,"Essence of Sorcery","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12100,2208274413,[],"","","",[],[],"","","","","",42,"",[],"",""
67,"Metadata/Items/Currency/CurrencyEssenceSpeed",30,1,1,"Essence of Haste","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12101,1505875072,[],"","","",[],[],"","","","","",42,"",[],"",""
68,"Metadata/Items/Currency/CurrencyEssenceAttribute",30,1,1,"Essence of the Infinite","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12102,2438800725,[],"","","",[],[],"","","","","",42,"",[],"",""
69,"Metadata/Items/Currency/CurrencyGreaterEssenceLife",30,1,1,"Greater Essence of the Body","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12103,3073452723,[],"","","",[],[],"","","","","","","",[],"",""
70,"Metadata/Items/Currency/CurrencyGreaterEssenceMana",30,1,1,"Greater Essence of the Mind","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12104,394938549,[],"","","",[],[],"","","","","","","",[],"",""
71,"Metadata/Items/Currency/CurrencyGreaterEssenceDefences",30,1,1,"Greater Essence of Enhancement","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12105,2074231179,[],"","","",[],[],"","","","","","","",[],"",""
72,"Metadata/Items/Currency/CurrencyGreaterEssencePhysical",30,1,1,"Greater Essence of Torment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12106,577438355,[],"","","",[],[],"","","","","","","",[],"",""
73,"Metadata/Items/Currency/CurrencyGreaterEssenceFire",30,1,1,"Greater Essence of Flames","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12107,4172909234,[],"","","",[],[],"","","","","","","",[],"",""
74,"Metadata/Items/Currency/CurrencyGreaterEssenceCold",30,1,1,"Greater Essence of Ice","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12108,3587074643,[],"","","",[],[],"","","","","","","",[],"",""
75,"Metadata/Items/Currency/CurrencyGreaterEssenceLightning",30,1,1,"Greater Essence of Electricity","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12109,1764598813,[],"","","",[],[],"","","","","","","",[],"",""
76,"Metadata/Items/Currency/CurrencyGreaterEssenceChaos",30,1,1,"Greater Essence of Ruin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12110,3691047882,[],"","","",[],[],"","","","","","","",[],"",""
77,"Metadata/Items/Currency/CurrencyGreaterEssenceAttack",30,1,1,"Greater Essence of Battle","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12111,122023020,[],"","","",[],[],"","","","","","","",[],"",""
78,"Metadata/Items/Currency/CurrencyGreaterEssenceCaster",30,1,1,"Greater Essence of Sorcery","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12112,3406251003,[],"","","",[],[],"","","","","","","",[],"",""
79,"Metadata/Items/Currency/CurrencyGreaterEssenceSpeed",30,1,1,"Greater Essence of Haste","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12113,890988114,[],"","","",[],[],"","","","","","","",[],"",""
80,"Metadata/Items/Currency/CurrencyGreaterEssenceAttribute",30,1,1,"Greater Essence of the Infinite","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12114,1170564337,[],"","","",[],[],"","","","","","","",[],"",""
81,"Metadata/Items/Currency/CurrencyCorruptedEssenceHysteria",30,1,1,"Essence of Hysteria","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12115,1148714083,[],"","","",[],[],"","","","","","","",[],"",""
82,"Metadata/Items/Currency/CurrencyCorruptedEssenceDelirium",30,1,1,"Essence of Delirium","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12116,3401098377,[],"","","",[],[],"","","","","","","",[],"",""
83,"Metadata/Items/Currency/CurrencyCorruptedEssenceHorror",30,1,1,"Essence of Horror","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12117,1764541432,[],"","","",[],[],"","","","","","","",[],"",""
84,"Metadata/Items/Currency/CurrencyCorruptedEssenceInsanity",30,1,1,"Essence of Insanity","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],37,1,12118,194206808,[],"","","",[],[],"","","","","","","",[],"",""
85,"Metadata/Items/Currency/CurrencyAddAtlasMod",30,1,1,"Simple Sextant","Metadata/Items/Currency/StackableCurrency",68,"",[],1,34,"[70,616]",37,0,12121,2682678799,[],"","","",[],[],87,"","","","","","",[],"",""
86,"Metadata/Items/Currency/CurrencyAddAtlasModMid",30,1,1,"Prime Sextant","Metadata/Items/Currency/StackableCurrency",73,"",[],1,34,"[70,616]",37,0,12122,1119070842,[7320],"","","",[],[],87,"","","","","","",[],"",""
87,"Metadata/Items/Currency/CurrencyAddAtlasModHigh",30,1,1,"Awakened Sextant","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,"[70,616]",37,1,12123,2064612145,[7320],"","","",[],[],"","","","","","","",[],"",""
88,"Metadata/Items/Currency/CurrencyAddAtlasModMaven",30,1,1,"Elevated Sextant","Metadata/Items/Currency/StackableCurrency",83,"",[],1,34,"[70,616]",37,1,12124,3915195548,[],"","","",[],[],"",1,"","","","","",[],"",""
89,"Metadata/Items/Currency/CurrencySealMapLow",30,1,1,"Apprentice Cartographer's Seal","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,12145,2309232653,[],"","","",[],[],"","","","","","","",[],"",""
90,"Metadata/Items/Currency/CurrencySealMapMid",30,1,1,"Journeyman Cartographer's Seal","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,12146,385790233,[],"","","",[],[],"","","","","","","",[],"",""
91,"Metadata/Items/Currency/CurrencySealMapHigh",30,1,1,"Master Cartographer's Seal","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,0,12147,702360988,[],"","","",[],[],"","","","","","","",[],"",""
92,"Metadata/Items/Currency/CurrencyRespecShapersOrb",30,1,1,"Unshaping Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,84,3046934124,[],"","","",[],[],"","","","","","","",[],"",""
93,"Metadata/Items/Currency/CurrencyBreachShard",30,1,1,"Breach Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],37,1,90,696320279,[],"","","",[],[],"","","","","","","",[],"",""
94,"Metadata/Items/Currency/CurrencyBreachFireShard",30,1,1,"Splinter of Xoph","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],37,1,85,1990798296,[],"","","",[],[],"","","","","","","",[],"",""
95,"Metadata/Items/Currency/CurrencyBreachColdShard",30,1,1,"Splinter of Tul","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],37,1,86,82596217,[],"","","",[],[],"","","","","","","",[],"",""
96,"Metadata/Items/Currency/CurrencyBreachLightningShard",30,1,1,"Splinter of Esh","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],37,1,87,2827568485,[],"","","",[],[],"","","","","","","",[],"",""
97,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",30,1,1,"Splinter of Uul-Netol","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],37,1,88,2809752326,[],"","","",[],[],"","","","","","","",[],"",""
98,"Metadata/Items/Currency/CurrencyBreachChaosShard",30,1,1,"Splinter of Chayula","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],37,1,89,1862256734,[],"","","",[],[],"","","","","","","",[],"",""
99,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire",30,1,1,"Blessing of Xoph","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],37,1,91,2797606572,[],"","","",[],[],"",1,"","","","","",[],"",""
100,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold",30,1,1,"Blessing of Tul","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],37,1,92,3821840423,[],"","","",[],[],"",1,"","","","","",[],"",""
101,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning",30,1,1,"Blessing of Esh","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],37,1,93,3498571659,[],"","","",[],[],"",1,"","","","","",[],"",""
102,"Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical",30,1,1,"Blessing of Uul-Netol","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],37,1,94,1922475844,[],"","","",[],[],"",1,"","","","","",[],"",""
103,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos",30,1,1,"Blessing of Chayula","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],37,1,95,2997255493,[],"","","",[],[],"",1,"","","","","",[],"",""
104,"Metadata/Items/Currency/CurrencyLegionKaruiShard",30,1,1,"Timeless Karui Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],37,1,96,3364373009,[],"","","",[],[],"","","","","","","",[],"",""
105,"Metadata/Items/Currency/CurrencyLegionMarakethShard",30,1,1,"Timeless Maraketh Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],37,1,97,3315784049,[],"","","",[],[],"","","","","","","",[],"",""
106,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",30,1,1,"Timeless Eternal Empire Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],37,1,98,3209958101,[],"","","",[],[],"","","","","","","",[],"",""
107,"Metadata/Items/Currency/CurrencyLegionTemplarShard",30,1,1,"Timeless Templar Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],37,1,99,4004730753,[],"","","",[],[],"","","","","","","",[],"",""
108,"Metadata/Items/Currency/CurrencyLegionVaalShard",30,1,1,"Timeless Vaal Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],37,1,100,3904043657,[],"","","",[],[],"","","","","","","",[],"",""
109,"Metadata/Items/Currency/CurrencyAfflictionShard",30,1,1,"Simulacrum Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[613],37,1,101,755297388,[],"","","",[],[],"","","","","","","",[],"",""
110,"Metadata/Items/Currency/CurrencyRemoveMod",30,1,1,"Orb of Annulment","Metadata/Items/Currency/StackableCurrency",35,"",[],1,518,[],37,1,102,3081331240,[],"","","",[],[],"","","","","","","",[],"",""
111,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets",30,1,1,"Orb of Binding","Metadata/Items/Currency/StackableCurrency",25,"",[],1,34,[],37,1,103,4211720036,[],"","","",[],[],"","","","","","","",[],"",""
112,"Metadata/Items/Currency/CurrencyRerollMapType",30,1,1,"Orb of Horizons","Metadata/Items/Currency/StackableCurrency",68,"",[],1,34,[],37,1,104,3420848851,[],"","","",[],[],"","","","","","","",[],"",""
113,"Metadata/Items/Currency/CurrencyUpgradeMapTier",30,1,1,"Harbinger's Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,105,4212225937,[],"","","",[],[],"","","","","","","",[],"",""
114,"Metadata/Items/Currency/CurrencyStrongboxQuality",30,1,1,"Engineer's Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,106,838636496,[],"","","",[],[],"","","","","","","",[],"",""
115,"Metadata/Items/Currency/CurrencyStrongboxQualityInfused",30,1,1,"Infused Engineer's Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,2,107,2451848000,[],"","","",[],[],"","","","","","","",[],"",""
116,"Metadata/Items/Currency/CurrencyRerollUnique",30,1,1,"Ancient Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],37,1,108,3230228257,[],"","","",[],[],"","","","","","","",[],"",""
