"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","i32","bool","i32","i32","i32","row","rid","rid","i32","[rid]","i32","rid","i32","rid","bool","i32","i32","i32"
12,27,5,"Page 6",[],[],[],"","",3,"","",[274],"","","",[389],[],389,[],4205,"","",0,"",-134217728,2,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
13,27,6,"Page 7",[],[],[],"","",3,"","",[275],"","","",[390],[],390,[],4205,"","",0,"",469762048,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
14,27,7,"Page 8",[],[],[],"","",3,"","",[276],"","","",[391],[],391,[],4205,"","",0,"",1073741824,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
15,27,8,"Page 9",[],[],[],"","",3,"","",[277],"","","",[392],[],392,[],4205,"","",0,"",1677721600,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
16,27,9,"Page 10",[],[],[],"","",3,"","",[278],"","","",[393],[],393,[],4205,"","",0,"",-1979711488,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
17,27,10,"Page 11",[],[],[],"","",3,"","",[279],"","","",[394],[],394,[],4205,"","",0,"",-1342177280,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
18,27,11,"Page 12",[],[],[],"","",3,"","",[280],"","","",[395],[],395,[],4205,"","",0,"",-704643072,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
19,27,12,"Page 13",[],[],[],"","",3,"","",[281],"","","",[396],[],396,[],4205,"","",0,"",-67108864,3,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
20,27,13,"Page 14",[],[],[],"","",3,"","",[282],"","","",[397],[],397,[],4205,"","",0,"",570425344,4,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
21,27,14,"Page 15",[],[],[],"","",3,"","",[283],"","","",[398],[],398,[],4205,"","",0,"",1207959552,4,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
22,27,15,"Page 16",[],[],[],"","",3,"","",[284],"","","",[383],[],383,[],4205,"","",0,"",1845493760,4,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
23,168,0,"Introduction",[],[],[2752],"",2752,3,"",2752,[12821],"","","",[],[],4205,[],4205,"","",0,"",-1912602624,4,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
24,168,1,"The Temple",[],[],[2753],"","",3,"",2753,[12822],"","","",[],[],4205,[],4205,"","",0,"",-973078528,4,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
25,168,2,"Chaos",[],[],[2754],"","",3,"",2754,[12823],"","","",[],[],4205,[],4205,"","",0,"",-201326592,4,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
26,212,0,"Introduction",[],[],[934],"",934,3,"",934,"[9404,9405,9406,9407,9408,9409,9410]","","","",[],[],4205,[],4205,"","",0,"",1946157056,5,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
27,212,1,"Cadiro",[],[],[910],"","",3,"",910,[9399],"","","",[],[],4205,[],4205,"","",0,"",-1543503872,5,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
28,212,2,"Chitus",[893],[],[912],"","",3,"",912,[9402],"","","",[],[],4205,[],4205,"","",0,"",-469762048,5,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
29,212,3,"The Perandus Family",[936],[],[893],"","",3,"",893,[9401],"","","",[],[],4205,[],4205,"","",0,"",1040187392,6,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
30,212,4,"Prospero",[910],[],[936],"","",3,"",936,[9400],"","","",[],[],4205,[],4205,"","",0,"",-2113929216,6,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
31,212,5,"Niko",[],[],[2152],"","",3,"",2152,[9403],"","","",[],[68],4205,[],4205,"","",0,"",-1308622848,6,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
32,212,6,"Einhar",[],[],[2153],"","",3,"",2153,[9412],"","","",[],[606],4205,[],4205,"","",0,"",-436207616,6,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
33,212,7,"Alva",[],[],[2154],"","",3,"",2154,[9411],"","","",[],[112],4205,[],4205,"","",0,"",369098752,7,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
34,212,8,"Tane",[],[],[2155],"","",3,"",2155,[9413],"","","",[],[660],4205,[],4205,"","",0,"",1174405120,7,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
35,212,9,"Jun",[],[],[2159],"","",3,"",2159,[9414],"","","",[],[592],4205,[],4205,"","",0,"",1946157056,7,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
36,212,10,"Zana",[],[],[2160],"","",3,"",2160,[9415],"","","",[],[1207],4205,[],4205,"","",0,"",-1543503872,7,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
37,212,11,"[DNT] Disenchant Items",[],[],[],"","",13,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",-738197504,7,0,52,1,"",52,[],52,"",0,"","",0,-16843010,-16843010
38,212,12,"Trade Divination Cards",[],[],[],"","",19,"",72,[],"","","",[],[1163],4205,[],4205,"","",1,"",201326592,8,0,52,5,"",52,[],52,"",0,"","",0,-16843010,-16843010
39,232,0,"Introduction",[],[],[],"","",3,"","",[632],"","","","[69,125]",[],125,[112],125,"","",0,"",738197504,8,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
40,232,1,"Introduction",[],[],[],"","",3,"","",[296],"","","",[69],[112],69,[],69,"","",0,"",1140850688,8,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
41,232,2,"Einhar",[],[],[],"","",3,"","",[311],"","","",[70],[],70,[],4205,"","",0,"",1476395008,8,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
42,232,3,"The First Ones",[],[],[],"","",3,"","",[312],"","","",[110],[],110,[],4205,"","",0,"",-1946157056,8,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
43,232,4,"Trading",[],[],[],"","",3,"","",[314],"","","",[111],[409],111,[],4205,"","",0,"",-1241513984,8,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
44,232,5,"The Menagerie",[],[],[],"","",3,"","",[306],"","","",[409],[112],409,[],409,"","",0,"",-335544320,8,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
45,232,6,"View Bestiary",[],[],[],"triggerer.SendOpenScreen( BestiaryScreen ); triggerer.FinishNPCChat();","",6,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",-1711276032,9,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
46,232,7,"Visit Menagerie",[],[],[],"triggerer.OpenMenageriePortal(); triggerer.FinishNPCChat();","",6,"","",[],"","","",[],[409],1,[],4205,"","",0,"",1040187392,10,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
47,232,8,"Saqawal, First of the Sky",[],[],[],"","",3,"","",[316],"","","",[117],[113],117,[],4205,"","",0,"",-1946157056,10,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
48,232,9,"Farrul, First of the Plains",[],[],[],"","",3,"","",[317],"","","",[118],[114],118,[],4205,"","",0,"",-570425344,10,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
49,232,10,"Craiceann, First of the Deep",[],[],[],"","",3,"","",[318],"","","",[119],[115],119,[],4205,"","",0,"",838860800,11,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
50,232,11,"Fenumus, First of the Night",[],[],[],"","",3,"","",[319],"","","",[120],[116],120,[],4205,"","",0,"",-2080374784,11,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
51,233,0,"Introduction",[],[],[],"","",3,"","",[296],"","","",[69],[],69,[],69,"","",0,"",-1744830464,11,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
52,233,1,"Saqawal, First of the Sky",[],[],[],"","",3,"","",[316],"","","",[117],[113],117,[117],117,"","",0,"",-1275068416,11,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
53,233,2,"Farrul, First of the Plains",[],[],[],"","",3,"","",[317],"","","",[118],[114],118,[118],118,"","",0,"",-805306368,11,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
54,233,3,"Craiceann, First of the Deep",[],[],[],"","",3,"","",[318],"","","",[119],[115],119,[119],119,"","",0,"",-335544320,11,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
55,233,4,"Fenumus, First of the Night",[],[],[],"","",3,"","",[319],"","","",[120],[116],120,[120],120,"","",0,"",134217728,12,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
56,233,5,"The Menagerie",[1935],[],[],"","",3,"","",[306],"","","",[409],[112],409,[],409,"","",0,"",805306368,12,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
57,233,6,"View Bestiary",[],[],[],"triggerer.SendOpenScreen( BestiaryScreen ); triggerer.FinishNPCChat();","",6,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",805306368,12,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
58,233,7,"Visit Menagerie",[1935],[],[],"triggerer.OpenMenageriePortal(); triggerer.FinishNPCChat();","",6,"","",[],"","","",[],"[112,409]",1,[],4205,"","",0,"",1275068416,12,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
59,234,0,"Introduction",[],[],[3136],"",3136,3,"",3136,[10120],"","","",[],[],4205,[],4205,"","",0,"",1811939328,12,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
60,234,1,"The Village",[],[],[3133],"","",3,"",3133,[10122],"","","",[],[],4205,[],4205,"","",0,"",-1509949440,12,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
61,234,2,"The Count",[],[],[3134],"","",3,"",3134,[10123],"","","",[],[],4205,[],4205,"","",0,"",-603979776,12,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
62,234,3,"Locals",[],[],[3135],"","",3,"",3135,[10124],"","","",[],[],4205,[],4205,"","",0,"",201326592,13,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
63,234,4,"Hunt for the Crowbell",[],[],[],"SetStateTo( hunt_engaged, 1 );","",6,"",72,[10121],"","","",[],[],4205,[],4205,"","",0,"",-1979711488,13,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
64,236,0,"Introduction",[],[],[2924],"",2924,3,"",2924,"[9946,9947]","","","",[],[],4205,[],4205,"","",0,"",-1174405120,13,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
65,236,1,"Mercy for the Miller Reward",[2934],[2936],[2935],"",2935,7,0,72,[],"","","",[],[],4205,[],4205,"","",0,"",603979776,14,16777216,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
66,236,2,"Clearfell",[],"[2931,0]",[3032],"","",3,"",3032,[9957],"","","",[],[],4205,[],4205,"","",0,"",2046820352,14,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
67,236,3,"Ogham",[],[],[3037],"","",3,"",3037,[9964],"","","",[],[],4205,[],4205,"","",0,"",-1476395008,14,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
68,236,4,"Fatherhood",[2891],[],[3039],"","",3,"",3039,"[9966,9967]","","","",[],[],4205,[],4205,"","",0,"",0,15,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
69,236,5,"The Grelwood",[2893],[2902],[3042],"","",3,"",3042,"[9969,9970]","","","",[],[],4205,[],4205,"","",0,"",1811939328,15,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
70,236,6,"Cemetery of the Eternals",[2896],[],[3043],"","",3,"",3043,[9977],"","","",[],[],4205,[],4205,"","",0,"",-805306368,15,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
71,236,7,"The Hooded One",[3053],[],[3044],"",3044,3,"",3044,"[9972,9971]","","","",[],[],4205,[],4205,"","",0,"",805306368,16,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
72,236,8,"Home",[3053],[2902],[3046],"","",3,"",3046,"[9978,9979]","","","",[],[],4205,[],4205,"","",0,"",-1946157056,16,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
73,236,9,"Finn",[2900],[],[3036],"","",3,"",3036,[9960],"","","",[],[],4205,[],4205,"","",0,"",-939524096,16,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
74,236,10,"Twisted Animals",[2900],[3000],[3045],"","",3,"",3045,[9968],"","","",[],[],4205,[],4205,"","",0,"",704643072,17,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
75,236,11,"Una's Music",[2940],[],[3035],"","",3,"",3035,[9962],"","","",[],[],4205,[],4205,"","",0,"",1946157056,17,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
76,236,12,"The Count",[3151],[3000],[3040],"","",3,"",3040,[9981],"","","",[],[],4205,[],4205,"","",0,"",-1275068416,17,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
77,236,13,"The Village",[3000],[],[3047],"","",3,"",3047,[9980],"","","",[],[],4205,[],4205,"","",0,"",-469762048,17,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
78,236,14,"Count Geonor",[3000],[],[3041],"","",3,"",3041,[9984],"","","",[],[],4205,[],4205,"","",0,"",805306368,18,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
79,236,15,"Onwards",[3001],[],[3352],"",3352,3,"",3352,"[9982,9983]","","","",[],[],4205,[],4205,"","",0,"",-2113929216,18,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
80,236,16,"The Devourer",[],[2926],[2925],"",2925,6,"",2925,[9948],"","","",[],[],4205,[],4205,"","",0,"",-838860800,18,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
81,236,17,"Devourer Slain",[2931],[2929],[2926],"",2926,6,"",72,[9949],"","","",[],[],4205,[],4205,"","",0,"",771751936,19,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
82,236,18,"Treacherous Ground Reward",[2926],[2929],[2927],"",2927,7,1,72,[],"","","",[],[],4205,[],4205,"","",0,"",-1811939328,19,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
83,236,19,"Runed Spikes","[3007,0,0]",[2948],[2948],"",2948,6,"",2948,[9951],"","","",[],[],4205,[],4205,"","",0,"",268435456,20,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
84,236,20,"Take the Runed Spikes",[2948],"[2949,0]",[3088],"",3088,7,2,72,[],"","","",[],[],4205,[],4205,"","",0,"",2113929216,20,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
85,236,21,"The Mad Wolf","[2902,0]",[3000],[2995],"",2995,6,"",2995,[9955],"","","",[],[],4205,[],4205,"","",0,"",-369098752,20,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
86,236,22,"Renly's Tools",[2957],[],[4943],"",4943,6,"",4943,"[9974,9973]","","","",[],[],4205,[4026],4205,"","",0,"",1275068416,21,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
87,236,23,"Tools Found",[4942],[],[],"globals.craftingbench.DirtyTransition(); globals.enabledisable.DirtyStateMachine();","",6,"","","[9976,9975]","","","",[4026],[],4026,[],4026,"","",0,"",1140850688,22,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
88,236,24,"Buy or Sell items",[],[],[],"","",12,"",72,[],"","","",[],[],4205,[],4205,"","",2,"",1778384896,22,0,52,0,"",52,[],52,"",0,"","",0,-16843010,-16843010
89,236,25,"Death of the Count",[3000],[3003],[3003],"",3003,3,"",3003,[9956],"","","",[],[],4205,[],4205,"","",0,"",-637534208,22,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
90,236,26,"The Miller",[2935],[],[4951],"","",3,"",4951,[9965],"","","",[],[],4205,[],4205,"","",0,"",570425344,23,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
91,242,0,"Introduction",[],[],[3005],"",3005,3,"",3005,"[9910,9911,9912,9913]","","","",[],[],4205,[],4205,"","",0,"",1912602624,23,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
92,242,1,"Clearfell",[],"[2958,0]",[3026],"","",3,"",3026,[9926],"","","",[],[],4205,[],4205,"","",0,"",-1308622848,23,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
93,242,2,"Renly",[3051],[],[3024],"","",3,"",3024,[9923],"","","",[],[],4205,[],4205,"","",0,"",-268435456,23,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
94,242,3,"Count Geonor",[2995],[3000],[3030],"","",3,"",3030,"[9918,9917]","","","",[],[],4205,[],4205,"","",0,"",1073741824,24,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
95,242,4,"Home",[2891],[],[3147],"","",3,"",3147,[9930],"","","",[],[],4205,[],4205,"","",0,"",1879048192,24,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
96,242,5,"The Devourer",[2931],[2902],[3022],"","",3,"",3022,[9914],"","","",[],[],4205,[],4205,"","",0,"",-1342177280,24,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
97,242,6,"The Grelwood",[2893],[2902],[3146],"","",3,"",3146,[9928],"","","",[],[],4205,[],4205,"","",0,"",-268435456,24,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
98,242,7,"Finn",[2894],[],[3023],"","",3,"",3023,[9924],"","","",[],[],4205,[],4205,"","",0,"",536870912,25,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
99,242,8,"Cemetery of the Eternals",[4701],[],[3029],"","",3,"",3029,[9929],"","","",[],[],4205,[],4205,"","",0,"",1342177280,25,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
100,242,9,"The Hooded One",[2940],[],[3025],"","",3,"",3025,[9921],"","","",[],[],4205,[],4205,"","",0,"",-2147483648,25,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
101,242,10,"Leitis",[3353],[],[3453],"","",3,"",3453,[9925],"","","",[],[],4205,[],4205,"","",0,"",-1073741824,25,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
102,242,11,"Death of the Count",[3000],[3031],[3031],"",3031,3,"",3031,"[9920,9919]","","","",[],[],4205,[],4205,"","",0,"",268435456,26,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
103,242,12,"Clearfell",[3000],[],[3028],"","",3,"",3028,[9927],"","","",[],[],4205,[],4205,"","",0,"",1073741824,26,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
104,242,13,"Secrets in the Dark",[],"[2957,0]",[2941],"",2941,6,"",2941,"[11798,11797]","","","",[],[],4205,[],4205,"","",0,"",-1174405120,26,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
105,242,14,"Secrets in the Dark",[2948],[2957],[3450],"",3450,6,"",3450,[11806],"","","",[],[],4205,[],4205,"","",0,"",-100663296,26,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
106,242,15,"The Lost Lute",[2900],"[2940,0]",[2961],"",2961,6,"",2961,[9915],"","","",[],[],4205,[],4205,"","",0,"",1744830464,27,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
107,242,16,"Lost Lute Found",[2939],[],[2940],"DirtyTransition();",2940,6,"",2940,[9916],"","","",[],[],4205,[],4205,"","",0,"",-503316480,27,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
108,242,17,"The Lost Lute Reward",[2940],[3128],[3123],"",3123,7,3,72,[],"","","",[],[],4205,[],4205,"","",0,"",1040187392,28,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
109,242,18,"<italic>{A Siren's Call}",[2940],[],[],"triggerer.FinishNPCChat();","",21,"",72,"[9932,9933]","PlayNPCInterlude( \""Audio/Dialogue/4.0/NPC/Part1/Act1/UnaSong/UnaMerveil.ogg\"" );","","",[],[],4205,[],4205,"","",0,"",2080374784,29,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
110,242,19,"<italic>{Lord of the Trial}",[2940],[],[],"triggerer.FinishNPCChat();","",21,"",72,"[9934,9935]","PlayNPCInterlude( \""Audio/Dialogue/4.0/NPC/Part1/Act1/UnaSong/UnaIzaro.ogg\"" );","","",[],[],4205,[],4205,"","",0,"",-2080374784,30,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
111,242,20,"<italic>{Lioneye}",[2940],[],[],"triggerer.FinishNPCChat();","",21,"",72,"[9936,9937,9938]","PlayNPCInterlude( \""Audio/Dialogue/4.0/NPC/Part1/Act1/UnaSong/UnaLioneyes.ogg\"" );","","",[],[],4205,[],4205,"","",0,"",-1912602624,31,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
112,242,21,"Buy or Sell items",[],[],[],"","",12,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",-1912602624,31,0,52,0,"",52,[],52,"",0,"","",0,-16843010,-16843010
113,242,22,"Disenchant Items",[],[],[],"","",13,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",-1241513984,31,0,52,1,"",52,[],52,"",0,"","",0,-16843010,-16843010
114,242,23,"Agnar",[3455],[],[4861],"","",3,"",4861,[11801],"","","",[],[],4205,[],4205,"","",0,"",-134217728,31,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
115,242,24,"Ervig",[4722],[4663],[2884],"","",3,"",2884,[11818],"","","",[],[],4205,[],4205,"","",0,"",1174405120,32,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
116,242,25,"Ervig",[4663],[],[2885],"","",3,"",2885,[11819],"","","",[],[],4205,[],4205,"","",0,"",1979711488,32,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
117,248,0,"The Count's Binding",[],[],"[4701,0]","",4701,6,"",4701,[11808],"","","",[],[],4205,[],4205,"","",0,"",-805306368,32,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
118,248,1,"Count Lachlann's Ring",[4706],[],[4707],"",4707,6,"",4707,[11811],"PlayInterlude( \""Audio/Music/A1/A1_Encampment/A1_Encampment_HealSin\"", 0.5 );","","",[],[],4205,[],4205,"","",0,"",-939524096,33,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
119,248,2,"Use Ring",[4707],[4718],[4718],"DirtyStateMachine();\r\ntriggerer.FinishNPCChat();",4718,6,"",4718,[],"","","",[],[],4205,[],4205,"","",0,"",1879048192,34,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
120,248,3,"The Seed",[4711],[],[4713],"triggerer.FinishNPCChat(); triggerer.ForceInteractWithNPC( globals.hooded_one_injured );",4713,6,"",4713,[11814],"","","",[],[],4205,[],4205,"","",0,"",1744830464,35,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
121,248,4,"Find the Seed",[4712],[],[4710],"triggerer.FinishNPCChat(); triggerer.ForceInteractWithNPC( globals.hooded_one_injured );",4710,6,"",4710,[11815],"SetGlobalAudioParam( MusicInterlude, 1 );","","",[],[],4205,[],4205,"","",0,"",201326592,36,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
122,248,5,"The Lost Lute",[2900],"[2940,0]",[2961],"",2961,6,"",2961,[9915],"","","",[],[],4205,[],4205,"","",0,"",1543503872,36,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
123,248,6,"Lost Lute Found",[2939],[],[2940],"",2940,6,"",2940,[9916],"","","",[],[],4205,[],4205,"","",0,"",-1946157056,36,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
124,248,7,"The Lost Lute Reward",[2940],[3128],[3123],"",3123,7,3,72,[],"","","",[],[],4205,[],4205,"","",0,"",-1140850688,36,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
125,248,8,"Buy or Sell items",[],[],[],"","",12,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",-1140850688,36,0,52,0,"",52,[],52,"",0,"","",0,-16843010,-16843010
126,248,9,"Disenchant Items",[],[],[],"","",13,"",72,[],"","","",[],[],4205,[],4205,"","",1,"",-1073741824,36,0,52,1,"",52,[],52,"",0,"","",0,-16843010,-16843010
127,248,10,"Clearfell",[],"[2958,0]",[3026],"","",3,"",3026,[9926],"","","",[],[],4205,[],4205,"","",0,"",67108864,37,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
128,248,11,"Renly",[3051],[],[3024],"","",3,"",3024,[9923],"","","",[],[],4205,[],4205,"","",0,"",872415232,37,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
129,248,12,"Count Geonor",[2995],[3000],[3030],"","",3,"",3030,"[9918,9917]","","","",[],[],4205,[],4205,"","",0,"",-2080374784,37,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
130,248,13,"Home",[2891],[],[3147],"","",3,"",3147,[9930],"","","",[],[],4205,[],4205,"","",0,"",-1275068416,37,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
