"rownum","Index","SkillGem1","Name1","SkillGem2","Name2","row"
41,42,[92],"Enfeeble","[98,99]","Summon Skeletons",46
42,43,[93],"Assassin's Mark",[260],"Riposte",47
43,44,[94],"Sniper's Mark",[264],"Vengeance",48
44,45,[95],"Despair",[261],"Reckoning",49
45,46,[96],"Lightning Warp",[100],"Heavy Strike",50
46,47,"[98,99]","Summon Skeletons","[102,722]","Dominating Blow",51
47,48,[260],"Riposte","[103,104]","Rain of Arrows",52
48,49,[264],"Vengeance","[115,724]","Firestorm",53
49,50,[261],"Reckoning","[116,117]","Lightning Strike",54
50,51,[100],"Heavy Strike",[118],"Tempest Shield",55
51,52,"[102,722]","Dominating Blow","[119,120]","Molten Shell",56
52,53,"[103,104]","Rain of Arrows","[121,122]","Power Siphon",57
53,54,"[115,724]","Firestorm",[123],"Puncture",58
54,55,"[116,117]","Lightning Strike","[124,720]","Lightning Arrow",59
55,56,[118],"Tempest Shield","[165,166]","Arc",60
56,57,"[119,120]","Molten Shell","[125,126]","Haste",61
57,58,"[121,122]","Power Siphon",[127],"Purity of Elements",62
58,59,[123],"Puncture",[128],"Vitality",63
59,60,"[124,720]","Lightning Arrow","[129,130]","Discipline",64
60,61,"[165,166]","Arc","[131,132]","Grace",65
61,62,"[125,126]","Haste",[133],"Determination",66
62,63,[127],"Purity of Elements",[134],"Anger",67
63,64,[128],"Vitality",[135],"Hatred",68
64,65,"[129,130]","Discipline",[136],"Wrath",69
65,66,"[131,132]","Grace","[137,138]","Burning Arrow",70
66,67,[133],"Determination","[141,142]","Clarity",71
67,68,[134],"Anger",[151],"Shockwave Totem",72
68,69,[135],"Hatred","[152,725]","Rejuvenation Totem",73
69,70,[136],"Wrath",[154],"Conversion Trap",74
70,71,"[137,138]","Burning Arrow",[155],"Bear Trap",75
71,72,"[141,142]","Clarity",[157],"Fire Trap",76
72,73,[151],"Shockwave Totem",[159],"Decoy Totem",77
73,74,"[152,725]","Rejuvenation Totem",[160],"Devouring Totem",78
74,75,[154],"Conversion Trap",[161],"Ethereal Knives",79
75,76,[155],"Bear Trap","[168,169]","Arctic Armour",80
76,77,[157],"Fire Trap",[170],"Holy Flame Totem",81
77,78,[159],"Decoy Totem",[180],"Flammability",82
78,79,[160],"Devouring Totem",[181],"Frostbite",83
79,80,[161],"Ethereal Knives",[182],"Conductivity",84
80,81,"[168,169]","Arctic Armour",[184],"Incinerate",85
81,82,[170],"Holy Flame Totem","[185,186]","Cyclone",86
82,83,[180],"Flammability",[191],"Searing Bond",87
83,84,[181],"Frostbite","[195,196]","Reave",88
84,85,[182],"Conductivity","[201,202]","Lightning Trap",89
85,86,[184],"Incinerate",[243],"Pyroclast Mine",90
86,87,"[185,186]","Cyclone",[153],"Icicle Mine",92
87,88,[191],"Searing Bond",[420],"Stormblast Mine",93
88,89,"[195,196]","Reave",[205],"Animate Guardian",94
89,90,"[201,202]","Lightning Trap","[207,208]","Spectral Throw",95
90,91,[243],"Pyroclast Mine","[214,719]","Animate Weapon",96
91,92,[203],"Smoke Mine","[216,217]","Purity of Fire",97
92,93,[153],"Icicle Mine","[218,219]","Purity of Ice",98
93,94,[420],"Stormblast Mine","[220,221]","Purity of Lightning",99
94,95,[205],"Animate Guardian","[222,223]","Storm Call",100
95,96,"[207,208]","Spectral Throw","[224,225]","Flameblast",101
96,97,"[214,719]","Animate Weapon",[226],"Barrage",102
97,98,"[216,217]","Purity of Fire",[227],"Ball Lightning",103
98,99,"[218,219]","Purity of Ice",[231],"Summon Raging Spirit",104
99,100,"[220,221]","Purity of Lightning",[232],"Flame Surge",105
100,101,"[222,223]","Storm Call",[234],"Desecrate",106
101,102,"[224,225]","Flameblast",[235],"Flesh Offering",107
102,103,[226],"Barrage",[236],"Bone Offering",108
103,104,[227],"Ball Lightning",[238],"Glacial Cascade",109
104,105,[231],"Summon Raging Spirit",[241],"Convocation",110
105,106,[232],"Flame Surge","[240,712]","Molten Strike",111
106,107,[234],"Desecrate",[244],"Tornado Shot",112
107,108,[235],"Flesh Offering",[246],"Herald of Ash",113
108,109,[236],"Bone Offering",[247],"Herald of Ice",114
109,110,[238],"Glacial Cascade",[248],"Herald of Thunder",115
110,111,[241],"Convocation",[251],"Poacher's Mark",116
111,112,"[240,712]","Molten Strike",[252],"Lightning Tendrils",117
112,113,[244],"Tornado Shot",[259],"Mirror Arrow",118
113,114,[246],"Herald of Ash",[256],"Kinetic Blast",120
114,115,[247],"Herald of Ice",[265],"Summon Chaos Golem",121
115,116,[248],"Herald of Thunder",[266],"Summon Ice Golem",122
116,117,[251],"Poacher's Mark",[267],"Summon Flame Golem",123
117,118,[252],"Lightning Tendrils",[268],"Summon Lightning Golem",124
118,119,[259],"Mirror Arrow",[270],"Ice Crash",125
119,120,[258],"Blink Arrow",[271],"Rallying Cry",126
120,121,[256],"Kinetic Blast",[272],"Infernal Cry",127
121,122,[265],"Summon Chaos Golem",[274],"Vigilant Strike",128
122,123,[266],"Summon Ice Golem",[280],"Rolling Magma",129
123,124,[267],"Summon Flame Golem",[276],"Frost Blades",131
124,125,[268],"Summon Lightning Golem",[282],"Wild Strike",132
125,126,[270],"Ice Crash",[285],"Galvanic Arrow",133
126,127,[271],"Rallying Cry",[284],"Blast Rain",134
127,128,[272],"Infernal Cry",[287],"Bladefall",135
128,129,[274],"Vigilant Strike",[292],"Siege Ballista",136
129,130,[280],"Rolling Magma","[288,289]","Blade Vortex",137
130,131,[273],"Flame Dash",[298],"Contagion",138
131,132,[276],"Frost Blades",[299],"Wither",139
132,133,[282],"Wild Strike",[301],"Essence Drain",140
133,134,[285],"Galvanic Arrow",[283],"Ice Trap",141
134,135,[284],"Blast Rain",[293],"Orb of Storms",142
135,136,[287],"Bladefall",[291],"Frost Bomb",143
136,137,[292],"Siege Ballista",[294],"Summon Stone Golem",144
137,138,"[288,289]","Blade Vortex","[296,356]","Earthquake",145
138,139,[298],"Contagion",[729],"Snipe",146
139,140,[299],"Wither",[310],"Sunder",147
140,141,[301],"Essence Drain",[307],"Ancestral Protector",148
141,142,[283],"Ice Trap","[309,360]","Ancestral Warchief",149
142,143,[293],"Orb of Storms",[20],"Lacerate",150
143,144,[291],"Frost Bomb",[237],"Spirit Offering",151
144,145,[294],"Summon Stone Golem",[311],"Frostbolt",152
145,146,"[296,356]","Earthquake",[312],"Vortex",153
146,147,[729],"Snipe","[300,357]","Blight",154
147,148,[310],"Sunder",[318],"Scorching Ray",155
148,149,[307],"Ancestral Protector","[8,717]","Blade Flurry",156
149,150,"[309,360]","Ancestral Warchief",[317],"Dark Pact",158
150,151,[20],"Lacerate",[183],"Storm Burst",159
151,152,[237],"Spirit Offering",[338],"Cremation",160
152,153,[311],"Frostbolt",[29],"Volatile Dead",162
153,154,[312],"Vortex",[30],"Unearth",163
154,155,"[300,357]","Blight",[350],"Explosive Trap",164
155,156,[318],"Scorching Ray",[351],"Siphoning Trap",165
156,157,"[8,717]","Blade Flurry",[352],"Flamethrower Trap",166
157,158,[7],"Charged Dash",[353],"Lightning Spire Trap",167
158,159,[317],"Dark Pact",[354],"Seismic Trap",168
159,160,[183],"Storm Burst",[348],"Vulnerability",169
160,161,[338],"Cremation",[341],"Tectonic Slam",170
161,162,[339],"Bodyswap",[206],"Spectral Shield Throw",171
162,163,[29],"Volatile Dead",[250],"Herald of Purity",172
163,164,[30],"Unearth",[249],"Herald of Agony",173
164,165,[350],"Explosive Trap",[361],"Consecrated Path",174
165,166,[351],"Siphoning Trap","[362,716]","Smite",175
166,167,[352],"Flamethrower Trap",[363],"Scourge Arrow",176
167,168,[353],"Lightning Spire Trap",[364],"Toxic Rain",177
168,169,[354],"Seismic Trap",[365],"Summon Holy Relic",178
169,170,[348],"Vulnerability",[368],"Winter Orb",179
170,171,[341],"Tectonic Slam",[371],"Storm Brand",180
171,172,[206],"Spectral Shield Throw",[376],"Armageddon Brand",181
172,173,[250],"Herald of Purity",[377],"Brand Recall",182
173,174,[249],"Herald of Agony",[372],"War Banner",183
174,175,[361],"Consecrated Path",[373],"Dread Banner",184
175,176,"[362,716]","Smite",[374],"Shattering Steel",185
176,177,[363],"Scourge Arrow",[370],"Lancing Steel",186
177,178,[364],"Toxic Rain",[378],"Purifying Flame",187
178,179,[365],"Summon Holy Relic",[379],"Soulrend",188
179,180,[368],"Winter Orb",[380],"Bane",189
180,181,[371],"Storm Brand",[384],"Divine Ire",190
181,182,[376],"Armageddon Brand",[382],"Wave of Conviction",191
182,183,[377],"Brand Recall",[383],"Zealotry",192
183,184,[372],"War Banner",[385],"Malevolence",193
184,185,[373],"Dread Banner",[403],"Precision",194
185,186,[374],"Shattering Steel",[389],"Steelskin",195
186,187,[370],"Lancing Steel",[394],"Bladestorm",197
187,188,[378],"Purifying Flame",[395],"Blood and Sand",198
188,189,[379],"Soulrend",[396],"Berserk",199
189,190,[380],"Bane",[397],"Perforate",200
190,191,[384],"Divine Ire",[398],"Chain Hook",201
191,192,[382],"Wave of Conviction",[404],"Flesh and Stone",203
192,193,[383],"Zealotry",[407],"Pride",204
193,194,[385],"Malevolence",[410],"Cobra Lash",205
194,195,[403],"Precision",[421],"Summon Skitterbots",208
195,196,[389],"Steelskin",[413],"Plague Bearer",209
196,197,[391],"Dash",[424],"Pestilent Strike",210
197,198,[394],"Bladestorm",[411],"Summon Carrion Golem",211
198,199,[395],"Blood and Sand",[431],"Artillery Ballista",212
199,200,[396],"Berserk",[427],"Shrapnel Ballista",213
200,201,[397],"Perforate",[430],"Ensnaring Arrow",214
201,202,[398],"Chain Hook",[473],"Stormbind",215
202,203,[402],"Frostblink",[475],"Blade Blast",216
203,204,[404],"Flesh and Stone",[477],"Spellslinger",217
204,205,[407],"Pride",[474],"Kinetic Bolt",218
205,206,[410],"Cobra Lash",[471],"Arcane Cloak",219
206,207,[412],"Withering Step",[481],"Intimidating Cry",220
207,208,"[425,715]","Venom Gyre",[483],"Ancestral Cry",221
208,209,[421],"Summon Skitterbots",[482],"Seismic Cry",222
209,210,[413],"Plague Bearer",[487],"General's Cry",223
210,211,[424],"Pestilent Strike",[480],"Arcanist Brand",224
211,212,[411],"Summon Carrion Golem",[484],"Penance Brand",225
212,213,[431],"Artillery Ballista",[485],"Wintertide Brand",226
213,214,[427],"Shrapnel Ballista",[486],"Earthshatter",227
214,215,[430],"Ensnaring Arrow",[496],"Sigil of Power",228
215,216,[473],"Stormbind",[495],"Splitting Steel",229
216,217,[475],"Blade Blast",[497],"Flame Wall",230
217,218,[477],"Spellslinger",[491],"Blazing Salvo",231
218,219,[474],"Kinetic Bolt",[493],"Crackling Lance",232
219,220,[471],"Arcane Cloak",[492],"Void Sphere",233
220,221,[481],"Intimidating Cry",[494],"Frost Shield",234
221,222,[483],"Ancestral Cry",[502],"Hydrosphere",235
222,223,[482],"Seismic Cry",[499],"Hexblast",236
223,224,[487],"General's Cry",[508],"Exsanguinate",237
224,225,[480],"Arcanist Brand",[509],"Corrupting Fever",238
225,226,[484],"Penance Brand",[512],"Petrified Blood",239
226,227,[485],"Wintertide Brand","[511,718]","Reap",240
227,228,[486],"Earthshatter",[616],"Defiance Banner",241
228,229,[496],"Sigil of Power",[680],"Storm Rain",242
229,230,[495],"Splitting Steel",[618],"Rage Vortex",243
230,231,[497],"Flame Wall",[681],"Shield Crush",244
231,232,[491],"Blazing Salvo",[684],"Summon Reaper",245
232,233,[493],"Crackling Lance",[686],"Boneshatter",246
233,234,[492],"Void Sphere",[677],"Ambush",247
234,235,[494],"Frost Shield",[617],"Voltaxic Burst",248
235,236,[502],"Hydrosphere",[620],"Battlemage's Cry",249
236,237,[499],"Hexblast","[622,721]","Absolution",250
237,238,[508],"Exsanguinate",[688],"Eye of Winter",251
238,239,[509],"Corrupting Fever",[619],"Spectral Helix",252
239,240,[512],"Petrified Blood",[676],"Forbidden Rite",253
240,241,"[511,718]","Reap",[679],"Blade Trap",254
241,242,[616],"Defiance Banner",[678],"Manabond",255
242,243,[680],"Storm Rain",[687],"Explosive Concoction",256
243,244,[618],"Rage Vortex",[689],"Poisonous Concoction",257
244,245,[681],"Shield Crush",[691],"Temporal Rift",258
245,246,[684],"Summon Reaper",[693],"Energy Blade",259
246,247,[686],"Boneshatter",[692],"Tornado",260
247,248,[677],"Ambush",[694],"Soul Link",261
248,249,[617],"Voltaxic Burst",[695],"Flame Link",262
249,250,[620],"Battlemage's Cry",[698],"Intuitive Link",263
250,251,"[622,721]","Absolution",[697],"Protective Link",264
251,252,[688],"Eye of Winter",[696],"Vampiric Link",265
252,253,[619],"Spectral Helix",[699],"Destructive Link",266
253,254,[676],"Forbidden Rite",[705],"Galvanic Field",267
254,255,[679],"Blade Trap",[704],"Lightning Conduit",268
255,256,[678],"Manabond",[706],"Alchemist's Mark",269
256,257,[687],"Explosive Concoction",[709],"Frozen Legion",270
257,258,[689],"Poisonous Concoction","[707,708]","Volcanic Fissure",271
258,259,[691],"Temporal Rift",[1],"Vaal Fireball",""
259,260,[693],"Energy Blade",[1],"Vaal Fireball",""
260,261,[692],"Tornado",[1],"Vaal Fireball",""
261,262,[694],"Soul Link",[1],"Vaal Fireball",""
262,263,[695],"Flame Link",[1],"Vaal Fireball",""
263,264,[698],"Intuitive Link",[1],"Vaal Fireball",""
264,265,[697],"Protective Link",[1],"Vaal Fireball",""
265,266,[696],"Vampiric Link",[1],"Vaal Fireball",""
266,267,[699],"Destructive Link",[1],"Vaal Fireball",""
267,268,[705],"Galvanic Field",[1],"Vaal Fireball",""
268,269,[704],"Lightning Conduit",[1],"Vaal Fireball",""
269,270,[706],"Alchemist's Mark",[1],"Vaal Fireball",""
270,271,[709],"Frozen Legion",[1],"Vaal Fireball",""
271,272,"[707,708]","Volcanic Fissure",[1],"Vaal Fireball",""
