"rownum","Id","Term","Definition","string"
14,"Chill","Chill","Chill is an [Ailments|Ailment] that [Slow|Slows] the afflicted target, and lasts 2 seconds by default.\r\n\r\n[Cold] damage from [HitDamage|Hits] [Contributes] to Chill [BuffMagnitude|Magnitude], up to a maximum [Slow] of 50%. All [HitDamage|Hits] that have any [Contributes|Contribution] to Chill [BuffMagnitude|Magnitude] can Chill, without requiring an explicit chance to inflict, provided the [BuffMagnitude|Magnitude] meets a minimum threshold. So low damage [HitDamage|Hits] may still fail to Chill.",""
15,"ChilledGround","Chilled Ground","Chilled Ground [Chill|Chills] those standing in it, and lasts 6 seconds by default.",""
16,"ConsecratedGround","Consecrated Ground","You and [Allies|Allies] standing on your Consecrated Ground Regenerate 5% of their maximum Life per second, and [Curse|Curses] have 50% reduced effect on them.",""
17,"CullingStrike","Culling Strike","Culling Strikes kill Normal enemies if their life is at 30% or below. Magic enemies are instead killed at 20%, Rare at 10% and Unique at 5%. These thresholds are checked before the damage of the [HitDamage|Hit] is applied.",""
18,"DecimatingStrike","Decimating Strike","[HitDamage|Hits] against Full Life Enemies remove between 5% and 30% of Life, before the damage of the [HitDamage|Hit] is applied.",""
19,"DamageTypes","Damage Types","The damage types are [Physical], [Fire], [Cold], [Lightning] and [Chaos].",""
20,"DamagingAilments","Damaging Ailments","[Ailments] that deal damage are [Bleeding], [Ignite], and [Poison].",""
21,"Defences","Defences","[Armour], [Evasion|Evasion Rating] and [EnergyShield|Energy Shield] are the standard Defences. Other protective stats such as [Resistances] are not counted as Defences.",""
22,"DesecratedGround","Desecrated Ground","You take [Chaos] damage over time while standing in Desecrated Ground.",""
23,"ElementalAilments","Elemental Ailments","Elemental [Ailments] are [Ignite], [Chill], [Freeze], [Shock], and [Electrocute|Electrocute].",""
24,"Freeze","Freeze","Freeze is an [Ailments|Ailment] that causes targets to be unable to move or act, and lasts 4 seconds by default.\r\n\r\n[Cold] damage from [HitDamage|Hits] [Contributes] to Freeze Buildup on enemies until they become [Frozen].",""
25,"Hinder","Hinder","Hinder is a [Debuff] that [Slow|Slows] movement speed by 30% unless otherwise specified.",""
26,"Ignite","Ignite","Ignite is an [Ailments|Ailment] that deals [Fire] damage over time, and lasts for 4 seconds by default.\r\n\r\n[Fire] damage from [HitDamage|Hits] [Contributes] to both the chance to Ignite and the [BuffMagnitude|Magnitude] of Ignite, so [HitDamage|Hits] dealing more [Fire] damage Ignite more often, and inflict stronger Ignites. By default a [HitDamage|Hit] has 1% chance to Ignite for every 4% of the target's [AilmentThreshold|Ailment Threshold] dealt.\r\n\r\nThe base [BuffMagnitude|Magnitude] of Ignite is [Fire] damage per second equal to 20% of the [Fire] damage dealt by the [HitDamage|Hit] that inflicted it. This is calculated using the final damage dealt by the [HitDamage|Hit], but not any modifiers on the target that affect how much damage they will take from the [HitDamage|Hit]. This magnitude is not further affected by any modifiers to the damage you deal.\r\n\r\nModifiers and [Debuff|Debuffs] that affect the enemy's ability to mitigate damage (such as [Shock]) can affect the damage the enemy takes from Ignite, but any such modifiers that specifically apply to [HitDamage|Hit] damage (such as [Penetration]) do not affect Ignite damage.",""
27,"IgnoreResistances","Ignoring Resistances","Ignoring [Resistances] means your damage cannot be modified in any way by the target's [Resistances|Resistance] stats.",""
28,"Knockback","Knockback","Knockback pushes Enemies away when [HitDamage|Hit].",""
29,"LifeLeech","Life Leech","When you deal damage from a [HitDamage|Hit], Leech causes you to recover an amount of the stated resource equal to a percentage of the damage you dealt.\r\nMonsters have Leech Resistance that increases with monster level, reducing how much you recover from Leech.\r\nLeeched Life is recovered over one second. Multiple Leeches can occur simultaneously.",""
30,"LowEnergyShield","Low Energy Shield","You are on Low Energy Shield if you have 35% of your Maximum Energy Shield or less.",""
31,"LowLife","Low Life","A player or monster is on Low Life if it has 35% of its Maximum Life or less.",""
32,"LowMana","Low Mana","You are on Low Mana if you have 35% of your Maximum Mana or less.",""
33,"Lucky","Lucky","Lucky things are rolled twice and the better result used.",""
34,"Maim","Maim","Maimed enemies suffer from 30% [Slow|Slower] Movement Speed and 15% reduced Evasion Rating.",""
35,"ManaLeech","Mana Leech","When you deal damage from a [HitDamage|Hit], Leech causes you to recover an amount of the stated resource equal to a percentage of the damage you dealt.\r\nMonsters have Leech Resistance that increases with monster level, reducing how much you recover from Leech.\r\nLeeched Mana is recovered over one second. Multiple Leeches can occur simultaneously.",""
36,"MapOwner","Map Owner","The Map Owner is the player who created the Map area.",""
37,"NonDamagingAilments","Non-Damaging Ailments","[Ailments] that do not deal damage are [Chill], [Freeze], [Shock], and [Electrocute].",""
38,"Overkill","Overkill","Overkill damage is any damage from a [HitDamage|Hit] in excess of the enemy's remaining Life when it is killed.",""
39,"Poison","Poison","Poison is an [Ailments|Ailment] that deals [Chaos] damage over time, and lasts 2 seconds by default. Damage from Poison bypasses [EnergyShield|Energy Shield].\r\n\r\n[Physical] and [Chaos] damage from [HitDamage|Hits] [Contributes|Contribute] to Poison [BuffMagnitude|Magnitude].\r\n\r\nDamage does not [Contributes|Contribute] to Poison chance, so it cannot be inflicted without an explicit source of Poison chance.\r\n\r\nThe base [BuffMagnitude|Magnitude] of Poison is [Chaos] damage per second equal to 20% of the [Premitigation|Pre-mitigation] [Physical] and [Chaos] damage of the [HitDamage|Hit] that inflicted it. This magnitude is not further affected by any modifiers to the damage you deal.\r\n\r\nModifiers and [Debuff|Debuffs] that affect the enemy's ability to mitigate damage (such as [Shock]) can affect the damage the enemy takes from Poison, but any such modifiers that specifically apply to [HitDamage|Hit] damage (such as [Penetration]) do not affect Poison damage.",""
40,"Rage","Rage","Rage grants 1% more [Attack|Attack] damage per 1 Rage gained, to a maximum of 30. You lose 1 Rage every 0.1 seconds if you have not taken damage or gained Rage in the last 2 seconds.\r\n\r\nOnly one [HitDamage|Hit] every 0.5 seconds can cause you to gain Rage.",""
41,"Recently","Recently","Recently refers to the past 4 seconds.",""
42,"Shapeshift","Shapeshifting","Shapeshifting changes you into a non-human form. While you are shapeshifted, your weapon slots are disabled and your Passive Skill Tree uses the Shapeshift configuration if you have created one.\r\n\r\nUsing a skill that is not compatible with your shapeshifted form will automatically revert you to human form.",""
43,"Shock","Shock","Shock is an [Ailments|Ailment] that causes targets to take 20% increased damage, and lasts 4 seconds by default.\r\n\r\n[Lightning] damage from [HitDamage|Hits] [Contributes] to chance to Shock enemies. The higher the [Lightning] damage dealt, the higher the chance. By default a [HitDamage|Hit] has 1% chance to Shock for every 4% of the target's [AilmentThreshold|Ailment Threshold] dealt.",""
44,"SmokeCloud","Smoke Clouds","Enemies standing in Smoke Clouds are [Blind|Blinded].\r\nSmoke Clouds have a radius of 2 metres unless otherwise specified. ",""
45,"StunThreshold","Player Stun Threshold","Your base Stun Threshold is equal to your maximum Life. A [HitDamage|Hit] that deals damage equal to or greater than your Stun Threshold is guaranteed to [Stun] you, and the chance scales down linearly for lower damage [HitDamage|Hits]. A [Stun] chance of less than 10% is treated as 0%.",""
46,"EnemyStunThreshold","Enemy Stun Threshold","The lower an enemy's Stun Threshold, the less [Stun] buildup is needed to [Stun] or [HeavyStun|Heavy Stun] them.",""
47,"FreezeThreshold","Freeze Threshold","Freeze Threshold determines how much [Freeze] buildup is needed to [Freeze] a target.",""
48,"Unaffected","Unaffected","[Debuff|Debuffs] you are Unaffected by can still be placed on you, but will not actually apply their effect.",""
49,"UncappedResist","Uncapped Resistance","Uncapped [Resistances|Resistance] is the value a [Resistances|Resistance] would have if ignoring Maximum Resistance. These values are shown in parentheses at the top of the Character Panel.",""
50,"OvercappedResist","Overcapped Resistance","Overcapped [Resistances|Resistance] is the amount of a [Resistances|Resistance] you have in excess of your [MaximumResistances|Maximum Resistance] for that damage type.",""
51,"Unlucky","Unlucky","Unlucky things are rolled twice and the worse result used.",""
52,"Immobilised","Immobilised","A target is immobilised if it cannot move, for example due to being [Frozen], [Pinned], [HeavyStun|Heavy Stunned], or [Electrocute|Electrocuted].",""
53,"Stun","Stun"," [HitDamage|Hits] against any target can potentially cause a Stun on that target, depending on the damage dealt. Stunning a target interrupts their current action and prevents them from taking actions for a short time. There are two types of Stun:\r\n\r\n[LightStun|Light Stuns] last a fraction of a second but can be inflicted frequently. Any [HitDamage|Hit] has a chance to cause a [LightStun|Light Stun]. The chance is based on the damage dealt, up to 100% base chance for [HitDamage|Hits] that deal 100% of the target's maximum Life. Chances lower than 10% are treated as 0%.\r\n\r\n[HeavyStun|Heavy Stuns] occur when a target's Stun bar is filled and last multiple seconds. [HitDamage|Hits] cause Heavy Stun buildup based on the damage dealt. Players and their [Minion|Minions] usually cannot be [HeavyStun|Heavily Stunned], but players can receive [HeavyStun|Heavy Stun] buildup where specifically mentioned while taking specific actions (such as raising their [Shield], Parrying with a [Buckler], or riding a mount).\r\n\r\n[Physical] damage, and player (but not monster) [Melee] Damage, each have 50% more [LightStun|Light Stun] chance and [HeavyStun|Heavy Stun] buildup. For players, these bonuses are multiplicative with each other.",""
54,"LightStun","Light Stun","Any [HitDamage|Hit] has a chance to [LightStun|Light Stun] the target, interrupting their current action and preventing them from taking actions for a fraction of a second. The chance is based on the damage dealt, up to 100% base chance for [HitDamage|Hits] that deal 100% of the target's maximum Life. Chances lower than 10% are treated as 0%.\r\n\r\n[Physical] damage, and player (but not monster) [Melee] Damage, each have 50% more [LightStun|Light Stun] chance. For players, these bonuses are multiplicative with each other.",""
55,"HeavyStun","Heavy Stun","[HeavyStun|Heavy Stuns] occur when a target's [Stun] bar is filled, interrupts the target's current action and prevent them from taking actions for a few seconds. [HitDamage|Hits] cause Heavy Stun buildup based on the damage dealt. Players and their [Minion|Minions] usually cannot be [HeavyStun|Heavily Stunned], but players can receive [HeavyStun|Heavy Stun] buildup where specifically mentioned while taking specific actions (such as raising their [Shield], Parrying with a [Buckler], or riding a mount).\r\n\r\nWhile an enemy is Heavy Stunned, they cannot act and count as [Immobilised]. It will also be harder to Heavy Stun them again for a short time afterwards.\r\n\r\n[Physical] damage, and player (but not monster) [Melee] Damage, each cause 50% more [HeavyStun|Heavy Stun] buildup. For players, these bonuses are multiplicative with each other.",""
56,"HeavyStunPlayer","Player Heavy Stun","Players and their [Minion|Minions] usually cannot be [HeavyStun|Heavily Stunned], but players can receive [HeavyStun|Heavy Stun] buildup where specifically mentioned while taking specific actions (such as raising their [Shield], Parrying with a [Buckler], or riding a mount). A player's stun bar only empties when they are not taking these actions or [HeavyStun|Heavily Stunned]. While [HeavyStun|Heavily Stunned] players cannot [Block] or [Evasion|Evade] [HitDamage|Hits].",""
57,"Electrocute","Electrocution","Electrocution is an [Ailments|Ailment] that interrupts the target's actions and prevents them performing any action, and lasts 5 seconds by default.\r\n\r\nOnly [Lightning] damage from [HitDamage|Hits] with specific skills or effects [Contributes] to Electrocution Buildup on enemies until they become [Electrocute|Electrocuted]. Other sources of [Lightning] damage will not build up towards Electrocution.",""
58,"Pinned","Pinned","Certain skills and effects allow damage to build up Pinned. Once this build up passes the enemy's Pinned Threshold, they are Pinned, preventing them moving, being moved or [Evasion|Evading] for 4 seconds. They are also [LightStun|Light Stunned] when they become Pinned.\r\n\r\nPinned targets count as [Immobilised].",""
59,"Overwhelm","Overwhelm","Overwhelm negates a certain amount of the target's [Physical|Physical] damage reduction, but never more than the total [Physical|Physical] damage reduction the target has.",""
60,"Melee","Melee","Melee [Attack|Attacks] are those that directly hit with a melee [Strike] or a [Slam], dealing Melee damage. Melee attacks usually scale from Weapon or Unarmed damage. \r\n\r\nAny [Projectile|Projectiles] these attacks create do not count as Melee damage.",""
61,"Slam","Slams","Slams are [Melee] [Attack|Attacks] that cause damaging areas of effect, rather than [Strike|Striking] enemies with your weapon directly. Damage from Slams is still [Melee] damage.",""
62,"Chain","Chain","Effects that Chain are redirected to another target after hitting an enemy. [Projectile|Projectiles] cannot Chain from enemies they [Pierce] or [Fork] from.\r\nProjectiles have a base chaining distance of 6 metres whereas other effects have a chaining distance of 4 metres.",""
63,"Pierce","Pierce","[Projectile|Projectiles] that Pierce can pass through a target while still damaging them.",""
64,"Fork","Fork","[Projectile|Projectiles] that Fork split into two the first time they hit an enemy and do not [Pierce] it.",""
65,"Split","Split","[Projectile|Projectiles] that Split fire at a number of targets within 6 metres by splitting into multiple [Projectile|Projectiles] the first time they [HitDamage|Hit] an enemy.\r\n\r\nSome non-[Projectile] beam Skills can also Split.",""
66,"Deflect","Deflect","50% of damage from Deflected Hits and [Ailments] they inflict is prevented.",""
67,"Suppress","Suppress","50% of damage from Suppressed Hits and [Ailments] they inflict is prevented.",""
68,"Block","Block","Blocking completely prevents the damage of an incoming [Strike] or [Projectile].\r\n\r\nYou will still take any [Stun], [Freeze] and other debuffs from the Blocked hit. You can't Block while [Stun|Stunned] or [Freeze|Frozen]. \r\n\r\nSome skills used by Bosses cannot be blocked. These are indicated by a red glow and audio cue during the windup of the skill.",""
69,"ChanceToBlock","Chance to Block","Chance to [Block] only includes modifiers that are explicitly chance-based. Guaranteed [Block] (such as raising your [Shield]) does not affect your Chance to [Block].",""
70,"OvercappedBlock","Overcapped Block Chance","Overcapped [ChanceToBlock|Block Chance] is the amount by which your [ChanceToBlock|Chance to Block] exceeds your maximum [ChanceToBlock|Chance to Block].",""
71,"Strike","Strike","A Strike is a [Melee] attack that directly hits with weapons or body parts. [Slam] attacks do not count as Strikes.",""
72,"Projectile","Projectile","A Projectile is a moving [Attack] or [Spell] that usually impacts with targets when it hits them.\r\n\r\nWhen a group of multiple Projectiles is fired from the same source at the same time, only one Projectile in the group can hit each target unless otherwise specified.",""
73,"Resistances","Resistances","Resistances reduce damage taken of the corresponding damage type — [Fire], [Cold], [Lightning] or [Chaos] — up to a [MaximumResistances|Maximum]. [Fire], [Cold] and [Lightning] Resistances are Elemental Resistances.\r\n\r\nPlayer resistances are lowered as you progress through the game, and can be improved with Equipment, Passives & Quest items.",""
74,"Critical","Critical Hits","Critical Hits deal +100% extra damage (i.e. twice as much damage) by default. [CriticalDamageBonus|Critical Damage Bonuses] can further modify this value.\r\n\r\n[Attack|Attacks] usually use your weapon's base Critical Hit Chance, while [Spell|Spells] and some other skills have their base Critical Hit Chance listed on the skill. \r\n\r\nMost modifiers to Critical Hit Chance are percentage based. For example, gaining 100% increased Critical Hit Chance on a base Critical Hit Chance of 7% would result in a final Critical Hit Chance of 14%.",""
75,"CriticalDamageBonus","Critical Damage Bonus","Multiplies the damage dealt by [Critical|Critical Hits]. Default value is +100% (i.e. twice as much damage).",""
76,"JaggedGround","Jagged Ground","Jagged Ground [Slow|Slows] the movement speed of enemies in its area by 20%.",""
77,"Totem","Totems","Totems are [Allies|allied] constructs which use skills for you. Totems are not [Minion|Minions] and their skills benefit from your stats, though they have their own defensive stats and can be damaged or killed.\r\n\r\nTotem Limit is shared between different types of Totem by default.",""
78,"Taunt","Taunt","Enemies you Taunt can only target you, and deal 10% less damage with [HitDamage|hits] to anyone else. If not otherwise specified, Taunt lasts for 3 seconds.",""
79,"Empowered","Empowered Skills","Empowered Skills do not have any inherent bonuses, but a number of stats and modifiers specifically apply to Empowered Skills.",""
80,"Power","Monster Power","Monster Power is a number that approximately reflects how strong and dangerous a monster is. An average monster has a Power of 1, strong monsters can have Power of 2 to 3, and weak monsters might have as little as 0.5, or very occasionally less. This value is then multiplied according to the monster's [Rarity]:\r\n\r\nNormal: 1\r\nMagic: 2\r\nRare: 5\r\n\r\nUnique monsters always have 20 Power.",""
81,"Armour","Armour","Armour reduces [Physical] damage from hits. Damage reduction is proportional to the size of the hit, and is more effective at reducing smaller hits.",""
82,"Burning","Burning","Burning damage is any [Fire|Fire] damage dealt over time, including things like [Ignite].",""
83,"Frozen","Frozen","A Frozen target cannot move or act. Targets become Frozen when they reach 100% [Freeze] buildup.",""
84,"Evasion","Evasion","Evasion grants a chance to avoid enemy [Strike|Strikes] or [Projectile|Projectiles]. Exact chance of success also depends on the attacker's [Accuracy].",""
85,"Accuracy","Accuracy","Accuracy is used to hit a target with an [Attack|Attack], and is checked against the targets [Evasion] to determine that chance. \r\n\r\nPlayer and [Minion] [Attack|Attacks] incur an Accuracy penalty based on distance from the origin of the damage to the target, with no penalty for targets within 2 metres and up to 90% less Accuracy for targets further than 12 metres away.",""
86,"EnergyShield","Energy Shield","Energy Shield protects your Life by taking damage instead. Rapidly [ESRecharge|Recharges] if you don't lose Energy Shield for a short time.\r\n[Chaos] damage removes twice as much Energy Shield.\r\nDamage from [Bleeding] and [Poison] bypasses Energy Shield to remove Life directly.",""
87,"PrimedElectrocution","Primed for Electrocution","Normal enemies are Primed for [Electrocute|Electrocution] when they have at least 40% Electrocution buildup. Magic enemies are instead Primed at 50% buildup, Rare at 60%, and Unique at 70%.",""
88,"PrimedStun","Primed for Stun","Normal enemies are Primed for [Stun] when they have at least 40% Heavy Stun buildup. Magic enemies are instead Primed at 50% buildup, Rare at 60%, and Unique at 70%.",""
89,"PrimedFreeze","","",""
90,"IronReflexes","Iron Reflexes","[StatConversion|Converts] all [Evasion|Evasion Rating] to [Armour].",""
91,"Slow","Slow","Slows are modifiers from [Debuff|Debuffs] that cause actions to take longer. Slows can apply to a specific stat (such as attack speed or movement speed) — if a specific type of slow is not specified, it applies to everything the affected entity does. Slows are always multiplicative with each other.\r\n\r\nHigher [Rarity] enemies are less affected by Slows:\r\n\r\n15% less Slow effect on Magic monsters\r\n30% less Slow effect on Rare monsters\r\n50% less Slow effect on Unique monsters\r\n\r\nAdditionally, Slows have 10% less effect on all monsters for each player in the area beyond the first.",""
92,"Rarity","Rarity","[ItemRarity|Item] or monster rarity can be Normal (grey), Magic (blue), Rare (yellow) or Unique (brown). As a general rule, monsters increase in difficulty depending on their Rarity.",""
93,"FasterESRechargeStart","Faster Start of Energy Shield Recharge","Affects the delay before your [EnergyShield|Energy Shield] starts [ESRecharge|Recharging] after losing Energy Shield.",""
94,"ESRechargeRate","Energy Shield Recharge Rate","Affects how quickly [EnergyShield|Energy Shield] is recovered by [ESRecharge|Recharge] once it starts Recharging.",""
95,"HitDamage","Hit Damage","Any damage that isn't damage over time is Hit damage.\r\n\r\n[DamagingAilments|Damaging Ailments] which result from a Hit will calculate their damage from that Hit, and will not subsequently have Damage modifiers applied directly to them. As a result of this, raising Hit Damage will result in more powerful Damaging Ailments innately.",""
96,"Spell","Spells","Spells are skills that use raw magic to destroy your enemies. [Attack|Attacks] are not Spells.\r\n\r\nSpells have their own base damage, cast speed and [Critical|Critical Hit] chance determined by the skill. They do not benefit from a weapon's inherent damage, attack speed or [Critical|Critical Hit] chance.",""
97,"Attack","Attacks","Attacks are skills that directly use your equipped weapon to damage enemies. [Spell|Spells] are not Attacks.\r\n\r\nThe base damage, attack speed and [Critical|critical hit] chance of an attack are determined using your weapon's stats unless a skill says otherwise.\r\n\r\nAttacks do not necessarily deal [Physical] damage — they can deal any damage type.",""
98,"Trap","Traps","Traps are [Two-Handed] ranged weapons that require [Dexterity] and [Intelligence] to equip. Traps cannot be used to [Attack] directly. \r\n\r\nThrowing a Trap places it on the ground, where it can either be detonated manually or triggered by [CloseRange|Close by] enemies depending on the Trap type.",""
99,"Withered","Withered","Withered applies 5% increased [Chaos] damage Taken, and can be inflicted up to 10 times.",""
100,"Crushed","Crushed","Crushed lowers [Physical] damage Reduction by 15%.",""
101,"CrushingBlow","Crushing Blows","Crushing Blows cause a [HeavyStun|Heavy Stun] on enemies that are [PrimedStun|Primed for Stun].",""
102,"Brittle","Brittle","Hits have up to +6% [CriticalHit|Critical Hit] Chance against Brittle enemies, based on the [Cold] damage of the Hit which inflicted Brittle, for 4 seconds.",""
103,"QuestItem","Quest Item","Quest items are used to progress the story. They cannot be sold or stashed, but can be discarded. Discarded quest items can be reobtained from their original source.",""
104,"Sword","Swords","Swords are [Melee] weapons that can be [One-Handed] or [Two-Handed]. Swords require [Strength] and [Dexterity] to equip. \r\n\r\nSword [Attack|Attacks] are commonly related to elemental damage.",""
105,"Mace","Maces","Maces are [Melee] weapons that can be [One-Handed] or [Two-Handed]. Maces require [Strength] to equip. \r\n\r\nMace [Attack|Attacks] are often [Slam|Slams] or slow [Strike|Strikes] that deal [Physical] or [Fire] damage.",""
106,"Sceptre","Sceptres","Sceptres are [One-Handed] weapons that require [Strength] and [Intelligence] to equip. Sceptres can be equipped in your main hand or off hand, but you cannot [DualWield|Dual Wield] two Sceptres. \r\n\r\nSceptres cannot be used to [Attack] and do not grant bonuses to [Spell|Spellcasting]. Instead, they grant additional [Spirit] and can provide bonuses to your [Allies].",""
107,"Wand","Wands","Wands are [One-Handed] [Spell|Spellcasting] weapons that require [Intelligence] to equip. \r\n\r\nWands cannot be [DualWield|Dual Wielded] and cannot be used to [Attack] directly. However, they grant inbuilt [Spell|Spells] based on the wand type and powerful bonuses to spells.",""
108,"Axe","Axes","Axes are [Melee] weapons that can be [One-Handed] or [Two-Handed]. Axes require [Strength] and [Dexterity] to equip. \r\n\r\nAxe [Attack|Attacks] commonly involve throwing your axe and/or inflicting [Bleeding].",""
109,"Bow","Bows","Bows are [Two-Handed] ranged weapons that require [Dexterity] to equip. Equipping a Bow allows you to also equip a [Quiver] in the off hand slot. \r\n\r\nBows can [Attack] from long range and with high mobility using a variety of skills, but generally deal less damage than other two-handed weapon types.",""
110,"Dagger","Daggers","Daggers are [One-Handed] [Melee] weapons that require [Dexterity] and [Intelligence] to equip. \r\n\r\nDagger [Attack|Attacks] are commonly related to ambushing or debilitating enemies. Some blade-related [Spell|Spells] also require a Dagger.",""
111,"Staff","Staves","Staves are [Two-Handed] [Spell|Spellcasting] weapons that require [Intelligence] to equip. \r\nStaves cannot be used to [Attack]. However, they grant inbuilt [Spell|Spells] based on the staff type and powerful bonuses to spells.",""
112,"Claw","Claws","Claws are [One-Handed] [Melee] weapons that require [Dexterity] to equip. Claws can be [DualWield|Dual Wielded] with another Claw, but cannot be combined with other equipped items in the off hand.\r\n\r\nClaw [Attack|Attacks] are commonly fast and cause [Bleeding].",""
113,"Shield","Shields","Shields are armour items that are equipped in your off hand. While holding a Shield you have a chance to passively [Block]. Most Shields can also be raised to [Block] all incoming [Strike|Strikes] and [Projectile|Projectiles] from the front.\r\n\r\n[Buckler|Bucklers] are a special type of Shield that do not grant any [Armour] and can Parry enemy skills instead of being raised to [Block].",""
114,"ArmouredShield","Armoured Shields","Armoured [Shield|Shields] are any [Shield|Shields] that grant the player [Armour] — that is, any type of [Shield] other than [Buckler|Bucklers].",""
115,"Buckler","Bucklers","Bucklers are a special type of [Shield] that do not grant any [Armour] and can [Parry] enemy skills instead of being raised to [Block].",""
116,"Focus","Foci","Foci are armour items that are equipped in your off hand and require [Intelligence] to equip. \r\n\r\nFoci can grant significant amounts of [EnergyShield|Energy Shield] and powerful bonuses to your [Spell|Spells].",""
117,"Quarterstaff","Quarterstaves","Quarterstaves are [Two-Handed] [Melee] weapons that require [Dexterity] and [Intelligence] to equip. \r\n\r\nQuarterstaff [Attack|Attacks] often focus on high mobility in combat.",""
118,"Spear","Spears","Spears are [One-Handed] [Melee] weapons that require [Strength] and [Dexterity] to equip. Spears cannot be dual wielded. \r\n\r\nSpear combat is often a mix of both ranged and [Melee], as many spear skills enable you to throw your spear.",""
119,"Crossbow","Crossbows","Crossbows are [Two-Handed] ranged weapons that require [Strength] and [Dexterity] to equip. Crossbow basic [Attack|Attacks] can be modified with [Ammunition|Ammunition Skills].\r\n\r\nMultiple [Projectile|Projectiles] fired from a single Crossbow skill can all hit the same target, and single-[Projectile] skills fire additional [Projectile|Projectiles] in sequence rather than in a spread.",""
120,"Flail","Flails","Flails are [One-Handed] [Melee] weapons that require [Strength] and [Intelligence] to equip. Flails cannot be [DualWield|Dual Wielded]. \r\n\r\nFlail [Attack|Attacks] tend to reward careful placement and long wind-up times with devastating effects.",""
