"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","bool","i32"
60,62,1,15,120,0,0,7976,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,1,0
61,63,1,20,200,0,0,4507,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0
62,64,1,40,70,0,0,4508,0,0,0,0,0,0,0,10,0,"","","",0,0,0,0,0,1,"","",3,1,"",0
63,65,4,15,60,0,-90,8045,0,-30,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
64,66,4,15,60,0,90,8046,0,-40,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
65,67,1,30,150,0,0,8055,0,35,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
66,68,1,20,70,0,0,7977,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,"",0
67,69,2,20,70,0,0,7977,180,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,"",0
68,70,1,200,20,30,-90,7994,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
69,71,1,200,20,-30,90,7995,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
70,72,1,200,17,27,-90,7994,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,1
71,73,1,200,17,-27,90,7995,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,1
72,74,1,200,20,30,-90,7994,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,2
73,75,1,200,20,-30,90,7995,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,2
74,76,1,200,22,32,-90,7994,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,3
75,77,1,200,22,-32,90,7995,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,3
76,78,1,200,20,30,-90,7994,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,4
77,79,1,200,20,-30,90,7995,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,4
78,80,1,40,100,30,180,8249,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
79,81,1,40,100,20,180,8250,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
80,82,1,40,100,10,180,8251,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
81,83,1,40,100,-10,0,8252,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
82,84,1,40,100,-20,0,8253,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
83,85,1,40,100,-30,0,8254,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
84,86,2,48,99,45,-90,4532,0,0,-90,0,0,1000,0,0,0,"","","",180,0,0,0,0,2,"","",4,1,"",0
85,87,3,48,99,-45,60,4532,0,20,45,0,0,1000,0,0,0,"","","",-60,0,0,0,0,2,"","",4,1,"",0
86,88,4,48,99,45,-90,4532,-90,0,0,0,0,1000,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0
87,89,1,40,200,0,0,8594,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,"","",0
