"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name","FlavourText","[i32]","Act","string","[i32]","i32"
21,"2_3",615,196,22,[22],"The Crossroads","Life struggles where once it bloomed.","[135,98,97,54,21,22]",2,"2_3",[137],2604
22,"2_5",745,275,23,"[23,24]","The Crypt","Stones worn smooth by centuries of devotion.","[97,148]",2,"2_5",[139],2604
23,"2_6",540,122,25,"[25,26]","The Chamber of Sins","Phantom whispers of maniacal passion.","[98,137]",2,"2_6",[102],2604
24,"2_4",641,121,27,[27],"The Broken Bridge","A pure, soothing river once red and clogged with the victims of war.","[54,21,22,137]",2,"2_4",[138],2604
25,"2_7",411,340,28,[28],"The Riverways","Once tamed rivers now running free.","[54,20,21,96,134]",2,"2_7",[140],2604
26,"2_8",259,183,29,[29],"The Northern Forest","Daylight is the exile here.",[144],2,"2_8",[141],2604
27,"2_9",221,288,30,[30],"The Western Forest","Bathed in the cool light of obsession.","[54,20,22,140,233,96]",2,"2_9",[142],2604
28,"2_10",248,334,"",[31],"The Weaver's Chambers","Shrouded in mourning silks.","[96,142]",2,"2_10",[143],2604
29,"2_11",318,220,"",[32],"The Vaal Ruins","Shades scratching at imprisoning stone.",[145],2,"2_11",[144],2604
30,"2_12",355,270,33,[33],"The Wetlands","Corrupted waters, pouring from the Mantle above.","[54,20,21,140]",2,"2_12",[145],2604
31,"2_13",196,215,"",[34],"The Dread Thicket","Unfettered nature. Unchained ferocity.",[141],2,"2_13",[146],2604
32,"2_14",144,91,35,"[35,36]","The Caverns","Two thousand years of regret.","[141,255]",2,"2_14",[147],2604
33,"2_15",680,265,"",[37],"The Fellshrine Ruins","The ground aches with desecration. The rain tastes of blight.","[97,137]",2,"2_15",[148],2604
34,"3_town",461,369,38,[38],"The Sarn Encampment","The forging ground of heroes, past and present.",[150],3,"3_town",[151],2604
35,"3_1",662,381,39,[39],"The City of Sarn","A harsh light on harsh sights.",[],3,"3_1",[150],2604
36,"3_2",652,309,"",[40],"The Slums","Only the wind whistles and whines here now.",[151],3,"3_2",[152],2604
37,"3_3",714,309,41,[41],"The Crematorium","Choked with ash and cinder.","[152,153]",3,"3_3",[153],2604
38,"3_5",589,185,42,[42],"The Marketplace","All the money in the world can't stop a world from ending.","[160,181,423,208]",3,"3_5",[155],2604
39,"3_6",652,168,"",[43],"The Catacombs","Coughing up the dust of dead devotion.",[155],3,"3_6",[156],2604
40,"3_7",478,140,44,[44],"The Battlefront","Charred flesh and spilled bowels. Sweet and sour.","[155,181,186,208]",3,"3_7",[157],2604
41,"3_8_1",556,97,45,[45],"The Solaris Temple Level 1","An empire at its height, reflected in polished gold.","[157,181]",3,"3_8",[158],2604
42,"3_8_2",503,61,46,[46],"The Solaris Temple Level 2","An empire at its height, reflected in polished gold.","[158,181]",3,"3_8",[375],2604
43,"3_9",394,118,47,[47],"The Docks","Life pales in the wake of progress.","[157,191]",3,"3_9",[159],2604
44,"3_10",616,252,48,[48],"The Sewers","What horrors lurk in the bowels of the city?",[152],3,"3_10",[160],2604
45,"3_13",295,178,49,[49],"The Ebony Barracks","Polished surfaces reflect brutal efficiency.","[157,160,208,195]",3,"3_13",[163],2604
46,"3_14",188,169,50,"[50,51]","The Lunaris Temple","Depravity is boundless.","[163,214]",3,"3_14","[164,661]",2604
47,"3_15",262,129,52,[52],"The Imperial Gardens","Nature outgrows the designs of Man.","[163,197]",3,"3_15",[165],2604
48,"3_17",217,98,53,"[53,54]","The Library","All the knowledge in the Empire could not save them.",[165],3,"3_17",[167],2604
49,"3_18",285,76,55,"[55,56]","The Sceptre of God","The pinnacle of power. The height of hubris.","[165,221]",3,"3_18",[168],2604
50,"4_town",610,370,57,[57],"Highgate","A frail scab of hope holds Nightmare at bay.",[674],4,"4_town",[673],2604
51,"4_1",749,477,58,[58],"The Aqueduct","The rushing lifeblood of a long-dead Empire.",[],4,"4_1",[674],2604
52,"4_2",315,518,"",[59],"The Dried Lake","Bones of betrayal, ashes of purity.",[673],4,"4_2",[675],2604
53,"4_3_1",555,275,"","[60,61]","The Mines","Disease in the darkness.",[673],4,"4_3_2","[676,677]",2604
54,"4_3_3",474,236,62,[62],"The Crystal Veins","Gifts of the Beast, awaiting plunder.","[676,688]",4,"4_3_3",[678],2604
55,"4_4_1",292,344,"",[63],"Kaom's Dream","Fury and flame come to life.",[678],4,"4_4_1",[679],2604
56,"4_4_3",196,289,64,[64],"Kaom's Stronghold","A holdfast built of hubris.","[679,693]",4,"4_4_3",[681],2604
57,"4_5_1",534,144,"",[65],"Daresso's Dream","No matter how far you climb, you never escape the Pits.",[678],4,"4_5_1",[682],2604
58,"4_5_2",464,90,66,[66],"The Grand Arena","Dripping blood and weeping flowers.","[682,693]",4,"4_5_3",[683],2604
59,"4_6_1",372,194,"","[67,68]","The Belly of the Beast","Enter the Nightmare.",[678],4,"4_6_1","[684,685]",2604
60,"4_6_3",280,144,69,[69],"The Harvest","Where dreams come to die.",[684],4,"4_6_3",[686],2604
61,"4_7",729,154,"",[70],"The Ascent","The greater the rise, the greater the fall.",[665],4,"4_7",[314],2604
62,"5_town",164,285,72,[72],"Overseer's Tower","Vengeance is the slave's ultimate reward.",[318],5,"5_town",[1041],2604
63,"5_1",75,298,71,[71],"The Slave Pens","In Oriath's darkest corner, the spark of rebellion ignites.",[],5,"5_1",[318],2604
64,"5_2",230,350,"",[73],"The Control Blocks","The illusion of control is swiftly severed by the blade of reality.",[1041],5,"5_2",[1042],2604
65,"5_3",406,224,74,[74],"Oriath Square","What was once the heart of the city is now the heart of the battle.",[1042],5,"5_3",[1043],1072
66,"5_3b",406,224,75,[75],"The Ruined Square","Oriath's bleeding heart is the main course in a terrible feast.","[1046,1076,1082]",5,"5_3b",[1044],2604
67,"5_4",720,440,76,[76],"The Templar Courts","Only those with faithful eyes may enter these solemn chambers unbidden.",[1043],5,"5_4",[1045],1072
68,"5_4b",720,440,"",[77],"The Torched Courts","Fuelled by blood and chaos, a dark inferno engulfs the halls of justice.",[1072],5,"5_4b",[1046],2604
69,"5_5",660,505,78,[78],"The Chamber of Innocence","In this holiest of sanctums, the High Templar communes with God and delivers His divine judgement.",[1045],5,"5_5",[1047],2604
70,"5_6",687,150,"",[79],"The Ossuary","The faithful dead watch over the city with hollow eyes.","[1044,1082]",5,"5_6",[1048],2604
71,"5_7",326,418,80,[80],"The Reliquary","A trove of shameful relics displayed with pride.","[1044,1087]",5,"5_7",[1049],2604
72,"5_8",340,130,81,[81],"The Cathedral Rooftop","Atop this burning monument to arrogance, Oriath's final hope remains.",[1044],5,"5_8",[1050],2604
73,"6_town",195,475,82,[82],"Lioneye's Watch","The shivering tides bring little hope, only desperation and despair.",[],6,"6_town",[1139],2604
74,"6_1",176,520,"",[83],"The Twilight Strand","Those that now wash ashore seek no warmth or shelter, only to fill a bottomless void of pain and hunger.",[1139],6,"6_1",[1140],2604
75,"6_2",200,420,84,[84],"The Coast","The Ancestors return to conquer these shores once again.",[1139],6,"6_2",[1141],2604
76,"6_3",240,450,"",[85],"The Tidal Island","As the tide rises, hope is drowned.",[1141],6,"6_3",[1142],2604
77,"6_4",235,380,"",[86],"The Mud Flats","Mud and blood make a fine war paint.",[1141],6,"6_4",[1143],2604
78,"6_5",180,345,"",[87],"The Karui Fortress","The waters here, once stagnant and foul, now run clear with an ancient bloodlust.",[1143],6,"6_5",[1144],2604
79,"6_6",176,265,88,[88],"The Ridge","The air is thin, the way is narrow.",[1144],6,"6_6",[1145],2604
80,"6_7",210,200,89,"[89,90]","The Prison","Echoes of the past bring new life to an old experiment.",[1145],6,"6_7","[1146,1147]",2604
81,"6_8",270,200,91,[91],"Prisoner's Gate","The hunting grounds of a cloven god.","[1146,1147]",6,"6_8",[1148],2604
82,"6_9",280,150,92,[92],"The Western Forest","What madness flitters and creeps through the darkened trees?",[1148],6,"6_9",[1149],2604
83,"6_10",370,180,93,[93],"The Riverways","These violent waters carry portents of death.",[1149],6,"6_10",[1150],2604
84,"6_11",350,130,"",[94],"The Wetlands","A corpulent grub flails mindlessly, infesting the putrescent muck.",[1150],6,"6_11",[1151],2604
85,"6_12",450,200,95,[95],"The Southern Forest","Insidious pupa populate under sweltering heat.",[1150],6,"6_12",[1152],2604
86,"6_13",460,250,"",[96],"The Cavern of Anger","Stalactites drip in mourning for an ocean queen.",[1152],6,"6_13",[1153],2604
87,"6_14",540,250,97,[97],"The Beacon","An echo of destiny consumes the land.",[1153],6,"6_14",[1154],2604
88,"6_15",714,197,98,[98],"The Brine King's Reef","A coral throne for a salt-soured god.",[1154],6,"6_15",[1155],2604
89,"7_town",675,218,99,[99],"The Bridge Encampment","Surviving rodents cling tight to cracks found in the masonry.",[],7,"7_town",[1255],2604
90,"7_1",617,234,"",[100],"The Broken Bridge","The stonework trembles atop this petrified land.",[1255],7,"7_1",[1256],2604
91,"7_2",587,322,101,[101],"The Crossroads","Ancient cruelty tears through the cobbled intersection.",[1256],7,"7_2",[1257],2604
92,"7_3",663,402,"",[102],"The Fellshrine Ruins","A spirit of sadism blemishes the earth.",[1257],7,"7_3",[1258],2604
93,"7_4",739,414,103,[103],"The Crypt","Ancestral memories given life, then soured.",[1258],7,"7_4",[1259],2604
94,"7_5",499,235,104,"[104,105]","The Chamber of Sins","Decrepit ruins born again. A lusting evil stalks its halls.",[1257],7,"7_5","[1260,1261]",2604
95,"7_5_map",435,200,"",[106],"Maligaro's Sanctum","The inner depths of decadent darkness.","[1260,1261]",7,"7_5_map",[1262],2604
96,"7_6",487,347,107,[107],"The Den","Sodden spores flourish and feast on decaying flesh.","[1260,1261]",7,"7_6",[1263],2604
97,"7_7",485,458,108,[108],"The Ashen Fields","Scorched earth and slumbering cinder.","[1257,1263]",7,"7_7",[1264],2604
98,"7_8",170,307,109,[109],"The Northern Forest","Wooden sentinels tower above.",[1264],7,"7_8",[1265],2604
99,"7_9",96,344,"",[110],"The Dread Thicket","Dripping with anger and grief, the ancient thicket weeps.",[1265],7,"7_9",[1266],2604
100,"7_10",206,203,111,[111],"The Causeway","Primordial ruins guard antiquarian secrets.",[1265],7,"7_10",[1267],2604
101,"7_11",155,161,112,[112],"The Vaal City","Ancient and arcane, a civilisation lost to the dust of history.",[1267],7,"7_11",[1268],2604
102,"7_12",96,139,"","[113,114]","The Temple of Decay","Arachnoid servants dribble and drool, coveting pilgrim flesh to feed abhorrent desires.",[1268],7,"7_12","[1269,2398]",2604
103,"8_1",682,429,115,[115],"The Sarn Ramparts","A parapet shakes beneath a billowing sky.",[],8,"8_1",[1374],2604
104,"8_town",461,369,116,[116],"The Sarn Encampment","A shaky peace descends, though swords will never rest.",[1374],8,"8_town",[1375],2604
105,"8_2",461,290,118,"[117,118]","The Toxic Conduits","Spells of blood foul the waters below.",[1375],8,"8_2",[1331],2604
106,"8_3",286,307,"",[119],"The Grand Promenade","A favourite walk of noble lords, now fallen into disrepair.","[1331,1413]",8,"8_3",[1332],2604
107,"8_4",214,233,"",[120],"The High Gardens","Creeping dread chokes life from this thriving terrace.",[1413],8,"8_4",[1412],2604
108,"8_5",291,233,121,[121],"The Bath House","Hidden sin where revelry thrives.","[1332,1414]",8,"8_5",[1413],2604
109,"8_6",295,178,122,[122],"The Lunaris Concourse","Allegiances falter like the waning of the moon.","[1413,1421]",8,"8_6",[1414],2604
110,"8_7",188,169,123,"[123,124]","The Lunaris Temple","Gibbous beauty eclipsed by a sisters' feud.",[1414],8,"8_7",[1415],2604
111,"8_8",565,270,"",[125],"The Quay","The restless dead shift 'neath darkened waters.","[1331,1417]",8,"8_8",[1416],2604
112,"8_9",662,252,126,[126],"The Grain Gate","A barrier trembles before undying feet.","[1416,1418]",8,"8_9",[1417],2604
113,"8_10",781,164,127,[127],"The Imperial Fields","The savagery of war stains both muck and mire.","[1417,1420]",8,"8_10",[1418],2604
114,"8_11",478,140,128,[128],"The Solaris Concourse","Conquered by the fog of war.","[1420,1421]",8,"8_11",[1419],2604
115,"8_12",540,92,129,"[129,130]","The Solaris Temple","Luminary flares extinguished by burning pride.","[1419,1418]",8,"8_12",[1420],2604
116,"8_13",405,195,"",[131],"The Harbour Bridge","A dark unrest sends ribbons to war.","[1414,1419]",8,"8_13",[1421],2604
117,"9_1",364,506,132,[132],"The Blood Aqueduct","A mighty spillway tainted by tarrish blacks and sanguine reds.",[],9,"9_1",[1501],2604
118,"9_town",252,425,133,[133],"Highgate","Survivors huddle 'neath baleful shadows of rot and decay.",[1501],9,"9_town",[1502],2604
119,"9_2",460,326,"",[134],"The Descent","A freezing drop to test one's resolve.",[1502],9,"9_2",[1529],2604
120,"9_3",680,508,135,[135],"The Vastiri Desert","Blustering sand, sharper than a bandit's blade.",[1529],9,"9_3",[1530],2604
121,"9_4",805,334,"",[136],"The Oasis","A paradise hidden amongst sunbleached bones and blistering dunes.",[1530],9,"9_4",[1531],2604
122,"9_5",640,285,137,[137],"The Foothills","The secrets of history lie hidden among layers of dirt and sand.",[1530],9,"9_5",[1532],2604
123,"9_6",590,193,"",[138],"The Boiling Lake","These corrosive waters devour both flesh and bone.",[1532],9,"9_6",[1533],2604
124,"9_7",491,191,139,[139],"The Tunnel","Unspeakable horrors filigree and haunt the nameless dark.",[1532],9,"9_7",[1534],2604
125,"9_8",376,161,140,[140],"The Quarry","A monstrous terror stalks chthonic mines, yearning for the boundless sky.",[1534],9,"9_8",[1535],2604
126,"9_9",396,113,"",[141],"The Refinery","Madness was visited upon those who dug too deep.",[1535],9,"9_9",[1536],2604
127,"9_10",163,137,"",[142],"The Belly of the Beast","Once flushed with the warmness of blood, now festering; consumed by fungal rot.",[1535],9,"9_10_1",[1537],2604
128,"9_11",83,195,"",[143],"The Rotting Core","The putrid interior oozes and spoils.",[1537],9,"9_10_2",[1538],2604
129,"10_town",262,60,144,[144],"Oriath Docks","A final refuge, backed hard against the waves of a raging sea.",[],10,"10_town",[1539],2604
130,"10_1",340,130,"",[145],"The Cathedral Rooftop","From above, the true scope of carnage is clearly espied.",[1539],10,"10_1",[1540],2604
131,"10_2",406,224,146,[146],"The Ravaged Square","A flourishing place of trade, barely recognizable amidst the countless deaths.",[1540],10,"10_2",[1541],2604
132,"10_3",720,440,"",[147],"The Torched Courts","Pious priests once dealt cruel justice within these halls, now they both smoulder in silent agony.",[1541],10,"10_3",[1542],2604
133,"10_4",660,505,148,[148],"The Desecrated Chambers","Mad men toil under smoking skies to pervert a holy sanctum.",[1542],10,"10_4",[1543],2604
134,"10_5",640,223,"",[149],"The Canals","A man-made rupture from which both blood and water flow.",[1541],10,"10_5",[1544],2604
135,"10_6",750,215,"",[150],"The Feeding Trough","Cries of torment and pathetic moans as the unholy banquet of flesh continues.",[1544],10,"10_6",[1545],2604
136,"10_7",230,350,151,[151],"The Control Blocks","Sadists and cut-throats break both bone and brain.",[1541],10,"10_7",[1546],2604
137,"10_8",326,418,152,[152],"The Reliquary","Empty, broken shelves linger, looted and forgotten in the wake of this horrid war.",[1541],10,"10_8",[1547],2604
138,"10_9",687,150,"",[153],"The Ossuary","The dead offer thanks, for they have been spared this final savagery.",[1541],10,"10_9",[1548],2604
139,"11_town",406,224,154,[154],"Oriath","A new dawn rises on ruined stone. Hand in hand, those that remain toil for a better world.",[],11,"11_town",[1549],1898
140,"11_town2",781,354,162,[162],"Karui Shores","The fates of two peoples now stand reversed, but history has taught the Oriathans humility and the Karui mercy.",[1898],11,"11_town2",[1899],2604
141,"11_lab",528,185,"",[155],"The Templar Laboratory","Thaumaturgists once sought ever greater knowledge. Now they run and hide like all the others.",[1549],11,"11_lab",[149],1898
142,"11_1",720,440,"",[158],"The Fallen Courts","Pious priests once dealt cruel justice within these halls, now they both smoulder in silent agony.",[1997],11,"11_1",[1901],1898
143,"11_2",326,418,"",[160],"The Haunted Reliquary","Empty, broken shelves linger, looted and forgotten in the wake of this horrid war.",[1998],11,"11_2",[1902],1898
