"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","IsDropDisabled","ItemVisualIdentity","HASH","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","ItemThemesKey","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","ItemShopType","rid","rid","bool"
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],29,"",12,-684555689,[],"","","",[],"",[],"","","","","",""
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],29,"",13,2131686967,[148],"","","",[],"",[],"","","","","",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],29,"",15,-1068542423,[],"","","",[],"",[],"","","","","",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],29,"",16,-658682019,[8310],"","","",[],"",[],"","","","","",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",17,-172267806,[],"","","",[],"",[],"","","","","",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],29,"",18,1328218349,[],"","","",[],"",[],"","","","","",""
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[348],29,"",19,-579550017,[7246],"","","",[],"",[],"","","","","",""
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[348],29,"",20,128553707,[7734],"","","",[],"",[],"","","","","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],29,"",29,471734571,[7732],"","","",[],"",[],"","","","","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],29,"",30,-954468979,[],"","","",[],"",[],"","","","","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],29,"",31,-577668719,[7983],"","","",[],"",[],"","","","","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],29,"",32,-2147189507,[8308],"","","",[],"",[],"","","","","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],29,"",33,764311090,[],"","","",[],"",[],"","","","","",""
24,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],29,"",34,1784206883,[],"","","",[],"",[],"","","","","",""
25,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],29,"",5,-601787753,[7485],"","","",[],"",[],"","","","","",""
26,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],29,1,25,1594034883,[],"","","",[],"",[],"","","","","",""
27,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],29,1,26,1280989466,[],"","","",[],"",[],"","","","","",""
28,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],29,1,27,216495198,[],"","","",[],"",[],"","","","","",""
29,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],29,1,28,-1225932478,[],"","","",[],"",[],"","","","","",""
30,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],29,1,35,2003183108,[],"","","",[],"",[],"","","","","",""
31,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],29,1,36,1639118317,[],"","","",[],"",[],"","","","","",""
32,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,1,37,-1778209926,[],"","","",[],"",[],"","","","","",""
33,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],29,"",38,118945160,[],"","","",[],"",[],"","","","","",""
34,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,1,40,1105850261,[],"","","",[],"",[],"","","","","",""
35,"Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt",30,1,1,"Tainted Blessing","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],29,"",41,-414791514,[],"","","",[],"",[],"","","","","",""
36,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,1,42,-373756366,[],"","","",[],"",[],"","","","","",""
37,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,1,43,770737543,[],"","","",[],"",[],"","","","","",""
38,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,1,44,-350425493,[],"","","",[],"",[],"","","","","",""
39,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],29,1,45,869188640,[],"","","",[],"",[],"","","","","",1
40,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],29,"",46,-1627937231,[],"","","",[],"",[],"","","","","",""
41,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",47,1684876054,[],"","","",[],"",[],"","","","","",""
42,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],29,"",48,-642231840,[],"","","",[],"",[],"","","","","",""
43,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",49,1322399661,[],"","","",[],"",[],"","","","","",""
44,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",50,952467265,[],"","","",[],"",[],"","","","","",""
45,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",51,-758415450,[],"","","",[],"",[],"","","","","",""
46,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",52,1432765449,[],"","","",[],"",[],"","","","","",""
47,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],29,"",53,1575994632,[],"","","",[],"",[],"","","","","",""
48,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",54,-1948343582,[],"","","",[],"",[],"","","","","",""
49,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",55,-1964846163,[],"","","",[],"",[],"","","","","",""
50,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",56,-1933705530,[],"","","",[],"",[],"","","","","",""
51,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",57,-109051957,[],"","","",[],"",[],"","","","","",""
52,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",58,-1263630474,[],"","","",[],"",[],"","","","","",""
53,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",59,1368969315,[],"","","",[],"",[],"","","","","",""
54,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",60,-913101815,[],"","","",[],"",[],"","","","","",""
55,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",61,-1371001890,[],"","","",[],"",[],"","","","","",""
56,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Kalguuran Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",62,358205216,[],"","","",[],"",[],"","","","","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",63,2026013751,[],"","","",[],"",[],"","","","","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",64,1664903587,[],"","","",[],"",[],"","","","","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",65,-306946215,[],"","","",[],"",[],"","","","","",""
60,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",66,-768400989,[],"","","",[],"",[],"","","","","",""
61,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",67,243322328,[],"","","",[],"",[],"","","","","",""
62,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",68,2076808891,[],"","","",[],"",[],"","","","","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Portentous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",69,1150272452,[],"","","",[],"",[],"","","","","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",70,1404182465,[],"","","",[],"",[],"","","","","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,1,71,-117882756,[],"","","",[],"",[],"","","","","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",72,-1736338822,[],"","","",[],"",[],"","","","","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",73,-404905148,[],"","","",[],"",[],"","","","","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",74,1738859609,[],"","","",[],"",[],"","","","","",""
69,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",75,-1728487329,[],"","","",[],"",[],"","","","","",""
70,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Amorphous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],29,"",76,2005344760,[],"","","",[],"",[],"","","","","",""
71,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],29,"",9894,-1010710615,[],"","","",[],"",[],"","","","","",""
72,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9895,1794042691,[],"","","",[],"",[],"","","","","",""
73,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9896,-1926556014,[],"","","",[],"",[],"","","","","",""
74,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9897,1130285480,[],"","","",[],"",[],"","","","","",""
75,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9898,2062300730,[],"","","",[],"",[],"","","","","",""
76,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9899,-2071586625,[],"","","",[],"",[],"","","","","",""
77,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9900,1769493148,[],"","","",[],"",[],"","","","","",""
78,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],29,"",9901,-777397213,[],"","","",[],"",[],"","","","","",""
79,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9902,1672586153,[],"","","",[],"",[],"","","","","",""
80,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9903,1828846209,[],"","","",[],"",[],"","","","","",""
81,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9904,-1245983058,[],"","","",[],"",[],"","","","","",""
82,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9905,-182539987,[],"","","",[],"",[],"","","","","",""
83,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9906,910335598,[],"","","",[],"",[],"","","","","",""
84,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9907,1591416724,[],"","","",[],"",[],"","","","","",""
85,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],29,"",9908,1724552963,[],"","","",[],"",[],"","","","","",""
86,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9909,-1337235593,[],"","","",[],"",[],"","","","","",""
87,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9910,1334812465,[],"","","",[],"",[],"","","","","",""
88,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9911,-669856137,[],"","","",[],"",[],"","","","","",""
89,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9912,181619222,[],"","","",[],"",[],"","","","","",""
90,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9913,2059925248,[],"","","",[],"",[],"","","","","",""
91,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9914,-1356244188,[],"","","",[],"",[],"","","","","",""
92,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],29,"",9915,1018082169,[],"","","",[],"",[],"","","","","",""
93,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9916,829889309,[],"","","",[],"",[],"","","","","",""
94,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9917,2051179612,[],"","","",[],"",[],"","","","","",""
95,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9918,-743698363,[],"","","",[],"",[],"","","","","",""
96,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9919,-205989316,[],"","","",[],"",[],"","","","","",""
97,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9920,-1738015661,[],"","","",[],"",[],"","","","","",""
98,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9921,1330507188,[],"","","",[],"",[],"","","","","",""
99,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9922,535092733,[],"","","",[],"",[],"","","","","",""
100,"Metadata/Items/Currency/CurrencyEssenceSorrow2",30,1,1,"Weeping Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9923,-267836319,[],"","","",[],"",[],"","","","","",""
101,"Metadata/Items/Currency/CurrencyEssenceSorrow3",30,1,1,"Wailing Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9924,-880120152,[],"","","",[],"",[],"","","","","",""
102,"Metadata/Items/Currency/CurrencyEssenceSorrow4",30,1,1,"Screaming Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9925,1066624914,[],"","","",[],"",[],"","","","","",""
103,"Metadata/Items/Currency/CurrencyEssenceSorrow5",30,1,1,"Shrieking Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9926,993214565,[],"","","",[],"",[],"","","","","",""
104,"Metadata/Items/Currency/CurrencyEssenceSorrow6",30,1,1,"Deafening Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9927,-558420537,[],"","","",[],"",[],"","","","","",""
105,"Metadata/Items/Currency/CurrencyEssenceAnger1",30,1,1,"Muttering Essence of Anger","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9928,-36091224,[],"","","",[],"",[],"","","","","",""
106,"Metadata/Items/Currency/CurrencyEssenceAnger2",30,1,1,"Weeping Essence of Anger","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9929,-1327428615,[],"","","",[],"",[],"","","","","",""
107,"Metadata/Items/Currency/CurrencyEssenceAnger3",30,1,1,"Wailing Essence of Anger","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9930,891153638,[],"","","",[],"",[],"","","","","",""
108,"Metadata/Items/Currency/CurrencyEssenceAnger4",30,1,1,"Screaming Essence of Anger","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9931,128783824,[],"","","",[],"",[],"","","","","",""
109,"Metadata/Items/Currency/CurrencyEssenceAnger5",30,1,1,"Shrieking Essence of Anger","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9932,-452117587,[],"","","",[],"",[],"","","","","",""
110,"Metadata/Items/Currency/CurrencyEssenceAnger6",30,1,1,"Deafening Essence of Anger","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9933,1536872438,[],"","","",[],"",[],"","","","","",""
111,"Metadata/Items/Currency/CurrencyEssenceTorment1",30,1,1,"Muttering Essence of Torment","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9934,-475311494,[],"","","",[],"",[],"","","","","",""
112,"Metadata/Items/Currency/CurrencyEssenceTorment2",30,1,1,"Weeping Essence of Torment","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9935,1008794806,[],"","","",[],"",[],"","","","","",""
113,"Metadata/Items/Currency/CurrencyEssenceTorment3",30,1,1,"Wailing Essence of Torment","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9936,-1179354155,[],"","","",[],"",[],"","","","","",""
114,"Metadata/Items/Currency/CurrencyEssenceTorment4",30,1,1,"Screaming Essence of Torment","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],29,"",9937,747230036,[],"","","",[],"",[],"","","","","",""
115,"Metadata/Items/Currency/CurrencyEssenceTorment5",30,1,1,"Shrieking Essence of Torment","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],29,"",9938,-826006652,[],"","","",[],"",[],"","","","","",""
116,"Metadata/Items/Currency/CurrencyEssenceTorment6",30,1,1,"Deafening Essence of Torment","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],29,"",9939,-1551618851,[],"","","",[],"",[],"","","","","",""
117,"Metadata/Items/Currency/CurrencyEssenceFear1",30,1,1,"Muttering Essence of Fear","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],29,"",9940,697488794,[],"","","",[],"",[],"","","","","",""
118,"Metadata/Items/Currency/CurrencyEssenceFear2",30,1,1,"Weeping Essence of Fear","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],29,"",9941,-185991819,[],"","","",[],"",[],"","","","","",""
119,"Metadata/Items/Currency/CurrencyEssenceFear3",30,1,1,"Wailing Essence of Fear","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],29,"",9942,2034631909,[],"","","",[],"",[],"","","","","",""
