"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","bool"
64,"Metadata/Items/Currency/CurrencyStrongboxQualityShard",211,290,626,65,1,1,1
65,"Metadata/Items/AtlasExiles/AddModToRareCrusader",8156,670,349,66,1,1,1
66,"Metadata/Items/AtlasExiles/AddModToRareRedeemer",8157,583,428,67,1,1,1
67,"Metadata/Items/AtlasExiles/AddModToRareHunter",8158,583,349,68,1,1,1
68,"Metadata/Items/AtlasExiles/AddModToRareWarlord",8159,670,428,69,1,1,1
69,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",9,670,626,70,1,1,1
70,"Metadata/Items/Currency/CurrencyUpgradeInfluenceMod",8356,481,626,71,1,1,1
71,"Metadata/Items/Currency/CurrencyAddAtlasModMaven",179,843,543,72,1,1,1
72,"Metadata/Items/Currency/CurrencyEnkindlingOrb",8438,29,543,73,1,1,1
73,"Metadata/Items/Currency/CurrencyInstillingOrb",8439,29,626,74,1,1,1
74,"Metadata/Items/Currency/CurrencyRerollRareVeiled",3,843,161,75,1,1,1
75,"Metadata/Items/Currency/CurrencyRerollDefences",24,117,431,76,1,1,1
