"rownum","Id","Name","Category","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","bool"
30,"StackableCurrency","Stackable Currency","",5,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
31,"QuestItem","Quest Items","",24,"",[],[],"","","",2604,1161,1,"","","","","","","","",""
32,"Sceptre","Sceptres","One Handed Weapon",1,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,3,1,1
33,"UtilityFlask","Utility Flasks","Flasks",0,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
34,"UtilityFlaskCritical","Critical Utility Flasks","",0,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
35,"Map","Maps","Other",25,"",[],[],"",1,"",1783,1161,"",1,"","","","","","",1,""
36,"Unarmed","","","","",[],[],"","","",2604,1161,"","","","","","",1,"","",""
37,"FishingRod","Fishing Rods","",26,"",[],[],"","","",2604,1161,"",1,1,"",1,1,1,7,1,1
38,"MapFragment","Map Fragments","Other",27,"",[],[],1,1,"",2604,1161,"","","","","","","","","",""
39,"HideoutDoodad","Hideout Doodads","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
40,"Microtransaction","Microtransactions","Microtransactions","","",[],[],"","","",2604,1161,"","","","","","","","","",""
41,"Jewel","Jewels","Other",28,"",[],[],"",1,"",1776,1161,"",1,"","",1,"","","","",""
42,"DivinationCard","Divination Cards","Other",29,"",[],[],"",1,"",1777,1161,"","","","","","","","","",""
43,"LabyrinthItem","Labyrinth Items","",30,1,[],[],"","","",2604,1161,1,"","","","","","","","",""
44,"LabyrinthTrinket","Labyrinth Trinkets","",31,1,[],[],"","","",2604,1161,1,"","","","","","","","",""
45,"LabyrinthMapItem","Labyrinth Map Items","",27,"",[],[],1,1,"",2604,1161,"","","","","","","","","",""
46,"MiscMapItem","Misc Map Items","Other",32,"",[],[],"",1,"",2604,1161,"",1,"","","","","","","",""
47,"Leaguestone","Leaguestones","Other",33,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
48,"PantheonSoul","Pantheon Souls","",34,"",[],[],"","","",2604,1161,1,"","","","","","","","",""
49,"UniqueFragment","Pieces","Other",35,"",[],[],1,1,"",2604,1161,"","","","","","","","","",""
50,"AbyssJewel","Abyss Jewels","Other",36,"",[],[],"",1,"",2604,1161,"",1,"","",1,"","","","",""
51,"IncursionItem","Incursion Items","",37,1,[],[],1,"","",2604,1161,1,"","","","","","","","",""
52,"DelveSocketableCurrency","Delve Socketable Currency","",38,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
53,"Incubator","Incubators","",39,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
54,"UniqueShard","Shards","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
55,"UniqueShardBase","Shard Hearts","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
56,"Rune Dagger","Rune Daggers","One Handed Weapon",3,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,1,1,1
57,"Warstaff","Warstaves","Two Handed Weapon",4,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,6,1,1
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency","",38,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
59,"AtlasRegionUpgradeItem","Atlas Region Upgrade Items","",40,"",[],[],"","","",2604,607,"","","","","","","","","",""
60,"MetamorphosisDNA","Metamorph Samples","",41,"",[],[],1,1,"",2604,1161,"","","","","","","","","",""
61,"HiddenItem","Hidden Items","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
62,"DONOTUSE1","","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
63,"DONOTUSE2","","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
64,"DONOTUSE3","","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
65,"HeistContract","Contracts","",42,"",[],[],"","","",2604,1161,"",1,"","","","","","","",""
66,"HeistEquipmentWeapon","Heist Gear","",43,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
67,"HeistEquipmentTool","Heist Tools","",44,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
68,"HeistEquipmentUtility","Heist Cloaks","",45,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
69,"HeistEquipmentReward","Heist Brooches","",46,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
70,"HeistBlueprint","Blueprints","",47,"",[],[],"","","",2604,1161,"",1,"","","","","","","",""
71,"Trinket","Trinkets","Jewellery",48,"",[],[],"","","",2604,1161,"",1,1,"","","","","","",""
72,"HeistObjective","Heist Targets","",49,"",[],[],"","","",2604,1161,1,"","","","","","","","",""
73,"ExpeditionLogbook","Expedition Logbooks","",50,"",[],[],"","","",2604,1161,1,1,"","","","","","","",""
74,"IncubatorStackable","Incubators","",39,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
