"rownum","LegionFactionsKey","LegionRanksKey","i32","i32","i32","i32","i32","i32"
116,4,28,50,60,0,95,3,46
117,4,29,20,30,20,95,2,46
118,4,30,3,4,40,100,2,46
119,4,31,1,1,90,100,1,46
120,0,32,60,72,0,95,5,60
121,0,33,24,36,20,95,3,60
122,0,34,3,5,40,100,2,60
123,0,35,1,1,90,100,1,60
124,1,32,60,72,0,95,4,60
125,1,33,24,36,20,95,3,60
126,1,34,3,5,40,100,2,60
127,1,35,1,1,90,100,1,60
128,2,32,60,72,0,95,1,60
129,2,33,24,36,20,95,2,60
130,2,34,3,5,40,100,2,60
131,2,35,1,1,90,100,1,60
132,3,32,60,72,0,95,2,60
133,3,33,24,36,20,95,3,60
134,3,34,3,5,40,100,2,60
135,3,35,1,1,90,100,1,60
136,4,32,60,72,0,95,3,60
137,4,33,24,36,20,95,2,60
138,4,34,3,5,50,100,2,60
139,4,35,1,1,90,100,1,60
140,0,36,60,72,0,95,5,65
141,0,37,24,36,20,95,3,65
142,0,38,3,5,40,100,2,65
143,0,39,1,1,90,100,1,65
144,1,36,60,72,0,95,4,65
145,1,37,24,36,20,95,3,65
146,1,38,3,5,40,100,2,65
147,1,39,1,1,90,100,1,65
148,2,36,60,72,0,95,1,65
149,2,37,24,36,20,95,2,65
150,2,38,3,5,40,100,2,65
151,2,39,1,1,90,100,1,65
152,3,36,60,72,0,95,2,65
153,3,37,24,36,20,95,3,65
154,3,38,3,5,40,100,2,65
155,3,39,1,1,90,100,1,65
156,4,36,60,72,0,95,3,65
157,4,37,24,36,20,95,2,65
158,4,38,3,5,40,100,2,65
159,4,39,1,1,90,100,1,65
160,0,40,60,72,0,95,5,68
161,0,41,24,36,20,95,3,68
162,0,42,4,6,40,100,2,68
163,0,43,1,1,90,100,1,68
164,1,40,60,72,0,95,4,68
165,1,41,24,36,20,95,3,68
166,1,42,4,6,40,100,2,68
167,1,43,1,1,90,100,1,68
168,2,40,60,72,0,95,1,68
169,2,41,24,36,20,95,2,68
170,2,42,4,6,40,100,2,68
171,2,43,1,1,90,100,1,68
172,3,40,60,72,0,95,2,68
173,3,41,24,36,20,95,3,68
174,3,42,4,6,40,100,2,68
175,3,43,1,1,90,100,1,68
176,4,40,60,72,0,95,3,68
177,4,41,24,36,20,95,2,68
178,4,42,4,6,40,100,2,68
179,4,43,1,1,90,100,1,68
180,0,44,60,72,0,95,5,73
181,0,45,24,36,20,95,3,73
182,0,46,5,7,40,100,2,73
183,0,47,1,1,90,100,1,73
184,1,44,60,72,0,95,4,73
185,1,45,24,36,20,95,3,73
186,1,46,5,7,40,100,2,73
187,1,47,1,1,90,100,1,73
188,2,44,60,72,0,95,1,73
189,2,45,24,36,20,95,2,73
190,2,46,5,7,40,100,2,73
191,2,47,1,1,90,100,1,73
192,3,44,60,72,0,95,2,73
193,3,45,24,36,20,95,3,73
194,3,46,5,7,40,100,2,73
195,3,47,1,1,90,100,1,73
196,4,44,60,72,0,95,3,73
197,4,45,24,36,20,95,2,73
198,4,46,5,7,40,100,2,73
199,4,47,1,1,90,100,1,73
200,0,48,60,72,0,95,5,78
201,0,49,24,36,20,95,3,78
202,0,50,5,9,50,100,2,78
203,0,51,1,1,90,100,1,78
204,1,48,60,72,0,95,4,78
205,1,49,24,36,20,95,3,78
206,1,50,5,9,40,100,2,78
207,1,51,1,1,90,100,1,78
208,2,48,60,72,0,95,1,78
209,2,49,24,36,20,95,2,78
210,2,50,5,9,40,100,2,78
211,2,51,1,1,90,100,1,78
212,3,48,60,72,0,95,2,78
213,3,49,24,36,20,95,3,78
214,3,50,5,9,40,100,2,78
215,3,51,1,1,90,100,1,78
216,4,48,60,72,0,95,3,78
217,4,49,24,36,20,95,2,78
218,4,50,5,9,40,100,2,78
219,4,51,1,1,90,100,1,78
220,0,52,60,72,0,95,5,82
221,0,53,24,36,20,95,3,82
222,0,54,5,10,40,100,2,82
223,0,55,1,1,90,100,1,82
224,1,52,60,72,0,95,4,82
225,1,53,24,36,20,95,3,82
226,1,54,5,10,40,100,2,82
227,1,55,1,1,90,100,1,82
228,2,52,60,72,0,95,1,82
229,2,53,24,36,20,95,2,82
230,2,54,5,10,40,100,2,82
231,2,55,1,1,90,100,1,82
232,3,52,60,72,0,95,2,82
233,3,53,24,36,20,95,3,82
234,3,54,5,10,40,100,2,82
235,3,55,1,1,90,100,1,82
236,4,52,60,72,0,95,3,82
237,4,53,24,36,20,95,2,82
238,4,54,5,10,40,100,2,82
239,4,55,1,1,90,100,1,82
240,0,56,24,24,0,35,5,101
241,0,57,65,65,36,95,8,101
242,0,58,4,4,40,100,2,101
243,0,59,1,1,90,100,1,101
244,1,56,28,28,0,35,4,101
245,1,57,70,70,36,95,7,101
246,1,58,4,4,40,100,2,101
247,1,59,1,1,90,100,1,101
248,2,56,24,24,0,35,1,101
249,2,57,65,65,36,95,3,101
250,2,58,4,4,40,100,2,101
251,2,59,1,1,90,100,1,101
252,3,56,36,36,0,35,2,101
253,3,57,80,80,36,95,5,101
254,3,58,4,4,40,100,2,101
255,3,59,1,1,90,100,1,101
256,4,56,32,32,0,35,3,101
257,4,57,75,75,36,95,5,101
258,4,58,4,4,40,100,2,101
259,4,59,1,1,90,100,1,101
