"rownum","Id","i32","[i32]","UnlockType","CraftingItemClassCategories","ObtainingDescription"
61,"JunLocalFlaskCriticalStrikeChanceDuringFlaskEffect",1,[1],"Reduced Reflect Damage taken during Flask Effect",[12],"Unveiling flasks"
62,"JunLocalFlaskItemFoundRarityDuringFlaskEffect",1,[1],"Rarity of Items found during Flask Effect",[12],"Unveiling flasks"
63,"JunLocalFlaskLifeLeechOnDamageTakenDuringFlaskEffect",1,[1],"Damage taken Leeched as Life during Flask Effect",[12],"Unveiling flasks"
64,"JunLocalFlaskLifeRegenerationPerMinuteDuringFlaskEffect",1,[1],"Life Regeneration during Flask Effect",[12],"Unveiling flasks"
65,"JunLocalFlaskSkillManaCostDuringFlaskEffect",1,[1],"Mana Cost of Skills during Flask Effect",[12],"Unveiling flasks"
66,"JunLocalIncreasedPhysicalDamageAndBleedChance",1,"[1,1,1]","Physical Damage and chance to cause Bleeding - Rank","[0,1,2,3]","Unveiling weapons"
67,"JunLocalIncreasedPhysicalDamageAndBlindChance",1,"[1,1,1]","Physical Damage and chance to Blind - Rank","[0,1,2,3]","Unveiling weapons"
68,"JunLocalIncreasedPhysicalDamageAndImpale",1,"[1,1,1]","Physical Damage and chance to Impale - Rank","[0,1,2,3]","Unveiling weapons"
69,"JunLocalIncreasedPhysicalDamageAndPoisonChance",1,"[1,1,1]","Physical Damage and chance to Poison - Rank","[0,1,2,3]","Unveiling weapons"
70,"JunLocalIncreaseSocketedSupportGemLevel",1,"[1,1]","Level of Support Gems - Rank","[0,2,1,3,4]","Unveiling certain weapons or shields from the Syndicate Mastermind"
71,"JunLuckyCriticalsDuringFocus",1,[1],"Critical Strike Chance is Lucky while Focused",[11],"Unveiling belts"
72,"JunManaAndDamageTakenGoesToManaPercent",1,"[1,1,1]","Mana and Damage taken gained as Mana - Rank","[9,10]","Unveiling rings or amulets"
73,"JunManaAndManaCostPercent",1,"[1,1,1]","Mana and Mana Cost of Skills - Rank","[9,10]","Unveiling rings or amulets"
74,"JunMaximumCurse",1,[1],"Additional Curse",[6],"Unveiling body armour"
75,"JunMaximumTotem",1,[1],"Number of Summoned Totems",[4],"Unveiling shields"
76,"JunMaximumZombieAndSkeleton",1,[1],"Number of Zombies and Skeletons",[5],"Unveiling helmets"
77,"JunMeleeRangeAndMeleeGemLevel",1,"[1,1,1]","Melee Range and Melee Modifiers - Rank","[5,7,10]","Unveiling helmets, gloves or amulets"
78,"JunMineLayingSpeed",1,"[1,1,1]","Mine Throwing Speed - Rank","[10,5]","Unveiling amulets or helmets"
79,"JunMinimumEnduranceCharges",1,[1],"Minimum Endurance Charges","[9,10]","Unveiling rings or amulets"
80,"JunMinimumFrenzyCharges",1,[1],"Minimum Frenzy Charges","[9,10]","Unveiling rings or amulets"
81,"JunMinimumPowerCharges",1,[1],"Minimum Power Charges","[9,10]","Unveiling rings or amulets"
82,"JunMinionAttackAndCastSpeedOnWeapon",1,"[1,1,1]","Minion Attack and Cast Speed - Rank","[0,1,2,3]","Unveiling weapons"
83,"JunMinionDamageAndMinionMaximumLife",1,"[1,1,1]","Minion Damage and Life - Rank","[0,1,2,3]","Unveiling weapons"
84,"JunMinionsRecoverMaximumLifeWhenYouFocus",1,[1],"Minions Recover Life when you Focus",[7],"Unveiling gloves"
85,"JunMovementVelocityAndCannotBeChilled",1,"[1,1,1]","Movement Speed and Cannot be Chilled - Rank",[8],"Unveiling boots"
86,"JunMovementVelocityAndMovementVelocityIfNotHitRecently",1,"[1,1,1]","Movement Speed and Movement Speed when not Hit - Rank",[8],"Unveiling boots"
87,"JunMovementVelocityAndOnslaughtOnKill",1,"[1,1,1]","Movement Speed and Onslaught on Kill - Rank",[8],"Unveiling boots"
88,"JunNonChaosAddedAsChaos",1,"[1,1]","Damage as Extra Chaos Damage - Rank","[0,2,1,3,4]","Unveiling certain weapons or shields from It That Fled"
89,"JunPercentageAllAttributes",1,"[1,1]","Attributes - Rank",[6],"Unveiling certain body armour from Hillock, the Blacksmith"
90,"JunPhysicalDamageConvertedToCold",1,[1],"Physical Damage Converted to Cold Damage",[7],"Unveiling gloves"
91,"JunPhysicalDamageConvertedToFire",1,[1],"Physical Damage Converted to Fire Damage",[7],"Unveiling gloves"
92,"JunPhysicalDamageConvertedToLightning",1,[1],"Physical Damage Converted to Lightning Damage",[7],"Unveiling gloves"
93,"JunPhysicalDamageReductionDuringFocus",1,"[1,1,1]","Physical Damage Reduction while Focused - Rank","[5,7]","Unveiling helmets or gloves"
94,"JunPhysicalDamageReductionRatingDuringSoulGainPrevention",1,"[1,1,1]","Armour during Soul Gain Prevention - Rank","[6,4]","Unveiling body armour or shields"
95,"JunPhysicalDamageTakenAsFirePercent",1,"[1,1]","Physical Damage taken As Fire Percent - Rank",[5],"Unveiling certain helmets from Korell Goya"
96,"JunProjectilePierceAndProjectileGemLevel",1,"[1,1,1]","Projectile Pierce and Projectile Modifiers - Rank","[5,7,10]","Unveiling helmets, gloves or amulets"
97,"JunReduceGlobalFlatManaCost",1,"[1,1,1]","Mana Cost of Skills - Rank","[9,10]","Unveiling certain rings or amulets from Elreon"
98,"JunRestoreManaAndEnergyShieldOnFocus",1,"[1,1,1]","Mana and Energy Shield when you Focus - Rank",[6],"Unveiling body armour"
99,"JunShockNearbyEnemiesOnFocus",1,"[1,1,1]","Shock nearby Enemies when you Focus - Rank",[9],"Unveiling rings"
100,"JunSkillAreaOfEffectPercentAndAreaOfEffectGemLevel",1,"[1,1,1]","Area of Effect and Area Modifiers - Rank","[5,7,10]","Unveiling helmets, gloves or amulets"
101,"JunSkillsCostNoManaWhileFocused",1,[1],"Skills Cost no Mana while Focused",[10],"Unveiling amulets"
102,"JunSocketedGemQuality",1,"[1,1]","Quality of Gems - Rank","[0,2,1,3,4]","Unveiling certain weapons or shields from Haku"
103,"JunSpellDamageAndManaRegenerationRate",1,"[1,1,1]","Spell Damage and Mana Regeneration Rate - Rank","[0,1,2,3]","Unveiling weapons"
104,"JunSpellDamageAndNonChaosDamageToAddAsChaosDamage",1,"[1,1,1]","Spell Damage and Non-Chaos as Extra Chaos - Rank","[0,1,2]","Unveiling weapons"
105,"JunStatusAilmentsYouInflictDurationWhileFocused",1,"[1,1,1]","Duration of Ailments while Focused - Rank",[5],"Unveiling helmets"
106,"JunStrengthAndDexterity",1,"[1,1,1]","Strength and Dexterity - Rank","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers"
107,"JunStrengthAndIntelligence",1,"[1,1,1]","Strength and Intelligence - Rank","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers"
108,"JunSummonTotemCastSpeed",1,"[1,1,1]","Totem Placement Speed - Rank","[8,10]","Unveiling boots or amulets"
109,"JunTrapThrowSpeed",1,"[1,1,1]","Trap Throwing Speed - Rank","[10,11]","Unveiling amulets or belts"
110,"JunTriggerSocketedSpellWhenYouFocus",1,[1],"Trigger Socketed Spells when you Focus",[5],"Unveiling helmets"
111,"JunLocalAttackSpeedAndLocalItemQuality",1,"[1,1]","Local Attack Speed and Local Item Quality - Rank","[0,2,1,3]","Unveiling weapons"
112,"JunLocalCriticalStrikeChanceAndLocalItemQuality",1,"[1,1]","Critical Strike Chance and Quality - Rank","[0,2,1,3]","Unveiling weapons"
113,"JunLocalAccuracyRatingAndLocalItemQuality",1,"[1,1,1]","Accuracy Rating and Item Quality - Rank","[0,2,1,3]","Unveiling weapons"
114,"JunLocalAttackSpeedAndLocalDisplayTriggerLevelBloodRageOnKillChance",1,"[1,1]","Attack Speed and Trigger Blood Rage on Kill - Rank","[0,2,1,3]","Unveiling weapons"
115,"JunCastSpeedAndGainArcaneSurgeOnKillChance",1,"[1,1,1]","Cast Speed and gain Arcane Surge on Kill - Rank","[0,2,1,3]","Unveiling weapons"
116,"JunTriggerSocketedSpellOnSkillUse",1,[1],"Trigger a Socketed Spell when you Use a Skill","[0,2,1,3]","Unveiling weapons"
117,"JunFireAndChaosDamageResistance",1,"[1,1,1]","Fire and Chaos Resistance - Rank","[0,1,2,3,6,7,8,5,4,9,10,11,13]","Unveiling weapons, body armour, gloves, boots, helmets, shields, rings, amulets, belts or quivers"
118,"JunLightningAndChaosDamageResistance",1,"[1,1,1]","Lightning and Chaos Resistance - Rank","[0,1,2,3,6,7,8,5,4,9,10,11,13]","Unveiling weapons, body armour, gloves, boots, helmets, shields, rings, amulets, belts or quivers"
119,"JunColdAndChaosDamageResistance",1,"[1,1,1]","Cold and Chaos Resistance - Rank","[0,1,2,3,6,7,8,5,4,9,10,11,13]","Unveiling weapons, body armour, gloves, boots, helmets, shields, rings, amulets, belts or quivers"
120,"JunStrengthAndLocalItemQuality",1,"[1,1,1]","Strength and Quality - Rank","[0,1,2,3,6,4]","Unveiling weapons, body armour or shields"
121,"JunDexterityAndLocalItemQuality",1,"[1,1,1]","Dexterity and Quality - Rank","[0,1,2,3,6,4]","Unveiling weapons, body armour or shields"
122,"JunIntelligenceAndLocalItemQuality",1,"[1,1,1]","Intelligence and Quality - Rank","[0,1,2,3,6,4]","Unveiling weapons, body armour or shields"
123,"JunLifeRegenerationRatePerMinuteWhileUsingFlask",1,"[1,1,1]","Life Regeneration Rate during Flask Effect - Rank",[11],"Unveiling belts"
124,"JunPercentageLifeAndMana",1,[1],"Increased Life and Mana",[6],"Unveiling body armour"
125,"JunBlockPercent",1,[1],"Chance to Block Attack Damage",[6],"Unveiling body armour"
126,"JunSpellDodgePercentage",1,[1],"Chance to Dodge Spell Damage",[6],"Unveiling body armour"
127,"JunAvoidStunAndElementalStatusAilments",1,[1],"Avoid Stun and Elemental Status Ailments",[6],"Unveiling body armour"
