"rownum","Id","Text","rid","Command","Parameters","AchievementItemsKeys","bool","i32","HarvestCraftOptionIconsKeys","Description","DDSFile","bool","bool"
21,"ModSpell_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcaster>{Caster} modifier with Lucky values",0,"add_type_mod_lucky","caster noinfluence",[6987],"",6341,[0],"Augment a non-Influenced Magic or Rare item with a new Caster modifier with Lucky values","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
22,"ModPhysical_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingphysical>{Physical} modifier",0,"reroll_with_mod","physical ON normal_magic_rare",[6987],"",64597,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
23,"ModPhysical_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingphysical>{Physical} modifier",0,"reroll_with_mod","physical ON normal_magic_rare",[6987],"",14595,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
24,"ModPhysical_2","<white>{Remove} a random <white>{non-Physical} modifier from a non-Influenced item and <white>{add} a new <craftingphysical>{Physical} modifier",0,"remove_non_type_and_add_type_mod","physical FOR physical noinfluence",[6987],"",22153,"[8,0]","Remove a random non-Physical modifier from a non-Influenced item and add a new Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
25,"ModPhysical_2b","<white>{Remove} a random <white>{non-Physical} modifier from a non-Influenced item and <white>{add} a new <craftingphysical>{Physical} modifier",0,"remove_non_type_and_add_type_mod","physical FOR physical noinfluence",[6987],"",41657,"[8,0]","Remove a random non-Physical modifier from a non-Influenced item and add a new Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
26,"ModPhysical_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingphysical>{Physical} modifier",0,"add_type_mod","physical noinfluence",[6987],"",11834,[0],"Augment a non-Influenced Magic or Rare item with a new Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
27,"ModPhysical_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingphysical>{Physical} modifier",0,"add_type_mod","physical noinfluence",[6987],"",45593,[0],"Augment a non-Influenced Magic or Rare item with a new Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
28,"ModPhysical_4","<white>{Remove} a random <craftingphysical>{Physical} modifier from a non-Influenced item",0,"remove_type_mod","physical noinfluence",[6987],"",56753,[8],"Remove a random Physical modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
29,"ModPhysical_5","<white>{Randomise} the numeric values of the random <craftingphysical>{Physical} modifiers on a Magic or Rare item",0,"reroll_type_mods","physical",[6987],"",46652,[9],"Randomise the numeric values of the random Physical modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
30,"ModPhysical_6","<white>{Remove} a random <craftingphysical>{Physical} modifier from a non-Influenced item and <white>{add} a new <craftingphysical>{Physical} modifier",0,"remove_type_and_add_type_mod","physical FOR physical noinfluence",[6987],"",2806,"[8,0]","Remove a random Physical modifier from a non-Influenced item and add a new Physical modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
31,"ModPhysical_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingphysical>{Physical} modifier. <craftingphysical>{Physical} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","physical ON normal_magic_rare",[6987],"",13858,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Physical modifier. Physical modifiers are more common","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
32,"ModPhysical_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingphysical>{Physical} modifier with Lucky values",0,"add_type_mod_lucky","physical noinfluence",[6987],"",62020,[0],"Augment a non-Influenced Magic or Rare item with a new Physical modifier with Lucky values","Art/2DItems/Currency/Harvest/RedSeedTier1Hellion.dds","",""
33,"ModFire_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingfire>{Fire} modifier",0,"reroll_with_mod","fire ON normal_magic_rare",[6987],"",27573,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
34,"ModFire_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingfire>{Fire} modifier",0,"reroll_with_mod","fire ON normal_magic_rare",[6987],"",16929,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
35,"ModFire_2","<white>{Remove} a random <white>{non-Fire} modifier from a non-Influenced item and <white>{add} a new <craftingfire>{Fire} modifier",0,"remove_non_type_and_add_type_mod","fire FOR fire noinfluence",[6987],"",49164,"[8,0]","Remove a random non-Fire modifier from a non-Influenced item and add a new Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
36,"ModFire_2b","<white>{Remove} a random <white>{non-Fire} modifier from a non-Influenced item and <white>{add} a new <craftingfire>{Fire} modifier",0,"remove_non_type_and_add_type_mod","fire FOR fire noinfluence",[6987],"",16911,"[8,0]","Remove a random non-Fire modifier from a non-Influenced item and add a new Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
37,"ModFire_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingfire>{Fire} modifier",0,"add_type_mod","fire noinfluence",[6987],"",46401,[0],"Augment a non-Influenced Magic or Rare item with a new Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
38,"ModFire_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingfire>{Fire} modifier",0,"add_type_mod","fire noinfluence",[6987],"",60182,[0],"Augment a non-Influenced Magic or Rare item with a new Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
39,"ModFire_4","<white>{Remove} a random <craftingfire>{Fire} modifier from a non-Influenced item",0,"remove_type_mod","fire noinfluence",[6987],"",63560,[8],"Remove a random Fire modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
40,"ModFire_5","<white>{Randomise} the numeric values of the random <craftingfire>{Fire} modifiers on a Magic or Rare item",0,"reroll_type_mods","fire",[6987],"",13763,[9],"Randomise the numeric values of the random Fire modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
41,"ModFire_6","<white>{Remove} a random <craftingfire>{Fire} modifier from a non-Influenced item and <white>{add} a new <craftingfire>{Fire} modifier",0,"remove_type_and_add_type_mod","fire FOR fire noinfluence",[6987],"",61903,"[8,0]","Remove a random Fire modifier from a non-Influenced item and add a new Fire modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
42,"ModFire_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingfire>{Fire} modifier. <craftingfire>{Fire} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","fire ON normal_magic_rare",[6987],"",3139,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Fire modifier. Fire modifiers are more common","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
43,"ModFire_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingfire>{Fire} modifier with Lucky values",0,"add_type_mod_lucky","fire noinfluence",[6987],"",19709,[0],"Augment a non-Influenced Magic or Rare item with a new Fire modifier with Lucky values","Art/2DItems/Currency/Harvest/RedSeedTier1Monkey.dds","",""
44,"Unique_1","<white>{Change} a <unique>{Unique} item into another random Unique item",0,"reroll_unique_of_type","","[6987,7105]",1,54243,[14],"Change a Unique item into another random Unique item","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
45,"Unique_2","<white>{Change} a <unique>{Unique} into a random Unique Weapon or Quiver",0,"reroll_unique_of_type","weapon","[6987,7105]",1,8838,[14],"Change a Unique into a random Unique Weapon or Quiver","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
46,"Unique_3","<white>{Change} a <unique>{Unique} into a random Unique Armour",0,"reroll_unique_of_type","armour","[6987,7105]",1,6549,[14],"Change a Unique into a random Unique Armour","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
47,"Unique_4","<white>{Change} a <unique>{Unique} into a random Unique Ring, Amulet or Belt",0,"reroll_unique_of_type","jewelry","[6987,7105]",1,42184,[14],"Change a Unique into a random Unique Ring, Amulet or Belt","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
48,"Unique_5","<white>{Change} a <unique>{Unique} <white>{Weapon} into another Unique Weapon of that weapon type",0,"reroll_unique_of_type","same_type weapon","[6987,7105]",1,27179,[14],"Change a Unique Weapon into another Unique Weapon of that weapon type","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
49,"Unique_6","<white>{Change} a <unique>{Unique} <white>{Armour} into another Unique Armour of that type",0,"reroll_unique_of_type","same_type armour","[6987,7105]",1,30202,[14],"Change a Unique Armour into another Unique Armour of that type","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
50,"Unique_7","<white>{Change} a <unique>{Unique} <white>{Ring, Amulet} or <white>{Belt} into another Unique item of that type",0,"reroll_unique_of_type","same_type jewelry","[6987,7105]",1,36987,[14],"Change a Unique Ring, Amulet or Belt into another Unique item of that type","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
51,"Unique_8","<white>{Change} a <unique>{Unique} <white>{Jewel} into another Unique Jewel",0,"reroll_unique_of_type","same_type jewel","[6987,7105]",1,37278,[14],"Change a Unique Jewel into another Unique Jewel","Art/2DItems/Currency/Harvest/BlueSeedTier1Ant.dds","",""
52,"ModChangeElement_1","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes CONVERT fire cold",[6987],"",60123,[],"Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Cold Resistance","Art/2DItems/Currency/Harvest/RedSeedTier2Beast.dds","",""
53,"ModChangeElement_2","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes CONVERT cold lightning",[6987],"",52366,[],"Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Lightning Resistance","Art/2DItems/Currency/Harvest/RedSeedTier2Beast.dds","",""
54,"ModChangeElement_3","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes CONVERT lightning fire",[6987],"",47627,[],"Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Fire Resistance","Art/2DItems/Currency/Harvest/RedSeedTier2Beast.dds","",""
55,"ModChangeElement_4","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes CONVERT fire lightning",[6987],"",64401,[],"Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Lightning Resistance","Art/2DItems/Currency/Harvest/RedSeedTier2Beast.dds","",""
56,"ModChangeElement_5","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes CONVERT cold fire",[6987],"",51827,[],"Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Fire Resistance","Art/2DItems/Currency/Harvest/RedSeedTier2Beast.dds","",""
57,"ModChangeElement_6","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes CONVERT lightning cold",[6987],"",40279,[],"Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Cold Resistance","Art/2DItems/Currency/Harvest/RedSeedTier2Beast.dds","",""
58,"ModReroll_1","<white>{Reforge} a <white>{Rare} item, keeping all <white>{Prefixes}",1,"reroll_keeping_set","prefix normal",[6987],"",9629,[3],"Reforge a Rare item, keeping all Prefixes","Art/2DItems/Currency/Harvest/RedSeedTier2Spiker.dds","",""
59,"ModReroll_2","<white>{Reforge} a <white>{Rare} item, keeping all <white>{Suffixes}",1,"reroll_keeping_set","suffix normal",[6987],"",3288,[3],"Reforge a Rare item, keeping all Suffixes","Art/2DItems/Currency/Harvest/RedSeedTier2Spiker.dds","",""
60,"ModReroll_3","<white>{Reforge} a <white>{Rare} item, being much <white>{less likely} to receive the same modifier types",1,"reroll_with_current_tags_affinity_multiplier","-99",[6987],"",29376,[3],"Reforge a Rare item, being much less likely to receive the same modifier types","Art/2DItems/Currency/Harvest/RedSeedTier2Spiker.dds","",""
61,"ModReroll_4","<white>{Reforge} a <white>{Rare} item, being much <white>{more likely} to receive the same modifier types",1,"reroll_with_current_tags_affinity_multiplier","9001",[6987],"",35688,[3],"Reforge a Rare item, being much more likely to receive the same modifier types","Art/2DItems/Currency/Harvest/RedSeedTier2Spiker.dds","",""
62,"ModSpeed_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingspeed>{Speed} modifier",0,"reroll_with_mod","speed ON normal_magic_rare",[6987],"",3398,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
63,"ModSpeed_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingspeed>{Speed} modifier",0,"reroll_with_mod","speed ON normal_magic_rare",[6987],"",44499,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
64,"ModSpeed_2","<white>{Remove} a random <white>{non-Speed} modifier from a non-Influenced item and <white>{add} a new <craftingspeed>{Speed} modifier",0,"remove_non_type_and_add_type_mod","speed FOR speed noinfluence",[6987],"",650,"[8,0]","Remove a random non-Speed modifier from a non-Influenced item and add a new Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
65,"ModSpeed_2b","<white>{Remove} a random <white>{non-Speed} modifier from a non-Influenced item and <white>{add} a new <craftingspeed>{Speed} modifier",0,"remove_non_type_and_add_type_mod","speed FOR speed noinfluence",[6987],"",35023,"[8,0]","Remove a random non-Speed modifier from a non-Influenced item and add a new Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
66,"ModSpeed_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingspeed>{Speed} modifier",0,"add_type_mod","speed noinfluence",[6987],"",59213,[0],"Augment a non-Influenced Magic or Rare item with a new Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
67,"ModSpeed_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingspeed>{Speed} modifier",0,"add_type_mod","speed noinfluence",[6987],"",20766,[0],"Augment a non-Influenced Magic or Rare item with a new Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
68,"ModSpeed_4","<white>{Remove} a random <craftingspeed>{Speed} modifier from a non-Influenced item",0,"remove_type_mod","speed noinfluence",[6987],"",55905,[8],"Remove a random Speed modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
69,"ModSpeed_5","<white>{Randomise} the numeric values of the random <craftingspeed>{Speed} modifiers on a Magic or Rare item",0,"reroll_type_mods","speed",[6987],"",57166,[9],"Randomise the numeric values of the random Speed modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
70,"ModSpeed_6","<white>{Remove} a random <craftingspeed>{Speed} modifier from a non-Influenced item and <white>{add} a new <craftingspeed>{Speed} modifier",0,"remove_type_and_add_type_mod","speed FOR speed noinfluence",[6987],"",57643,"[8,0]","Remove a random Speed modifier from a non-Influenced item and add a new Speed modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
71,"ModSpeed_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingspeed>{Speed} modifier. <craftingspeed>{Speed} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","speed ON normal_magic_rare",[6987],"",45545,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Speed modifier. Speed modifiers are more common","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
72,"ModSpeed_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingspeed>{Speed} modifier with Lucky values",0,"add_type_mod_lucky","speed noinfluence",[6987],"",794,[0],"Augment a non-Influenced Magic or Rare item with a new Speed modifier with Lucky values","Art/2DItems/Currency/Harvest/YellowSeedTier1ThornSpider.dds","",""
73,"ModifyCurrency_1","<white>{Upgrade} the tier of an <white>{Essence}",2,"upgrade_essence","",[6987],1,18337,[],"Upgrade the tier of an Essence","Art/2DItems/Currency/Harvest/YellowSeedTier3Squid.dds",1,""
74,"ModifyCurrency_2","<white>{Exchange} a <white>{Resonator} for a Fossil or vice versa. Rare outcomes are more likely with rare inputs",2,"exchange_resonators_and_fossils","","[6987,7183]",1,56402,[],"Exchange a Resonator for a Fossil or vice versa. Rare outcomes are more likely with rare inputs","Art/2DItems/Currency/Harvest/YellowSeedTier3Squid.dds",1,""
75,"ModifyCurrency_3","<white>{Upgrade} an <white>{Oil} into an Oil one tier higher",2,"turn_item_in_set_into_rarer_item_in_set","mushrune",[6987],1,2013,[],"Upgrade an Oil into an Oil one tier higher","Art/2DItems/Currency/Harvest/YellowSeedTier3Squid.dds",1,""
76,"ModifyCurrency_4","<white>{Upgrade} an <white>{Engineer's Orb} to an Infused Engineer's Orb",2,"exchange_currency","Metadata/Items/Currency/CurrencyStrongboxQuality 1 Metadata/Items/Currency/CurrencyStrongboxQualityInfused 1",[6987],1,26686,[],"Upgrade an Engineer's Orb to an Infused Engineer's Orb","Art/2DItems/Currency/Harvest/YellowSeedTier3Squid.dds",1,""
77,"RarityUpgrade_1","<white>{Upgrade} a <magic>{Magic item} to a Rare item, adding <white>{two} random modifiers",1,"add_mod_to_magic_making_rare","2",[6987],"",2752,[1],"Upgrade a Magic item to a Rare item, adding two random modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
78,"RarityUpgrade_2","<white>{Upgrade} a <magic>{Magic item} to a Rare item, adding <white>{three} random modifiers",1,"add_mod_to_magic_making_rare","3",[6987],"",36732,[1],"Upgrade a Magic item to a Rare item, adding three random modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
79,"RarityUpgrade_3","<white>{Upgrade} a <magic>{Magic item} to a Rare item, adding <white>{four} random modifiers",1,"add_mod_to_magic_making_rare","4",[6987],"",18531,[1],"Upgrade a Magic item to a Rare item, adding four random modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
80,"RarityUpgrade_4","<white>{Upgrade} a <white>{Normal item} to a Magic item, adding <white>{one} random <white>{high-tier} modifier",1,"add_mod_to_normal_making_magic","1 high_level",[6987],"",7418,[12],"Upgrade a Normal item to a Magic item, adding one random high-tier modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
