"rownum","GroundEffectTypesKey","i32","i32","rid","f32","[i32]","bool","AOFile","[string]","EndEffect","rid","rid","rid","rid","rid","bool","bool","bool","rid","rid","bool"
10,0,7,2,1040,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_01.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_02.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_03.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_04.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
11,0,8,1,1161,105,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/polaris_black/burn1.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
12,0,9,1,"",120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/scientist/burn1.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/scientist/burn2.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
13,0,10,1,1295,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn2.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
14,0,11,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/burning_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
15,0,12,1,1342,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/nightfall/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
16,0,13,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Hellion/flame_breath/lava_pool/rig.ao""]","[""loop""]","fadeout","","",455,"","","",1,"","","",""
17,0,14,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ritual/fire_ritual/ritual_fire_meteor_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
18,0,15,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/VilAintHer/lava_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
19,0,16,2,"",200,[],1,"[""Metadata/Effects/Spells/prismatic_rain/object_effect/burning_grd_Fire.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
20,0,17,1,1628,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/siren/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
21,0,18,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd1.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd2.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
22,1,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/ice/ice.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
23,1,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/chilled/chilled_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
24,1,1,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/hellion/ice/icepatchremain_new.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
25,1,2,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
26,1,2,2,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
27,1,3,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/merc_pool.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
28,1,4,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/chilling_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
29,7,0,1,"",40,[],1,"[""Metadata/Effects/Spells/ground_effects/lightning/lightning_ground_01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
30,7,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/shocking/shocking_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
31,7,1,2,"",100,[],"","[""Metadata/Effects/Microtransactions/Spells/lighting_trap/celestial/groundEffects/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
32,7,2,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/static_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
33,7,3,2,213,200,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/boss_pale_king/doublethrow_shocked_grd.ao""]","[""loop""]","fadeout","","",562,"","","",1,"","","",""
34,5,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
35,5,0,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_05.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
36,5,1,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil_red/evil_01.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_02.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_03.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
37,5,1,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_05.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
38,5,2,1,"",0,[],"","[""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_01.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_02.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
39,5,2,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_05.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
40,5,3,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/desecrate_stygian/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
41,5,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/void_desecrate/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
42,6,0,1,"",150,"[24,10,3]","","[""Metadata/Effects/Spells/ground_effects/holy/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
43,6,0,2,"",150,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
44,6,1,2,"",110,[],"","[""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_01.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_02.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_03.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_04.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_05.ao""]","[""loop""]","fadeout",1229,"","","","","","","","","",""
45,6,2,2,962,110,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","",962,"",""
46,6,3,2,1571,150,[],"","[""Metadata/Effects/Microtransactions/Spells/holy_path/celestial/consecrated_01.ao""]","[""loop""]","fadeout","","","","","","","","",1571,"",""
47,3,0,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
48,3,0,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar/targround_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
49,3,1,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/goldtar_rig.ao""]","[""loop""]","fadeout",783,"","","","","",1,"","","",""
50,3,1,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_05.ao""]","[""loop""]","fadeout",783,"","","","","",1,"","","",""
51,3,2,1,"",83.5,[],"","[""Metadata/Effects/Spells/monsters_effects/act5/slave_catcher/net_throw/net.ao""]","[""loop""]","fadeout",827,"","","","","",1,"","","",""
52,3,3,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/yellow_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
53,12,0,1,"",120,[],"","[""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao""]","[""loop"",""loop01"",""loop02"",""loop03""]","fadeout","","","","","","",1,"","","",""
54,12,1,1,"",85,[],"","[""Metadata/Effects/Spells/ground_effects/elderfied/slimes1.ao"",""Metadata/Effects/Spells/ground_effects/elderfied/slimes2.ao"",""Metadata/Effects/Spells/ground_effects/elderfied/slimes3.ao""]","[""loop""]","fadeout",989,"","","","","",1,"","","",""
55,2,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/caustic/acidic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
56,2,1,2,"",150,[],1,"[""Metadata/Effects/Microtransactions/Spells/poison_arrow/rig.ao""]","[""cloudstuff""]","cloudbegone","","","","","","",1,"","","",""
57,2,2,1,"",120,"[4,2,1]",1,"[""Metadata/Effects/Spells/ground_effects/caustic/caustic_01_fast.ao"",""Metadata/Effects/Spells/ground_effects/caustic/caustic_02_fast.ao"",""Metadata/Effects/Spells/ground_effects/caustic/caustic_03_fast.ao""]",[],"fadeout","","","","","","",1,"","","",""
58,2,2,2,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
59,2,3,2,"",185,[],1,"[""Metadata/Effects/Spells/ground_effects/caustic/poison_ground.ao""]","[""cloudstuff""]","cloudbegone","","","","","","",1,"","","",""
60,2,4,1,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/act7/Ryslatha/poison_flamethrower/impact/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
61,2,5,1,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects/caustic/poison_ground_bright_green.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
62,2,6,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_03.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_04.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
63,2,7,2,"",185,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_01.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_02.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_04.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_04.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
64,2,8,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/caustic_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
65,2,9,2,1380,250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/caustic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
66,19,0,1,"",60,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_sml_cloud_01.ao"",""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_mid_cloud_01.ao"",""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_big_cloud_01.ao""]",[],"fadeout","","","","","","","","","","",""
67,4,0,1,224,120,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_01.ao"",""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_02.ao"",""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_03.ao""]",[],"fadeout","","","","","","","","","","",""
68,4,0,2,224,120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind/smoke_blind.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
69,4,1,1,224,120,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_01.ao"",""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_02.ao"",""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_03.ao""]",[],"fadeout","","","","","","","","","","",""
70,4,1,2,224,120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_chimera/smoke_blind_chimera.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
71,4,2,2,224,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
72,4,3,2,224,250,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war_medium.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
73,4,4,2,224,350,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war_large.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
74,4,5,2,224,150,[],1,"[""Metadata/Effects/Spells/traps/smoke_trap/smoke_blind_fog_of_war.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
75,4,6,2,224,150,[],1,"[""Metadata/Effects/Microtransactions/Spells/StygianSmokeMine/StygianBlindFog.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
76,9,0,2,"",183,[],"","[""Metadata/Effects/Spells/ground_effects_v2/haste/haste.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
77,20,0,2,"",280,[],"","[""Metadata/Effects/Spells/ground_effects_v3/profane/profane_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
78,21,0,2,"",190,[],"","[""Metadata/Effects/Spells/monsters_effects/labyrinth/skeleton_king/cups/chaos_cups.ao""]","[""chaoscup_loop""]","chaoscup_end","","","","","",1,"","","","",""
79,22,0,2,"",190,[],"","[""Metadata/Effects/Spells/monsters_effects/labyrinth/skeleton_king/cups/fire_cups.ao""]","[""firecup_loop""]","firecup_end","","","","","",1,"","","","",""
80,13,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/devouring_darkness/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
81,25,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
82,15,0,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_03.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_04.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_05.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
83,15,1,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/mob_corpus_needleskin/volatile_grd.ao""]","[""idle""]","end","","","","","","",1,"","","",1
84,15,2,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/boiling_bloodpool/bloodpool1.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/boiling_bloodpool/bloodpool2.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/boiling_bloodpool/bloodpool3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
85,15,3,1,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/boss_corpus_defiler/vomit_grd.ao""]","[""idle""]","end","","","","","","",1,"","","",1
86,23,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/despair_geyser/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
87,10,0,1,"",0,[],"","[""Metadata/Effects/Spells/monsters_effects/act9/Garukhan/sandstorm/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
88,14,0,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects/quicksand/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
89,14,1,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/breach_quicksands/breachhole.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
90,14,2,2,"",125,[],"","[""Metadata/Effects/Spells/Masters/NinjaCop/ink_pool/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
91,14,3,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",254,"","","","",1,"","","",""
92,14,4,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",265,"","","","",1,"","","",""
93,14,5,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","",447,"","","","",1,"","","",""
94,14,6,2,"",225,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Ritual/life_ritual/blood_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
95,14,7,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
96,14,8,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",265,"","","","",1,"","","",""
97,14,9,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",265,"","","","",1,"","","",""
98,14,10,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",265,"","","","",1,"","","",""
