"rownum","HideoutNPCsKey","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]","[rid]","i32","i32","bool","rid","AddEnchantment","SortCategory","rid","bool"
25,4,25,"",[19],[100],0,"At Least Two Green and One Blue Socket",7,[],0,"GGB",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
26,4,26,"",[19],[100],0,"At Least Two Blue and One Green Socket",7,[],0,"BBG",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
27,4,27,"",[19],[100],0,"At Least Two Blue and One Red Socket",7,[],0,"BBR",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
28,6,0,8118,[],[],68,"",7,"[35,38]",0,"",0,69,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
29,6,1,8119,[],[],70,"",7,"[35,38]",0,"",0,71,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
30,6,2,8120,[],[],72,"",7,"[35,38]",0,"",0,73,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
31,6,3,8121,[],[],74,"",7,"[35,38]",0,"",0,75,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
32,6,4,8122,[],[],76,"",7,"[35,38]",0,"",0,77,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
33,6,5,8123,[],[],78,"",7,"[35,38]",0,"",0,79,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
34,6,6,8124,[],[],80,"",7,"[35,38]",0,"",0,81,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
35,6,7,8125,[],[],82,"",7,"[35,38]",0,"",0,100,[],"",1,1,[],0,"[14,15]",0,"",0,0,[],[],1161,1161,"","","",0,1576,""
36,6,8,"",[2],[3],72,"Fortune Favours the Brave",2,[35],0,"",0,0,[],"One of the options available from this device will be applied at random, including options you have not yet unlocked.",1,"",[],0,[14],0,"",0,0,[],[8035],1161,1161,"","","",3,"",""
37,6,9,"",[2],[1],101,"Alternate of Same Tier (Tier 1-10)",3,[35],0,"",0,0,[],"Requires a Rare Map of Tier 10 or below. Opens a random Map of the same Tier with random Mods. Excludes the Map placed in the device.",1,"",[],0,[14],0,"",0,0,[],[],1161,1161,"","","",3,"",""
38,6,10,"",[2],[2],101,"Shaped (Tier 1-5)",4,[35],0,"",0,0,[],"Requires a Rare Map of Tier 5 or below. Opens a version of your Map that is 5 Tiers higher, with random Mods.",1,"",[],0,[14],0,"",0,0,[],[],1161,1161,"","","",3,"",""
39,6,11,"",[2],[6],101,"Shaped (Tier 1-10)",5,[35],0,"",0,0,[],"Requires a Rare Map of Tier 10 or below. Opens a version of your Map that is 5 Tiers higher, with random Mods and a chance to be Corrupted.",1,"",[],0,[14],0,"",0,0,[],[],1161,1161,"","","",3,"",""
40,6,12,"",[2],[15],101,"Elder (Tier 1-15)",6,[35],0,"",0,0,[],"Requires a Rare Map of Tier 15 or below. Opens a version of your Map that is set to Tier 16, with random Mods and a chance to be Corrupted.",1,"",[],0,[14],0,"",0,0,[],[],1161,1161,"","","",3,"",""
41,6,13,8163,[],[],68,"Infused Anarchy",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,1828,""
42,6,14,8157,[],[],68,"Infused Nemesis",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,1814,""
43,6,15,8151,[],[],68,"Infused Domination",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,1811,""
44,6,16,8247,[],[],68,"Infused Bloodlines",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,1853,""
45,6,17,8176,[],[],68,"Infused Rampage",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,1829,""
46,6,18,8146,[],[],68,"Infused Ambush",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,1809,""
47,6,19,12925,[],[],68,"Infused Harbinger",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7182],1161,1161,1,"","",0,4621,""
48,6,20,12241,[2],[2],69,"Breach",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],308,1161,"","","",0,4187,""
49,6,21,11941,[2],[3],71,"Essence",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],297,1161,"","","",0,3998,""
50,6,22,8246,[2],[3],73,"Bloodlines",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],300,1161,"","","",0,1853,""
51,6,23,8145,[2],[4],76,"Ambush",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],305,1161,"","","",0,1809,""
52,6,24,8177,[2],[5],79,"Beyond",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],302,1161,"","","",0,1830,""
53,6,25,19498,[2],[6],82,"Legion",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],303,1161,"","","",0,6816,""
54,6,26,19649,[2],[8],83,"Blight",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],316,1161,"","","",0,4285,""
55,6,27,8165,[2],[2],101,"Onslaught",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],304,1161,"","","",0,1816,""
56,6,28,13767,[2],[2],101,"Abyss",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],310,1161,"","","",0,4932,""
57,6,29,8162,[2],[2],101,"Anarchy",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],298,1161,"","","",0,1828,""
58,6,30,8156,[2],[4],101,"Nemesis",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],301,1161,"","","",0,1814,""
59,6,31,8412,[2],[5],101,"Torment",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],309,1161,"","","",0,1984,""
60,6,32,8150,[2],[3],101,"Domination",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],299,1161,"","","",0,1811,""
61,6,33,8143,[2],[2],101,"Invasion",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],311,1161,"","","",0,1807,""
62,6,34,8175,[2],[2],101,"Rampage",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],312,1161,"","","",0,1829,""
63,6,35,8602,[2],[4],101,"Tempest",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],313,1161,"","","",0,2116,""
64,6,36,11172,[13],[3],101,"Talisman",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],314,1161,"","","",0,3541,""
65,6,37,21542,[2],[5],101,"Metamorph",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],661,1161,"","","",0,7661,""
66,6,38,20714,[2],[16],101,"Delirium",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],745,1161,"","","",0,7121,""
67,6,39,12924,[2],[4],101,"Harbinger",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],315,1161,"","","",0,4621,""
68,6,40,21457,[2],[12],101,"Harvest",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1106,1161,"","","",0,7582,""
69,6,41,8866,[2],[2],101,"Warbands",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],306,1161,"","","",0,2361,""
70,6,42,22946,[2],[13],101,"Ritual",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1114,1161,"","","",0,8740,""
71,6,43,21453,[2],[6],101,"Heist",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1105,1161,"","","",0,7579,""
72,6,44,5093,[2],[2],101,"Monster Life I",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,703,""
73,6,45,5094,[2],[2],101,"Monster Life II",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,703,""
74,6,46,5095,[2],[2],101,"Monster Life III",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,703,""
75,6,47,5096,[2],[2],101,"Monster Life IV",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,703,""
76,6,48,5117,[2],[2],101,"Monster Damage I",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,707,""
77,6,49,5118,[2],[2],101,"Monster Damage II",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,707,""
78,6,50,5119,[2],[2],101,"Monster Damage III",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,707,""
79,6,51,5120,[2],[2],101,"Monster Damage IV",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,707,""
80,6,52,4960,[2],[6],101,"Area is inhabited by Spiders",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,649,""
81,6,53,4961,[2],[6],101,"Area is inhabited by Blackguards",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,650,""
82,6,54,4959,[2],[6],101,"Area is inhabited by Bandits",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",0,622,""
83,6,55,4930,[2],[2],101,"Additional Totems",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",1,614,""
84,6,56,4937,[2],[3],101,"Additional Rogue Exiles",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",1,1617,""
85,6,57,4988,[2],[3],101,"Monsters from Beyond",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",1,1883,""
86,6,58,4995,[2],[3],101,"Twinned Unique Bosses",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],1161,1161,"","","",1,666,""
87,3,0,16900,[11],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[6,7,8,5,4,9,10,11,13]",0,"",0,0,[],[],1161,1161,"","","",1,0,1
88,3,1,16864,[10],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",0,"",0,0,[],[],1161,1161,"","","",2,111,""
89,3,2,16867,[10],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",0,"",0,0,[],[],1161,1161,"","","",2,112,""
90,3,3,16870,[10],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",0,"",0,0,[],[],1161,1161,"","","",2,113,""
91,3,4,16886,[15],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",0,"",0,0,[742],[],1161,1161,"","","",2,362,""
92,3,5,16889,[15],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,1,2,3,6,7,8,5,4,9,10,13]",0,"",0,0,[743],[],1161,1161,"","","",2,366,""
93,3,6,16892,[15],[1],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,1,2,3,6,7,8,5,4,9,10,13]",0,"",0,0,[744],[],1161,1161,"","","",2,370,""
94,3,7,"",[12],[1],0,"Remove Crafted Mods",0,[],0,"",0,0,[],"","","",[],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",0,"",0,0,[],[],1161,1161,"","","",3,"",""
95,3,8,16865,[6],[1],0,"",7,[],0,"",0,0,[],"","","",[133],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,111,""
96,3,9,16866,[2],[3],0,"",7,[],0,"",0,0,[],"","","",[135],3,"[0,1,2,3,6,7,8,5,4,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,111,""
97,3,10,16868,[6],[1],0,"",7,[],0,"",0,0,[],"","","",[133],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,112,""
98,3,11,16869,[2],[3],0,"",7,[],0,"",0,0,[],"","","",[135],3,"[0,1,2,3,6,7,8,5,4,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,112,""
99,3,12,16871,[6],[1],0,"",7,[],0,"",0,0,[],"","","",[133],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,113,""
100,3,13,16872,[2],[3],0,"",7,[],0,"",0,0,[],"","","",[135],3,"[0,1,2,3,6,7,8,5,4,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,113,""
101,3,14,16873,[10],[6],0,"",7,[],0,"",0,0,[],"","","",[136],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1333,""
102,3,15,16874,[6],[1],0,"",7,[],0,"",0,0,[],"","","",[137],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1333,""
103,3,16,16875,[2],[3],0,"",7,[],0,"",0,0,[],"","","",[138],3,"[0,1,2,3,6,7,8,5,4,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1333,""
104,3,17,16876,[10],[6],0,"",7,[],0,"",0,0,[],"","","",[136],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1335,""
105,3,18,16877,[6],[1],0,"",7,[],0,"",0,0,[],"","","",[137],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1335,""
106,3,19,16878,[2],[3],0,"",7,[],0,"",0,0,[],"","","",[138],3,"[0,1,2,3,6,7,8,5,4,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1335,""
107,3,20,16879,[10],[6],0,"",7,[],0,"",0,0,[],"","","",[136],1,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1334,""
108,3,21,16880,[6],[1],0,"",7,[],0,"",0,0,[],"","","",[137],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1334,""
109,3,22,16881,[2],[3],0,"",7,[],0,"",0,0,[],"","","",[138],3,"[0,1,2,3,6,7,8,5,4,11,13]",1,"",0,0,[],[],1161,1161,"","","",2,1334,""
110,3,23,16882,[11],[6],0,"",7,[],0,"",0,0,[],"","","",[139],1,"[9,10]",1,"",0,0,[],[],1161,1161,"","","",2,114,1
111,3,24,16883,[2],[1],0,"",7,[],0,"",0,0,[],"","","",[140],2,"[9,10]",1,"",0,0,[],[],1161,1161,"","","",2,114,1
112,3,25,16884,[11],[6],0,"",7,[],0,"",0,0,[],"","","",[139],1,"[9,10]",1,"",0,0,[],[],1161,1161,"","","",2,6763,1
113,3,26,16885,[2],[1],0,"",7,[],0,"",0,0,[],"","","",[140],2,"[9,10]",1,"",0,0,[],[],1161,1161,"","","",2,6763,1
114,3,27,16887,[6],[2],0,"",7,[],0,"",0,0,[],"","","",[141],2,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[742],[],1161,1161,"","","",2,362,""
115,3,28,16888,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[142],3,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[742],[],1161,1161,"","","",2,362,""
116,3,29,16890,[6],[2],0,"",7,[],0,"",0,0,[],"","","",[141],2,"[0,1,2,3,6,7,8,5,4,9,10,13]",1,"",0,0,[743],[],1161,1161,"","","",2,366,""
117,3,30,16891,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[142],3,"[0,1,2,3,6,7,8,5,4,9,10,13]",1,"",0,0,[743],[],1161,1161,"","","",2,366,""
118,3,31,16893,[6],[2],0,"",7,[],0,"",0,0,[],"","","",[141],2,"[0,1,2,3,6,7,8,5,4,9,10,13]",1,"",0,0,[744],[],1161,1161,"","","",2,370,""
119,3,32,16894,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[142],3,"[0,1,2,3,6,7,8,5,4,9,10,13]",1,"",0,0,[744],[],1161,1161,"","","",2,370,""
120,3,33,16895,[7],[3],0,"",7,[],0,"",0,0,[],"","","",[144],1,"[0,1,2,3,6,7,8,5,4,9,10,13]",1,"",0,0,[],[],1161,1161,"","","",2,372,""
121,3,34,16896,[7],[6],0,"",7,[],0,"",0,0,[],"","","",[145],2,"[0,1,2,3,6,7,8,5,4,9,10,13]",1,"",0,0,[],[],1161,1161,"","","",2,372,""
122,3,35,16897,[15],[3],0,"",7,[],0,"",0,0,[],"","","",[146],1,[8],1,"",0,0,[],[],1161,1161,"","","",1,125,1
123,3,36,16898,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[147],2,[8],1,"",0,0,[],[],1161,1161,"","","",1,125,1
124,3,37,16899,[2],[4],0,"",7,[],0,"",0,0,[],"","","",[148],3,[8],1,"",0,0,[],[],1161,1161,"","","",1,125,1
125,3,38,16901,[10],[6],0,"",7,[],0,"",0,0,[],"","","",[149],2,"[6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",1,0,1
126,3,39,16902,[6],[2],0,"",7,[],0,"",0,0,[],"","","",[150],3,"[6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[],1161,1161,"","","",1,0,1
127,3,40,16903,[6],[4],0,"",7,[],0,"",0,0,[],"","","",[151],4,"[6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",1,0,1
128,3,41,16904,[2],[4],0,"",7,[],0,"",0,0,[],"","","",[153],5,[6],1,"",0,0,[],[],1161,1161,"","","",1,0,1
129,3,42,16905,[7],[3],0,"",7,[],0,"",0,0,[],"","","",[154],1,"[9,10,7,13]",1,"",0,0,[],[],1161,1161,"","","",1,21,1
130,3,43,16906,[7],[4],0,"",7,[],0,"",0,0,[],"","","",[155],2,[10],1,"",0,0,[],[],1161,1161,"","","",1,21,1
131,3,44,16907,[7],[3],0,"",7,[],0,"",0,0,[],"","","",[154],1,"[0,1,2,3]",1,"",0,0,[],[],1161,1161,"","","",2,22,1
132,3,45,16908,[7],[4],0,"",7,[],0,"",0,0,[],"","","",[155],2,"[0,1]",1,"",0,0,[],[],1161,1161,"","","",2,22,1
133,3,46,16909,[14],[1],0,"",7,[],0,"",0,0,[],"","","",[155],0,"[0,1,2,3]",1,"",0,0,[],[],1161,1161,"","","",2,28,1
134,3,47,16917,[15],[3],0,"",7,[],0,"",0,0,[],"","","",[],1,[1],0,"",0,0,[],[],1161,1161,"","","",1,11,1
135,3,48,16918,[15],[6],0,"",7,[],0,"",0,0,[],"","","",[149],2,[1],1,"",0,0,[],[],1161,1161,"","","",1,11,1
136,3,49,16919,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[150],3,[1],1,"",0,0,[],[],1161,1161,"","","",1,11,1
137,3,50,16920,[2],[4],0,"",7,[],0,"",0,0,[],"","","",[151],4,[1],1,"",0,0,[],[],1161,1161,"","","",1,11,1
138,3,51,16913,[15],[3],0,"",7,[],0,"",0,0,[],"","","",[],1,"[0,2,3]",0,"",0,0,[],[],1161,1161,"","","",1,11,1
139,3,52,16914,[15],[6],0,"",7,[],0,"",0,0,[],"","","",[149],2,"[0,2,3]",1,"",0,0,[],[],1161,1161,"","","",1,11,1
140,3,53,16915,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[150],3,"[0,2,3]",1,"",0,0,[],[],1161,1161,"","","",1,11,1
141,3,54,16916,[2],[4],0,"",7,[],0,"",0,0,[],"","","",[151],4,"[0,2,3]",1,"",0,0,[],[],1161,1161,"","","",1,11,1
142,3,55,16910,[15],[3],0,"",7,[],0,"",0,0,[],"","","",[],1,"[6,7,8,5,4,9,10,13,11]",0,"",0,0,[],[],1161,1161,"","","",1,11,1
143,3,56,16911,[15],[6],0,"",7,[],0,"",0,0,[],"","","",[149],2,"[6,7,8,5,4,9,10,13,11]",1,"",0,0,[],[],1161,1161,"","","",1,11,1
144,3,57,16912,[2],[2],0,"",7,[],0,"",0,0,[],"","","",[150],3,"[6,7,8,5,4,9,10,13,11]",1,"",0,0,[],[],1161,1161,"","","",1,11,1
145,3,58,16921,[11],[6],0,"",7,[],0,"",0,0,[],"","","",[156],1,"[0,1,2,3,9,10,4]",1,"",0,0,[],[],1161,1161,"","","",2,105,1
146,3,59,16922,[6],[2],0,"",7,[],0,"",0,0,[],"","","",[157],2,"[0,1,2,3,9,10,4]",1,"",0,0,[],[],1161,1161,"","","",2,105,1
147,3,60,16923,[11],[4],0,"",7,[],0,"",0,0,[],"","","",[158],1,"[0,1,2,3]",1,"",0,0,[],[],1161,1161,"","","",1,203,1
148,3,61,16924,[11],[8],0,"",7,[],0,"",0,0,[],"","","",[159],2,"[0,1,2,3]",1,"",0,0,[],[],1161,1161,"","","",1,203,1
149,3,62,16925,[2],[4],0,"",7,[],0,"",0,0,[],"","","",[160],3,"[0,1,2,3]",1,"",0,0,[],[],1161,1161,"","","",1,203,1
