"rownum","Id","Monster","Tier","Description","[rid]","i32","[i32]","[i32]","i32","SeedAnimation","i32","HatchAnimation","SeedType"
10,"BeastT3Red",7846,3,"Allows you to <white>{sacrifice} a <white>{Map} to gain additional Atlas missions when Harvested","[298,299,300,301,302,303]",1,"[110,150,175]",[7119],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
11,"HellionT3Red",7848,3,"Allows you to <white>{sacrifice} a <white>{Weapon or Armour} to create Jewellery or Jewels when Harvested","[294,295,296,297]",1,"[110,150,175]",[7120],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",47,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
12,"BirddogT3Red",7850,3,"Allows you to <white>{Sacrifice} a <white>{Map} to create items for the Atlas when Harvested","[283,284,285,286,287,288,289,290]",1,"[110,150,175]",[7121],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
13,"BrambleHulkT3Red",7852,3,"<white>{Reveals} a random <enchanted>{Weapon Enchantment} that replaces Quality's effect when Harvested","[179,180,181,182,183,184]",1,"[110,150,175]",[7122],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
14,"InsectSpawnerT3Red",7854,3,"Causes other seeds to offer an <white>{additional crafting outcome}.",[],1,"[110,150,175]",[7123],1,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
15,"BearBoss",7919,4,"<white>{Reveal} a random crafting effect that <white>{locks a random modifier} on an item when Harvested","[291,292,293]",1,"[110,280,375]",[],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_hatch.ao",1
16,"MeleeSpiderT1Green",7857,1,"<white>{Reveals} a random <craftingattack>{Attack} modifier crafting effect when Harvested","[108,109,110,111,112,113,114,115,116,117,118]",1,"[130,140,150]",[7025],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
17,"WetaT1Green",7859,1,"<white>{Reveals} a random <craftinglife>{Life} modifier crafting effect when Harvested","[130,131,132,133,134,135,136,137,138,139,140]",2,"[130,140,150]",[7026],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
18,"ParasiteT1Green",7862,1,"<white>{Reveals} a random <white>{Socket number} crafting effect when Harvested","[104,105,106,107]",2,"[130,140,150]",[7027],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
19,"ScorpionT1Green",7864,1,"<white>{Reveals} a random <craftingcold>{Cold} modifier crafting effect when Harvested","[119,120,121,122,123,124,125,126,127,128,129]",1,"[130,140,150]",[7028],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
20,"ThornSpiderT1Green",7866,1,"<white>{Reveals} a random <craftingspeed>{Speed} modifier crafting effect when Harvested","[62,63,64,65,66,67,68,69,70,71,72]",1,"[130,140,150]",[7029],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
21,"SabreSpiderT2Green",7868,2,"<white>{Reveals} a random <white>{Gem} crafting effect when Harvested","[242,243,244,245,246,247,248,249,250,251]",1,"[130,140,150]",[7060],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
22,"HuhuGrubT2Green",7870,2,"Allows you to <white>{change} a <white>{Map} into other Maps when Harvested","[153,154,155]",2,"[130,140,150]",[7061],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
23,"ParasiteT2Green",7872,2,"Allows you to <white>{add} an <white>{Implicit modifier} to certain Jewel types when Harvested","[201,202,203]",2,"[130,140,150]",[7062],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
24,"ScorpionT2Green",7874,2,"<white>{Reveals} a random <enchanted>{Flask Enchantment} that depletes as it is used when Harvested","[149,150,151,152]",1,"[130,140,150]",[7063],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
25,"PlagueSpiderT2Green",7876,2,"<white>{Reveals} a random <enchanted>{Map Enchantment} when Harvested","[156,157,158,159]",1,"[130,140,150]",[7064],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
26,"BlackstriderT3Green",7879,3,"<white>{Reveals} a <white>{currency} item exchange, trading ten of a certain type of <white>{currency} for other <white>{currency} items when Harvested","[255,256,257,258,259,260,261,262,263,264,265,266,267,268]",1,"[130,140,150]",[7124],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
27,"SquidT3Green",7881,3,"Allows you to <white>{enhance} specialised <white>{Currency} a certain way when Harvested","[73,74,75,76]",1,"[130,140,150]",[7125],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
28,"VultureParasiteT3Green",7883,3,"Allows you to <white>{modify} a <white>{Scarab} a certain way when Harvested","[91,92,93]",1,"[130,140,150]",[7126],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
29,"PlatedScorpionT3Green",7886,3,"Allows you to <white>{upgrade} an <white>{Offering to the Goddess} when Harvested","[309,310,311]",1,"[130,140,150]",[7127],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
30,"DevourerT3Green",7888,3,"<white>{Adds} 10 random Wild and Primal harvest outcomes.",[],1,"[130,140,150]",[7128],2,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
31,"CatBoss",7928,4,"Allows you to give an item a <white>{Synthesised implicit modifier} when Harvested",[204],1,"[130,260,300]",[],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/boss/scale_boss_03.ao",100,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/boss/scale_boss_hatch.ao",2
32,"RhoaT1Blue",7889,1,"<white>{Reveals} a random <craftingdefences>{Defence} modifier crafting effect when Harvested","[209,210,211,212,213,214,215,216,217,218,219]",1,"[130,150,220]",[7030],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
33,"SandspitterT1Blue",7891,1,"<white>{Reveals} a random <craftinglightning>{Lightning} modifier crafting effect when Harvested","[220,221,222,223,224,225,226,227,228,229,230]",2,"[130,150,220]",[7031],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
34,"RegurgitatorT1Blue",7893,1,"<white>{Reveals} a random <white>{Socket link} crafting effect when Harvested","[205,206,207,208]",1,"[130,150,220]",[7032],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
35,"FrogT1Blue",7896,1,"<white>{Reveals} a random <craftingchaos>{Chaos} modifier crafting effect when Harvested","[231,232,233,234,235,236,237,238,239,240,241]",1,"[130,150,220]",[7033],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
36,"AntT1Blue",7898,1,"<white>{Reveals} a random <unique>{Unique} Item transformation effect when Harvested","[44,45,46,47,48,49,50,51]",2,"[130,150,220]",[7034],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
37,"RhexT2Blue",7900,2,"Allows you to <white>{sacrifice Divination Cards} to create Divination Cards when Harvested","[252,253,254]",2,"[130,150,220]",[7065],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
38,"ShieldcrabT2Blue",7902,2,"Allows you to <white>{exchange} certain <white>{Map Fragments} for another of the same type when Harvested","[195,196,197]",1,"[130,150,220]",[7066],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
39,"DevourerSnakeT2Blue",7904,2,"<white>{Reveals} a random <craftingcrit>{Critical} modifier crafting effect when Harvested","[160,161,162,163,164,165,166,167,168,169,170]",1,"[130,150,220]",[7067],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",66,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
40,"IguanaT2Blue",7905,2,"<white>{Reveals} a random crafting effect that <white>{upgrades} a Normal or Magic item's Rarity when Harvested","[77,78,79,80,81,82,83,84]",1,"[130,150,220]",[7068],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
41,"SandLeaperT2Blue",7907,2,"Allows you to <white>{modify} an item, resulting in <white>{Lucky} modifier values when Harvested","[85,86,89,90,87,88]",2,"[130,150,220]",[7069],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
42,"RhexT3Blue",7909,3,"Allows you to <white>{exchange Pale Court Keys, Splinters, Breachstones or Emblems} for others of the same type when Harvested","[198,199,200]",1,"[130,150,220]",[7129],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
43,"NessaCrabT3Blue",7911,3,"Allows you to <white>{exchange} a <white>{Unique, Bestiary or Harbinger} item for a related item when Harvested","[193,194]",1,"[130,150,220]",[7130],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",82,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
44,"KitavaDemonT3Blue",7913,3,"Allows you to <white>{randomise} the <white>{Atlas Influence} types on an Influenced item when Harvested","[94,95,96]",1,"[130,150,220]",[7131],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",82,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
45,"GoatmanT3Blue",7915,3,"<white>{Reveals} a random <enchanted>{Body Armour Enchantment} that replaces Quality's effect when Harvested","[185,186,187,188,189,190,191,192]",1,"[130,150,220]",[7132],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
46,"LanternMinerT3Blue",7917,3,"Causes other seeds to offer a <white>{Lucky crafting outcome}.",[],1,"[130,150,220]",[7133],0,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
47,"BirdBoss",7930,4,"<white>{Reveals} a random crafting effect for Influenced items when Harvested","[97,98,99,100,101,102,103]",1,"[130,260,300]",[],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/boss/bulb_boss_03.ao",80,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/boss/bulb_boss_hatch.ao",3
