"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]"
64,"Metadata/Pet/Chicken/Chicken",3591,56633,-52944415,8,"","",[1]
65,"Metadata/Pet/WildTurkey/WildTurkey",3592,35129,-894811245,9,"","",[1]
66,"Metadata/Pet/Hedgehog/Hedgehog",3593,33648,-9012218,8,"","",[1]
67,"Metadata/Pet/Lemur/Lemur",3594,35010,-128290664,8,"","",[1]
68,"Metadata/Pet/PeacockMale/PeacockMale",3595,9926,466304269,10,"","",[1]
69,"Metadata/Pet/PeacockFemale/PeacockFemale",3596,33779,-1989866858,9,"","",[1]
70,"Metadata/Pet/Pukeko/Pukeko",3597,42772,-910397784,8,"","",[1]
71,"Metadata/Pet/RockElemental/RockElemental",3598,4109,264118195,8,"","",[1]
72,"Metadata/Pet/DesertTortoise/DesertTortoise",3599,30319,1227767617,8,"","",[1]
73,"Metadata/Pet/Koala/KoalaBear",3600,1954,-1443058082,9,"","",[1]
74,"Metadata/Pet/Basilisk/LargeInfernal",3601,41489,1345778215,10,"","",[1]
75,"Metadata/Pet/BabyElephant/BabyElephant",3602,59563,-587385770,10,"","",[1]
76,"Metadata/Pet/Wallaby/Wallaby",3603,49218,1542167465,9,"","",[1]
77,"Metadata/Pet/Merveil/Merveil",3604,13339,-1648186919,8,"","",[2]
78,"Metadata/Pet/Lynx/FrostLynx/FrostLynx",3605,11282,-2006539148,9,"","",[1]
79,"Metadata/Pet/Centipede/Centipede",3606,44298,571772702,8,"","",[1]
80,"Metadata/Pet/Parasite/Parasite",3607,33592,-1166395070,8,"","",[1]
81,"Metadata/Pet/Wolf/Wolf",3608,4978,1417889777,10,"","",[1]
82,"Metadata/Pet/GargoyleStone/GargoyleStone",3609,12813,-59322757,8,"","",[1]
83,"Metadata/Pet/GargoyleBronze/GargoyleBronze",3610,23066,1034053560,9,"","",[1]
84,"Metadata/Pet/GargoyleGold/GargoyleGold",3611,55450,644677366,11,"","",[1]
85,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthine",3612,62877,-1416602099,12,1,"",[1]
86,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremium",3613,18325,-1646011786,12,"",1,[1]
87,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremiumExpired",3614,16648,144263569,12,1,"",[1]
88,"Metadata/Pet/BladeSentry/BladeSentry",3615,57610,-1987090299,9,"","",[1]
89,"Metadata/Pet/WhiteTiger/WhiteTiger",3616,9254,-74981471,11,"","",[1]
90,"Metadata/Pet/Parrot/BrazilianParrot",3617,11327,1611287605,8,"","",[1]
91,"Metadata/Pet/MonkeyNavali/MonkeyNavaliPet",3618,38441,-1622668959,8,"","",[1]
92,"Metadata/Pet/Rabbit/Rabbit",3620,18298,1273957525,8,"","",[1]
93,"Metadata/Pet/Beetle/Beetle",3619,62953,740153844,8,"","",[1]
94,"Metadata/Pet/HeiTiki/Spawner",3621,1422,2132179608,8,"","",[1]
95,"Metadata/Pet/GraspingHands/Spawner",3622,18807,505370472,8,"","",[1]
96,"Metadata/Pet/GamepediaBook/GamepediaBook",3623,46209,-1774378308,8,"","",[1]
97,"Metadata/Pet/Frog/PurpleCrown",3624,2373,-487986260,8,"","",[1]
98,"Metadata/Pet/FlySwarm/FlySwarmLightning",3625,37899,-2133781286,8,"","",[1]
99,"Metadata/Pet/Tiger/Tiger",3626,42732,1136125275,8,1,"",[1]
100,"Metadata/Pet/Scorpion/acid_upgrade_purple",3627,29213,392127810,8,"",1,[1]
101,"Metadata/Pet/CaneToad/CaneToadGlass/CaneToadGlass",3628,43611,-648711410,8,1,"",[1]
102,"Metadata/Pet/WhiteWolf/WhiteWolf",3629,27891,39284388,10,"","",[1]
103,"Metadata/Pet/Cat/Orange",3630,39785,-944546598,8,"","",[1]
104,"Metadata/Pet/Devourling/Spawner",3631,37136,2035542083,8,"","",[1]
105,"Metadata/Pet/Taotie/Taotie",3632,53912,842260651,8,"","",[1]
106,"Metadata/Pet/TaowuPet/Taowu",3633,44003,249537852,12,"","",[1]
107,"Metadata/Pet/FlySwarm/FlySwarmLight",3634,41426,-1495464177,8,"","",[1]
108,"Metadata/Pet/FlySwarm/FlySwarmDark",3635,15396,-917768849,8,"","",[1]
109,"Metadata/Pet/HarbingerTiger/HarbingerTiger",3636,22446,1606158354,8,"","",[1]
110,"Metadata/Pet/Crow/Crow",3637,15557,1089633335,8,"","",[1]
111,"Metadata/Pet/Dove/Dove",3638,23068,-714240143,8,"","",[1]
112,"Metadata/Pet/PolarBearCub/PolarBearCub",3639,959,769994330,8,1,"",[1]
113,"Metadata/Pet/Frog/Fire",3640,36691,-1409932123,8,"","",[1]
114,"Metadata/Pet/Frog/Ice",3641,51649,1374853171,8,"","",[1]
115,"Metadata/Pet/Hundun/Hundun",3642,39330,-95984667,8,"","",[1]
116,"Metadata/Pet/Cat/Julio",3643,16366,35405298,8,"","",[1]
117,"Metadata/Pet/Qiongqi/Qiongqi",3644,31382,418931310,12,"","",[1]
118,"Metadata/Pet/Tiger/IceTiger",3645,39297,-1567540464,8,"","",[1]
119,"Metadata/Pet/Lion/Fire",3646,46948,-1215889181,8,"","",[1]
120,"Metadata/Pet/Eyeball/Eyeball1",3647,50864,2124331054,8,"","",[1]
121,"Metadata/Pet/Eyeball/Eyeball2",3648,40496,-575847523,8,"","",[1]
122,"Metadata/Pet/Eyeball/Eyeball3",3649,8802,2016893525,8,"","",[1]
123,"Metadata/Pet/Eyeball/Eyeball4",3650,9908,-343880396,8,"","",[1]
124,"Metadata/Pet/Eyeball/Eyeball5",3651,46914,659656723,8,"","",[1]
125,"Metadata/Pet/HellionCub/HellionCub",3652,32804,1176946178,8,"","",[1]
126,"Metadata/Pet/Cat/Celestial",3653,11232,2025345880,8,"","",[1]
127,"Metadata/Pet/CoconutCrab/CoconutCrab",3654,56837,693630802,8,"","",[1]
128,"Metadata/Pet/Harpy/Harpy",3655,12782,-2070104718,8,"","",[1]
129,"Metadata/Pet/SinAndInnocenceSwords/Sin2hSword",3656,51064,-1546623832,8,"","",[1]
130,"Metadata/Pet/SinAndInnocenceSwords/Innocence2hSword",3657,27467,1653082563,8,"","",[1]
131,"Metadata/Pet/SinAndInnocenceSwords/SinInnocence2hSword",3658,788,-1966765615,8,"","",[1]
132,"Metadata/Pet/Cherub/Sin",3659,31710,-619798320,8,"","",[1]
133,"Metadata/Pet/Cherub/Innocence",3660,2666,-834812841,8,"","",[1]
134,"Metadata/Pet/Beast/Beast",3661,61624,-306701056,8,"","",[1]
135,"Metadata/Pet/Goatman/Goatman",3662,18005,1412436581,8,"","",[2]
136,"Metadata/Pet/Monkey/Monkey",3663,16394,-967473569,8,"","",[1]
137,"Metadata/Pet/Raptor/Raptor",3664,33935,-508467906,8,"","",[1]
138,"Metadata/Pet/Tumbleweed/Tumbleweed",3665,22427,-731610113,8,"","",[1]
139,"Metadata/Pet/Copter/Copter",3666,16464,1729046367,8,"","",[1]
140,"Metadata/Pet/Scorpion/Machine",3667,59390,-123396261,8,"","",[1]
141,"Metadata/Pet/Wolpertinger/TrillingWolpertinger",3668,33690,486252385,8,"","",[1]
142,"Metadata/Pet/Wolpertinger/SqueakingWolpertinger",3669,39119,-83270714,8,"","",[1]
143,"Metadata/Pet/Wolpertinger/GruntingWolpertinger",3670,39562,1520549931,8,"","",[1]
144,"Metadata/Pet/Lion/Gold",3671,10237,-1599502508,8,"","",[1]
145,"Metadata/Pet/Raven/BloodGuard",3673,25852,1125853159,8,"","",[1]
146,"Metadata/Pet/Eagle/FaithGuard",3674,4458,-1046818576,8,"","",[1]
147,"Metadata/Pet/Raven/Oriath",3675,4468,26153211,8,"","",[1]
148,"Metadata/Pet/Pigeon/Dark",3677,33552,-1113702770,8,"","",[1]
149,"Metadata/Pet/Pigeon/Light",3676,45470,1738135047,8,"","",[1]
150,"Metadata/Pet/BallTrio/Fire",3678,29403,652760115,8,"","",[1]
151,"Metadata/Pet/BallTrio/Cold",3679,52693,-1181911976,8,"","",[1]
152,"Metadata/Pet/BallTrio/Lightning",3680,43310,-1749008658,8,"","",[1]
153,"Metadata/Pet/Hound/BloodGuard",3672,38041,1258872721,8,"","",[1]
154,"Metadata/Pet/DreadForgeLion/DreadForgeLionPet",3681,59561,-503576235,8,"","",[1]
155,"Metadata/Pet/Canary/Canary",3682,44741,-704939202,8,"","",[1]
156,"Metadata/Pet/GothicHorrorGhostChild/GothicHorrorGhostChild",3683,194,-2004383675,8,"","",[2]
157,"Metadata/Pet/Football/Football",3684,14839,1185185619,8,"","",[1]
158,"Metadata/Pet/Dragon/Dragon",3685,54673,1039853675,15,1,"",[1]
159,"Metadata/Pet/Dragon/DragonPremium",3686,64290,879152964,15,"",1,[1]
160,"Metadata/Pet/Dragon/DragonPremiumExpired",3687,62840,1511829348,15,1,"",[1]
161,"Metadata/Pet/BrineKingMinion/BrineKingMinion",3688,80,1186416359,8,"","",[1]
162,"Metadata/Pet/Taniwha/Taniwha",3689,38520,1373816730,8,"","",[1]
163,"Metadata/Pet/CorsairPet/CorsairPet",3690,53120,590015658,8,"","",[1]
164,"Metadata/Pet/Mystic/Spawner",3691,42154,-938054468,8,"","",[1]
165,"Metadata/Pet/MadcapHare/MadcapHare",3692,8258,-787156650,8,"","",[1]
166,"Metadata/Pet/MadcapToad/MadcapToad",3693,23160,2111973274,8,"","",[1]
167,"Metadata/Pet/Dragonfly/Dragonfly",3694,12676,1222801766,8,"","",[1]
168,"Metadata/Pet/HuntsmanToad/HuntsmanToad",3695,2131,-61082616,8,"","",[1]
169,"Metadata/Pet/SoulstealerPet/SoulstealerPet",3696,60281,-1922472432,8,"","",[1]
170,"Metadata/Pet/DragonWhelp/DragonWhelp",3697,14520,497952022,8,"","",[1]
171,"Metadata/Pet/TwoLeggedGoat/TwoLeggedGoat",3698,30652,-2000945401,8,"","",[1]
172,"Metadata/Pet/IceDragon/IceDragon",3699,63368,130347084,15,1,"",[1]
173,"Metadata/Pet/IceDragon/IceDragonPremium",3700,27478,1247748361,15,"",1,[1]
174,"Metadata/Pet/IceDragon/IceDragonPremiumExpired",3701,33684,777235911,15,1,"",[1]
175,"Metadata/Pet/Viper/Viper",3702,31197,120815342,15,"","",[1]
176,"Metadata/Pet/NineTailedFox/NineTailedFox",3703,35180,533108394,12,1,"",[1]
177,"Metadata/Pet/NineTailedFox/NineTailedFoxPremium",3704,12740,-952502531,12,"",1,[1]
178,"Metadata/Pet/NineTailedFox/NineTailedFoxPremiumExpired",3705,11626,1527543398,12,1,"",[1]
179,"Metadata/Pet/CruciblePet/CruciblePet",3706,36326,-1654583161,8,"","",[1]
180,"Metadata/Pet/CultDarkness/CultDarkness",3707,49679,89311069,8,1,"",[1]
181,"Metadata/Pet/WranglerHawk/WranglerHawk",3708,58024,-1405071640,12,"","",[1]
182,"Metadata/Pet/WranglerScorpion/WranglerScorpion",3709,59262,542164782,8,"","",[1]
183,"Metadata/Pet/WildPanther/WildPanther",3710,23886,575635201,8,"","",[1]
184,"Metadata/Pet/WildScorpion/WildScorpion",3711,1722,1975481093,8,"","",[1]
185,"Metadata/Pet/Plated/Plated",3712,8952,864162170,8,"","",[1]
186,"Metadata/Pet/WaterElemental/WaterElemental",3713,13003,-898107204,8,"","",[1]
187,"Metadata/Pet/VanguardOwl/VanguardOwl",3714,6191,-1309234727,8,"","",[1]
188,"Metadata/Pet/CyrWheelMonkey/CyrWheelMonkey",3715,39940,722581269,12,"","",[1]
189,"Metadata/Pet/CircusParakeet/CircusParakeet",3716,61010,918280425,8,"","",[1]
190,"Metadata/Pet/CircusTroll/CircusTroll",3717,31034,-836651237,12,"","",[1]
191,"Metadata/Pet/JugglingPins/Spawner",3718,8765,-579731636,8,"","",[1]
192,"Metadata/Pet/Sentinel/Sentinel",3719,63249,563009183,8,"","",[1]
193,"Metadata/Pet/Chiyou/Chiyou",3720,14700,-315435938,12,1,"",[1]
194,"Metadata/Pet/Chiyou/ChiyouPremium",3721,56810,-244437884,12,"",1,[1]
195,"Metadata/Pet/Chiyou/ChiyouPremiumExpired",3722,8102,-2140692543,12,1,"",[1]
196,"Metadata/Pet/HavenwoodDeer/HavenwoodDeer",3723,65022,1004586526,10,"","",[1]
197,"Metadata/Pet/DemonicMoth/DemonicMoth",3724,52671,-1791993713,8,"","",[1]
198,"Metadata/Pet/DemonicArcticReindeer/DemonicArcticReindeer",3725,17187,1018134412,8,"","",[1]
199,"Metadata/Pet/Cat/Halloween",3726,33316,-1614996071,8,"","",[1]
200,"Metadata/Pet/BlackDragon/BlackDragon",3727,32429,-1729960369,15,1,"",[1]
201,"Metadata/Pet/BlackDragon/BlackDragonPremium",3728,3333,-1180191582,15,"",1,[1]
202,"Metadata/Pet/BlackDragon/BlackDragonPremiumExpired_",3729,6130,664285290,15,1,"",[1]
203,"Metadata/Pet/WhiteDragon/WhiteDragon",3730,18483,-1735208799,15,1,"",[1]
204,"Metadata/Pet/WhiteDragon/WhiteDragonPremium",3731,2820,1203915974,15,"",1,[1]
205,"Metadata/Pet/WhiteDragon/WhiteDragonPremiumExpired",3732,607,-162532336,15,1,"",[1]
206,"Metadata/Pet/BlackWhiteDragon/BlackWhiteDragon",3733,24464,1225987715,15,"","",[1]
207,"Metadata/Pet/BlackWhiteDragon/BlackWhiteDragonPremium",3734,854,-1810786489,15,"",1,[1]
208,"Metadata/Pet/BlackWhiteDragon/BlackWhiteDragonPremiumExpired",3735,64454,1270526076,15,"","",[1]
209,"Metadata/Pet/Rat_White/Rat_White",3736,28161,-1596010785,8,"","",[1]
210,"Metadata/Pet/Cat/EmpyreanCat",3738,60665,-133622544,8,1,"",[1]
211,"Metadata/Pet/CultDarkness/SunprismCatPremium/SunprismCatPremium",3739,14105,-182074820,8,"",1,[1]
212,"Metadata/Pet/CultDarkness/SunprismCatPremium/SunprismCatPremiumExpired",3740,46109,334407667,8,1,"",[1]
213,"Metadata/Pet/EyrieFalcon/EyrieFalcon",3737,15166,-1562076710,8,"","",[1]
214,"Metadata/Pet/ElderDarkseer/ElderDarkseer",3741,41100,419215472,8,"","",[1]
215,"Metadata/Pet/ScientistLabRat/ScientistLabRat",3742,36647,-445552042,8,"","",[1]
216,"Metadata/Pet/ThaumaturgyDogs/ThaumaturgyScientistPet",3743,45132,-1645335134,8,"","",[1]
217,"Metadata/Pet/ThaumaturgDarkAdvisor/ThaumaturgDarkAdvisor",3744,9065,-112731602,8,"","",[2]
218,"Metadata/Pet/ThaumaturgyDogs/ThaumaturgyProjectPet",3745,17946,-184175841,8,"","",[1]
219,"Metadata/Pet/ClockworkFireGolem/ClockworkFireGolem",3746,20736,858743343,8,"","",[1]
220,"Metadata/Pet/ClockworkLightningGolem/ClockworkLightningGolem",3747,23154,104684623,8,"","",[1]
221,"Metadata/Pet/ClockworkIceGolem/ClockworkIceGolem",3748,60425,-1919393391,8,"","",[1]
222,"Metadata/Pet/ClockworkStoneGolem/ClockworkStoneGolem",3749,36765,-1226819203,8,"","",[1]
223,"Metadata/Pet/ClockworkChaosGolem/ClockworkChaosGolem",3750,62779,-168165183,8,"","",[1]
224,"Metadata/Pet/AfterlifeCat/AfterlifeCat",3751,29035,-648894407,8,"","",[1]
225,"Metadata/Pet/VoidSmall/VoidSmall",3752,27735,-2013664338,8,"","",[1]
226,"Metadata/Pet/VoidLarge/VoidLarge",3753,29192,97679322,8,"","",[1]
227,"Metadata/Pet/UltimateChaosTiger/UltimateChaosTiger",3754,8688,2131189495,8,"","",[1]
228,"Metadata/Pet/PandemoniumPegasus/PandemoniumPegasus",3755,19875,-563506230,10,"","",[1]
229,"Metadata/Pet/Butterfly/Angelic/Angelic_Moth",3756,46192,-967347673,8,"","",[1]
230,"Metadata/Pet/StygianSteed/HellSteedPet",3757,7136,1856533832,10,"","",[1]
231,"Metadata/Pet/PandemoniumSpider/PandemoniumSpider",3758,48929,225292876,8,"","",[1]
232,"Metadata/Pet/GlimmerwoodBeetle/GlimmerwoodBeetle",3759,50002,140167944,8,"","",[1]
233,"Metadata/Pet/NecroticTiger/NecroticTiger",3760,55804,694415519,8,"","",[1]
234,"Metadata/Pet/StygianSteed/StygianSteedPet",3761,29616,-890128063,11,"","",[1]
235,"Metadata/Pet/TencentGirl/TencentGirl01",3762,33296,-1124516119,10,1,"",[2]
236,"Metadata/Pet/TencentGirl/TencentGirl02",3763,8933,-48504834,10,"",1,[2]
237,"Metadata/Pet/TencentGirl/TencentGirl03",3764,21916,-677871100,10,1,"",[2]
238,"Metadata/Pet/BabyElephant/celestial/Celestial_BabyElephant",3765,31950,1730485227,10,"","",[1]
239,"Metadata/Pet/Corgi/Corgi",3766,59392,1854113411,8,"","",[1]
240,"Metadata/Pet/PomeranianDog/PomeranianDog",3767,41185,-232041782,8,"","",[1]
241,"Metadata/Pet/ThaumaturgyDogs/LabradorPet",3768,8889,-486293062,8,"","",[1]
242,"Metadata/Pet/Cat/TabbyCatPet",3769,28176,1406221761,8,"","",[1]
243,"Metadata/Pet/Cat/AmberCatPet",3770,2561,904478696,8,"","",[1]
244,"Metadata/Pet/Cat/CinnamonCatPet",3771,6729,-2110744455,8,"","",[1]
245,"Metadata/Pet/GoddessPet/GoddessPet",3772,5244,1273520020,8,1,"",[1]
246,"Metadata/Pet/GoddessPet/GoddessPetPremium",3773,45927,151108198,12,"",1,[1]
247,"Metadata/Pet/GoddessPet/GoddessPetPremiumExpired",3774,29780,-2027490446,12,1,"",[1]
248,"Metadata/Pet/Cat/HeistCalicoCatPet",3775,25867,1227500577,8,"","",[1]
249,"Metadata/Pet/Twilight_SunriseOrreyPet/SunriseOrreryPet",3776,51775,-474207869,8,"","",[1]
250,"Metadata/Pet/Wolf/SunriseWolf",3777,975,2037938871,10,"","",[1]
251,"Metadata/Pet/Twilight_NightfallCloud/NightfallCloud",3778,64490,-65730561,8,"","",[1]
252,"Metadata/Pet/Dragon/TwilightNightfallDragon",3779,60826,-938596972,15,1,"",[1]
253,"Metadata/Pet/Dragon/TwilightNightfallDragonPremium",3780,35405,-1577702469,15,"",1,[1]
254,"Metadata/Pet/Dragon/TwilightNightfallDragonPremiumExpired",3781,60414,1989254511,15,1,"",[1]
255,"Metadata/Pet/Duck/Mallard",3782,5615,-282002721,8,"","",[1]
256,"Metadata/Pet/Duck/ParadiseMale",3783,40886,-641120641,8,"","",[1]
257,"Metadata/Pet/Duck/ParadiseFemale",3784,64300,1633983048,8,"","",[1]
258,"Metadata/Pet/DancingSkeleton/DancingSkeleton",3785,41078,-125937656,8,"","",[2]
259,"Metadata/Pet/SurvivorHound/SurvivorHound",3786,28731,1436296615,8,"","",[1]
260,"Metadata/Pet/FreyaCompanion/Freya",3787,29408,384787471,10,1,"",[2]
261,"Metadata/Pet/FreyaCompanion/FreyaPremium",3788,49503,222415902,10,"",1,[2]
262,"Metadata/Pet/FreyaCompanion/FreyaPremiumExpired",3789,50810,516085944,10,1,"",[2]
263,"Metadata/Pet/FreyaCompanion/FreyaSummerPremium",3790,42690,1464725903,10,"",1,[2]
264,"Metadata/Pet/FreyaCompanion/FreyaSummerPremiumExpired",3791,1000,1806592070,10,1,"",[2]
265,"Metadata/Pet/ArcticFoxPet/ArcticFoxPet",3792,33967,-1453707787,8,"","",[1]
266,"Metadata/Pet/MiserySmall/MiserySmall",3793,31497,467099870,8,"","",[1]
267,"Metadata/Pet/GothicHorrorGhostChild/misery/MiseryHorrorGhostChild",3794,64634,1486464227,8,"","",[1]
268,"Metadata/Pet/Cockroach/CockroachWarlord",3795,59717,453308993,8,"","",[1]
269,"Metadata/Pet/SufferingSpiritPet/SufferingSpiritPet",3796,62568,1654167280,10,"","",[2]
270,"Metadata/Pet/Rabbit/TintOrangeRabbit",3797,1149,378409715,8,"","",[1]
271,"Metadata/Pet/Rabbit/BlackWhiteRabbit",3798,7044,330041384,8,"","",[1]
272,"Metadata/Pet/Rabbit/WoolyWhiteRabbit",3799,40686,890022882,8,"","",[1]
273,"Metadata/Pet/RenegadeImp/RenegadeImp",3800,63003,-1799134504,8,"","",[1]
274,"Metadata/Pet/GraspingHands/BreachSpawner",3801,49520,846852873,8,"","",[1]
275,"Metadata/Pet/Cherub/AbyssCherub/AbyssCherub",3802,18032,-1743724960,8,"","",[1]
276,"Metadata/Pet/TwilightHorsePet/TwilightSteedPet",3803,44417,-884709691,12,1,"",[1]
277,"Metadata/Pet/TwilightHorsePet/TwilightPegasus",3804,47043,-449555721,14,"",1,[1]
278,"Metadata/Pet/TwilightHorsePet/TwilightPegasusPremiumExpired",3805,52177,1174769108,14,1,"",[1]
279,"Metadata/Pet/VaalToucan/VaalToucan",3806,47609,589404888,8,"","",[1]
280,"Metadata/Pet/LightBringerCat/LightbringerCat",3807,48123,-1828771580,8,"","",[1]
281,"Metadata/Pet/GryffonPets/LightBringerGryffon",3808,30924,-1233662277,10,"","",[1]
282,"Metadata/Pet/DarkShardFalcon/DarkShardFalcon",3809,41330,-1586429949,8,"","",[1]
283,"Metadata/Pet/GryffonPets/DarkShardGryffon",3810,44614,852204685,10,"","",[1]
284,"Metadata/Pet/Hasina/Hasina01",3811,48515,-1825821009,10,1,"",[2]
285,"Metadata/Pet/Hasina/Hasina02",3812,58687,1343468844,10,"",1,[2]
286,"Metadata/Pet/Hasina/Hasina03",3813,50215,247843554,10,1,"",[2]
287,"Metadata/Pet/ThaumaturgyDachshund/ThaumaturgyDachshund",3814,60005,388562253,8,"","",[1]
288,"Metadata/Pet/Cat/SoulkeeperCat",3815,16179,1306096362,8,"","",[1]
289,"Metadata/Pet/ScavengerBat/ScavengerBat",3816,64801,-1236710552,8,"","",[1]
290,"Metadata/Pet/ScavengerLargeRat/ScavengerLargeRat",3817,16929,1947809336,8,"","",[1]
291,"Metadata/Pet/OverseerSmallPet/OverseerSmallPet",3818,21479,-1076564941,8,"","",[1]
292,"Metadata/Pet/OverseerLargeOwl/OverseerLargeOwl",3819,39745,2026693517,10,"","",[1]
