"rownum","Area","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
23,23,5,15,0,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
24,24,5,15,0,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
25,25,5,15,0,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
26,26,5,15,0,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
27,27,5,15,35,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
28,28,5,15,35,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
29,29,5,15,40,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
30,30,5,15,100,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
31,31,5,15,30,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
32,32,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
33,33,5,15,35,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
34,34,5,15,50,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
35,35,5,15,35,60,15,30,12,10,10,100,30,1,30,"[50,50,50,1]",10,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
36,36,5,15,0,60,15,30,12,10,10,100,30,1,30,"[50,50,50,1]",7,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
37,37,5,15,40,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
38,38,0,15,0,0,0,0,0,0,0,0,0,0,0,"[50,50,50,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,5,15,0,30,15,14,0,10,10,100,30,2,30,"[50,50,50,1]",0,0,40,20,40,20,20,11,10,0,100,0,0,0,6,0,0,0,36,15,0,0,0,0,0,0,100,0,100
40,40,5,15,35,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
41,41,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
42,42,5,15,35,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
43,43,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
44,44,5,15,10,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
45,45,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,17,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
46,46,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,17,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
47,47,5,15,10,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
48,48,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
49,49,5,15,10,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
50,50,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
51,51,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
52,52,5,15,60,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
53,53,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
54,54,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
55,55,5,15,0,60,15,30,12,10,10,100,30,1,20,"[50,50,50,1]",7,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
56,56,5,15,0,60,15,30,12,10,10,100,30,1,20,"[50,50,50,1]",7,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
57,57,0,15,0,0,0,0,0,0,0,0,0,0,0,"[50,50,50,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,5,15,0,45,15,14,0,10,10,100,30,1,20,"[50,50,50,1]",0,0,60,20,60,20,20,17,10,0,100,0,0,0,10,0,0,0,54,15,0,0,0,0,0,0,100,0,100
59,59,5,15,100,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
60,60,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
61,61,5,15,10,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
62,62,5,15,10,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
63,63,5,15,35,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
64,64,5,15,35,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
65,65,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
66,66,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
67,67,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
68,68,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
69,69,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
70,70,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
71,71,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
72,72,0,15,0,0,0,0,0,0,0,0,0,0,0,"[50,50,50,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
74,74,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
75,75,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
76,76,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
77,77,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
78,78,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
79,79,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
80,80,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
81,81,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100
82,82,0,15,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,15,0,100,15,100
84,84,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,15,0,100,15,100
85,85,5,15,0,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,15,0,100,15,100
86,86,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
87,87,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
88,88,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
89,89,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
90,90,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
91,91,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
92,92,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
93,93,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
94,94,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
95,95,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
96,96,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
97,97,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
98,98,5,15,20,60,15,30,12,10,10,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,15,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100
99,99,0,15,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,5,15,35,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
101,101,5,15,35,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
102,102,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
103,103,5,15,0,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
104,104,5,15,0,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
105,105,5,15,0,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
106,106,5,15,0,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
107,107,5,15,0,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
108,108,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
109,109,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
110,110,5,15,50,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
111,111,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
112,112,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
113,113,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
114,114,5,15,40,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
115,115,5,15,0,60,15,30,12,10,11,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,14,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100
116,116,0,15,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,5,15,0,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
118,118,5,15,0,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
119,119,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
120,120,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
121,121,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
122,122,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
123,123,5,15,0,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
124,124,5,15,0,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
125,125,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
126,126,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
127,127,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
128,128,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
129,129,5,15,0,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
130,130,5,15,0,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
131,131,5,15,20,60,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
132,132,5,15,0,45,15,30,12,10,12,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,13,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100
133,133,0,15,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,5,15,20,60,15,30,12,10,13,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,12,0,13,10,0,0,72,15,10,0,0,0,11,0,100,12,100
135,135,5,15,20,60,15,30,12,10,13,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,12,0,13,10,0,0,72,15,10,0,0,0,11,0,100,12,100
136,136,5,15,20,60,15,30,12,10,13,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,12,0,13,10,0,0,72,15,10,0,0,0,11,0,100,12,100
137,137,5,15,20,60,15,30,12,10,13,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,12,0,13,10,0,0,72,15,10,0,0,0,11,0,100,12,100
138,138,5,15,20,60,15,30,12,10,13,100,30,2,30,"[50,50,50,1]",20,10,80,20,80,20,20,23,10,0,100,0,12,0,13,10,0,0,72,15,10,0,0,0,11,0,100,12,100
