"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","i32","i32","[i32]","bool","bool"
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",3092,1,2,[125],1721,4,[],"",""
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",3052,1,2,[129],1722,4,[],"",""
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",3053,1,2,[129],1723,6,[],"",""
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",3054,1,2,[1723],1724,10,[],"",""
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3161,1,2,[43],1726,10,[],"",1
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",3056,1,3,[125],1725,7,[],"",""
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",3057,1,3,[1771],1727,7,[],"",1
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",3055,1,3,[1772],1728,10,[],"",""
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3158,1,2,[1785],1756,25,[],"",1
35,"Prophecies","Metadata/UI/InGameState/TutorialPanel/Prophecies.ui",3058,1,4,[134],1730,15,[287],"",1
36,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",3060,1,3,"[1774,6]",1731,10,[],"",""
37,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",3063,1,10,"[151,1775]",1733,20,[],"",1
38,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",3064,1,5,"[1776,151,825]",1734,90,[],"",1
39,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3777,1,2,[1938],1939,90,[],"",1
40,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",3065,"",3,[151],1735,25,[],"",1
41,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",3066,"",13,[151],1736,43,[200],"",1
42,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",3125,1,7,[938],1738,28,[],"",1
43,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",3068,1,20,[898],1739,45,[],"",1
44,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4291,1,25,[],2024,90,[9],"",1
45,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",4121,1,45,[1963],2604,90,[],"",1
46,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",4001,"",2,[],1940,90,[112],"",1
47,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",3073,1,40,[1176],1744,90,[],"",1
48,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3707,"",60,[1786],1751,90,[],"",1
49,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3827,1,30,[480],1879,90,[],"",1
50,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4810,1,50,[],2146,70,[93],"",1
51,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",3113,1,4,[378],1737,90,[],"",1
52,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",3069,1,15,[],1740,30,[],"",""
53,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",3070,1,15,[],1741,35,[],"",""
54,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",3062,1,12,[],1732,20,[],"",""
55,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",3028,1,7,[],1729,25,[],1,""
56,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",3071,1,15,"[1777,775]",1742,50,[],"",1
57,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",3072,1,10,"[1041,1784]",1743,90,[],"",""
58,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",3074,"",55,[1783],1745,75,[7],"",1
59,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4809,"",60,[],2147,72,[295],"",""
60,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",3075,"",8,[151],2604,8,[],"",1
61,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",3076,"",8,[151],2604,8,[],"",1
62,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",3077,"",20,[],1746,27,[],1,1
63,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",3078,"",60,[151],2604,75,[],"",1
64,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",3079,"",10,[1773],1747,25,[],"",1
65,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",3080,"",20,[1778],1748,40,[],"",1
66,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",3081,"",4,[1779],1749,40,[],"",1
67,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",3082,1,2,[],125,2,[],"",""
68,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",3067,1,2,[],125,2,[],"",""
69,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3153,"",2,[1780],2604,10,[],"",1
70,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3154,"",2,[],2604,10,[],"",1
71,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3155,"",2,[],2604,10,[],"",1
72,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3156,"",2,[],2604,10,[],"",1
73,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3157,"",2,[1782],2604,10,[],"",1
74,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3159,"",2,[],2604,10,[],"",1
75,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3160,"",2,[],2604,10,[],"",1
76,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3778,"",2,[],2604,10,[],"",1
77,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3162,"",0,[],2604,100,[],"",1
78,"HidePopups","",54,"",0,[],714,100,[],"",""
