"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool"
42,42,494,20,"",0,1,1,"","",0,15,0,"",4,"",""
43,43,495,20,"",0,"","","","",0,15,0,"",4,"",""
44,44,496,20,791,0,"","","","",0,15,0,"",4,"",""
45,45,524,31,2383,0,"","","","",0,15,0,"",4,"",""
46,46,494,40,"",0,1,1,"","",0,15,0,"",4,"",""
47,47,503,20,1743,0,1,"","","",0,15,0,"",4,"",""
48,48,509,20,"",50,"","","","",0,15,0,"",4,"",""
49,49,516,20,"",0,"",1,"","",0,15,0,"",4,"",""
50,50,520,20,2377,0,"","","","",0,15,0,"",4,"",""
51,51,521,20,2379,0,"","","","",0,15,0,"",4,"",""
52,52,522,20,2378,0,"","","","",0,15,0,"",4,"",""
53,53,525,31,2412,0,"","","","",0,15,0,"",4,"",""
54,54,526,31,2413,0,"","","","",0,15,0,"",4,"",""
55,55,543,40,2433,0,"","","","",0,15,50,"",4,"",""
56,56,545,20,"",0,"","","","",0,15,0,"",4,"",""
57,57,546,20,"",50,"","","","",0,15,0,"",4,"",""
58,58,548,31,2443,0,"","","","",0,15,0,"",4,"",""
59,59,566,20,"",0,"","","","",0,15,0,"",4,"",""
60,60,569,20,"",0,"","","","",0,15,0,"",4,"",""
61,61,576,31,2521,0,"","","","",0,15,0,"",4,"",""
62,62,573,31,"",0,"","","","",0,10,0,"",4,"",""
63,63,589,20,2589,20,1,1,"","",0,8,0,"",2,"",""
64,64,590,20,2581,0,"","","","",0,15,0,"",4,"",""
65,65,600,20,2706,50,"","","","",0,8,0,"",4,"",""
66,66,599,20,"",0,1,"","","",0,10,0,"",4,"",""
67,67,602,20,2632,0,"","","","",0,15,0,"",4,"",""
68,68,604,20,2633,25,"","","","",0,15,0,"",4,"",""
69,69,610,26,"",0,"","","","",0,0,0,"",4,"",""
70,70,637,24,2772,0,"","","","",0,15,0,"",4,"",""
71,71,644,24,2772,25,"","","","",0,15,0,"",4,"",""
72,72,648,20,2801,0,1,"","","",0,15,0,"",4,"",""
73,73,649,20,"",0,"","","","",0,15,0,"",4,"",""
74,74,650,24,2820,0,"","","","",0,15,0,"",4,"",""
75,75,651,24,2821,0,"","","","",0,15,0,"",4,"",""
76,76,655,20,2839,0,"","","","",0,11,0,"",4,"",""
77,77,659,20,2916,0,"","","","",0,15,0,"",4,"",""
78,78,550,31,2940,0,"","","","",0,15,0,"",4,"",""
79,79,671,20,"",0,"","","","",0,15,0,"",4,"",""
80,80,677,20,3124,0,"","","","",0,11,0,"",4,"",""
81,81,573,20,2839,0,"","","","",0,10,0,"",4,"",""
82,82,676,20,3187,25,1,"","","",0,10,0,"",4,"",""
83,83,683,20,3152,0,1,"","","",0,18,0,"",4,"",""
84,84,700,20,3207,0,1,"","","",0,10,0,"",4,"",""
85,85,698,20,"",0,"","","","",0,15,0,"",4,"",""
86,86,716,20,"",0,1,"","","",0,15,0,"",4,"",""
87,87,717,20,"",0,1,"","","",0,15,0,"",4,"",""
88,88,720,20,3283,0,1,"","","",0,15,0,"",4,"",""
89,89,552,31,3020,0,"","","","",0,15,0,"",4,"",""
90,90,404,20,1789,0,"","","","",0,15,0,"",4,"",""
91,91,739,20,3437,25,"","","","",0,10,0,"",4,"",""
92,92,740,20,"",25,"","","","",0,10,0,"",4,"",""
93,93,743,20,2581,0,"","","","",0,10,0,"",4,"",""
94,94,745,20,551,0,1,"","","",0,15,0,"",4,"",""
95,95,755,20,1788,0,"","","","",0,15,0,"",4,"",""
96,96,739,20,3437,25,"","","","",0,10,0,"",4,"",""
97,97,554,31,3480,0,"","","","",0,15,0,"",4,"",""
98,98,89,20,"",0,"","","","",0,15,0,"",4,"",""
99,99,765,20,2581,0,"","","","",0,10,0,"",4,"",""
100,100,766,24,2632,0,"","","","",0,15,0,"",4,"",""
101,101,768,20,3517,0,"","","","",0,9,0,"",4,"",""
102,102,771,26,3529,0,"","","","",0,15,0,"",4,"",""
103,103,277,28,1191,0,"","","","",0,15,0,"",4,"",""
104,104,267,28,1373,0,"","","","",0,8,0,"",4,"",""
105,105,799,20,3599,0,"","","","",0,8,0,"",4,"",""
106,106,805,20,3610,0,"","","","",0,10,0,"",4,"",""
107,107,806,20,3611,20,"","","","",0,8,0,"",4,"",""
108,108,780,28,3583,0,"","","","",0,13,0,"",4,"",""
109,109,817,20,3676,0,"","","","",0,15,0,"",4,"",""
110,110,821,20,3664,0,"","","","",0,15,0,"",4,"",""
111,111,823,20,1454,0,"","","","",0,15,0,"",4,"",""
112,112,825,20,3696,0,"","","","",0,15,0,"",4,"",""
113,113,848,20,3784,0,1,"","","",4,20,0,"",4,"",""
114,114,849,20,3797,0,1,"","","",0,15,0,"",4,"",""
115,115,852,31,3817,0,"","",1,"",0,10,-50,"",4,"",""
116,116,861,20,"",0,1,"","","",0,10,400,"",4,"",""
117,117,860,20,"",10,1,"","","",0,10,0,"",4,"",""
118,118,851,20,3886,0,1,"","","",0,10,-50,"",4,"",""
119,119,862,20,3797,0,1,"","","",0,15,0,"",4,"",""
120,120,859,20,"",0,"","",1,"",0,3,0,1,4,"",""
121,121,863,31,3895,0,"","","","",0,15,0,"",4,"",""
122,122,870,31,3954,0,"","","","",0,15,0,"",4,"",""
123,123,875,31,4032,0,"","","","",0,15,0,"",4,"",""
124,124,877,20,4176,0,1,"","","",0,10,0,"",4,"",""
125,125,878,20,4055,0,"","","","",0,8,0,"",4,"",""
126,126,880,20,"",0,"","","","",0,5,0,"",4,"",""
127,127,881,20,4058,0,"","","","",0,15,0,"",4,"",""
128,128,882,20,4059,0,"","","","",0,8,0,"",4,"",""
129,129,885,20,4086,0,1,"","","",0,15,0,"",4,"",""
130,130,886,20,"",0,"",1,"","",0,5,0,"",4,"",""
131,131,890,20,4157,0,1,1,1,"",0,7,100,1,4,"",""
132,132,891,29,"",0,"","","","",0,15,0,"",4,"",""
133,133,895,20,4359,0,1,"","","",0,15,0,"",3,"",""
134,134,903,20,"",0,"",1,1,"",0,5,0,"",4,"",""
135,135,910,20,"",0,1,1,1,"",0,5,0,"",4,"",""
136,136,911,20,4243,0,1,"","","",0,10,0,"",4,"",""
137,137,900,20,4191,0,"","","","",0,10,0,"",4,"",""
138,138,931,20,3797,0,1,"","","",0,15,0,"",4,"",""
139,139,1034,20,5110,0,"","","","",0,15,0,"",4,"",""
140,140,934,20,3797,0,"","","","",0,15,0,"",4,"",""
141,141,935,20,"",0,"","","","",0,15,0,"",4,"",""
142,142,936,20,"",0,"","","","",0,15,0,"",4,"",""
143,143,937,20,"",0,"","","","",0,15,0,"",4,"",""
144,144,945,31,4506,0,"","","","",0,15,0,"",4,"",""
145,145,948,20,"",0,"","","","",0,1,0,"",4,"",""
146,146,950,20,"",0,"",1,"","",0,5,0,"",4,"",""
147,147,951,20,"",0,"","","","",0,20,0,"",4,"",""
148,148,957,20,"",0,"",1,"","",0,5,0,"",4,"",""
149,149,958,20,"",0,"",1,"","",0,5,0,"",4,"",""
150,150,947,20,4700,0,1,1,"","",0,15,50,"",4,"",""
151,151,961,20,"",0,"",1,"","",0,5,0,"",4,"",""
152,152,968,20,4661,0,"","","","",0,15,300,"",4,"",""
153,153,971,20,"",0,"","","","",0,1,0,"",4,"",""
154,154,975,20,4744,0,"","","","",0,15,0,"",4,"",""
155,155,979,20,"",0,"","","","",0,15,0,"",4,"",""
156,156,986,20,4696,0,"","","","",0,15,0,"",4,"",""
157,157,976,20,4745,0,"","","","",0,15,0,"",4,"",""
158,158,977,20,4746,0,"","","","",0,15,0,"",4,"",""
159,159,978,20,4747,0,"","","","",0,15,0,"",4,"",""
160,160,980,20,"",0,"","","","",0,15,0,"",4,"",""
161,161,981,20,"",0,"","","","",0,15,0,"",4,"",""
162,162,982,20,"",0,"","","","",0,15,0,"",4,"",""
163,163,998,20,4778,0,"","","","",0,15,0,"",4,"",""
164,164,1000,20,4858,0,"","","","",0,10,0,"",4,"",""
165,165,1001,20,4886,0,"","","","",0,11,0,"",4,"",""
166,166,1002,20,4887,0,"","","","",0,12,0,"",4,"",""
167,167,1007,24,4932,0,"","","","",0,26,67,"",4,"",""
168,168,1009,20,4937,0,"","","","",0,10,0,"",4,"",""
169,169,1011,20,4938,0,"","","","",0,10,0,"",4,"",""
170,170,1010,20,4943,0,"","","","",0,10,0,"",4,"",""
171,171,1016,20,451,0,"","","","",0,10,0,"",4,"",""
172,172,1017,20,4970,0,"","","","",0,10,0,"",4,"",""
173,173,1020,31,5009,0,"","","","",0,15,0,"",4,"",""
174,174,1033,20,1361,0,"","","","",0,8,0,"",4,"",""
175,175,1048,24,"",0,1,1,"","",0,15,0,"",4,"",""
176,176,1049,24,"",0,1,1,"","",0,15,0,"",4,"",""
177,177,1060,20,5426,0,1,"","","",0,13,0,"",4,"",""
178,178,1061,20,5427,0,1,"","","",0,13,0,"",4,"",""
179,179,1062,20,5428,0,1,"","","",0,13,0,"",4,"",""
180,180,1065,20,5447,0,1,"","","",0,5,0,"",4,"",""
181,181,678,20,5620,0,"","","","",0,5,0,"",4,"",""
182,182,679,20,"",0,"","","","",0,5,0,"",4,"",""
183,183,904,20,"",0,"",1,1,"",0,3,0,"",4,"",""
184,184,905,20,"",0,"",1,1,"",0,3,0,"",4,"",""
185,185,906,20,"",0,"",1,1,"",0,3,0,"",4,"",""
186,186,907,20,"",0,"",1,1,"",0,3,0,"",4,"",""
187,187,908,20,"",0,"",1,1,"",0,3,0,"",4,"",""
188,188,1102,20,"",0,"",1,"","",0,5,0,"",4,"",""
189,189,1120,20,"",0,1,1,1,"",0,6,0,1,4,"",""
190,190,1132,20,5969,10,"","","","",0,7,0,"",4,"",""
191,191,1133,20,5970,10,"","","","",0,11,0,"",4,"",""
192,192,1134,20,5971,10,"","","","",0,23,0,"",4,"",""
193,193,1136,20,5981,0,1,"","","",0,10,0,"",4,"",""
194,194,1137,20,5982,0,1,"","","",0,12,0,"",4,1,""
195,195,1145,20,6099,10,"","","","",0,11,0,"",4,"",""
196,196,1135,20,"",0,"","","","",0,7,0,"",4,"",""
