"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool","rid"
10,"poison","You take chaos damage","","","Poisoned",[8085],1,1,1,"","",1,19,11,"",1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[8085],[14595],256,"",""
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3092,2566,3058,1352,12824,3112]",1,2,"","","",1,19,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","","",4,"","",0,[],"","","","",[454],[],"[70,3092,2566,3058,1352,12824,3112,454]",[],0,"",""
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[880,25,879,1903]",1,2,"","","",1,19,15,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[880,25,879,1903]",[],0,"",""
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1977],"",3,"","","","",19,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,1,"",0,[],"","","","",[],[],[1977],[],0,"",""
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[880,25,879,1903]",1,2,"","","",1,19,24,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[880,25,879,1903]",[],0,"",""
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1977],"",3,"","","","",19,25,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[880,25,2533]",1,2,"","","",1,19,16,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[880,25,2533]",[],0,"",""
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1977],"",3,"","","","",19,20,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
18,"invisible_fire_aura","",1,"","","[4941,4941,4941]",1,3,"","","","",19,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","","",4,"","",0,[],"","","","",[],[],"[4941,4941,4941]",[],0,"",""
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1977],"",3,"","","","",19,30,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1977],"",3,"","","","",19,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1977],"",3,"","","","",19,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[354],"",3,"","","","",19,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[354],[],0,"",""
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1981],"",3,"","","","",19,27,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1981],[],0,"",""
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1979],"",3,"","","","",19,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1979],[],0,"",""
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[453],"",3,"","","","",19,697,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[453],[],0,"",""
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[482,447]",1,3,"","","",1,19,36,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[482,447]",[],0,"",""
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2653,5,1,19,38,1,"",3,"",1,1,"",0,"","","","","",8466,"",4,"","",0,[],"","","","",[],[],[],[],0,"",""
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2652,4,1,19,39,1,"",3,"",1,1,"",0,"","","","","",8464,"",4,"","",0,[],"","","","",[],[],[],[],0,"",""
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2654,6,1,19,40,1,"",3,"",1,1,"",0,"","","","","",8468,"",4,"","",0,[],"","","","",[],[],[],[],0,"",""
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7274,6542,"",19,41,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7336,7335,1,19,42,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7356,7355,1,19,43,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9140,9141,1,19,44,1,"",3,"",1,1,"",0,"","DivineCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9702,9703,1,19,1070,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9801,9802,1,19,1078,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",19,46,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,26]",[],0,"",""
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1413,2866]",1,1,"","","","",19,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1413,2866]",[],256,"",""
38,"life_leech","You are leeching Life",1,"","Life Leech","[1412,2865]",1,1,"","","","",19,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1412,2865]",[],256,"",""
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1414,2867]",1,1,"","","","",19,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1414,2867]",[],256,"",""
40,"players_increased","More players are in the game.",1,"","Players Increased","[1939,370,3280]","",2,"","","",1,19,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1939,370,3280]",[],0,"",""
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",19,0,1,"",4,"",1,"",1,0,"","","","","","","",4,"","",0,[],"","","","",[],[],[117],[],0,"",""
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",19,49,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[120],[],0,"",""
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[134],[],0,"",""
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",19,47,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[177],[],0,"",""
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[221],[],0,"",""
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[141],[],0,"",""
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3092],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3092],[],0,"",""
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3093],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3093],[],0,"",""
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[721],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[721],[],0,"",""
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[110],[],0,"",""
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[398],1,3,"","","","",19,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[398],[],0,"",""
52,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",19,379,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4928],[],[],0,"",""
53,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",19,381,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4927],[],[],0,"",""
54,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",19,377,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4926],[],[],0,"",""
55,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",19,379,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4928],[],[],0,"",""
56,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",19,380,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4929],[],[],0,"",""
57,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",19,378,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[2641],[],[],0,"",""
58,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",19,382,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[14132],[],[],0,"",""
59,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",19,48,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[745],[],[],0,"",""
60,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",19,50,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
61,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[1999],"",3,"","","",1,19,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1999],[],0,"",""
62,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[453],1,1,"","","",1,19,51,1,"",2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[453],[],0,"",""
63,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,314,635,5830]",1,2,"","","","",19,52,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[177,314,635,5830]",[],0,"",""
64,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,19,54,1,"",15,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
65,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,19,55,1,"",15,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
66,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,529,528,1,19,59,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
67,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3243,9148,532]","",6,"","","",1,19,60,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[12473],"[3243,9148,532]",[719],0,"",""
68,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[141,621]","",6,"","","",1,19,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[141,621]",[719],0,"",""
69,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[144,536,207]","",6,"","","",1,19,63,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[144,536,207]",[719],0,"",""
70,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[146,535,206]","",6,"","","",1,19,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[146,535,206]",[719],0,"",""
71,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[148,533,205]","",6,"","","",1,19,66,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[148,533,205]",[719],0,"",""
72,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12408,12410,9754,9755,544,12614,477]","",6,"","","",1,19,68,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12408,12410,9754,9755,544,12614,477]",[719],0,"",""
73,"curse_punishment","","","","",[540],"",6,"","","",1,19,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],[540],[719],0,"",""
74,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,648,9149]","",6,"","","",1,19,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[84,648,9149]",[719],0,"",""
75,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12415,9061,2437,2438,539,12613,477]","",6,"","","",1,19,72,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12415,9061,2437,2438,539,12613,477]",[719],0,"",""
76,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[12984,730,13002,13003,541]","",6,"","","",1,19,73,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12984,730,13002,13003,541]",[719],0,"",""
77,"curse_vulnerability","You are cursed. You take increased physical damage, ailments damage you faster, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[545,5233,12417,7264]","",6,"","",7846,1,19,74,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[545,5233,12417,7264]","[719,7846]",0,"",""
78,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12411,12412,1035,2435,2436,2434,12615,477]","",6,"","","",1,19,76,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12411,12412,1035,2435,2436,2434,12615,477]",[719],0,"",""
79,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies. Overkill damage from the hit which kills you will be reflected to nearby targets.","","","Punishment","[12418,12419,12420]","",6,"","","",1,19,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[12589],[],"[12418,12419,12420,12589]",[719],0,"",""
80,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,568]",1,2,"","","","",19,80,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[123,133,116,119,30,31,83,568]",[],0,"",""
81,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[564],1,3,"","","","",19,81,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
82,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[565],1,3,"","","","",19,82,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
83,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[564],1,3,"","","","",19,81,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
84,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[565],1,3,"","","","",19,82,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
85,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",19,83,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,"",""
86,"monster_aura_large_physical_damage","Allies Deal Substantial Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",19,84,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,"",""
87,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",19,85,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,216,177]",[],0,"",""
88,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[451],1,3,"","","","",19,86,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[451],[],0,"",""
89,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",19,87,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[141],[],0,"",""
90,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",19,88,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,"",""
91,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",19,89,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,"",""
92,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,554]",1,3,"","","","",19,90,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[84,554]",[],0,"",""
93,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",19,91,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[452],[],0,"",""
94,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[453],1,3,"","","","",19,91,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[453],[],0,"",""
95,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2566],1,3,"","","","",19,353,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[2566],[],0,"",""
96,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1981],1,3,"","","","",19,269,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1981],[],0,"",""
97,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[486],1,3,"","","","",19,93,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[486],[],0,"",""
98,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",19,94,"","",2,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[452],[],0,"",""
99,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",19,95,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
100,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",19,96,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
101,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",19,97,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,"",""
102,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",19,98,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,"",""
103,"monster_thorns_bloodline","",1,"","Reflection","[564,565]",1,3,"","","","",19,99,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[564,565]",[],0,"",""
104,"monster_thorns_bloodline_large_model","",1,"","Reflection","[564,565]",1,3,"","","","",19,100,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[564,565]",[],0,"",""
105,"dominating_blow_hit_buff","",1,"","",[],1,2,"","","",1,19,102,1,"",2,"","","","",0,"","DominatingBlowDebuff","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,"",""
106,"immortal_call","You are invulnerable to Physical Damage.","",1,"Immortal Call",[716],1,2,"","","","",19,103,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[716],[],0,"",""
107,"vaal_immortal_call","You cannot die. You cannot gain Vaal souls.","",1,"Vaal Immortal Call","[398,7803]",1,2,"","","","",19,103,1,"",1,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[398,7803]",[],0,"",""
108,"mortal_call","You take less Physical and Elemental Damage.","",1,"Immortal Call","[9394,9395,12669,9396,9397]",1,2,"","",9866,"",19,103,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[9394,9395,12669,9396,9397]",[],0,"",""
109,"monty_haul","Drop testing","",1,"Treasure!","[151,153]",1,2,"","","",1,19,104,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[151,153]",[],0,"",""
110,"lightning_shield","","",1,"Tempest Shield",[2358],1,2,"","","",1,19,105,1,"",1,"",1,1,"",0,"","","","","","","",4,"",1,0,[],"","","","",[],[4929],[2358],[],0,"",""
111,"fire_shield","","",1,"Molten Shell","[116,12281]",1,2,"","","","",19,106,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[116,12281]",[],0,"",""
112,"molten_shell_damage_absorption","You have additional Armour, and a percentage of damage from hits will be taken from this buff before your Life or Energy Shield.","",1,"Molten Shell",[],1,2,1,"",9866,"",19,106,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[9540],[],[9540],[9543],0,"",""
113,"molten_shell_shield","",1,1,"","[116,12281]",1,2,"","","","",19,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[116,12281]",[],0,"",""
114,"flask_utility_critical_strike_chance","You have increased Critical Strike Chance","","","Diamond Flask",[554],1,3,"","","","",19,107,1,"",4,"",1,1,1,0,"","","","","","","",4,"","",0,[],"","","","",[],[],[554],[],0,"",""
