"rownum","Id","Act","Name","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup"
28,"a3q12",3,"A Fixture of Fate","Art/2DArt/QuestIcons/fourpages.dds",9,1,1,[],42,""
29,"a3q13",3,"A Swig of Hope","Art/2DArt/QuestIcons/fairgraves2.dds",10,1,1,[],42,""
30,"a3q9",3,"Piety's Pets","Art/2DArt/QuestIcons/pietysproject.dds",3,"",0,[],42,""
31,"a3q10",3,"The Sceptre of God","Art/2DArt/QuestIcons/dominus.dds",2,"",0,[],42,""
32,"d2c1",0,"","",0,"",0,[],42,""
33,"d2c2",0,"","",0,"",0,[],42,""
34,"a4q1",4,"The Eternal Nightmare","Art/2DArt/QuestIcons/act4Beast.dds",1,"",0,[],42,""
35,"a4q2",4,"Breaking the Seal","Art/2DArt/QuestIcons/act4Banner.dds",2,"",0,[],42,""
36,"a4q3",4,"The King of Fury","Art/2DArt/QuestIcons/act4Kaom.dds",3,"",0,[],42,""
37,"a4q4",4,"The King of Desire","Art/2DArt/QuestIcons/act4Daresso.dds",4,"",0,[],42,""
38,"a4q5",4,"Corpus Malachus","Art/2DArt/QuestIcons/CorpusMalachus.dds",5,"",0,[],42,""
39,"a4q6",4,"An Indomitable Spirit","Art/2DArt/QuestIcons/SpiritOfDeshret.dds",6,1,1,[],42,""
40,"zana_mission",0,"","",0,"",3,[],42,""
41,"niko_mission",0,"","",0,"",3,[],42,""
42,"alva_mission",0,"","",0,"",3,[],42,""
43,"einhar_mission",0,"","",0,"",3,[],42,""
44,"jun_mission_fort",0,"","",0,"",3,[],42,""
45,"jun_mission_cart",0,"","",0,"",3,[],42,""
46,"jun_mission_gank",0,"","",0,"",3,[],42,""
47,"jun_mission_lab",0,"","",0,"",3,[],42,""
48,"jun_mission_safehouse",0,"","",0,"",3,[],42,""
49,"jun_mission_catarina",0,"","",0,"",3,[],42,""
50,"bandit_respec",0,"","",0,"",0,[],42,""
51,"labyrinth_a1",1,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
52,"labyrinth_a2",2,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
53,"labyrinth_a3",3,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
54,"labyrinth_a4",4,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
55,"labyrinth_a5",5,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
56,"labyrinth_a6",6,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
57,"labyrinth_a7",7,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
58,"labyrinth_a8",8,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
59,"labyrinth_a9",9,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
60,"labyrinth_a10",10,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
61,"labyrinth_a11",11,"The Lord's Labyrinth","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],42,""
62,"a5q1a",4,"Return to Oriath","Art/2DArt/QuestIcons/ReturnToOriath.dds",-1,"",0,[],42,""
63,"a5q1b",5,"Return to Oriath","Art/2DArt/QuestIcons/ReturnToOriath.dds",1,"",0,[],42,""
64,"a5q2",5,"The Key to Freedom","Art/2DArt/QuestIcons/KeyToFreedom.dds",2,"",0,[],42,""
65,"a5q3",5,"In Service to Science","Art/2DArt/QuestIcons/ServiceToScience.dds",6,1,1,[],42,""
66,"a5q4",5,"Death to Purity","Art/2DArt/QuestIcons/DeathToPurity.dds",4,"",0,[],42,""
67,"a5q5",5,"The King's Feast","Art/2DArt/QuestIcons/KingsFeast.dds",5,"",0,[],42,""
68,"a5q6",5,"The Ravenous God","Art/2DArt/QuestIcons/RavenousGod.dds",3,"",0,[],42,""
69,"a5q7",5,"Kitava's Torments","Art/2DArt/QuestIcons/KitavaTorments.dds",7,1,1,[],42,""
70,"a6q1",6,"The Brine King","Art/2DArt/QuestIcons/TheBrineKing.dds",1,"",0,[],42,""
71,"a6q2",6,"Essence of Umbra","Art/2DArt/QuestIcons/EssenceOfUmbra.dds",2,"",0,[],42,""
72,"a6q3",6,"The Father of War","Art/2DArt/QuestIcons/FatherOfWar.dds",3,"",0,[],42,""
73,"a6q4",6,"Fallen from Grace","Art/2DArt/QuestIcons/FallenFromGrace.dds",4,1,1,[],42,""
74,"a6q5",6,"Bestel's Epic","Art/2DArt/QuestIcons/BestelsEpic.dds",5,1,1,[],42,""
75,"a6q6",6,"The Puppet Mistress","Art/2DArt/QuestIcons/PuppetMistress.dds",6,1,1,[],42,""
76,"a6q7",6,"The Cloven One","Art/2DArt/QuestIcons/ClovenGod.dds",7,1,1,[],42,""
77,"a7q1",7,"The Master of a Million Faces","Art/2DArt/QuestIcons/Ralakesh.dds",5,"",0,[],42,""
78,"a7q2",7,"Essence of the Artist","Art/2DArt/QuestIcons/Maligaro.dds",3,"",0,[],42,""
79,"a7q3",7,"Web of Secrets","Art/2DArt/QuestIcons/BlackDeath.dds",4,"",0,[],42,""
80,"a7q4",7,"The Mother of Spiders","Art/2DArt/QuestIcons/Arakaali.dds",1,"",0,[],42,""
81,"a7q5",7,"The Silver Locket","Art/2DArt/QuestIcons/SilverLocket.dds",6,1,1,[],42,""
82,"a7q6",7,"Kishara's Star","Art/2DArt/QuestIcons/KisharaStar.dds",7,1,1,[],42,""
83,"a7q7",7,"Lighting the Way","Art/2DArt/QuestIcons/LightingTheWay.dds",2,"",0,[],42,""
84,"a7q8",7,"In Memory of Greust","Art/2DArt/QuestIcons/GruestMemorial.dds",8,1,1,[],42,""
85,"a7q9",7,"Queen of Despair","Art/2DArt/QuestIcons/Gruthkul.dds",9,1,1,[],42,""
86,"a8q1",8,"Essence of the Hag","Art/2DArt/QuestIcons/Deodre.dds",1,"",0,[],42,""
87,"a8q2",8,"Lunar Eclipse","Art/2DArt/QuestIcons/Lunaris.dds",2,"",0,[],42,""
88,"a8q3",8,"Solar Eclipse","Art/2DArt/QuestIcons/Solaris.dds",3,"",0,[],42,""
89,"a8q4",8,"Reflection of Terror","Art/2DArt/QuestIcons/Yugul.dds",4,1,1,[],42,""
90,"a8q5",8,"The Wings of Vastiri","Art/2DArt/QuestIcons/WingsOfVastiri.dds",5,1,1,[],42,""
91,"a8q6",8,"Love is Dead","Art/2DArt/QuestIcons/LoveIsDead.dds",6,1,1,[],42,""
92,"a8q7",8,"The Gemling Legion","Art/2DArt/QuestIcons/GemlingLegionnares.dds",7,1,1,[],42,""
93,"a9q1",9,"Recurring Nightmare","Art/2DArt/QuestIcons/RecurringNightmare.dds",1,"",0,[],42,""
94,"a9q2",9,"The Ruler of Highgate","Art/2DArt/QuestIcons/RulerOfHighgate.dds",2,1,1,[],42,""
95,"a9q3",9,"The Storm Blade","Art/2DArt/QuestIcons/TheStormBlade.dds",3,1,1,[],42,""
96,"a9q4",9,"Fastis Fortuna","Art/2DArt/QuestIcons/FastisFortuna.dds",4,1,1,[],42,""
97,"a9q5",9,"Queen of the Sands","Art/2DArt/QuestIcons/QueenOfTheSands.dds",5,1,1,[],42,""
98,"a10q1",10,"Safe Passage","Art/2DArt/QuestIcons/SafePassage.dds",1,"",0,[],42,""
99,"a10q2",10,"Death and Rebirth","Art/2DArt/QuestIcons/DeathAndRebirth.dds",2,"",0,[],42,""
100,"a10q3",10,"An End to Hunger","Art/2DArt/QuestIcons/EndToHunger.dds",3,"",0,[],42,""
101,"a10q4",10,"No Love for Old Ghosts","Art/2DArt/QuestIcons/NoLoveForOldGhosts.dds",4,1,1,[],42,""
102,"a10q5",10,"Map to Tsoatha","Art/2DArt/QuestIcons/MapToTsoatha.dds",5,1,1,[],42,""
103,"a10q6",10,"Vilenta's Vengeance","Art/2DArt/QuestIcons/VilentasVengeance.dds",6,1,1,[],42,""
104,"a10q3a11",11,"An End to Hunger","Art/2DArt/QuestIcons/EndToHunger.dds",1,"",0,[],42,""
105,"a11q1",12,"Picking Up the Pieces","Art/2DArt/QuestIcons/PickingUpThePieces.dds",2,"",0,[],42,""
106,"a11q2",12,"Chasing a Dream","Art/2DArt/QuestIcons/ChasingADream.dds",3,"",0,[],42,""
107,"a11q3",12,"Hidden Citadels","Art/2DArt/QuestIcons/TheElderslayers.dds",4,"",0,[],42,1
108,"a11q4",12,"The Crusader","Art/2DArt/QuestIcons/TheCrusader.dds",5,"",0,[],42,1
109,"a11q5",12,"The Warlord","Art/2DArt/QuestIcons/TheWarlord.dds",6,"",0,[],42,1
110,"a11q6",12,"The Redeemer","Art/2DArt/QuestIcons/TheRedeemer.dds",7,"",0,[],42,1
111,"a11q7",12,"The Hunter","Art/2DArt/QuestIcons/TheHunter.dds",8,"",0,[],42,1
112,"a11q8",12,"The Awakener of Worlds","Art/2DArt/QuestIcons/TheAwakenerOfWorlds.dds",9,"",0,[],42,""
113,"atlas_citadel",11,"Abandoned Citadel","",0,"",3,[],42,""
114,"watchstones",0,"Lost Watchstones","",0,"",3,[3],42,""
115,"bestiary1",2,"Einhar's Hunt","Art/2DArt/QuestIcons/EinharsHunt.dds",0,"",4,[],42,""
116,"bestiary2",2,"Einhar's Menagerie","Art/2DArt/QuestIcons/EinharsMenagerie.dds",0,"",4,[19],42,""
117,"incursion",7,"No Time like the Present","Art/2DArt/QuestIcons/Alva.dds",0,"",4,[],42,""
118,"delve1",4,"Niko's Fuel","Art/2DArt/QuestIcons/NikosFuel.dds",0,"",4,[],42,""
119,"delve2",4,"Niko's Mine","Art/2DArt/QuestIcons/NikosMine.dds",0,"",4,[27],42,""
120,"delve3",4,"Niko's Explosives","Art/2DArt/QuestIcons/NikosExplosives.dds",0,"",4,[27],42,""
121,"delve4",0,"Shrinking Light","",0,"",4,[27],42,""
122,"delve5",0,"Strengthening Darkness","",0,"",4,[27],42,""
123,"hideout1",2,"Safe and Sound","Art/2DArt/QuestIcons/hideout.dds",0,"",5,[3],42,""
124,"hideout",0,"","",0,"",3,[3],42,""
125,"prophecy",1,"Prisoner of Fate","Art/2DArt/QuestIcons/Navali.dds",0,"",6,[],42,""
126,"betrayal",9,"The Immortal Syndicate","Art/2DArt/QuestIcons/FortQuestIcon.dds",0,"",4,[],42,""
127,"synthesis1",1,"Shattered Past","Art/2DArt/QuestIcons/MemoryFragment.dds",0,"",4,[],29,""
128,"synthesis2",1,"Into The Nexus","Art/2DArt/QuestIcons/NexusDevice.dds",0,"",4,"[32,31]",29,""
129,"synthesis3",1,"Figments Reforged","Art/2DArt/QuestIcons/Synthesis.dds",0,"",4,"[32,31]",29,""
130,"blight1",11,"Strange Growths","Art/2DArt/QuestIcons/FirstBlight.dds",0,"",4,[],42,""
131,"metamorphosis1",11,"Pound of Flesh","Art/2DArt/QuestIcons/Metamorph.dds",0,"",4,[],42,""
132,"heist",0,"Heist","",0,"",3,"[36,37]",42,""
133,"heist_intro",6,"The Rogue Harbour","Art/2DArt/QuestIcons/Heist.dds",0,"",0,"[36,37,1]",42,""
134,"heist_tutorial",0,"Contract: Trial Run","",0,"",3,"[36,37]",42,""
135,"heist_quest_karst1",0,"Contract: Stolen Lockpicks","",0,"",3,"[36,37]",42,""
136,"heist_quest_karst2",0,"Contract: Karst's Revenge","",0,"",3,"[36,37]",42,""
137,"heist_quest_karst3",0,"Contract: Credit Where Credit's Due","",0,"",3,"[36,37]",42,""
138,"heist_quest_tibbs1",0,"Contract: Finding Opal","",0,"",3,"[36,37]",42,""
139,"heist_quest_tibbs2",0,"Contract: Opal's Jewels","",0,"",3,"[36,37]",42,""
140,"heist_quest_huck1",0,"Contract: Enoch's Whereabouts","",0,"",3,"[36,37]",42,""
141,"heist_quest_huck2",0,"Contract: Enoch's Remains","",0,"",3,"[36,37]",42,""
142,"heist_quest_vinderi1",0,"Contract: Grocery List","",0,"",3,"[36,37]",42,""
143,"heist_quest_vinderi2",0,"Contract: The Vinderi Bomb","",0,"",3,"[36,37]",42,""
144,"heist_quest_gianna1",0,"Contract: The Nameless Play","",0,"",3,"[36,37]",42,""
145,"heist_quest_gianna2",0,"Contract: The Finest Costumes","",0,"",3,"[36,37]",42,""
146,"heist_quest_tullina1",0,"Contract: The Wedding Dress","",0,"",3,"[36,37]",42,""
147,"heist_quest_tullina2",0,"Contract: Disengagement","",0,"",3,"[36,37]",42,""
148,"heist_quest_niles1",0,"Contract: Rational Tools","",0,"",3,"[36,37]",42,""
149,"heist_quest_niles2",0,"Contract: A Mundane Sample","",0,"",3,"[36,37]",42,""
150,"heist_quest_nenet1",0,"Contract: The Book of Jamanra","",0,"",3,"[36,37]",42,""
151,"heist_quest_nenet2",0,"Contract: Jamanra's Rest","",0,"",3,"[36,37]",42,""
152,"heist_quest_isla1",0,"Contract: Isla's Prototypes","",0,"",3,"[36,37]",42,""
153,"heist_quest_isla2",0,"Contract: Isla's Designs","",0,"",3,"[36,37]",42,""
154,"heist_quest_isla3",0,"Contract: Breaking the Unbreakable","",0,"",3,"[36,37]",42,""
155,"heist_quest_adiyah1",0,"Contract: A Matter of Honour","",0,"",3,"[36,37]",42,""
156,"heist_quest_adiyah2",0,"Contract: Flying False Colours","",0,"",3,"[36,37]",42,""
157,"heist_quest_adiyah3",0,"Contract: Heart of Glory","",0,"",3,"[36,37]",42,""
158,"heist_quest_whakano1",0,"Contract: Slaver's Revenge","",0,"",3,"[36,37]",42,""
159,"heist_quest_whakano2",0,"Contract: Follow the Paper Trail","",0,"",3,"[36,37]",42,""
160,"heist_quest_whakano3",0,"Contract: The Slaver King","",0,"",3,"[36,37]",42,""
161,"heist_quest_faustus1",0,"Contract: The Admiral's Records","",0,"",3,"[36,37]",42,""
162,"heist_quest_faustus2",0,"Contract: Findings for Fidium","",0,"",3,"[36,37]",42,""
163,"heist_quest_faustus3",0,"Contract: Death to Darnaw","",0,"",3,"[36,37]",42,""
164,"heist_quest_kurai1",0,"Contract: Hyrri's Gift","",0,"",3,"[36,37]",42,""
165,"heist_quest_kurai2",0,"Contract: The Negotiation","",0,"",3,"[36,37]",42,""
166,"heist_quest_kurai3",0,"Contract: The Rescue","",0,"",3,"[36,37]",42,""
167,"heist_quest_kurai4",0,"Contract: The Twins","",0,"",3,"[36,37]",42,""
168,"maven_region0",13,"Maven: Uncharted Realms","Art/2DArt/QuestIcons/Maven.dds",0,"",0,[],42,0
169,"maven_region1",13,"Maven: Haewark Hamlet","Art/2DArt/QuestIcons/HaewarkHamlet.dds",0,"",0,[],42,0
170,"maven_region6",13,"Maven: Glennach Cairns","Art/2DArt/QuestIcons/GlennachCairns.dds",0,"",0,[],42,0
171,"maven_region7",13,"Maven: Valdo's Rest","Art/2DArt/QuestIcons/ValdosRest.dds",0,"",0,[],42,0
172,"maven_region8",13,"Maven: Lira Arthain","Art/2DArt/QuestIcons/LiraArthain.dds",0,"",0,[],42,0
173,"maven_boss",13,"The Maven","Art/2DArt/QuestIcons/Maven.dds",0,"",0,[],42,""
174,"harvest_tutorial",11,"The Sacred Grove","Art/2DArt/QuestIcons/GenericHarvest.dds",0,"",4,[],42,""
175,"ritual_tutorial",1,"Paying Tribute","Art/2DArt/QuestIcons/RitualTutorial.dds",0,"",0,[],36,""
176,"trialmaster_tutorial",1,"A Choice of Futures","Art/2DArt/QuestIcons/TrialmasterTutorial.dds",0,"",0,[],38,""
177,"expedition_tutorial",6,"Unearthing the Past","Art/2DArt/QuestIcons/ExpeditionTutorial.dds",0,"",0,[],42,""
178,"expedition_tutorial2",6,"Explosive Archaeology","Art/2DArt/QuestIcons/RemnantsTutorial.dds",0,"",0,[],42,""
179,"expedition_mainquest",6,"The Lost Expedition","Art/2DArt/QuestIcons/ExpeditionTutorial.dds",0,"",0,[40],42,""
180,"hellscape_tutorial1",1,"A Glimpse Beyond","Art/2DArt/QuestIcons/BloodCrucibleQuest.dds",0,"",0,"[3,1]",41,""
181,"hellscape_tutorial2",1,"Thirst for Blood","Art/2DArt/QuestIcons/CorruptItemQuest.dds",0,"",0,"[3,1]",41,""
182,"hellscape_tutorial3",11,"Twisted Dreams","Art/2DArt/QuestIcons/DreamFurnaceQuest.dds",0,"",0,"[3,1]",41,""
183,"hellscape_tutorial4",11,"Altered Flesh","Art/2DArt/QuestIcons/VisceraCauldronQuest.dds",0,"",0,"[3,1]",41,""
