"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","[rid]"
40,40,41,2604,"",2604,2604,2604,[]
41,41,42,2604,"",2604,2604,2604,[]
42,40,45,2604,"The bridge across is blocked by a thaumaturgical barrier.",476,2604,435,[]
43,40,43,2604,"",2604,2604,2604,[]
44,45,46,2604,"",2604,2604,2604,[]
45,45,47,2604,"",2604,2604,2604,[]
46,47,48,2604,"",2604,2604,2604,[]
47,47,49,2604,"",2604,2604,2604,[]
48,51,50,2604,"",2604,2604,2604,[]
49,50,52,2604,"",2604,2604,2604,[]
50,50,53,2604,"",2604,2604,2604,[]
51,53,54,2604,"",2604,2604,2604,[]
52,54,55,2604,"",2604,2604,2604,[]
53,55,56,2604,"",2604,2604,2604,[]
54,54,57,2604,"",2604,2604,2604,[]
55,57,58,2604,"",2604,2604,2604,[]
56,54,59,2604,"",2604,2604,2604,[]
57,59,60,698,"You must pierce the hide with the Rapture device.",223,2604,2604,[]
58,50,61,2604,"",2604,2604,2604,[]
59,63,62,2604,"",2604,2604,2604,[]
60,62,64,2604,"",2604,2604,2604,[]
61,64,65,2604,"",2604,2604,1072,[]
62,65,67,2604,"",2604,2604,2604,[]
63,67,69,2604,"",2604,2604,1072,[]
64,69,68,2604,"",2604,1072,317,[]
65,68,66,2604,"",2604,2604,2604,[]
66,66,70,2604,"",2604,2604,2604,[]
67,66,71,2604,"",2604,2604,2604,[]
68,66,72,1411,"You need the Sign of Purity to access the Cathedral Rooftop.",1044,2604,2604,[]
69,66,64,2604,"The entrance is now blocked.",1072,2604,317,[]
70,73,74,2604,"",2604,2604,2604,[]
71,73,75,2604,"",2604,2604,2604,[]
72,75,76,2604,"",2604,2604,2604,[]
73,75,77,2604,"",2604,2604,2604,[]
74,77,78,1179,"You need to find the missing Karui eye to open the gate.",1182,2604,2604,[]
75,78,79,1176,"You must defeat Tukohama to unlock the exit.",1181,2604,2604,[]
76,79,80,2604,"",2604,2604,2604,[]
77,80,81,2604,"",2604,2604,2604,[]
78,81,82,2604,"",2604,2604,2604,[]
79,82,83,2604,"",2604,2604,2604,[]
80,83,84,2604,"",2604,2604,2604,[]
81,83,85,2604,"",2604,2604,2604,[]
82,85,86,2604,"",2604,2604,2604,[]
83,86,87,2604,"",2604,2604,2604,[]
84,87,88,1161,"You must light the Beacon to access the Brine King's Reef.",1154,2604,2604,[]
85,89,90,2604,"",2604,2604,2604,[]
86,90,91,2604,"",2604,2604,2604,[]
87,91,92,2604,"",2604,2604,2604,[]
88,91,94,2604,"",2604,2604,2604,[]
89,91,97,2604,"The bandits have blocked the way. You must find another way around.",1271,2604,1271,[]
90,92,93,2604,"",2604,2604,2604,[]
91,94,96,2604,"",2604,1288,1165,[]
92,94,95,2604,"",2604,2604,2604,[]
93,96,97,2604,"",2604,2604,2604,[]
94,97,98,2604,"",2604,2604,2604,[]
95,98,99,2604,"",2604,2604,2604,[]
96,98,100,2604,"",2604,2604,2604,[]
97,100,101,2604,"",2604,2604,2604,[]
98,101,102,2604,"",2604,2604,2604,[]
99,103,104,2604,"",2604,2604,2604,[]
100,104,105,2604,"",2604,2604,2604,[]
101,105,106,2604,"",2604,2604,2604,[]
102,105,111,2604,"",2604,2604,2604,[]
103,108,107,2604,"",2604,2604,2604,[]
104,106,108,2604,"",2604,2604,2604,[]
105,108,109,2604,"",2604,2604,2604,[]
106,109,110,2604,"",2604,2604,2604,[]
107,109,116,2604,"",2604,2604,2604,[]
108,111,112,2604,"",2604,2604,2604,[]
109,112,113,2604,"",2604,2604,2604,[]
110,113,115,2604,"",2604,2604,2604,[]
111,115,114,2604,"",2604,2604,2604,[]
112,114,116,2604,"",2604,2604,2604,[]
113,117,118,2604,"",2604,2604,2604,[]
114,118,119,2604,"",2604,2604,2604,[]
115,119,120,2604,"",2604,2604,2604,[]
116,120,121,1632,"You must find a way to clear the Sandstorm to access the Oasis.",1637,2604,2604,[]
117,120,122,2604,"",2604,2604,2604,[]
118,122,123,2604,"",2604,2604,2604,[]
119,122,124,2604,"",2604,2604,2604,[]
120,124,125,2604,"",2604,2604,2604,[]
121,125,126,2604,"",2604,2604,2604,[]
122,125,127,1612,"You must deliver the ingredients to Sin to access the Beast.",1375,2604,2604,[]
123,127,128,2604,"",2604,2604,2604,[]
124,129,130,2604,"",2604,2604,2604,[]
125,130,131,2604,"",2604,2604,2604,[]
126,131,132,2604,"",2604,2604,2604,[]
127,132,133,2604,"",2604,2604,2604,[]
128,131,134,2604,"Kitava's Horns block the way.",2604,1666,1667,[]
129,134,135,2604,"",2604,2604,2604,[]
130,131,136,2604,"",2604,2604,2604,[]
131,131,137,2604,"",2604,2604,2604,[]
132,131,138,2604,"",2604,2604,2604,[]
133,139,141,2604,"",2604,2604,2604,[]
134,139,142,2604,"",2604,2604,2604,[]
135,139,143,2604,"",2604,2604,2604,[]
