"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
26,169,"Attack and Cast Speed - Rank 2","[0,1,2,3,4,10]","",2,135
27,150,"Life and Mana - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,150
28,181,"Chaos Damage - Rank 2","[0,1,2,3,9,10]","",2,153
29,188,"Defences - Rank 2","[4,5,6,7,8]","",2,87
30,148,"Movement Speed and Flask Enchantments - Rank 3","[8,12]","Epilogue",3,162
31,139,"All Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Aspirant's Trial",1,519
32,137,"Double Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial",2,591
33,138,"Double Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial",3,663
34,140,"All Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial",2,735
35,166,"Elemental Damage with Attacks - Rank 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs",1,43
36,144,"All Attributes - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens",1,52
37,136,"Double Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison",1,89
38,164,"Damage over Time - Rank 1","[0,1,2,3]","Labyrinth Trial in The Crypt",1,103
39,156,"Mana Regen - Rank 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2",1,105
40,192,"Flask Duration - Rank 1",[11],"Labyrinth Trial in The Bath House",1,121
41,145,"All Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel",2,139
42,234,"Socket Numbers - 2 or 3 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1232
43,236,"Socket Numbers - 4 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1210
44,237,"Socket Numbers - 5 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1216
45,238,"Socket Numbers - 6 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1097
46,239,"Socket Links - 2 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1082
47,240,"Socket Links - 3 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1132
48,241,"Socket Links - 4 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1111
49,242,"Socket Links - 5 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1228
50,243,"Socket Links - 6 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1202
51,245,"Socket Colours - 1 or 2 Colours","[0,1,2,3,6,7,8,5,4,9,10]","",0,1221
52,246,"Socket Colours - 3 Colours","[0,1,2,3,6,7,8,5,4]","",0,1164
53,151,"Life and Mana - Rank 4","[0,1,2,3,6,7,8,5,4]","",4,1114
54,196,"Block and Dodge - Rank 1",[4],"",1,1227
55,193,"Flask Duration - Rank 2",[11],"",2,1233
56,195,"Ailment, Stun and Curse Mitigation - Rank 2","[5,7,8,9]","",2,1188
57,191,"Criticals - Rank 2","[0,1,2,3,10,13]","",2,1085
58,199,"Special Defences - Rank 2","[6,4,5,7,8]","",2,1079
59,197,"Block and Dodge - Rank 2",[4],"",2,1155
60,253,"Global Energy Shield - Rank 2","[10,9]","",2,1229
61,172,"Fire Damage - Rank 3","[0,1,2,3]","",3,1215
62,190,"Criticals - Rank 1","[0,1,2,3,10,13]","",1,1095
63,175,"Cold Damage - Rank 3","[0,1,2,3]","",3,1086
64,179,"Lightning Damage - Rank 3","[0,1,2,3]","",3,1127
65,198,"Special Defences - Rank 1","[6,4,5,7,8]","",1,1121
66,157,"Mana Regen - Rank 2","[0,1,2,3,9,10,4]","",2,1167
67,165,"Damage over Time - Rank 2","[0,1,2,3]","",2,1152
68,229,"Minions - Rank 2","[0,1,2,3,7,5,9,10]","",2,1166
69,167,"Elemental Damage with Attacks - Rank 2","[0,1,2,3,9,10,11,13]","",2,1230
70,194,"Ailment, Stun and Curse Mitigation - Rank 1","[5,7,8,9,4,13]","",1,70
71,189,"Defences - Rank 3","[6,8,7,5,4]","",3,1196
72,252,"Global Energy Shield - Rank 1","[10,9]","",1,1171
73,261,"Physical Damage - Rank 4","[0,1,2,3]","",4,1100
74,262,"Spell Damage - Rank 4","[0,1,2,3]","",4,1098
75,109,"Attack and Cast Speed - Rank 3","[0,1,2,3]","",3,1225
76,153,"Life - Rank 5",[6],"",5,1252
77,154,"Leech - Rank 1","[0,1,2,3,7,9,10,13]","",1,1130
78,155,"Leech - Rank 2","[0,1,2,3,7,10]","",2,1257
79,182,"Chaos Damage - Rank 3","[0,1,2,3]","",3,1256
80,186,"Accuracy - Rank 3","[0,1,2,3,4,7,5,9,10,13]","",3,1254
81,226,"Reduced Damage over Time","[4,11]","",0,1253
82,227,"Animated Guardian and Light Radius",[6],"",0,1251
83,231,"Traps and Mines - Rank 2","[0,1,2,3]","",2,1247
84,254,"Criticals - Rank 3","[0,1,2,3]","",3,1245
85,255,"Minions - Rank 3","[0,1,2,3]","",3,1146
86,249,"Prefixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1187
87,250,"Suffixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1209
88,251,"Can have up to 3 Crafted Modifiers","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1176
89,247,"Cannot roll Attack Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1145
90,248,"Cannot roll Caster Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1103
