"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32"
78,"MonsterImplicitAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451],1
79,"MonsterImplicitAuraLifeRegenBossStrIntMission",88,[0],75,"[1,2]",[],"",0,1,[451],1
80,"MonsterImplicitAuraLifeRegenSextant",88,[0],140,"[1,2]",[],"",0,1,[451],1
81,"MonsterImplicitAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26],1
82,"MonsterImplicitAuraResists1",89,[0],50,"[1,2]",[],"",0,1,[141],1
83,"MonsterImplicitAuraResistsSextant",89,[0],140,"[1,2]",[],"",0,1,[141],1
84,"MonsterImplicitAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26],1
85,"MonsterImplicitAuraEnergyShield1",90,[0],50,"[1,2]",[],"",0,1,[563],1
86,"MonsterImplicitAuraEnergyShieldBubble1",91,[0],50,"[1,2]",[],"",0,1,[563],1
87,"MonsterAuraCannotDie1",132,[0],50,[2],[],"",0,1,[398],1
88,"MonsterAuraSlow1",133,[0],40,[3],[],"",0,1,[177],1
89,"StrIntMissionAuraSlow1",133,[0],30,[3],[],"",0,1,[177],1
90,"MonsterAuraSlowUniqueMap1",133,[0],50,[3],[],"",0,1,[177],1
91,"MonsterImplicitAuraSlow1",133,[0],40,[3],[],"",0,1,[177],1
92,"MonsterImplicitAuraSlow2",133,[0],40,[3],[],"",0,1,[177],1
93,"MonsterImplicitAuraCannotDie1",132,[0],50,[2],[],"",0,1,[398],1
94,"MonsterImplicitAuraCannotDie2",132,[0],16,[2],[],"",0,1,[398],1
95,"MonsterImplicitDamageReductionAura",134,[0],40,[2],[],"",0,1,[477],1
96,"MonsterImplicitDamageReductionAura2",134,[0],40,[2],[],"",0,1,[477],1
97,"MonsterAuraAddedColdDamage",169,[0],50,"[1,2]",[],"",0,1,[448],1
98,"StrIntMissionAuraAddedColdDamage",169,[0],30,[2],[],"",0,1,[448],1
99,"MonsterAuraUniqueMapColdDamage",169,[0],60,[2],[],"",0,1,[448],1
100,"MonsterAuraAddedFireDamage",170,[0],50,"[1,2]",[],"",0,1,[447],1
101,"MonsterAmbrosiaAuraAddedFireDamage",172,[0],50,"[1,2]",[],"",0,1,[447],1
102,"StrIntMissionAuraAddedFireDamage",170,[0],30,[2],[],"",0,1,[447],1
103,"MonsterAuraUniqueMapFireDamage",170,[0],60,[2],[],"",0,1,[447],1
104,"MonsterAuraAddedFireDamageSkeletonArmy",170,[0],50,"[1,2]",[],"",0,1,[447],1
105,"MonsterAuraAddedLightningDamage",171,[0],50,"[1,2]",[],"",0,1,[449],1
106,"MonsterAmarissaAuraAddedLightningDamage",173,[0],50,"[1,2]",[],"",0,1,[449],1
107,"StrIntMissionAuraAddedLightningDamage",171,[0],30,[2],[],"",0,1,[449],1
108,"MonsterAuraUniqueMapLightningDamage",171,[0],60,[2],[],"",0,1,[449],1
109,"MonsterAuraAlwaysCrit1",175,[0],60,"[1,2]",[],"",0,1,[348],1
110,"StrIntMissionAuraAlwaysCrit1",175,[0],30,[2],[],"",0,1,[348],1
111,"MonsterAuraEvasion1",176,[0],50,"[1,2]",[],"",0,1,[119],1
112,"MonsterAuraUniqueMapEvasion",176,[0],60,[2],[],"",0,1,[119],1
113,"ChaosDegenerationAuraPlayersUniqueBodyStr3",213,[0],30,"[3,4]",[],"",0,1,[453],1
114,"ChaosDegenerationAuraNonPlayersUniqueBodyStr3",213,[0],30,"[3,5]",[],"",0,1,[453],1
115,"ChaosDegenerationAuraNonPlayersUnique__1",94,[0],30,"[3,5]",[],"",0,1,[453],1
116,"ChaosDegenerationAuraPlayersUnique__1",94,[0],30,"[3,4]",[],"",0,1,[453],1
117,"ChaosDegenerationAuraNonPlayersUnique__1Royale__",94,[0],30,"[3,5]",[],"",0,1,[453],1
118,"ChaosDegenerationAuraPlayersUnique__1Royale",94,[0],30,"[3,4]",[],"",0,1,[453],1
119,"DamageAuraUniqueHelmetDexInt2",216,[0],75,"[1,2,10]",[],"",0,1,[24],1
120,"DamageAuraSkeletonMonster",380,[0],60,[2],[],"",0,1,[24],1
121,"MonsterPhysicalThorns",81,[0],0,[],[],"",0,1,[564],1
122,"MonsterElementalThorns",82,[0],0,[],[],"",0,1,[565],1
123,"MonsterNemesisTransformed",262,"[0,0,0,0]",0,[],[],"",0,1,"[717,477,1905,177]",1
124,"MonsterNemesisSoulEater",265,"[0,0,0,0,0]",50,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
125,"MonsterStrIntRelicSoulEater",265,"[0,0,0,0,0]",42,"[2,3]",[],263,0,1,"[1908,1909,1910,1911,3129]",1
126,"MonsterIntMinionSoulEater",265,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
127,"MonsterDexMissionSoulEater",265,"[0,0,0,0,0]",50,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
128,"MonsterImplicitNemesisSoulEaterDescent2",265,"[0,0,0,0,0]",30,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
129,"MonsterImplicitNemesisSoulEaterInvasion",265,"[0,0,0,0,0]",30,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
130,"MonsterNemesisSoulEaterSideAreaBoss",265,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
131,"MonsterNemesisSoulEaterMapAlira_",265,"[0,0,0,0,0]",150,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
132,"MonsterBreachLightningSoulEater",800,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3129]",1
133,"MonsterNemesisStealthMode",268,"[0,0]",0,[],[],"",0,1,"[1932,7402]",1
134,"MonsterNemesisVines",1025,[],0,[],[],"",0,1,[],1
135,"MonsterNemesisVinesLarge",1026,[],0,[],[],"",0,1,[],1
136,"MonsterNemesisPhysicalProjectiles_",1018,[],0,[],[],"",0,1,[],1
137,"MonsterNemesisFireProjectiles",1016,[],0,[],[],"",0,1,[],1
138,"MonsterNemesisLightningClone",1032,[],0,[],[],"",0,1,[],1
139,"MonsterNemesisLightningCloneLarge",1033,[],0,[],[],"",0,1,[],1
140,"MonsterNemesisColdBeam",1052,[],0,[],[],"",0,1,[],1
141,"UndyingBreathCurseAuraUniqueStaff5",278,[0],75,[3],[],"",0,1,[1278],1
142,"UndyingBreathDamageAuraUniqueStaff5",279,[0],75,"[2,10]",[],"",0,1,[24],1
143,"UniqueSpecialCorruptionNearbyEnemiesBlinded",1492,[],30,[3],[9],"",0,1,[],1
144,"UniqueSpecialCorruptionNearbyEnemiesMalediction",1492,[],30,[3],[12],"",0,1,[],1
145,"UniqueSpecialCorruptionNearbyEnemiesCrushed",1492,[],30,[3],"[11,-15]","",0,1,[],1
146,"StrDexMasterSlowAura",133,[0],30,[3],[],"",0,1,[177],1
147,"MonsterCannotBeDamaged",333,[0],0,[],[],"",0,1,[140],1
148,"MonsterCannotBeDamagedUniqueMap",333,[0],0,[],[],"",0,1,[140],1
149,"DexMissionCorruptedBeastEffect1",338,[],0,[],[],"",0,1,[],1
150,"IntMissionDamageBoostAura",280,[0],50,"[2,3,10]",[],"",0,1,[24],1
151,"StrIntMissionManaRegenRelic",335,[0],30,[],[],"",0,1,[129],1
152,"MonsterAddedFireDamageAndIgnite",344,"[0,0]",0,[],[],"",0,1,"[447,611]",1
153,"MonsterAddedColdDamageAndFreeze",345,"[0,0]",0,[],[],"",0,1,"[448,455]",1
154,"MonsterAddedLightningDamageAndShock",346,"[0,0]",0,[],[],"",0,1,"[449,659]",1
155,"MonsterAddedPhysicalDamageAndBleed",350,"[0,0]",0,[],[],"",0,1,"[26,2361]",1
156,"StrDexMissionAddedFireDamage",347,[0],0,[],[],"",0,1,[447],1
157,"StrDexMissionAddedColdDamage",348,[0],0,[],[],"",0,1,[448],1
158,"StrDexMissionAddedLightningDamage",349,[0],0,[],[],"",0,1,[449],1
159,"MonsterBloodlinesShrouded",356,"[0,0]",0,[],[],340,0,1,"[2619,2568]",1
160,"TormentSpiritExperimenter",365,[0],35,[3],[],"",0,1,[477],1
161,"TormentSpiritCharlatanRegenerationAura",88,[0],40,"[1,2]",[],"",0,1,[451],1
162,"TormentSpiritCharlatanDegenerationAura",95,[0],40,[3],[],"",0,1,[2566],1
163,"TormentSpiritCutthroat",86,[0],45,"[1,2]",[],"",0,1,[26],1
164,"TormentHauntedMonsterCutthroat",374,"[0,0]",45,"[1,2]",[],"",0,1,"[26,70]",1
165,"TormentSpiritEmbezzler",376,"[0,0,0]",40,[3],[],"",0,1,"[1011,1012,1013]",1
166,"TormentSpiritSmuggler",90,[0],45,"[1,2]",[],"",0,1,[563],1
167,"TormentHauntedSmuggler",90,[0],45,"[1,2]",[],"",0,1,[563],1
168,"TormentSpiritShavronne",698,"[0,0]",45,"[1,2]",[],"",0,1,"[563,1202]",1
169,"TormentHauntedMonsterShavronne",698,"[0,0]",45,"[1,2]",[],"",0,1,"[563,1202]",1
170,"MonsterBloodlinesThorns",103,"[0,0]",0,[],[],"",0,1,"[564,565]",1
171,"MonsterBloodlinesThornsLargeModel",104,"[0,0]",0,[],[],"",0,1,"[564,565]",1
172,"MonsterBloodlinesBurningAura",363,[0],30,[3],[],"",0,1,[2533],1
173,"MonsterBloodlinesBurningAura2",363,[0],30,[3],[],"",0,1,[2533],1
174,"MonsterBloodlinesBurningAura3",363,[0],30,[3],[],"",0,1,[2533],1
175,"MonsterBloodlinesBurningAura4",363,[0],30,[3],[],"",0,1,[2533],1
176,"MonsterBloodlinesBurningAura5",363,[0],30,[3],[],"",0,1,[2533],1
177,"MonsterBloodlinesBurningAura6",363,[0],30,[3],[],"",0,1,[2533],1
178,"MonsterBloodlinesBurningAura7",363,[0],30,[3],[],"",0,1,[2533],1
179,"MonsterBloodlinesChillingAura",364,[0],30,[3],[],"",0,1,[8420],1
180,"MonsterBloodlinesShockingAura",365,[0],30,[3],[],"",0,1,[477],1
181,"TormentTouchedEffect",371,[],0,[],[],"",0,1,[],1
182,"TormentPossessedEffect",372,[],0,[],[],"",0,1,[],1
183,"LifeRegenerationAuraUniqueAmulet21",386,"[0,0]",50,"[2,10]",[],"",0,1,"[451,130]",1
184,"NearbyAlliesHaveCullingStrikeUniqueTwoHandAxe9",401,[0],50,"[2,10]",[],"",0,1,[589],1
185,"NearbyAlliesHaveIncreasedItemRarityUniqueTwoHandAxe9",402,[0],50,"[2,10]",[],"",0,1,[153],1
186,"NearbyAlliesHaveCullingStrikeUnique__1",401,[0],30,"[2,10]",[],"",0,1,[589],1
187,"NearbyAlliesHaveIncreasedItemRarityUnique__1",402,[0],30,"[2,10]",[],"",0,1,[153],1
188,"NearbyAlliesHaveCriticalStrikeMultiplierUnique__1",1235,[0],30,"[2,10]",[],"",0,1,[95],1
189,"NearbyAlliesHaveFortifyUnique__1__",1446,[10],30,"[2,10]",[],"",0,1,[],1
190,"DoedreCurseZoneAuraVulnerability_",77,"[0,0,0,0]",52,"[3,10]",[],444,0,1,"[545,5233,12417,7264]",1
191,"DoedreCurseZoneAuraTemporalChains",67,"[0,0,0]",52,"[3,10]",[],443,0,1,"[3243,9148,532]",1
192,"DoedreCurseZoneAuraEnfeeble",74,"[0,0,0]",52,"[3,10]",[],442,0,1,"[84,648,9149]",1
193,"DoedreCurseZoneAuraVulnerability2",77,"[0,0,0,0]",52,"[3,10]",[],444,0,1,"[545,5233,12417,7264]",1
194,"DoedreCurseZoneAuraTemporalChains2",67,"[0,0,0]",52,"[3,10]",[],443,0,1,"[3243,9148,532]",1
195,"DoedreCurseZoneAuraEnfeeble2",74,"[0,0,0]",52,"[3,10]",[],442,0,1,"[84,648,9149]",1
196,"UniqueAnimateWeaponAura",458,"[0,0]",1,[9],[],"",0,1,"[3317,1750]",1
197,"TalismanT2SacrificalBlades",279,[0],30,"[2,10]",[],"",0,1,[24],1
198,"BlindAuraUnique__1",1492,[],25,[3],[9],175,0,1,[],1
199,"NearbyEnemiesAreHinderedUnique__1",1494,[0],35,[3],[],1222,0,1,[11522],1
200,"HearbyEnemiesAreHinderedHarbinger",1494,[0],50,[3],[],1222,0,1,[11522],1
201,"LightningDegenAuraUnique__1",457,[0],32,[3],[],"",0,1,[4100],1
202,"EssenceDaemonAlternatingBuffsSpeedDodge4",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7402]",1
203,"EssenceDaemonAlternatingBuffsSpeedDodge5",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7402]",1
204,"EssenceDaemonAlternatingBuffsSpeedDodge6",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7402]",1
205,"EssenceDaemonAlternatingBuffsSpeedDodge7",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7402]",1
206,"EssenceDaemonAlternatingBuffsDamage4",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1
207,"EssenceDaemonAlternatingBuffsDamage5",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1
208,"EssenceDaemonAlternatingBuffsDamage6",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1
209,"EssenceDaemonAlternatingBuffsDamage7",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1
210,"EssenceDaemonAlternatingBuffsCrit5",734,"[0,0]",0,[],[],"",0,1,"[2540,348]",1
211,"EssenceDaemonAlternatingBuffsCrit6",734,"[0,0]",0,[],[],"",0,1,"[2540,348]",1
212,"EssenceDaemonAlternatingBuffsCrit7_",734,"[0,0]",0,[],[],"",0,1,"[2540,348]",1
213,"EssenceHorrorCharges1",751,[],0,[],[],"",0,1,[],1
214,"ElementalDamageTakenWhileStationaryEssence1",724,[0],0,[],[],"",0,1,[4828],1
215,"BurningGroundWhileMovingEssence1",725,[],0,[],[],"",0,1,[],1
216,"MonsterGainFrenzyEnduranceChargeEvery5Seconds",745,[],0,[],[],"",0,1,[],1
217,"RemnantOfCorruptionMonsterAura",746,"[0,0,0]",30,[3],[],"",0,1,"[177,2566,3058]",1
218,"VaultTreasureDaemon",768,[0],12,[12],[],"",0,1,[5032],1
219,"DaemonAlternatingBuffsStatueMaker",762,"[0,0,0,0]",0,[],[],"",0,1,"[24,10,477,11]",1
220,"VaultBossTreasurePileDamageBuff",768,[0],25,[],[],"",0,1,[5032],1
221,"ShaperTouched1",373,[],0,[],[],635,0,1,[],1
222,"ShaperHealed1",373,[],0,[],[],635,0,1,[],1
223,"ShaperDaemon1",373,[],0,[],[],635,0,1,[],1
224,"ShaperDaemon2",373,[],0,[],[],635,0,1,[],1
225,"ShaperDaemon3_",373,[],0,[],[],635,0,1,[],1
226,"ShaperDaemon4",373,[],0,[],[],635,0,1,[],1
227,"NearbyEnemiesAreIntimidatedUnique__1",1492,[],25,[3],[7],"",0,1,[],1
228,"MonsterNearbyEnemiesAreIntimidated",890,[0],25,[3],[],"",0,1,[5692],1
229,"NearbyAlliesMovementVelocityUnique__1",832,[0],50,"[1,2,10]",[],"",0,1,[177],1
230,"PowerChargeOnManaSpentUnique__1",912,[],0,[],[],"",0,1,[],1
231,"EnemyPhysicalDamageTakenAuraUber1_",1160,[0],60,[3],[],"",0,1,[545],1
232,"EnemyElementalDamageTakenAuraUber1",1501,[0],60,[3],[],"",0,1,[3492],1
233,"PowerChargeOnManaSpentUber1",912,[],0,[],[],"",0,1,[],1
234,"GainCriticalStrikeChanceOnManaSpentUnique__1",951,[],0,[],[],"",0,1,[],1
235,"MaximumVoidArrowsUnique__1",1000,[],0,[],[],"",0,1,[],1
236,"BestiaryModAgileRhexAura1_",1069,"[0,0]",0,[],[],"",0,1,"[7402,177]",1
237,"BestiaryModUrsaeAura1",1072,"[0,0,0]",0,[],[],"",0,1,"[3386,701,24]",1
238,"BestiaryModLynxAura1",1075,"[0,0,0]",0,[],[],"",0,1,"[70,84,554]",1
239,"BestiaryModCrabAura1",1078,"[0,0]",50,"[1,2,24]",[],"",0,1,"[477,448]",1
240,"BestiaryModSquidAura1",1079,"[0,0]",50,"[1,2,24]",[],"",0,1,"[449,974]",1
241,"BestiaryModSpiderAura1",1080,"[0,0]",50,"[1,2,24]",[],"",0,1,"[2303,7134]",1
242,"BestiaryModTigerSpiritBossMinions",1081,"[0,0,0,0]",50,"[1,2]",[],"",0,1,"[70,84,554,95]",1
243,"UniqueNearbyAlliesAreLucky",1143,[0],50,"[2,10]",[],"",0,1,[8136],1
244,"NearbyEnemiesReducedStunRecoveryUnique__1",1166,[0],60,[3],[],"",0,1,[221],1
245,"NearbyEnemiesGrantIncreasedFlaskChargesUnique__1",1167,[0],60,[3],[],"",0,1,[459],1
246,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__1",1169,[0],60,[3],[],"",0,1,[9064],1
247,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__2",1168,[0],60,[3],[],"",0,1,[9060],1
248,"NearbyEnemiesHaveReducedAllResistancesUnique__1",1170,[0],60,[3],[],"",0,1,[7652],1
249,"DelveHelmetEnemyFireResistanceAura1",1156,[0],60,[3],[],"",0,1,[144],1
250,"DelveHelmetEnemyColdResistanceAura1",1157,[0],60,[3],[],"",0,1,[146],1
251,"DelveHelmetEnemyLightningResistanceAura1",1158,[0],60,[3],[],"",0,1,[148],1
252,"DelveHelmetEnemyPhysicalDamageTakenAura1",1160,[0],60,[3],[],"",0,1,[545],1
253,"DelveHelmetEnemyChaosResistanceAura1",1159,[0],60,[3],[],"",0,1,[150],1
254,"HellscapeEnemyFireResistanceAura1",1161,[0],60,[3],[],"",0,1,[144],1
255,"HellscapeEnemyColdResistanceAura1",1162,[0],60,[3],[],"",0,1,[146],1
256,"HellscapeEnemyLightningResistanceAura1",1163,[0],60,[3],[],"",0,1,[148],1
257,"HellscapeEnemyPhysicalDamageTakenAura1",1165,[0],60,[3],[],"",0,1,[545],1
258,"HellscapeEnemyChaosResistanceAura1",1164,[0],60,[3],[],"",0,1,[150],1
259,"TriggerFeastOfFleshSkillUnique__1_",1201,[0],0,[],[],"",0,1,[4941],1
260,"TriggerRandomOfferingSkillUnique__1",1201,[0],0,[],[],"",0,1,[4941],1
261,"BetrayalBannerAuraMod",1227,"[0,0,0]",24,[2],[],0,0,1,"[24,451,477]",1
262,"NearbyEnemiesCannotCritUnique__1",1269,[0],60,[3],[],"",0,1,[693],1
263,"NearbyAlliesCannotBeSlowedUnique__1",1270,[0],50,"[2,10]",[],"",0,1,[3386],1
264,"ElementalAilmentsOnYouInsteadOfAlliesUnique__1",1309,[0],60,[2],[],"",0,1,[9630],1
265,"RareMonsterPack",373,[],0,[],[],1098,0,1,[],1
266,"BlightDaemonDeathEPKFireVolatiles_",373,[],0,[],[],1130,0,1,[],1
267,"BlightDaemonDeathEPKColdSnaps",373,[],0,[],[],1131,0,1,[],1
268,"BlightDaemonDeathEPKLightningZaps",373,[],0,[],[],1132,0,1,[],1
269,"BlightDaemonDeathEPKPhysicalBlood_",373,[],0,[],[],1133,0,1,[],1
270,"BlightDaemonDeathEPKChaosGhosts",373,[],0,[],[],1134,0,1,[],1
271,"AtlasCrusaderClericAura",1415,"[0,0]",21,[2],[],"",0,1,"[449,659]",1
272,"AtlasCrusaderClericAuraSpectre",1415,"[0,0]",21,[2],[],"",0,1,"[449,659]",1
273,"NearbyEnemiesIncreasedFireColdResistUnique__1_",1435,"[0,0]",30,[3],[],"",0,1,"[10330,10331]",1
274,"EnemyLightningResistanceAuraInfluence1_",1158,[0],60,[3],[],"",0,1,[148],1
275,"EnemyFireResistanceAuraInfluence1",1156,[0],60,[3],[],"",0,1,[144],1
276,"EnemyColdResistanceAuraInfluence1__",1157,[0],60,[3],[],"",0,1,[146],1
277,"EnemyChaosResistanceAuraInfluence1_",1159,[0],60,[3],[],"",0,1,[150],1
278,"NearbyEnemiesAreBlindedInfluence1_",1492,[],35,[3],[9],"",0,1,[],1
279,"MonsterAfflictionMagicRandomPackTeleport",373,[],0,[],[],1271,0,1,[],1
280,"MonsterAfflictionMagicRewardLightningBolt",373,[],0,[],[],1271,0,1,[],1
281,"MonsterAfflictionMagicRewardFireSnap",373,[],0,[],[],1269,0,1,[],1
