"rownum","Id","Name","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","[rid]","string","i32","rid","string","string","string","string","string","[rid]","i32","i32","i32","i32","rid"
25,"BreachRoomI","Splinter Research Lab",1,0,47,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breech_present_1.arm",36698,12,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breech_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_black.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/BreachRoom","The Dreamer's call has entranced the Vaal.","Contains a Breach.",[],16,83,-16843010,-16843010,""
26,"GemRoomI","Gemcutter's Workshop",1,0,48,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/gems_present_1.arm",29190,13,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/gems_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/GemRoom","Destruction stems from within these gems.","Contains chests full of gems.",[],49,84,-16843010,-16843010,""
27,"CurrencyVaultI","Vault",1,0,49,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/currency_present_1.arm",36945,14,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/currency_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_red.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CurrencyVault","Darkness drifts through gilded gifts.","Contains chests full of currency items.",[],31,126,-16843010,-16843010,""
28,"TrinketRoomI","Jeweller's Workshop",1,0,50,"[15024,15111]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trinket_present_1.arm",56310,15,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/trinket_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrinketRoom","Earth demolished, mined and polished.","Increases the rarity of items dropped in the Temple.\nContains chests full of jewellery.",[],70,127,-16843010,-16843010,""
29,"WorkshopI","Workshop",1,0,51,"[15031,5363,15067]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/workshop_present_1.arm",27815,16,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/workshop_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/Workshop","The constant din drowns many a sin.","Increases the life of the Omnitect and Monsters throughout the Temple.\nIncreases item yield of the Temple.",[],76,128,-16843010,-16843010,""
30,"EmpoweringRoomI","Shrine of Empowerment",1,0,52,"[15014,15067]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/empowering_present_1.arm",1623,17,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/empowering_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/EmpoweringRoom","Energies bloom within the gloom.","Increases the speed of monsters throughout the Temple.\nUpgrades one random adjacent and connected room by one Tier.",[],43,129,-16843010,-16843010,""
31,"HealingRoomI","Pools of Restoration",1,0,53,"[15037,15067,15093]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/healing_present_1.arm",29045,18,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/healing_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/HealingRoom","Cold and cruel, this pristine pool.","Heals monsters in the Temple.",[],52,130,-16843010,-16843010,""
32,"BossMinionsI","Hatchery",1,0,54,"[15028,15067,15087,15105]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackA_present_1.arm",28140,19,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackA_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossMinionRoom","Darkness blessed this vile nest.","Increases monster damage throughout the Temple.\nAdds additional Minion monster packs throughout the Temple.\nAugments the Omnitect with minions.",[],34,256,-16843010,-16843010,""
33,"BossFireI","Flame Workshop",1,0,55,"[15049,15067,15081,15102]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackB_present_1.arm",22115,20,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackB_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossFireRoom","Beneath your feet flows sweltering heat.","Monsters throughout the Temple have additional fire damage.\nAdds additional Fire monster packs throughout the Temple.\nAugments the Omnitect with fire.",[],37,257,-16843010,-16843010,""
34,"BossLightningI","Lightning Workshop",1,0,56,"[15052,15067,15084,15099]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_present_1.arm",62908,21,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossLightningRoom","Sparks jump between arms of the machine.","Monsters throughout the Temple have additional lightning damage.\nAdds additional Lightning monster packs throughout the Temple.\nAugments the Omnitect with lightning.",[],40,258,-16843010,-16843010,""
35,"PoisonRoomII","Cultivar Chamber",2,0,57,"[15012,15097]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_present_2.arm",35549,0,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/PoisonRoom2","Madness feeds the vile seeds.","Spreads poisonous and parasitic plants throughout the Temple.",[],56,440,13,0,""
36,"SacrificeRoomII","Hall of Offerings",2,0,58,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_present_2.arm",53673,1,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_black.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/SacrificeRoom2","Red gifts flow to the pits below.","Allows you to sacrifice a unique item.\nAhuana drops an additional Unique Item.",[],62,441,14,0,""
37,"StormRoomII","Hurricane Engine",2,0,59,"[15079,15065]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_present_2.arm",6913,2,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/StormRoom2","Thunder booms through hewn stone rooms.","Adds certain Tempests to the Temple.\nBuffs from Tempests have 100% increased duration.",[],65,442,15,0,""
38,"TrapRoomII","Temple Defense Workshop",2,0,60,"[15041,15068,15091]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_present_2.arm",14070,3,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrapRoom2","Sanguine wine sups steel spines.","Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.",[],68,443,16,0,""
39,"CartographyRoomII","Office of Cartography",2,0,61,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_present_2.arm",61696,4,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CartographyRoom2","Dark magics guide a nation's divide.","Contains chests full of maps.",[],23,444,17,0,""
40,"QueensChambersII","Hall of Lords",2,0,62,"[15056,15109]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_present_2.arm",12574,5,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/QueensChambers2","From on high they send countless to die.","Increases the number of magic monsters throughout the Temple. ",[],59,445,18,0,""
41,"ChestsII","Warehouses",2,0,63,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_present_2.arm",63562,6,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Chests2","Secrets encased by names now erased.","Contains chests full of items.",[],26,446,19,0,""
42,"CorruptionRoomII","Catalyst of Corruption",2,0,64,"[15019,15115]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/corruption_present_2.arm",961,7,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/corruption_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_red.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CorruptionRoom2","Flesh kissed by the crimson mist.","Reduces player maximum resistances throughout the Temple.",[],29,447,20,0,""
43,"ExplosivesRoomII","Demolition Lab",2,0,65,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/explosives_present_2.arm",12263,8,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/explosives_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/ExplosivesRoom2","Stone walls shaking with the might of unmaking.","Contains Explosive Charges.\nContains two Sealed Coffers.",[],47,448,21,0,""
44,"ArmourRoomII","Armoury",2,0,66,"[15044,15068]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/armour_present_2.arm",33086,9,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/armour_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/ArmourRoom2","Fresh recruits drag iron suits.","Monsters throughout the Temple have increased resistances.\nContains chests full of armour.",[],14,449,22,0,""
45,"WeaponRoomII","Arena of Valour",2,0,67,"[15047,15068]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/weapons_present_2.arm",46313,10,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/weapons_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_red.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/WeaponRoom2","Cries fill the halls, blood stains the walls.","Increases monster criticals throughout the Temple.\nContains chests full of weapons.",[],74,450,23,0,""
46,"BreedingRoomII","Barracks",2,0,68,[15022],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breeding_present_2.arm",23727,11,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breeding_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BreedingRoom2","Glory charms the men at arms.","Increases monster pack size throughout the Temple.",[],20,451,24,0,""
47,"BreachRoomII","Breach Containment Chamber",2,0,69,[24024],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breech_present_2.arm",48392,12,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breech_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_black.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/BreachRoom2","Eyes peer through a seam from beyond the dark dream.","Contains two Breaches and Breach Splinters.\nBreaches open and close faster.",[],17,452,25,0,""
48,"GemRoomII","Department of Thaumaturgy",2,0,70,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/gems_present_2.arm",33628,13,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/gems_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/GemRoom2","The thaumaturge's vice extracts a high price.","Contains chests full of gems.",[],50,453,26,0,""
49,"CurrencyVaultII","Treasury",2,0,71,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/currency_present_2.arm",32923,14,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/currency_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_red.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CurrencyVault2","Lives shattered for gold scattered.","Contains chests full of currency items.",[],32,454,27,0,""
50,"TrinketRoomII","Jewellery Forge",2,0,72,"[15025,15112]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trinket_present_2.arm",57786,15,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/trinket_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrinketRoom2","Wealth engorged by the heat of the forge.","Increases the rarity of items dropped in the Temple.\nContains chests full of jewellery.",[],71,455,28,0,""
51,"WorkshopII","Engineering Department",2,0,73,"[15032,5364,15068]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/workshop_present_2.arm",11869,16,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/workshop_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/Workshop2","Metal moans in fearful tones.","Increases the life of the Omnitect and Monsters throughout the Temple.\nIncreases item yield of the Temple.",[],77,456,29,0,""
52,"EmpoweringRoomII","Sanctum of Unity",2,0,74,"[15015,15068,15070]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/empowering_present_2.arm",47887,17,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/empowering_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/EmpoweringRoom2","Vicious affairs atop the stairs.","Increases the speed of monsters throughout the Temple.\nIncreases level of items dropped by one.\nUpgrades two random adjacent and connected rooms by one Tier.",[],44,457,30,0,""
53,"HealingRoomII","Sanctum of Vitality",2,0,75,"[15038,15068,15094]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/healing_present_2.arm",46208,18,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/healing_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/HealingRoom2","Sons and daughters drowned in these waters.","Heals monsters in the Temple.",[],53,458,31,0,""
54,"BossMinionsII","Automaton Lab",2,0,76,"[15029,15068,15088,15106]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackA_present_2.arm",27848,19,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackA_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossMinionRoom2","Forged forms assemble in swarms.","Increases monster damage throughout the Temple.\nAdds additional Minion monster packs throughout the Temple.\nAugments the Omnitect with minions.",[],35,459,32,0,""
55,"BossFireII","Omnitect Forge",2,0,77,"[15050,15068,15082,15103]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackB_present_2.arm",565,20,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackB_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossFireRoom2","Flames desire to empower the spire.","Monsters throughout the Temple have additional fire damage.\nAdds additional Fire monster packs throughout the Temple.\nAugments the Omnitect with fire.",[],38,460,33,0,""
56,"BossLightningII","Omnitect Reactor Plant",2,0,78,"[15053,15068,15085,15100]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_present_2.arm",42207,21,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_past_2.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossLightningRoom2","Power flows to where no man goes.","Monsters throughout the Temple have additional lightning damage.\nAdds additional Lightning monster packs throughout the Temple.\nAugments the Omnitect with lightning.",[],41,461,34,0,""
57,"PoisonRoomIII","Toxic Grove",3,0,"","[15013,15098]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_present_3.arm",7899,0,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/PoisonRoom3","Toxins pave a verdant grave.","Spreads poisonous and parasitic plants throughout the Temple.\nContains a valuable item.",[],57,465,35,0,2194
58,"SacrificeRoomIII","Apex of Ascension",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_present_3.arm",63046,1,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/SacrificeRoom3","Form sliced through, but born anew.","Allows you to sacrifice a unique item.\nAhuana drops an additional Unique Item.",[],63,466,36,0,2174
59,"StormRoomIII","Storm of Corruption",3,0,"","[15080,15066]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_present_3.arm",5133,2,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/StormRoom3","Darkness flies across the skies.","Adds Corrupting or Radiating Tempests to the Temple.\nBuffs from Tempests have 200% increased duration.\nContains a valuable item.",[],66,467,37,0,2184
60,"TrapRoomIII","Defense Research Lab",3,0,"","[15042,15069,15092]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_present_3.arm",11681,3,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrapRoom3","Whirring blades and barricades.","Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.\nContains a valuable item.",[],69,468,38,0,2192
61,"CartographyRoomIII","Atlas of Worlds",3,0,"",[15071],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_present_3.arm",54094,4,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/CartographyRoom3","Devices baroque hide worlds bespoke.","Contains chests full of maps.\nArchitects drop Map-related Currency.",[],24,469,39,0,2182
62,"QueensChambersIII","Throne of Atziri",3,0,"","[15057,15110]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_present_3.arm",63579,5,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/QueensChambers3","A vision, sublime, untouched by time.","Increases the number of magic monsters throughout the Temple.\nContains Queen Atziri.",[],60,470,40,0,2178
63,"ChestsIII","Museum of Artefacts",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_present_3.arm",49758,6,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Chests3","Heirlooms, rotten, long-forgotten.","Contains chests full of items.",[],27,471,41,0,2177
64,"CorruptionRoomIII","Locus of Corruption",3,0,"","[15020,15116]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/corruption_present_3.arm",57960,7,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/CorruptionRoom3","Darkness coalesces, imbues, and blesses.","Reduces player maximum resistances throughout the Temple.\nContains an Altar of Corruption.",[],30,472,42,0,2173
65,"ExplosivesRoomIII","Shrine of Unmaking",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/explosives_present_3.arm",62364,8,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/ExplosivesRoom3","Flames and smoke soar; what was is no more.","Contains Explosive Charges.\nContains three Sealed Coffers.",[],48,473,43,0,2196
