"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect"
70,8,5,[231],"[11,233]","The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","Find another way to the forest",[15],3000,"[""Find another way to the forest""]",[],[],"",[],[],8,""
71,8,6,[230],"[11,233,28,129,4,130,131]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to. Search the Mud Flats for the entrance to the Submerged Passage to progress.","","Enter the Submerged Passage in the Mud Flats",[4],0,"[""Enter the Submerged Passage in the Mud Flats""]",[],[],"",[],[],8,""
72,8,7,[230],"[11,233]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[16],0,"[""Follow the Emperor's Road""]",[11],[],"",[],[],8,""
73,9,0,[234],[264],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],8,""
74,9,1,[122],[264],"Use the Thaumetic Emblem to trigger the Thaumetic Seal and open the blocked pass.","","Activate the Thaumetic Seal",[27],0,"[""Activate the Thaumetic Seal""]",[27],[],"",[],[],8,""
75,9,2,[513],[264],"Take the Thaumetic Emblem from Captain Arteri in the Western Forest.","","Take the Thaumetic Emblem",[27],0,"[""Take the Thaumetic Emblem""]",[27],[],"",[],[],8,""
76,9,3,[512],[264],"Kill the Blackguards guarding the blocked pass.","","Kill the Blackguards",[27],0,"[""Kill the Blackguards""]",[27],[],"",[],[],8,""
77,9,4,"[233,231]",[264],"Open the blocked pass back to Prisoner's Gate from the Western Forest.","","Open the blocked pass",[27],0,"[""Open the blocked pass""]",[27],[],"",[],[],8,""
78,9,5,"[134,231]",[264],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],[],8,""
79,9,6,"[11,231,262]",[264],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],[],8,""
80,9,7,"[11,231]",[264],"You have made your way to the forest. Find the encampment and look for someone who knows where the other side of the blocked pass is.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],[],8,""
81,9,8,[134],"[264,231]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[27],0,"[""Find the Emperor's Road""]",[27],[],"",[],[],8,""
82,9,9,[11],[264],"You have made your way to the forest. Find the encampment.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],[],8,""
83,16,0,"[55,77]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
84,16,1,"[55,85]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
85,16,2,[55],[],"Quest Complete - You have slain Oak and Alira. Talk to Kraityn to get the Apex. He has rewarded you with {0}.",1,"",[24],0,"[""Talk to Kraityn""]",[24],[],"",[],[],0,""
86,16,3,"[20,84]",[],"Quest Abandoned - You have slain Kraityn.","","",[],0,[],[],[],1,[],[],8,""
87,16,4,"[20,17]",[],"Quest Abandoned - You have slain Kraityn.","","You have slain Kraityn, and can no longer ally with him",[],0,[],[],[],1,[],[],8,""
88,16,5,"[20,78,79]",[],"You have obtained the amulets of Kraityn's rivals. He can be found at the Broken Bridge, east of town. Kraityn will reward you with {0}.","","You have the amulets. Talk to Kraityn for your reward",[24],0,"[""Talk to Kraityn for your reward""]",[24],[],"",[],[],0,""
89,16,6,"[20,79]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. You have slain Oak and have his amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],[],0,""
90,16,7,"[20,78]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Oak can be found in the Wetlands, west of town. You have slain Alira and have her amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],[],0,""
91,16,8,[20],[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. Oak can be found in the Wetlands, west of town. Kraityn will reward you with {0}.","","Acquire the amulets of Kraityn's rivals - Alira and Oak","[27,30]",0,"[""Acquire Alira's amulet"",""Acquire Oak's amulet""]","[27,30]",[],"",[],[],0,""
92,16,9,"[121,374]",[17],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Kraityn will reward you with {0}.","","",[24],0,"[""Talk to Kraityn and decide if you want to help him""]",[],[27],"",[],[],0,""
93,17,0,"[57,77]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
94,17,1,"[57,85]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
95,17,2,[57],[],"Quest Complete - You have slain Oak and Kraityn. Talk to Alira to get the Apex. She has rewarded you with {0}.",1,"",[27],0,"[""Talk to Alira""]",[27],[],"",[],[],0,""
96,17,3,"[21,84]",[],"Quest Abandoned - You have slain Alira.","","",[],0,[],[],[],1,[],[],8,""
97,17,4,"[21,18]",[],"Quest Abandoned - You have slain Alira.","","You have slain Alira, and can no longer ally with her",[],0,[],[],[],1,[],[],8,""
98,17,5,"[21,80,79]",[],"You have obtained the amulets of Alira's rivals. She can be found in the Western Forest, and will reward you with {0}.","","You have the amulets. Talk to Alira for your reward",[27],0,"[""Talk to Alira for your reward""]",[27],[],"",[],[],0,""
99,17,6,"[21,79]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. You have slain Oak and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],[],0,""
100,17,7,"[21,80]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Oak can be found in the Wetlands, west of town. You have slain Kraityn and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],[],0,""
101,17,8,[21],[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. Oak can be found in the Wetlands, west of town. Alira will reward you with {0}.","","Acquire the amulets of Alira's rivals - Kraityn and Oak","[24,30]",0,"[""Acquire Kraityn's amulet"",""Acquire Oak's amulet""]","[24,30]",[],"",[],[],0,""
102,17,9,"[121,381]",[18],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Alira will reward you with {0}.","","",[27],0,"[""Talk to Alira and decide if you want to help her""]",[],[30],"",[],[],0,""
103,18,0,"[90,77]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
104,18,1,"[90,85]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
105,18,2,[90],[],"Quest Complete - You have slain Alira and Kraityn. Talk to Oak to get the Apex. He has rewarded you with {0}.",1,"",[30],0,"[""Talk to Oak""]",[30],[],"",[],[],0,""
106,18,3,"[22,84]",[],"Quest Abandoned - You have slain Oak.","","",[],0,[],[],[],1,[],[],8,""
107,18,4,"[22,19]",[],"Quest Abandoned - You have slain Oak.","","You have slain Oak, and can no longer ally with him",[],0,[],[],[],1,[],[],8,""
108,18,5,"[22,78,80]",[],"You have obtained the amulets of Oak's rivals. He can be found in the Wetlands, west of town. Oak will reward you with {0}.","","You have the amulets. Talk to Oak for your reward",[30],0,"[""Talk to Oak for your reward""]",[30],[],"",[],[],0,""
109,18,6,"[22,80]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. You have slain Kraityn and have his amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],[],0,""
110,18,7,"[22,78]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Kraityn can be found at the Broken Bridge, east of town. You have slain Alira and have her amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],[],0,""
111,18,8,[22],[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. Kraityn can be found at the Broken Bridge, east of town. Oak will reward you with {0}.","","Acquire the amulets of Oak's rivals - Kraityn and Alira","[24,27]",0,"[""Acquire Kraityn's amulet"",""Acquire Alira's amulet""]","[24,27]",[],"",[],[],0,""
112,18,9,"[121,367]",[19],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Oak will reward you with {0}.","","",[30],0,"[""Talk to Oak and decide if you want to help him""]",[],[33],"",[],[],0,""
113,15,0,[123],[],"Quest Complete - You have slain the Bandit Lords. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
114,15,1,[84],[],"Quest Abandoned - You have aided a Bandit Lord.","","",[],0,[],[],[],1,[],[],8,""
115,15,2,"[78,79,80,54]",[],"You have killed all the Bandit Lords and obtained their amulets. Bring them to Eramir for {0}.","","Take the amulets back to Eramir",[17],0,"[""Talk to Eramir for your reward""]",[17],[],"",[],[],0,""
116,15,3,"[80,78,54]",[],"You have killed Kraityn and Alira, but Oak continues to harass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[30],0,"[""Eramir wants you to kill Oak""]",[30],[],"",[],[],0,""
117,15,4,"[80,79,54]",[],"You have killed Kraityn and Oak, but Alira continues to harass the Forest Encampment. If you kill her, Eramir will reward you with {0}.","","",[27],0,"[""Eramir wants you to kill Alira""]",[27],[],"",[],[],0,""
118,15,5,"[78,79,54]",[],"You have killed Alira and Oak, but Kraityn continues to harrass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[24],0,"[""Eramir wants you to kill Kraityn""]",[24],[],"",[],[],0,""
119,15,6,"[78,54]",[],"You have killed Alira, but Kraityn and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Oak""]","[24,30]",[],"",[],[],0,""
120,15,7,"[79,54]",[],"You have killed Oak, but Kraityn and Alira continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,27]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira""]","[24,27]",[],"",[],[],0,""
121,15,8,"[80,54]",[],"You have killed Kraityn, but Alira and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[27,30]",0,"[""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[27,30]",[],"",[],[],0,""
122,15,9,[54],[],"The Forest Encampment is under constant attack by three bandit factions led by Kraityn, Alira and Oak. If you find a way to prevent these attacks, Eramir will reward you with {0}.","","Stop the bandit lords from attacking","[24,27,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[24,27,30]",[],"",[],[],0,""
123,15,10,[78],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],8,""
124,15,11,[79],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],8,""
125,15,12,[80],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],8,""
126,19,0,[151],[],"Quest Complete - You have vanquished the Vaal Oversoul. You are now able to travel to Act 3.",1,"",[],0,[],[],[],"",[],[],8,""
127,19,1,[150],[],"Quest Complete - You have vanquished the Vaal Oversoul. You are now able to travel to Act 3.",1,"Find the Sarn encampment",[34],0,"[""Find the Sarn encampment""]",[],[],"",[],[],8,""
128,19,2,[474],[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],8,""
129,19,3,"[86,77]",[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],8,""
130,19,4,"[86,85]",[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],8,""
131,19,5,[77],[],"Kill the Vaal Oversoul atop the Ancient Pyramid to banish the darkness.","","Kill the Vaal Oversoul",[32],25000,"[""Kill the Vaal Oversoul""]",[32],[],"",[],[],8,""
132,19,6,"[70,55]",[85],"Get the Apex from Kraityn at the Broken Bridge.","","Get the Apex from Kraityn",[24],0,"[""Talk to Kraityn""]",[24],[],"",[],[],8,""
133,19,7,"[70,57]",[85],"Get the Apex from Alira in the Western Forest.","","Get the Apex from Alira",[27],0,"[""Talk to Alira""]",[27],[],"",[],[],8,""
134,19,8,"[70,90]",[85],"Get the Apex from Oak in the Wetlands.","","Get the Apex from Oak",[30],0,"[""Talk to Oak""]",[30],[],"",[],[],8,""
135,19,9,"[70,123]",[85],"Get the Apex from Eramir in the Forest Encampment.","","Get the Apex from Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],8,""
