"rownum","Id","Description","ModTypes","BossARMFile","Type","Icon","HASH16","bool","i32"
19,"TimedSurvivalWavesChaos","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",61826,1,-20
20,"BossTemplate","Defeat the Trialmaster","[5,4]","Metadata/Terrain/Leagues/Ultimatum/UltimatumArena/Rooms/Arenas/boss_arena_1.arm",4,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/BossMechanicIcons",23937,"",0
21,"CaptureVaal","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",17761,1,0
22,"CaptureApes","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",9274,1,0
23,"CaptureGolems","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",29292,1,0
24,"CaptureSpooky","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",50648,1,0
25,"CaptureApesVaal","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",58539,1,0
26,"CaptureGolemsVaal","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",60675,1,0
27,"CaptureSpookyVaal","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",21372,1,0
28,"CaptureSpookyApes","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",27458,1,0
29,"CaptureChaos","Stand in the Stone Circles",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",43750,1,0
30,"DefenseVaal","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",7717,1,-20
31,"DefenseApes","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",59054,1,-20
32,"DefenseGolems","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",41408,1,-20
33,"DefenseSpooky","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",53279,1,-20
34,"DefenseApesVaal","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",41588,1,-20
35,"DefenseGolemsVaal","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",31141,1,-20
36,"DefenseSpookyVaal","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",40130,1,-20
37,"DefenseSpookyApes","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",42376,1,-20
38,"DefenseChaos","Protect the Altar",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",8457,1,-20
