"rownum","Id","Result_BaseItemTypesKey","Ingredients_BaseItemTypesKeys","BK2File","[i32]","i32","bool"
18,"MicrotransactionSinandInnocenceShortsword",1287,"[1257,1272]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
19,"MicrotransactionSinandInnocenceLongsword",1288,"[1258,1273]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
20,"MicrotransactionSinandInnocenceShield",1731,"[1729,1730]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
21,"SinandInnocenceWeapon",4767,"[4765,4766]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
22,"MicrotransactionApocalypseHelmet",1405,"[1375,1390]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
23,"MicrotransactionApocalypseBoots",1406,"[1376,1391]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
24,"MicrotransactionApocalypseGloves",1407,"[1377,1392]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
25,"MicrotransactionApocalypseBodyArmour",1408,"[1378,1393]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
26,"MicrotransactionApocalypseCloak",1409,"[1379,1394]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
27,"MicrotransactionApocalypseWings",1410,"[1380,1395]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
28,"MicrotransactionApocalypsePortalEffect",1411,"[1384,1399]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
29,"MicrotransactionApocalypseHelmetAttachment",1412,"[1385,1400]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
30,"MicrotransactionApocalypseFootprintsEffect",1413,"[1386,1401]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
31,"MicrotransactionOriathHelmet",1463,"[1455,1459]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
32,"MicrotransactionOriathBoots",1464,"[1456,1460]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
33,"MicrotransactionOriathGloves",1465,"[1457,1461]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
34,"MicrotransactionOriathBodyArmour",1466,"[1458,1462]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
35,"MicrotransactionOriathWings",1469,"[1467,1468]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
36,"MicrotransactionOriathCloak",1472,"[1470,1471]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
37,"MicrotransactionOriathPortalEffect",1477,"[1475,1476]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
38,"MicrotransactionOriathWeapon",1484,"[1482,1483]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
39,"OriathPet",4784,"[4782,4783]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
40,"MicrotransactionOriathHelmetAttachment",1489,"[1487,1488]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
41,"MicrotransactionOriathFootprintsEffect",1492,"[1490,1491]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
42,"MicrotransactionOriathShield",1702,"[1520,1577]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
43,"MicrotransactionStalkerWingsUpgrade2",1530,"[1529,16]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
44,"MicrotransactionStalkerWingsUpgrade3",1531,"[1530,16]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
45,"MicrotransactionSpectreHelmet",1617,"[1606,1591]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
46,"MicrotransactionSpectreBoots",1618,"[1609,1594]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
47,"MicrotransactionSpectreGloves",1619,"[1608,1593]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
48,"MicrotransactionSpectreBodyArmour",1620,"[1607,1592]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
49,"MicrotransactionSpectreWings",1621,"[1602,1588]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
50,"MicrotransactionSpectreCloak",1622,"[1603,1589]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
51,"MicrotransactionSpectrePortalEffect",1623,"[1611,1596]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
52,"MicrotransactionSpectreHood",1624,"[1604,1590]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
53,"MicrotransactionSpectreStaff",1625,"[1615,1600]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
54,"MicrotransactionSpectreFootprintsEffect",1626,"[1614,1599]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
55,"MicrotransactionSpectreCharacterEffect",1627,"[1610,1595]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
56,"MicrotransactionMarakethCharacterEffectUpgrade4",1715,"[1713,17]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
57,"MicrotransactionMarakethCharacterEffectUpgrade6",1717,"[1715,17]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
58,"MicrotransactionTranscendenceWings",1797,"[1769,1783]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
59,"MicrotransactionTranscendenceBackAttachment",1798,"[1770,1784]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
60,"MicrotransactionTranscendenceHood",1799,"[1771,1785]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
61,"MicrotransactionTranscendenceHelmet",1800,"[1772,1786]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
62,"MicrotransactionTranscendenceBoots",1801,"[1774,1787]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
63,"MicrotransactionTranscendenceGloves",1802,"[1773,1788]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
64,"MicrotransactionTranscendenceBodyArmour",1803,"[1775,1789]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
65,"MicrotransactionTranscendenceDagger",1804,"[1776,1790]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
66,"MicrotransactionTranscendencePortalEffect",1805,"[1777,1791]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
67,"MicrotransactionTranscendenceFootprintsEffect",1806,"[1782,1796]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
68,"MicrotransactionCelestialAuraEffect2",1758,"[1757,18]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
69,"MicrotransactionCelestialAuraEffect3",1759,"[1758,18]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
70,"MicrotransactionWildGoldPortalEffect",1901,[1889],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
71,"MicrotransactionWildGoldWings",1899,[1884],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
72,"MicrotransactionWildGoldCloak",1898,[1883],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
73,"MicrotransactionWildGoldHood",1893,[1878],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
74,"MicrotransactionWildGoldHelmet",1894,[1879],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
75,"MicrotransactionWildGoldBoots",1895,[1880],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
76,"MicrotransactionWildGoldGloves",1896,[1881],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
77,"MicrotransactionWildGoldBodyArmour",1897,[1882],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
78,"MicrotransactionWildGoldFootprintsEffect",1900,[1887],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
79,"MicrotransactionSilverWranglerPortalEffect",1924,[1912],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
80,"MicrotransactionSilverWranglerWings",1922,[1908],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
81,"MicrotransactionSilverWranglerCloak",1921,[1907],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
82,"MicrotransactionSilverWranglerHat",1916,[1902],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
83,"MicrotransactionSilverWranglerHelmet",1917,[1903],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
84,"MicrotransactionSilverWranglerBoots",1918,[1904],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
85,"MicrotransactionSilverWranglerGloves",1919,[1905],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
86,"MicrotransactionSilverWranglerBodyArmour",1920,[1906],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
87,"MicrotransactionSilverWranglerFootprintsEffect",1923,[1910],"Art/Videos/MysteryBox_Combine_Frontier.bk2",[2],0,""
88,"MicrotransactionZenithBackAttachment2",1970,"[1969,19]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
89,"MicrotransactionZenithBackAttachment3",1971,"[1970,19]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
90,"MicrotransactionJovialRingmasterHat",2009,[1995],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
91,"MicrotransactionJovialRingmasterHelmet",2010,[1996],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
92,"MicrotransactionJovialRingmasterBoots",2011,[1997],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
93,"MicrotransactionJovialRingmasterGloves",2012,[1998],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
94,"MicrotransactionJovialRingmasterBodyArmour",2013,[1999],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
95,"MicrotransactionJovialRingmasterCloak",2014,[2000],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
96,"MicrotransactionJovialRingmasterWings",2015,[2001],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
97,"MicrotransactionJovialRingmasterPortalEffect",2016,[2004],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
98,"MicrotransactionJovialRingmasterFootprintsEffect",2017,[2006],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
99,"MicrotransactionDismalHarlequinHat",2032,[2018],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
100,"MicrotransactionDismalHarlequinHelmet",2033,[2019],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
101,"MicrotransactionDismalHarlequinBoots",2034,[2020],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
102,"MicrotransactionDismalHarlequinGloves",2035,[2021],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
103,"MicrotransactionDismalHarlequinBodyArmour",2036,[2022],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
104,"MicrotransactionDismalHarlequinCloak",2037,[2023],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
105,"MicrotransactionDismalHarlequinWings",2038,[2024],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
106,"MicrotransactionDismalHarlequinPortalEffect",2039,[2027],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
107,"MicrotransactionDismalHarlequinFootprintsEffect",2040,[2029],"Art/Videos/MysteryBox_Combine_Carnival.bk2",[2],0,""
108,"GargoyleAmaranthinePremium",4722,"[4721,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
109,"ChiyouPremiumPet",4830,"[4829,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
110,"DragonHunterPremiumPet",4795,"[4794,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
111,"ArcticDragonHunterPremiumPet",4809,"[4808,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
112,"NineTailedFoxPremiumPet",4813,"[4812,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
113,"MicrotransactionBlackandWhiteHood",2203,"[2175,2189]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
114,"MicrotransactionBlackandWhiteHelmet",2204,"[2176,2190]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
115,"MicrotransactionBlackandWhiteBoots",2205,"[2177,2191]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
116,"MicrotransactionBlackandWhiteGloves",2206,"[2178,2192]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
117,"MicrotransactionBlackandWhiteBodyArmour",2207,"[2179,2193]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
118,"MicrotransactionBlackandWhiteWings",2208,"[2180,2194]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
119,"MicrotransactionBlackandWhiteCloak",2209,"[2181,2195]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
120,"MicrotransactionBlackandWhitePortalEffect",2211,"[2184,2198]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
121,"MicrotransactionBlackandWhiteFootprintsEffect",2210,"[2185,2199]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
122,"MicrotranasctionBlackandWhiteDragonPet",4845,"[4839,4842]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",0,""
123,"MicrotransactionImaginationCharacterEffect2",2281,"[2280,21]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
124,"MicrotransactionImaginationCharacterEffect3",2282,"[2281,21]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
125,"MicrotransactionThaumaturgyHood",2326,"[2307,2288]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
126,"MicrotransactionThaumaturgyHelmet",2325,"[2306,2287]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
127,"MicrotransactionThaumaturgyBoots",2327,"[2308,2289]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
128,"MicrotransactionThaumaturgyGloves",2328,"[2309,2290]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
129,"MicrotransactionThaumaturgyBodyArmour",2329,"[2310,2291]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
130,"MicrotransactionThaumaturgyWings",2330,"[2311,2292]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
131,"MicrotransactionThaumaturgyCloak",2331,"[2312,2293]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
132,"MicrotransactionThaumaturgyFootprintsEffect",2333,"[2316,2297]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
133,"MicrotransactionThaumaturgyPortalEffect",2334,"[2319,2300]","Art/Videos/MysteryBox_Combine_Thaumaturgy.bk2","[1,1]",0,""
134,"GargoyleAmaranthinePremium2",4722,"[4723,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
135,"ChiyouPremiumPet2",4830,"[4831,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
136,"DragonHunterPremiumPet2",4795,"[4796,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
137,"ArcticDragonHunterPremiumPet2",4809,"[4810,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
138,"NineTailedFoxPremiumPet2",4813,"[4814,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
139,"BlackDragonPremiumPet2",4840,"[4841,0]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",90,""
140,"WhiteDragonPremiumPet2",4843,"[4844,0]","Art/Videos/MysteryBox_Combine_Polaris.bk2","[1,1]",90,""
141,"SunprismPremiumPet",4851,"[4850,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
142,"SunprismPremiumPet2",4851,"[4852,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
143,"MicrotransactionPandemoniumHood",2434,"[2403,2419]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
144,"MicrotransactionPandemoniumHelmet",2435,"[2404,2420]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
145,"MicrotransactionPandemoniumBoots",2436,"[2405,2421]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
146,"MicrotransactionPandemoniumGloves",2437,"[2406,2422]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
147,"MicrotransactionPandemoniumBodyArmour",2438,"[2407,2423]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
148,"MicrotransactionPandemoniumCloak",2439,"[2408,2424]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
149,"MicrotransactionPandemoniumWings",2440,"[2409,2425]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
150,"MicrotransactionPandemoniumFootprintsEffect",2441,"[2415,2430]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
151,"MicrotransactionPandemoniumPortalEffect",2442,"[2416,2431]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
152,"MicrotransactionPandemoniumShield",2443,"[2412,2427]","Art/Videos/MysteryBox_Combine_AngelsAndDemons.bk2","[1,1]",0,""
153,"DaughterOfSinPremiumPet",4875,"[4874,12]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
154,"DaughterOfSinPremiumPet2",4875,"[4876,12]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
155,"MicrotransactionGlimmerwoodWings2",2455,"[2454,22]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
156,"MicrotransactionGlimmerwoodWings3",2456,"[2455,22]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
157,"MicrotransactionTwilightPortalEffect",2603,"[2578,2592]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
158,"MicrotransactionTwilightFootprintsEffect",2602,"[2577,2591]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
159,"MicrotransactionTwilightWings",2601,"[2573,2587]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
160,"MicrotransactionTwilightCloak",2600,"[2572,2586]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
161,"MicrotransactionTwilightBodyArmour",2599,"[2571,2585]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
162,"MicrotransactionTwilightGloves",2598,"[2570,2584]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
163,"MicrotransactionTwilightBoots",2597,"[2569,2583]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
164,"MicrotransactionTwilightHelmet",2596,"[2568,2582]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
165,"MicrotransactionTwilightHelmetAttachment",2595,"[2567,2581]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
166,"MicrotransactionTwilightCharacterEffect",2604,"[2589,2575]","Art/Videos/MysteryBox_Combine_Twilight.bk2","[1,1]",0,""
167,"FreyaPremiumPet",4905,"[4904,12]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
168,"FreyaPremiumPet2",4905,"[4906,12]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
169,"MicrotransactionGoddessBlueHelmet",2491,"[2478,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
170,"MicrotransactionGoddessBlueBoots",2492,"[2480,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
171,"MicrotransactionGoddessBlueGloves",2493,"[2481,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
172,"MicrotransactionGoddessBlueBodyArmour",2494,"[2482,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
173,"MicrotransactionGoddessBlueWeaponSkin",2495,"[2485,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
174,"MicrotransactionGoddessBlueWeaponEffect",2496,"[2486,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
175,"MicrotranasctionGoddessBlueCharacterEffect",2497,"[2487,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
176,"MicrotransactionGoddessBlueFootprintsEffect",2498,"[2488,13]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
177,"GoddessPremiumPet",4887,"[4886,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
178,"GoddessPremiumPet2",4887,"[4888,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
179,"MicrotransactionCelestialTentaclesCharacterEffect2",2607,"[2606,23]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
180,"MicrotransactionCelestialTentaclesCharacterEffect3",2608,"[2607,23]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
181,"MicrotransactionNightfallDragonPet1",4894,"[4893,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
182,"MicrotransactionNightfallDragonPet2",4894,"[4895,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
183,"MicrotransactionDespairHelmetAttachment",2800,"[2771,2786]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
184,"MicrotransactionDespairHelmet",2801,"[2772,2787]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
185,"MicrotransactionDespairBoots",2802,"[2773,2788]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
186,"MicrotransactionDespairGloves",2803,"[2774,2789]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
187,"MicrotransactionDespairBodyArmour",2804,"[2775,2790]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
188,"MicrotransactionDespairWings",2806,"[2777,2792]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
189,"MicrotransactionDespairCloak",2805,"[2776,2791]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
190,"MicrotransactionDespairPortalEffect",2808,"[2781,2796]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
191,"MicrotransactionDespairFootprintsEffect",2809,"[2782,2797]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
192,"MicrotransactionDespairHeraldEffect",2807,"[2784,2799]","Art/Videos/MysteryBox_Combine_Warlord.bk2","[1,1]",0,""
193,"TwilightPegasusPremiumPet",4921,"[4920,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
194,"TwilightPegasusPremiumPet2",4921,"[4922,0]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",90,""
195,"MicrotransactionApollyonHood",2885,"[2859,2875]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
196,"MicrotransactionApollyonHelmet",2886,"[2853,2869]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
197,"MicrotransactionApollyonBoots",2887,"[2854,2870]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
198,"MicrotransactionApollyonGloves",2888,"[2855,2871]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
199,"MicrotransactionApollyonBodyArmour",2889,"[2856,2872]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
200,"MicrotransactionApollyonWings",2890,"[2857,2873]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
201,"MicrotransactionApollyonCloak",2891,"[2858,2874]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
202,"MicrotransactionApollyonCharacterEffect",2892,"[2878,2862]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
203,"MicrotransactionApollyonPortalEffect",2893,"[2864,2880]","Art/Videos/MysteryBox_Combine_Apollyon.bk2","[1,1]",0,""
