"rownum","rid","i32","i32"
190,324,11,1881
191,324,12,2218
192,324,13,2668
193,324,14,3173
194,324,15,3738
195,324,16,4370
196,324,17,5074
197,324,18,5998
198,324,19,7044
199,324,20,8227
200,201,1,40
201,201,2,75
202,201,3,143
203,201,4,302
204,201,5,488
205,201,6,698
206,201,7,866
207,201,8,1048
208,201,9,1298
209,201,10,1575
210,201,11,1881
211,201,12,2218
212,201,13,2668
213,201,14,3173
214,201,15,3738
215,201,16,4370
216,201,17,5074
217,201,18,5998
218,201,19,7044
219,201,20,8227
220,389,1,40
221,389,2,75
222,389,3,143
223,389,4,302
224,389,5,488
225,389,6,698
226,389,7,866
227,389,8,1048
228,389,9,1298
229,389,10,1575
230,389,11,1881
231,389,12,2218
232,389,13,2668
233,389,14,3173
234,389,15,3738
235,389,16,4370
236,389,17,5074
237,389,18,5998
238,389,19,7044
239,389,20,8227
240,117,1,40
241,117,2,75
242,117,3,143
243,117,4,302
244,117,5,488
245,117,6,698
246,117,7,866
247,117,8,1048
248,117,9,1298
249,117,10,1575
250,117,11,1881
251,117,12,2218
252,117,13,2668
253,117,14,3173
254,117,15,3738
255,117,16,4370
256,117,17,5074
257,117,18,5998
258,117,19,7044
259,117,20,8227
260,105,1,40
261,105,2,75
262,105,3,143
263,105,4,302
264,105,5,488
265,105,6,698
266,105,7,866
267,105,8,1048
268,105,9,1298
269,105,10,1575
270,105,11,1881
271,105,12,2218
272,105,13,2668
273,105,14,3173
274,105,15,3738
275,105,16,4370
276,105,17,5074
277,105,18,5998
278,105,19,7044
279,105,20,8227
280,205,1,40
281,205,2,75
282,205,3,143
283,205,4,302
284,205,5,488
285,205,6,698
286,205,7,866
287,205,8,1048
288,205,9,1298
289,205,10,1575
290,205,11,1881
291,205,12,2218
292,205,13,2668
293,205,14,3173
294,205,15,3738
295,205,16,4370
296,205,17,5074
297,205,18,5998
298,205,19,7044
299,205,20,8227
300,181,1,40
301,181,2,75
302,181,3,143
303,181,4,302
304,181,5,488
305,181,6,698
306,181,7,866
307,181,8,1048
308,181,9,1298
309,181,10,1575
310,181,11,1881
311,181,12,2218
312,181,13,2668
313,181,14,3173
314,181,15,3738
315,181,16,4370
316,181,17,5074
317,181,18,5998
318,181,19,7044
319,181,20,8227
320,361,1,28
321,361,2,52
322,361,3,99
323,361,4,209
324,361,5,338
325,361,6,483
326,361,7,599
327,361,8,725
328,361,9,897
329,361,10,1088
330,361,11,1300
331,361,12,1533
332,361,13,1844
333,361,14,2193
334,361,15,2583
335,361,16,3019
336,361,17,3506
337,361,18,4144
338,361,19,4867
339,361,20,5684
340,42,1,28
341,42,2,52
342,42,3,99
343,42,4,209
344,42,5,338
345,42,6,483
346,42,7,599
347,42,8,725
348,42,9,897
349,42,10,1088
350,42,11,1300
351,42,12,1533
352,42,13,1844
353,42,14,2193
354,42,15,2583
355,42,16,3019
356,42,17,3506
357,42,18,4144
358,42,19,4867
359,42,20,5684
360,386,1,28
361,386,2,52
362,386,3,99
363,386,4,209
364,386,5,338
365,386,6,483
366,386,7,599
367,386,8,725
368,386,9,897
369,386,10,1088
370,386,11,1300
371,386,12,1533
372,386,13,1844
373,386,14,2193
374,386,15,2583
375,386,16,3019
376,386,17,3506
377,386,18,4144
378,386,19,4867
379,386,20,5684
380,59,1,28
381,59,2,52
382,59,3,99
383,59,4,209
384,59,5,338
385,59,6,483
386,59,7,599
387,59,8,725
388,59,9,897
389,59,10,1088
390,59,11,1300
391,59,12,1533
392,59,13,1844
393,59,14,2193
394,59,15,2583
395,59,16,3019
396,59,17,3506
397,59,18,4144
398,59,19,4867
399,59,20,5684
400,60,1,28
401,60,2,52
402,60,3,99
403,60,4,209
404,60,5,338
405,60,6,483
406,60,7,599
407,60,8,725
408,60,9,897
409,60,10,1088
410,60,11,1300
411,60,12,1533
412,60,13,1844
413,60,14,2193
414,60,15,2583
415,60,16,3019
416,60,17,3506
417,60,18,4144
418,60,19,4867
419,60,20,5684
420,61,1,28
421,61,2,52
422,61,3,99
423,61,4,209
424,61,5,338
425,61,6,483
426,61,7,599
427,61,8,725
428,61,9,897
429,61,10,1088
430,61,11,1300
431,61,12,1533
432,61,13,1844
433,61,14,2193
434,61,15,2583
435,61,16,3019
436,61,17,3506
437,61,18,4144
438,61,19,4867
439,61,20,5684
