"rownum","GroundEffectTypesKey","i32","i32","rid","f32","[i32]","bool","AOFile","[string]","EndEffect","rid","rid","rid","rid","rid","bool","bool","bool","rid","rid","bool","bool","bool","rid"
34,0,1006,2,"",100,[],"","[""Metadata/Effects/Spells/crossbow/flaming_grd.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","","",""
35,0,1007,2,"",100,[],1,"[""Metadata/Effects/Spells/flame_wall/flame_wall.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
36,0,1008,2,"",165,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
37,0,1009,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Miniboss/corr_fire_burningground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
38,0,1010,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Miniboss/exalt_skybeam.ao""]","[""loop""]","end","","","","","","",1,"","","",1,1,"",""
39,0,1011,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/ForsakenSon/burnt_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
40,0,1012,2,"",165,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
41,0,1013,2,"",165,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
42,0,1014,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Miniboss/chaos_dash_burningground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
43,0,1015,2,"",145,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Lunaris/corr_fire_burningground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
44,0,1016,2,"",145,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/WifeMonster/ghostflame_burningground.ao""]","[""loop""]","fadeout",2304,"","","","","",1,"","","","","","",""
45,0,1017,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
46,0,1018,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/GreatSnakeSkeletonBoss/fireTornado.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
47,0,1019,2,2187,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalHumanoidCannon/ao/burning_ground.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
48,0,1020,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/Doryani/fire_skybeam.ao""]","[""loop""]","end","","","","","","",1,"","","",1,1,"",""
49,0,1021,2,"",250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheExperimets/envHazard_Fire.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
50,0,1022,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/monster_mods/fire/burned_ground/ao/grd_Burning01_instant.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
51,0,1023,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/fire/burned_ground/ao/grd_Burning01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","",1,"",""
52,0,1024,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout",2595,"","","","","",1,"","","","","","",""
53,1,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/ice/ice.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
54,1,0,2,"",185,[],1,"[""Metadata/Effects/Spells/grd_Zones/grd_Chilled01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
55,1,1,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/hellion/ice/icepatchremain_new.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
56,1,2,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
57,1,2,2,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
58,1,3,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/merc_pool.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
59,1,4,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/chilling_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
60,1,5,2,"",130,[],1,"[""Metadata/Effects/Microtransactions/Spells/ice_dash/frontier_wrangler/ICE_decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
61,1,6,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/chilled/chilled_grd_arctic_armour.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
62,1,1000,2,"",89,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/QuillCrabCold/ao/IceExpand.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
63,1,1001,2,"",89,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/QuillCrabCold/ao/IceExpand.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
64,1,1002,2,"",300,[],"","[""Metadata/Effects/Spells/cold_vortex/ao/cold_vortex.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
65,1,1003,2,"",1000,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/Baron/ice_breath_grd_once.ao""]","[""animate""]","end","","",507,"","","",1,"","","","","","",""
66,1,1004,2,"",300,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/GrimdropGrappleclaw/ao/chilled_grd_impact.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
67,1,1005,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheExperimets/grd_Chilled01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
68,1,1006,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/Chimera/ao/grd_Chilled01_TEMP.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
69,1,1007,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/ice/chilled_ground/ao/grd_Chilled01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","",1,"",""
70,1,1008,2,"",200,[],1,"[""Metadata/Effects/Spells/cold_frozen_vortex/frozen_vortex.ao""]","[""vortex""]","animationPreSet","","","","","","",1,"","","","",1,"",""
71,1,1009,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
72,7,1000,2,229,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/MastadonBoss/ao/necromancer_shocked_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
73,7,0,1,"",40,[],1,"[""Metadata/Effects/Spells/ground_effects/lightning/lightning_ground_01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
74,7,0,2,"",190,[],1,"[""Metadata/Effects/Spells/grd_Zones/grd_Shocked01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
75,7,1,2,"",100,[],"","[""Metadata/Effects/Microtransactions/Spells/lighting_trap/celestial/groundEffects/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
76,7,2,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/static_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
77,7,3,2,226,200,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/boss_pale_king/doublethrow_shocked_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
78,7,4,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground.ao""]","[""idle""]","end","","","","","","",1,"","","",1,1,"",""
79,7,5,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheTangle/ao/orb_grd_effect.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
80,7,6,2,"",130,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
81,7,1002,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/shocking/shocking_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
82,7,1003,2,"",180,[],"","[""Metadata/Effects/Spells/grd_Zones/grd_Shocked01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
83,7,1004,2,2159,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/minion_explode.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
84,7,1005,2,"",300,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/GrimdropGrappleclaw/ao/shocked_grd_impact.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
85,7,1006,2,2159,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/beetle_nova.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
86,7,1007,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground_instant.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
87,5,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
88,5,0,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
89,5,1,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil_red/evil_01.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_02.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
90,5,1,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
91,5,2,1,"",0,[],"","[""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_01.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_02.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
92,5,2,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
93,5,3,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/desecrate_stygian/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
94,5,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/void_desecrate/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
95,5,1000,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/corruption_grd.ao""]","[""loop""]","fadeout","",154,"","","","","","","","","","","",""
96,6,0,1,"",150,"[24,10,3]","","[""Metadata/Effects/Spells/ground_effects/holy/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
97,6,0,2,"",130,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
98,6,1,2,"",110,[],"","[""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_01.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_02.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_03.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_04.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_05.ao""]","[""loop""]","fadeout",1165,"","","","","","","","","","","","",""
99,6,2,2,1001,110,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","",1001,"","","","",""
100,6,3,2,1625,150,[],"","[""Metadata/Effects/Microtransactions/Spells/holy_path/celestial/consecrated_01.ao""]","[""loop""]","fadeout","","","","","","","","",1625,"","","","",""
101,6,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/ground_effects/archnemesis/archunholy_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
102,3,0,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
103,3,0,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar/targround_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
104,3,1,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/goldtar_rig.ao""]","[""loop""]","fadeout",729,"","","","","",1,"","","","","","",""
105,3,1,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_05.ao""]","[""loop""]","fadeout",729,"","","","","",1,"","","","","","",""
106,3,2,1,"",83.5,[],"","[""Metadata/Effects/Spells/monsters_effects/act5/slave_catcher/net_throw/net.ao""]","[""loop""]","fadeout",773,"","","","","",1,"","","","","","",""
107,3,3,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/yellow_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
108,3,4,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_ground_travel.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
109,3,5,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_emerge.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
110,3,6,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/PictFemaleStaff/swamp_pool.ao""]","[""loop""]","end",2329,"",511,"","","",1,"","","","","","",""
111,3,7,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/PictFemaleStaff/swamp_pool.ao""]","[""loop""]","end",2329,"",512,"","","",1,"","","","","","",""
112,3,1001,2,2188,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalGoliath/ao/debuff.ao""]","[""loop""]","end","","",563,"","","",1,"","","","","","",""
