"rownum","Id","CraftFamily","Text","Script","ScriptArgument","HASH16","bool","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32"
35,"GemExperienceToCharacterExperienceMerciless2",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","25",33557280,"",0,0,0,0,0,-67108864,23,0,0,0
36,"GemExperienceToCharacterExperienceUber1",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","25",16837092,"",0,0,0,0,0,1308622848,24,0,0,0
37,"GemExperienceToCharacterExperienceUber2",4,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","40",33581506,"",0,0,0,0,0,2113929216,25,0,0,0
38,"SacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","sacrifice_gem_for_treasure_keys","",16777374,"",0,0,0,0,0,1711276032,26,0,0,1
39,"SacrificeGemForRandomCurrency1",6,"<white>{Sacrifice} a <white>{Gem} for Currency Items","sacrifice_gem_for_random_currency","",16801616,"",0,0,0,0,0,1476395008,27,0,0,1
40,"ExchangeGemForExceptionalGem1",7,"<white>{Exchange} a <white>{Support Gem} for a random <white>{Exceptional Gem}","exchange_gem_for_exceptional_gem","",33572642,"",0,0,0,0,0,2046820352,28,0,0,1
41,"ExchangeGemForAwakenedGem1",8,"<white>{Exchange} a <white>{non-Exceptional Support Gem} for its <white>{Awakened} version","exchange_gem_for_awakened_gem","",33580760,"",0,0,0,0,0,-1476395008,29,0,0,1
42,"ChangeCorruptedNormalGemIntoNormalGemOfSameColor1",11,"<white>{Transform} a <white>{Corrupted Skill Gem} to be a random <white>{Corrupted Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, output_is_normal_gem, retain_exp",33630892,"",0,0,0,65536,0,1577058304,31,0,0,0
43,"ChangeCorruptedAlternateGemIntoAlternateGemOfSameColor1",12,"<white>{Transform} a <white>{Corrupted Transfigured Skill Gem} to be a random <white>{Corrupted Transfigured Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, input_is_alternate_gem, retain_exp",33674276,"",0,0,0,65536,0,1476395008,33,0,0,0
44,"HardModeChangeNormalGemIntoNormalGemOfSameColor1",13,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","output_is_normal_gem",55035,"",0,0,0,0,0,-1543503872,34,0,0,2
45,"HardModeChangeSupportGemIntoSupportGemOfSameColor1",14,"<white>{Transform} a <white>{Support Gem} to be a random <white>{Support Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","use_support_gems",30205,"",0,0,0,0,0,-201326592,35,0,0,2
46,"HardModeAddGemQualityNormal",2,"Add +1% quality to a <white>{Gem}","use_x_gemcutter","1",16784536,"",0,0,0,0,0,2046820352,36,0,0,2
47,"HardModeAddGemQualityCruel",2,"Add +2% quality to a <white>{Gem}","use_x_gemcutter","2",16808339,"",0,0,0,0,0,-1308622848,36,0,0,2
48,"HardModeAddGemQualityMerciless",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",16790547,"",0,0,0,0,0,-234881024,36,0,0,2
49,"HardModeAddGemQualityUber",2,"Add +5% quality to a <white>{Gem}","use_x_gemcutter","5",16833428,"",0,0,0,0,0,671088640,37,0,0,2
50,"HardModeAddGemExperienceCruel1",1,"Add 500k experience to a <white>{Gem}","add_experience_to_gem","500000",41848,"",0,0,0,0,0,-973078528,37,0,0,2
51,"HardModeAddGemExperienceCruel2",1,"Add 800k experience to a <white>{Gem}","add_experience_to_gem","800000",58999,"",0,0,0,0,0,1677721600,38,0,0,2
52,"HardModeAddGemExperienceMerciless1",1,"Add 2.4m experience to a <white>{Gem}","add_experience_to_gem","2400000",30433,"",0,0,0,0,0,201326592,39,0,0,2
53,"HardModeAddGemExperienceMerciless2",1,"Add 4.8m experience to a <white>{Gem}","add_experience_to_gem","4800000",3882,"",0,0,0,0,0,-1275068416,39,0,0,2
54,"HardModeAddGemExperienceMerciless3",1,"Add 8m experience to a <white>{Gem}","add_experience_to_gem","8000000",40771,"",0,0,0,0,0,1476395008,40,0,0,2
55,"HardModeAddGemExperienceMerciless4",1,"Add 12m experience to a <white>{Gem}","add_experience_to_gem","12000000",16828976,"",0,0,0,0,0,0,41,0,0,2
56,"HardModeAddGemExperienceUber1",1,"Add 4.8m experience to a <white>{Gem}","add_experience_to_gem","4800000",55255,"",0,0,0,0,0,1040187392,41,0,0,2
57,"HardModeAddGemExperienceUber2",1,"Add 8m experience to a <white>{Gem}","add_experience_to_gem","8000000",19694,"",0,0,0,0,0,2080374784,41,0,0,2
58,"HardModeAddGemExperienceUber3",1,"Add 16m experience to a <white>{Gem}","add_experience_to_gem","16000000",56979,"",0,0,0,0,0,436207616,42,0,0,2
59,"HardModeAddGemExperienceUber4",1,"Add 24m experience to a <white>{Gem}","add_experience_to_gem","24000000",16832055,"",0,0,0,0,0,-1207959552,42,0,0,2
60,"HardModeSacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","sacrifice_gem_for_treasure_keys","",16817860,"",0,0,0,0,0,67108864,43,0,0,2
