"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","f32","i32","i32","i32","i32","i32","i32","[rid]","bool","string","i32","i32","[rid]","bool","bool","bool","rid","rid","string","rid","[rid]","bool","bool","rid","rid","string","i32","rid","i32","rid","bool","bool","rid","i32","i32","rid","i32","rid","rid","i32","rid","i32","rid","i32"
13,"1_1_6","The Climb",1,"",1,"[12,14]",7,62867,262144,33161216,0,8454144,0,0,0,65536,0,194904064,0,393216,393216,0,195952640,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,202244096,0,0,0,203292672,0,0,0,203292672,0,0,0,1572864,0,0,0,503316480,12,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,503316480,12,0,16777216,0,771751936,12,0,100,[92],"","",7000,4000,"[169,879]","","","","","","","",[],"","","","","",2,15,16000,"","",1,54,0,3174,0,0,20,0,0,"",54,"",100
14,"1_1_7_1","The Lower Prison",1,"",1,"[13,15]",8,168900,327680,33161216,0,8519680,0,0,0,65536,0,212598784,0,393216,393216,0,213647360,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,219938816,0,0,0,220987392,0,0,0,220987392,0,0,0,1572864,0,0,0,738197504,13,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,738197504,13,0,16777216,0,738197504,13,0,100,[93],"","",6000,4000,"[61,158,159,361,845]","","","","","","","",[],"","","","","",2,16,20000,"","",1,54,0,3476,0,0,20,0,0,"",60,"",100
15,"1_1_7_2","The Upper Prison",1,"","","[14,16]",9,160274,327680,33161216,0,8519680,0,0,0,65536,0,232390656,0,393216,65536,0,233439232,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,196350,0,234487808,0,0,0,236584960,0,0,0,236584960,0,0,0,1572864,0,0,0,436207616,14,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,436207616,14,0,16777216,0,436207616,14,0,100,[93],"","",6000,4000,"[61,158,159,307,361,845,876]","","","","","","","",[],"","","","","",2,17,25000,"","",1,54,0,3746,0,0,20,0,0,"",68,"",100
16,"1_1_8","Prisoner's Gate",1,"",1,"[15,17,33]",10,226835,327680,33161216,0,1703936,0,0,0,65536,0,250216448,0,393216,1048576,0,251265024,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,268042240,0,0,0,268042240,0,0,0,268042240,0,0,0,1572864,0,0,0,-100663296,15,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-100663296,15,0,16777216,0,-100663296,15,0,100,"[92,94]","","",7000,4000,[364],"","","","","","","",[],"","","","","",2,20,23000,"","",1,54,0,4146,0,0,20,0,0,"",65,"",100
17,"1_1_9","The Ship Graveyard",1,"",1,"[16,18,18,19]",11,317441,327680,33161216,0,2162688,0,0,0,65536,0,277348352,0,393216,1179648,0,278396928,0,262144,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,297271296,0,0,0,298319872,0,0,0,298319872,0,0,0,1572864,0,0,0,-939524096,17,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-939524096,17,0,33554432,0,-939524096,17,0,100,[90],"","",7000,4000,"[169,392]","","","","","","","",[],"","","","","",2,21,29000,"","",1,54,0,4616,0,0,20,0,0,"",75,"",100
18,"1_1_9a","The Ship Graveyard Cave",1,"","","[17,17]",12,339002,327680,33161216,0,8585216,0,0,0,65536,0,307888128,0,393216,262144,0,308936704,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,313131008,0,0,0,314179584,0,0,0,314179584,0,0,0,1572864,0,16777216,0,-1174405120,18,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-905969664,18,0,16777216,0,-905969664,18,0,100,[90],"","",6000,4000,"[61,392,397]","","","","","","","",[],"","","","","",2,23,12000,"","",1,54,0,4882,0,0,20,0,0,"",47,"",100
19,"1_1_11_1","The Cavern of Wrath",1,"",1,"[17,20]",12,407886,327680,33161216,0,8650752,0,0,0,65536,0,325058560,0,393216,262144,0,326107136,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,330301440,0,0,0,331350016,0,0,0,331350016,0,0,0,1572864,0,0,0,-1073741824,19,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1073741824,19,0,16777216,0,-1073741824,19,0,100,[95],"","",6000,4000,"[61,158,159,169,385,397]","","","","","","","",[],"","","","","",2,24,13000,"","",1,54,0,5176,0,0,20,0,0,"",48,"",100
20,"1_1_11_2","The Cavern of Anger",1,"","","[19,22]",13,430332,327680,33161216,0,8650752,0,0,0,65536,0,344326144,0,393216,262144,0,345374720,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,196350,0,349569024,0,65536,0,351666176,0,0,0,352714752,0,0,0,1572864,0,0,0,100663296,21,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,100663296,21,0,16777216,0,100663296,21,0,100,[95],"","",6000,4000,"[61,158,159,169,385,397,848]","","","","","","","",[],"","","","","",2,25,13000,"","",1,54,0,5518,0,0,20,0,0,"",48,"",100
21,"1_2_town","The Forest Encampment",2,1,1,"[22,23,31]",23,8755,0,367525888,0,8716288,0,0,0,65536,0,373686272,0,2097152,65536,0,374734848,0,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,375783424,0,0,0,375783424,0,0,0,375783424,0,0,0,1572864,0,0,0,1711276032,22,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1711276032,22,0,0,0,1711276032,22,16777216,100,[],"","",7000,4000,[],"","","","","","","",[],"","","",120,"",1,57,0,"","",1,54,0,5734,0,0,20,0,0,"",0,"",0
22,"1_2_1","The Southern Forest",2,"",1,"[20,21]",13,443933,327680,367525888,0,655360,0,0,0,65536,0,380502016,0,393216,196608,0,381550592,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,384696320,0,0,0,385744896,0,0,0,385744896,0,0,0,1572864,0,0,0,-33554432,22,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-33554432,22,0,16777216,0,-33554432,22,0,100,[96],"","",7000,4000,"[169,424]","","","","","","","",[],"","","","","",2,30,14000,"","",1,54,0,5942,0,0,20,0,0,"",50,"",100
23,"1_2_2","The Old Fields",2,"","","[21,24,24,25]",14,402947,327680,367525888,0,8781824,0,0,0,65536,0,394526720,0,393216,393216,0,395575296,0,1376256,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,401866752,0,0,0,402915328,0,0,0,402915328,0,0,0,1572864,0,0,0,67108864,24,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,67108864,24,0,16777216,0,67108864,24,0,100,[96],"","",7000,4000,"[169,326,327,362,364,428]","","","","","","","",[],"","","","","",2,31,16000,"","",1,54,0,6268,0,0,20,0,0,"",54,"",100
24,"1_2_2a","The Den",2,"","","[23,23]",15,443324,327680,367525888,0,8847360,0,0,0,65536,0,414056448,0,393216,524288,0,415105024,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,423493632,0,0,0,424542208,0,0,0,424542208,0,0,0,1572864,0,0,0,1308622848,25,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1308622848,25,0,16777216,0,1308622848,25,0,100,[96],"","",6000,4000,"[61,326,328,390,397]","","","","","","","",[],"","","","","",2,33,16000,"","",1,54,0,6582,0,0,20,0,0,"",54,"",100
25,"1_2_3","The Crossroads",2,"",1,"[23,30,40,28]",15,432033,327680,367525888,0,8912896,0,0,0,65536,0,436469760,0,393216,65536,0,437518336,0,1376256,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,438566912,0,0,0,439615488,0,0,0,439615488,0,0,0,1572864,0,0,0,872415232,26,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,872415232,26,0,16777216,0,872415232,26,0,100,"[96,94]","","",7000,4000,"[169,326,364]","","","","","","","",[],"","","","","",2,34,22000,"","",1,54,0,6796,0,0,20,0,0,"",64,"",100
26,"1_2_5_1","The Crypt Level 1",2,"",1,"[40,27]",17,449036,327680,367525888,0,9043968,0,0,0,65536,0,450101248,0,393216,262144,0,451149824,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,455344128,0,0,0,455344128,0,0,0,455344128,0,0,0,1572864,0,0,0,603979776,27,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,603979776,27,0,16777216,0,603979776,27,0,100,[98],"","",6000,4000,"[61,328,371]","","","","","","","",[],"","","","","",2,36,21000,"","",1,54,0,7020,0,0,20,0,0,"",62,"",100
27,"1_2_5_2","The Crypt Level 2",2,"","",[26],18,437434,327680,367525888,0,9043968,0,0,0,65536,0,464257024,0,393216,524288,0,465305600,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,473694208,0,0,0,474742784,0,0,0,474742784,0,0,0,1572864,0,0,0,1275068416,28,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1275068416,28,0,16777216,0,1275068416,28,0,100,[98],"","",6000,4000,"[61,328,371,845]","","","","","","","",[],"","","","","",2,37,19500,"","",1,54,0,7332,0,0,20,0,0,"",60,"",100
28,"1_2_6_1","The Chamber of Sins Level 1",2,"",1,"[25,29]",15,396614,327680,367525888,0,6619136,0,0,0,65536,0,486539264,0,393216,196608,0,487587840,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,490733568,0,0,0,491782144,0,0,0,491782144,0,0,0,1572864,0,0,0,1342177280,29,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1342177280,29,0,16777216,0,1342177280,29,0,100,[99],"","",6000,4000,"[61,328,363,845]","","","","","","","",[],"","","","","",2,38,23500,"","",1,54,0,7592,0,0,20,0,0,"",66,"",100
29,"1_2_6_2","The Chamber of Sins Level 2",2,"","",[28],16,451495,327680,367525888,0,6619136,0,0,0,65536,0,503054336,0,393216,262144,0,504102912,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,508297216,0,0,0,509345792,0,0,0,509345792,0,0,0,1572864,0,0,0,1543503872,30,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1543503872,30,0,16777216,0,1543503872,30,0,100,[99],"","",6000,4000,"[61,328,363,845]","","","","","","","",[],"","","","","",2,40,20000,"","",1,54,0,7860,0,0,20,0,0,"",60,"",100
30,"1_2_4","The Broken Bridge",2,"",1,[25],16,440963,327680,367525888,0,8978432,0,0,0,65536,0,519045120,0,393216,393216,0,520093696,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,526385152,0,0,0,527433728,0,0,0,527433728,0,0,0,1572864,0,0,0,1879048192,31,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1879048192,31,0,16777216,0,1879048192,31,0,100,[96],"","",7000,4000,"[169,327,364,870]","","","","","","","",[],"","","","","",2,35,22500,"","",1,54,0,8136,0,0,20,0,0,"",64,"",100
31,"1_2_7","The Riverways",2,"",1,"[21,33,36]",15,396690,327680,367525888,0,9109504,0,0,0,65536,0,537657344,0,393216,720896,0,538705920,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,550240256,0,0,0,550240256,0,0,0,550240256,0,0,0,1572864,0,0,0,-872415232,32,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-872415232,32,0,16777216,0,-872415232,32,0,100,[97],"","",7000,4000,"[169,329,327,364,391]","","","","","","","",[],"","","","","",2,41,50000,"","",1,54,0,8500,0,0,20,0,0,"",106,"",106
32,"1_2_8","The Northern Forest",2,"",1,"[35,37,38]",21,440912,327680,367525888,0,9175040,0,0,0,65536,0,562298880,0,393216,786432,0,563347456,0,1376256,0,58982400,-16908288,-16843010,-16843010,"",-16843010,65278,0,575930368,0,0,0,575930368,0,0,0,575930368,0,0,0,1572864,0,0,0,1409286144,34,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,1409286144,34,0,16777216,0,1677721600,34,0,100,[97],"","",7000,4000,"[169,326,330,327,425]","","","","","","","",[],"","","","","",2,43,27000,"","",1,54,0,8908,0,0,20,0,0,"",72,3168,100
33,"1_2_9","The Western Forest",2,"",1,"[31,34,16]",17,399432,327680,367525888,0,9240576,0,0,0,65536,0,588906496,0,393216,262144,0,589955072,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,196350,0,594149376,0,0,0,596246528,0,0,0,596246528,0,0,0,1572864,0,0,0,-1979711488,35,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1979711488,35,0,16777216,0,-1979711488,35,0,100,[100],"","",7000,4000,"[328,327]","","","","","","","",[],"","","","","",2,44,36000,"","",1,54,0,9154,0,0,20,0,0,"",85,"",100
34,"1_2_10","The Weaver's Chambers",2,"","",[33],18,412747,327680,367525888,0,9306112,0,0,0,65536,0,604504064,0,393216,262144,0,605552640,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,609746944,0,0,0,610795520,0,0,0,610795520,0,0,0,1572864,0,0,0,1744830464,36,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1744830464,36,0,16777216,0,1744830464,36,0,100,[101],"","",6000,4000,"[61,331]","","","","","","","",[],"","","","","",2,45,15000,"","",1,54,0,9376,0,0,20,0,0,"",52,"",100
35,"1_2_11","The Vaal Ruins",2,"","","[36,32]",20,452986,327680,367525888,0,9371648,0,0,0,65536,0,618659840,0,393216,655360,0,619708416,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,630194176,0,0,0,630194176,0,0,0,630194176,0,0,0,1572864,0,0,0,-1879048192,37,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1879048192,37,0,16777216,0,-1879048192,37,0,100,[102],"","",6000,4000,"[61,331,381]","","","","","","","",[],"","","","","",2,46,31500,"","",1,54,0,9688,0,0,20,0,0,"",79,"",100
36,"1_2_12","The Wetlands",2,"",1,"[31,35]",19,413550,327680,367525888,0,9437184,0,0,0,65536,0,638844928,0,393216,589824,0,639893504,0,1376256,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,649330688,0,0,0,650379264,0,0,0,650379264,0,0,0,1572864,0,0,0,-1006632960,38,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1006632960,38,0,16777216,0,-1006632960,38,0,100,[97],"","",7000,4000,"[169,326,332]","","","","","","","",[],"","","","","",2,48,29000,"","",1,54,0,9996,0,0,20,0,0,"",75,"",100
37,"1_2_13","The Dread Thicket",2,"","",[32],21,457984,327680,367525888,0,9502720,0,0,0,65536,0,659161088,0,393216,262144,0,660209664,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,664403968,0,0,0,664403968,0,0,0,664403968,0,0,0,1572864,0,16777216,0,-1711276032,39,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,-1442840576,39,0,16777216,0,-1174405120,39,0,100,[97],"","",6000,4000,"[61,327,329,376]","","","","","","","",[],"","","","","",2,49,16000,"","",1,54,0,10258,0,0,20,0,0,"",54,3169,100
38,"1_2_14_2","The Caverns",2,"",1,"[32,39]",22,410731,327680,367525888,0,9568256,0,0,0,65536,0,676331520,0,393216,262144,0,677380096,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,681574400,0,0,0,682622976,0,0,0,682622976,0,0,0,1572864,0,0,0,-1342177280,40,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1342177280,40,0,16777216,0,-1342177280,40,0,100,[102],"","",6000,4000,"[61,158,159,169,326,329,397]","","","","","","","",[],"","","","","",2,50,30000,"","",1,54,0,10552,0,0,20,0,0,"",76,"",100
39,"1_2_14_3","The Ancient Pyramid",2,"","","[38,42]",23,407454,327680,367525888,0,9568256,0,0,0,65536,0,696647680,0,393216,65536,0,697696256,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,698744832,0,0,0,698744832,0,0,0,698744832,0,0,0,1572864,0,0,0,-1509949440,41,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1509949440,41,0,16777216,0,-1509949440,41,0,100,[102],"","",6000,4000,"[61,158,159,307,331,372]","","","","","","","",[],"","","","","",2,51,36000,"","",1,54,0,10782,0,0,20,0,0,"",85,"",100
40,"1_2_15","The Fellshrine Ruins",2,"","","[25,26]",16,406518,327680,367525888,0,9633792,0,0,0,65536,0,711589888,0,393216,196608,0,712638464,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,715784192,0,0,0,715784192,0,0,0,715784192,0,0,0,1572864,0,0,0,-1442840576,42,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1442840576,42,0,16777216,0,-1442840576,42,0,100,[96],"","",7000,4000,"[169,333,364,389,845]","","","","","","","",[],"","","","","",2,55,39000,"","",1,54,0,11026,0,0,20,0,0,"",90,"",100
41,"1_3_town","The Sarn Encampment",3,1,1,"[42,43,1313,461]",33,1073,0,728760320,0,9830400,0,0,0,65536,0,734920704,0,2097152,65536,0,735969280,0,-16908288,-16843010,31522558,-16908288,-16843010,-16843010,"",-16843010,65278,0,737017856,0,0,0,737017856,0,0,0,737017856,0,0,0,1572864,0,0,0,-301989888,43,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-301989888,43,0,0,0,-301989888,43,16777216,100,[],"","",7000,4000,[],"","","","","","","",[],"","","",121,"",1,118,0,"","",1,54,0,11246,0,0,20,0,0,"",0,"",0
42,"1_3_1","The City of Sarn",3,"",1,"[39,41]",23,545023,393216,728760320,0,9764864,0,0,0,65536,0,741343232,0,393216,65536,0,742391808,0,1376256,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,743440384,0,0,0,744488960,0,0,0,744488960,0,0,0,1572864,0,0,0,1610612736,44,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1610612736,44,0,16777216,0,1610612736,44,0,100,[103],"","",7000,3500,"[169,334,374]","","","","","","","",[],"","","","","",2,85,12500,"","",1,54,0,11432,0,0,20,0,0,"",47,"",100
