"rownum","Id","MiscObject","i32","string","string","[i32]","bool","i32","bool","i32","bool","f32","i32","i32","i32","i32","bool","bool","bool"
12,"MiracleMapDevice3","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
13,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,"",2,"",0,0,0,-2013265920,0,"","",""
14,"SyntheticMapDevice","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SyntheticMapDevice","aux_portalbutton_attachment","[-28,0]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
15,"DemonicMapDevice","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/DemonicMapDevice","pyre_jntBnd","[-30,0]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
16,"EldritchReaperMapDeviceSmall","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","",[],1,0,"",2,"",0,0,0,-2013265920,0,"","",""
17,"EldritchReaperMapDeviceLarge","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","aux_brazier_attach","[-18,2]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
18,"MagebloomMapDevice","",24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PauaMapDevice","aux_receptacle_jntBnd","[-17,0]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
19,"SunMapDevice",288,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SunMapDevice","aux_pedestal_attach","[-20,0]",1,20,1,2,"",0,0,0,-2013265920,0,"","",""
20,"BloodlordMapDevice",291,31,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PetBlenderMapDevice","aux_button_attach","[-31,0]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
21,"CauldronMapDevice",611,38,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/CauldronMapDevice","aux_receptacle","[-37,2]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
22,"ThroneoftheRulerMapDevice",620,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ThroneoftheRulerMapDevice","pot_jntBnd","[0,-19]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
23,"ZodiacDragonMapDevice",641,18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZodiacDragonMapDevice","aux_flowerBase","[0,-40]",1,0,1,2,1,0,0,0,-2013265920,0,"","",""
24,"StopwatchMapDevice",696,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDevice","aux_bowl_attach","[-17,0]",1,0,1,1,"",0,0,0,-2013265920,0,"","",""
25,"StopwatchMapDeviceSilver",698,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceSilver","aux_bowl_attach","[-17,0]",1,0,1,1,"",0,0,0,-2013265920,0,"","",""
26,"StopwatchMapDeviceGold",697,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceGold","aux_bowl_attach","[-17,0]",1,0,1,1,"",0,0,0,-2013265920,0,"","",""
27,"ZigguratMapDeviceSmall","",20,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZigguratMapDevice","",[],1,0,"",2,"",0,0,0,-2013265920,0,"","",""
28,"ZigguratMapDeviceLarge",701,38,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZigguratMapDevice","interactable_jntBnd","[-25,2]",1,0,1,2,"",0,0,0,-2013265920,0,"","",""
29,"VaalSerpentGodMapDevice",713,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/VaalSerpentGodMapDevice","aux_bowl_attach","[-40,-2]",1,0,1,2,1,0,13,0,-2013265920,0,"","",""
