"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32"
19,"MH_PhysicalDamage","Main Hand Physical Damage","Dégâts physiques (Main principale)","Haupthand: Physischer Schaden","メインハンド物理ダメージ","주 무기 물리 피해","Dano Físico com a Mão Principal","Физический урон оружия в правой руке","Daño físico de la mano principal","ความเสียหาย กายภาพ ของมือหลัก","主手物理傷害","[276,277]",2,[7650],"[435,1635]",0,1,[],0
20,"MH_FireDamage","Main Hand Fire Damage","Dégâts de feu (Main principale)","Haupthand: Feuerschaden","メインハンド火ダメージ","주 무기 화염 피해","Dano de Fogo com a Mão Principal","Урон от огня оружия в правой руке","Daño de fuego de la mano principal","ความเสียหาย ไฟ ของมือหลัก","主手火焰傷害","[264,265]",2,[7650],"[435,1635]",0,1,[],0
21,"MH_ColdDamage","Main Hand Cold Damage","Dégâts de froid (Main principale)","Haupthand: Kälteschaden","メインハンド冷気ダメージ","주 무기 냉기 피해","Dano de Gelo com a Mão Principal","Урон от холода оружия в правой руке","Daño de hielo de la mano principal","ความเสียหาย น้ำแข็ง ของมือหลัก","主手冰冷傷害","[260,261]",2,[7650],"[435,1635]",0,1,[],0
22,"MH_LightningDamage","Main Hand Lightning Damage","Dégâts de foudre (Main principale)","Haupthand: Blitzschaden","メインハンド雷ダメージ","주 무기 번개 피해","Dano de Raio com a Mão Principal","Урон от молнии оружия в правой руке","Daño de rayo de la mano principal","ความเสียหาย สายฟ้า ของมือหลัก","主手閃電傷害","[268,269]",2,[7650],"[435,1635]",0,1,[],0
23,"MH_ChaosDamage","Main Hand Chaos Damage","Dégâts de chaos (Main principale)","Haupthand: Chaosschaden","メインハンド混沌ダメージ","주 무기 카오스 피해","Dano de Caos com a Mão Principal","Урон хаосом оружия в правой руке","Daño de caos de la mano principal","ความเสียหาย เคออส ของมือหลัก","主手混沌傷害","[272,273]",2,[7650],"[435,1635]",0,1,[],0
24,"MH_Accuracy","Main Hand Accuracy Rating","Score de Précision (Main principale)","Haupthand: Treffgenauigkeit","メインハンド命中力","주 무기 정확도","Precisão com a Mão Principal","Меткость оружия в правой руке","Precisión de la mano principal","อัตราความแม่นยำ ของมือหลัก","主手命中值",[289],0,[7650],"[435,1635]",0,1,[],0
25,"MH_AttackSpeedIncr","Main Hand Attack Speed modifier","Modificateur de Vitesse d'attaque (Main principale)","Haupthand: Modifikator für Angriffsgeschwindigkeit","メインハンドアタックスピードモッド","주 무기 공격 속도 속성 부여","Modificador de Velocidade de Ataque com a Mão Principal","Модификатор скорости атаки оружия в правой руке","Modificador de velocidad de ataque de la mano principal","ม็อดความเร็วในการโจมตี ของมือหลัก","主手攻擊速度修正",[291],7,[7650],"[435,1635]",0,1,[],0
26,"MH_CritChance","Main Hand Critical Strike Chance","Chances de Coup critique (Main principale)","Haupthand: Kritische Trefferchance","メインハンドクリティカル率","주 무기 치명타 확률","Chance de Crítico com a Mão Principal","Шанс критического удара оружия в правой руке","Probabilidad de golpe crítico de la mano principal","โอกาสคริติคอล ของมือหลัก","主手暴擊率",[549],1,[7650],"[435,1635]",0,1,[14],0
27,"MH_CritMulti","Main Hand Critical Strike Multiplier","Multiplicateur de Coup critique (Main principale)","Haupthand: Multiplikator für kritischen Treffer","メインハンドクリティカルダメージ倍率","주 무기 치명타 피해 배율","Multiplicador de Crítico com a Mão Principal","Множитель критического удара оружия в правой руке","Multiplicador de golpe crítico de la mano principal","ตัวคูณคริติคอล ของมือหลัก","主手暴擊加成",[607],1,"[7650,549]","[435,1635]",0,1,[],0
28,"MH_Stun","Main Hand Stun Threshold reduction","Réduction du Seuil d'Étourdissement (Main principale)","Haupthand: Verringerung der Betäubungsschwelle","メインハンドスタン閾値減少","주 무기 기절 한계치 감소","Redução do Ponto de Atordoamento com a Mão Principal","Снижение порога оглушения оружия в правой руке","Reducción del umbral de aturdimiento de la mano principal","ลดเกณฑ์ความยากในการติดสถานะ มึนงง ของศัตรู ของมือหลัก","主手降低敵人暈眩門檻",[300],1,[7650],"[435,1635]",0,1,[],0
29,"MH_Knockback","Main Hand chance to Knockback","Chances de Repoussement (Main principale)","Haupthand: Chance auf Zurückstoßen","メインハンドノックバック発生率","주 무기 밀어내기 확률","Chance de Empurrar com a Mão Principal","Шанс отбрасывания оружия в правой руке","Probabilidad de empuje de la mano principal","โอกาสผลักศัตรูออกไป ของมือหลัก","主手擊退",[480],1,[7650],"[435,1635,2644]",0,1,[],0
30,"MH_CritKnockback","Main Hand Knockback on Critical Strike","Repoussement via Coup critique (Main principale)","Haupthand: Zurückstoßen bei kritischem Treffer","メインハンドクリティカル時ノックバック","주 무기로 치명타 시 밀어내기","Empurrão com a Mão Principal no Acerto Crítico","Шанс отбрасывания при критическом ударе оружием в правой руке","Probabilidad de empuje con golpe crítico de la mano principal","ผลักศัตรูออกไปเมื่อคริติคอล ของมือหลัก","主手暴擊擊退",[465],4,[7650],"[435,1635,2644]",0,1,[],0
31,"MH_Blind","Main Hand chance to Blind","Chances d'Aveuglement (Main principale)","Haupthand: Chance auf Blenden","メインハンド盲目付与率","주 무기 실명 확률","Chance de Cegar com a Mão Principal","Шанс ослепить цель оружием в правой руке","Probabilidad de cegar de la mano principal","โอกาสสร้างสถานะ ตาบอด ของมือหลัก","主手致盲",[974],1,[7650],"[435,1635]",0,1,[],0
32,"MH_Flee","Main Hand chance to cause Flee","Chances d'inciter à la Fuite (Main principale)","Haupthand: Chance, Gegner in die Flucht zu schlagen","メインハンド逃走発生率","주 무기로 도망치게 할 확률","Chance de causar Fuga com a Mão Principal","Шанс испугать цель при атаке оружием в правой руке","Probabilidad de causar huida de la mano principal","โอกาสทำให้ หลบหนี ของมือหลัก","主手造成逃跑機率",[682],1,[7650],"[435,1635]",0,1,[],0
33,"MH_BlockReduce","Main Hand Enemy Block reduction","Réduction du Blocage ennemi (Main principale)","Haupthand: Verringertes Blocken des Gegners","メインハンド敵ブロック率減少","주 무기로 적 막기 감소","Redução do Bloqueio Inimigo com a Mão Principal","Снижение блока врага от оружия в правой руке","Reducción de bloqueo enemigo de la mano principal","การลดบล็อคศัตรู ของมือหลัก","主手武器被格擋減免",[282],1,[7650],"[435,1635]",0,1,[],0
34,"OH_TotalDamage","Off Hand Total Combined Damage","Total des Dégâts (Main secondaire)","Nebenhand: Gesamtschaden","オフハンド合計ダメージ","보조 장비 총 종합 피해","Dano Combinado Total da Mão Secundária","Общий комбинированный урон оружия в левой руке","Daño combinado total de la mano secundaria","ความเสียหาย ทุกชนิดรวมกัน ของมือรอง","副手傷害總和","[669,670]",2,[7651],"[435,1635]",0,1,[],0
35,"OH_PhysicalDamage","Off Hand Physical Damage","Dégâts physiques (Main secondaire)","Nebenhand: Physischer Schaden","オフハンド物理ダメージ","보조 장비 물리 피해","Dano Físico com a Mão Secundária","Физический урон оружия в левой руке","Daño físico de la mano secundaria","ความเสียหาย กายภาพ ของมือรอง","副手物理傷害","[278,279]",2,[7651],"[435,1635]",0,1,[],0
36,"OH_FireDamage","Off Hand Fire Damage","Dégâts de feu (Main secondaire)","Nebenhand: Feuerschaden","オフハンド火ダメージ","보조 장비 화염 피해","Dano de Fogo com a Mão Secundária","Урон от огня оружия в левой руке","Daño de fuego de la mano secundaria","ความเสียหาย ไฟ ของมือรอง","副手火焰傷害","[266,267]",2,[7651],"[435,1635]",0,1,[],0
37,"OH_ColdDamage","Off Hand Cold Damage","Dégâts de froid (Main secondaire)","Nebenhand: Kälteschaden","オフハンド冷気ダメージ","보조 장비 냉기 피해","Dano de Gelo com a Mão Secundária","Урон от холода оружия в левой руке","Daño de hielo de la mano secundaria","ความเสียหาย น้ำแข็ง ของมือรอง","副手冰冷傷害","[262,263]",2,[7651],"[435,1635]",0,1,[],0
38,"OH_LightningDamage","Off Hand Lightning Damage","Dégâts de foudre (Main secondaire)","Nebenhand: Blitzschaden","オフハンド雷ダメージ","보조 장비 번개 피해","Dano de Raio com a Mão Secundária","Урон от молнии оружия в левой руке","Daño de rayo de la mano secundaria","ความเสียหาย สายฟ้า ของมือรอง","副手閃電傷害","[270,271]",2,[7651],"[435,1635]",0,1,[],0
39,"OH_ChaosDamage","Off Hand Chaos Damage","Dégâts de chaos (Main secondaire)","Nebenhand: Chaosschaden","オフハンド混沌ダメージ","보조 장비 카오스 피해","Dano de Caos com a Mão Secundária","Урон хаосом оружия в левой руке","Daño de caos de la mano secundaria","ความเสียหาย เคออส ของมือรอง","副手混沌傷害","[274,275]",2,[7651],"[435,1635]",0,1,[],0
40,"OH_Accuracy","Off Hand Accuracy Rating","Score de Précision (Main secondaire)","Nebenhand: Treffgenauigkeit","オフハンド命中力","보조 장비 정확도","Precisão com a Mão Secundária","Меткость оружия в левой руке","Precisión de la mano secundaria","อัตราความแม่นยำ ของมือรอง","副手命中值",[290],0,[7651],"[435,1635]",0,1,[],0
41,"OH_AttackSpeedIncr","Off Hand Attack Speed modifier","Modificateur de Vitesse d'attaque (Main secondaire)","Nebenhand: Modifikator für Angriffsgeschwindigkeit","オフハンドアタックスピードモッド","보조 장비 공격 속도 속성 부여","Modificador de Velocidade de Ataque com a Mão Secundária","Модификатор скорости атаки оружия в левой руке","Modificador de velocidad de ataque de la mano secundaria","ม็อดความเร็วในการโจมตี ของมือรอง","副手攻擊速度修正",[292],7,[7651],"[435,1635]",0,1,[],0
42,"OH_CritChance","Off Hand Critical Strike Chance","Chances de Coup critique (Main secondaire)","Nebenhand: Kritische Trefferchance","オフハンドクリティカル率","보조 장비 치명타 확률","Chance de Crítico com a Mão Secundária","Шанс критического удара оружия в левой руке","Probabilidad de golpe crítico de la mano secundaria","โอกาสคริติคอล ของมือรอง","副手暴擊率",[550],1,[7651],"[435,1635]",0,1,[14],0
43,"OH_CritMulti","Off Hand Critical Strike Multiplier","Multiplicateur de Coup critique (Main secondaire)","Nebenhand: Multiplikator für kritischen Treffer","オフハンドクリティカルダメージ倍率","보조 장비 치명타 피해 배율","Multiplicador de Crítico com a Mão Secundária","Множитель критического удара оружия в левой руке","Multiplicador de golpe crítico de la mano secundaria","ตัวคูณคริติคอล ของมือรอง","副手暴擊加成",[608],1,"[7651,550]","[435,1635]",0,1,[],0
44,"OH_Stun","Off Hand Stun Threshold reduction","Réduction du Seuil d'Étourdissement (Main secondaire)","Nebenhand: Verringerung der Betäubungsschwelle","オフハンドスタン閾値減少","보조 장비 기절 한계치 감소","Redução do Ponto de Atordoamento com a Mão Secundária","Снижение порога оглушения оружия в левой руке","Reducción del umbral de aturdimiento de la mano secundaria","ลดเกณฑ์ความยากในการติดสถานะ มึนงง ของศัตรู ของมือรอง","副手降低敵人暈眩門檻",[301],1,[7651],"[435,1635]",0,1,[],0
45,"OH_Knockback","Off Hand chance to Knockback","Chances de Repoussement (Main secondaire)","Nebenhand: Chance auf Zurückstoßen","オフハンドノックバック発生率","보조 장비 밀어내기 확률","Chance de Empurrar com a Mão Secundária","Шанс отбрасывания оружия в левой руке","Probabilidad de empuje de la mano secundaria","โอกาสผลักศัตรูออกไป ของมือรอง","副手擊退",[481],1,[7651],"[435,1635,2644]",0,1,[],0
46,"OH_CritKnockback","Off Hand Knockback on Critical Strike","Repoussement via Coup critique (Main secondaire)","Nebenhand: Zurückstoßen bei kritischem Treffer","オフハンドクリティカル時ノックバック","보조 장비로 치명타 시 밀어내기","Empurrão com a Mão Secundária no Acerto Crítico","Шанс отбрасывания при критическом ударе оружием в левой руке","<size:22>{Probabilidad de empuje con golpe crítico de la mano secundaria}","ผลักศัตรูออกไปเมื่อคริติคอล ของมือรอง","副手暴擊擊退",[466],4,[7651],"[435,1635,2644]",0,1,[],0
47,"OH_Blind","Off Hand chance to Blind","Chances d'Aveuglement (Main secondaire)","Nebenhand: Chance auf Blenden","オフハンド盲目付与率","보조 장비 실명 확률","Chance de Cegar com a Mão Secundária","Шанс ослепить цель оружием в левой руке","Probabilidad de cegar de la mano secundaria","โอกาสสร้างสถานะ ตาบอด ของมือรอง","副手致盲",[975],1,[7651],"[435,1635]",0,1,[],0
48,"OH_Flee","Off Hand chance to cause Flee","Chances d'inciter à la Fuite (Main secondaire)","Nebenhand: Chance, Gegner in die Flucht zu schlagen","オフハンド逃走発生率","보조 장비로 도망치게 할 확률","Chance de causar Fuga com a Mão Secundária","Шанс испугать цель при атаке оружием в левой руке","Probabilidad de causar huida de la mano secundaria","โอกาสทำให้ หลบหนี ของมือรอง","副手造成逃跑機率",[683],1,[7651],"[435,1635]",0,1,[],0
49,"OH_BlockReduce","Off Hand Enemy Block reduction","Réduction du Blocage ennemi (Main secondaire)","Nebenhand: Verringertes Blocken des Gegners","オフハンド敵ブロック率減少","보조 장비로 적 막기 감소","Redução do Bloqueio Inimigo com a Mão Secundária","Снижение блока врага от оружия в левой руке","Reducción de bloqueo enemigo de la mano secundaria","การลดบล็อคศัตรู ของมือรอง","副手武器被格擋減免",[283],1,[7651],"[435,1635]",0,1,[],0
50,"Spell_TotalDamage","Spell Total Combined Damage","Total des Dégâts du sort","Zauber: Gesamtschaden","スペル合計ダメージ","주문 총 종합 피해","Dano Combinado Total da Magia","Общий комбинированный урон от чар","Daño combinado total con hechizos","ความเสียหาย ทุกชนิดรวมกัน ของเวท","法術傷害總和","[671,672]",2,[435],[1635],0,1,[],0
51,"Spell_PhysicalDamage","Spell Physical Damage","Dégâts physiques du sort","Zauber: Physischer Schaden","スペル物理ダメージ","주문 물리 피해","Dano Físico da Magia","Физический урон чарами","Daño físico con hechizos","ความเสียหาย กายภาพ ของเวท","法術物理傷害","[258,259]",2,[435],[1635],0,1,[],0
52,"Spell_FireDamage","Spell Fire Damage","Dégâts de feu du sort","Zauber: Feuerschaden","スペル火ダメージ","주문 화염 피해","Dano de Fogo da Magia","Урон от огня чарами","Daño de fuego con hechizos","ความเสียหาย ไฟ ของเวท","法術火焰傷害","[252,253]",2,[435],[1635],0,1,[],0
53,"Spell_ColdDamage","Spell Cold Damage","Dégâts de froid du sort","Zauber: Kälteschaden","スペル冷気ダメージ","주문 냉기 피해","Dano de Gelo da Magia","Урон от холода чарами","Daño de hielo con hechizos","ความเสียหาย น้ำแข็ง ของเวท","法術冰冷傷害","[250,251]",2,[435],[1635],0,1,[],0
54,"Spell_LightningDamage","Spell Lightning Damage","Dégâts de foudre du sort","Zauber: Blitzschaden","スペル雷ダメージ","주문 번개 피해","Dano de Raio da Magia","Урон от молнии чарами","Daño de rayo con hechizos","ความเสียหาย สายฟ้า ของเวท","法術閃電傷害","[254,256]",2,[435],[1635],0,1,[],0
55,"Spell_ChaosDamage","Spell Chaos Damage","Dégâts de chaos du sort","Zauber: Chaosschaden","スペル混沌ダメージ","주문 카오스 피해","Dano de Caos da Magia","Урон хаосом чарами","Daño de caos con hechizos","ความเสียหาย เคออส ของเวท","法術混沌傷害","[255,257]",2,[435],[1635],0,1,[],0
56,"CastSpeedIncr","Cast Speed modifier","Modificateur de Vitesse d'incantation","Modifikator für Zaubergeschwindigkeit","キャストスピードモッド","시전 속도 속성 부여","Modificador da Velocidade de Conjuração","Модификатор скорости сотворения чар","Modificador de velocidad de lanzamiento de hechizos","ม็อดความเร็วในการร่าย","施放速度修正",[293],7,[435],[8140],0,1,[],0
57,"Spell_CritChance","Spell Critical Strike Chance","Chances de Coup critique du sort","Zauber: Kritische Trefferchance","スペルクリティカル率","주문 치명타 확률","Chance de Crítico Mágico","Шанс критического удара чарами","Probabilidad de golpe crítico con hechizos","โอกาสคริติคอล ของเวท","法術暴擊率",[551],1,[435],[1635],0,1,[14],0
58,"Spell_CritMulti","Spell Critical Strike Multiplier","Multiplicateur de Coup critique du sort","Zauber: Multiplikator für kritischen Treffer","スペルクリティカルダメージ倍率","주문 치명타 피해 배율","Multiplicador de Crítico Mágico","Множитель критического удара чарами","Multiplicador de golpe crítico con hechizos","ตัวคูณคริติคอล ของเวท","法術暴擊加成",[609],1,"[435,551]",[1635],0,1,[],0
59,"Spell_BlockReduce","Enemy Block reduction","Réduction du Blocage ennemi","Verringertes Blocken des Gegners","敵ブロック率減少","적 막기 감소","Redução do Bloqueio Inimigo","Уменьшение блока врага","Reducción de bloqueo enemigo","การลดบล็อคศัตรู","敵人格擋減免",[2271],1,[435],[],0,1,[],0
60,"Secondary_TotalDamage","Total Combined Damage","Total des Dégâts","Gesamtschaden","合計ダメージ","총 종합 피해","Dano Combinado Total","Общий комбинированный урон","Daño total combinado","ความเสียหาย ทุกชนิดรวมกัน","全部傷害總和","[1636,1637]",2,[1635],[],0,1,[],0
61,"Secondary_PhysicalDamage","Physical Damage","Dégâts physiques","Physischer Schaden","物理ダメージ","물리 피해","Dano Físico","Физический урон","Daño físico","ความเสียหาย กายภาพ","物理傷害","[704,705]",2,[1635],[],0,1,[],0
62,"Secondary_FireDamage","Fire Damage","Dégâts de feu","Feuerschaden","火ダメージ","화염 피해","Dano de Fogo","Урон от огня","Daño de fuego","ความเสียหาย ไฟ","火焰傷害","[708,709]",2,[1635],[],0,1,[],0
63,"Secondary_ColdDamage","Cold Damage","Dégâts de froid","Kälteschaden","冷気ダメージ","냉기 피해","Dano de Gelo","Урон от холода","Daño de hielo","ความเสียหาย น้ำแข็ง","冰冷傷害","[706,707]",2,[1635],[],0,1,[],0
64,"Secondary_LightningDamage","Lightning Damage","Dégâts de foudre","Blitzschaden","雷ダメージ","번개 피해","Dano de Raio","Урон от молнии","Daño de rayo","ความเสียหาย สายฟ้า","閃電傷害","[710,711]",2,[1635],[],0,1,[],0
65,"Secondary_ChaosDamage","Chaos Damage","Dégâts de chaos","Chaosschaden","混沌ダメージ","카오스 피해","Dano de Caos","Урон хаосом","Daño de caos","ความเสียหาย เคออส","混沌傷害","[712,713]",2,[1635],[],0,1,[],0
66,"CritChance","Critical Strike Chance","Chances de Coup critique","Kritische Trefferchance","クリティカル率","치명타 확률","Chance de Crítico","Шанс критического удара","Probabilidad de golpe crítico","โอกาสคริติคอล","暴擊率",[715],1,[1635],[],0,1,[14],0
67,"CritMulti","Critical Strike Multiplier","Multiplicateur de Coup critique","Multiplikator für kritischen Treffer","クリティカルダメージ倍率","치명타 피해 배율","Multiplicador de Crítico","Множитель критического удара","Multiplicador de golpe crítico","ตัวคูณคริติคอล","暴擊加成",[714],1,"[1635,715]",[],0,1,[],0
68,"Stun","Stun Threshold reduction","Réduction du Seuil d'Étourdissement","Verringerung der Betäubungsschwelle","スタン閾値減少","기절 한계치 감소","Redução do Ponto de Atordoamento","Снижение порога оглушения","Reducción del umbral de aturdimiento","ลดเกณฑ์ความยากในการติดสถานะ มึนงง","暈眩門檻降低",[108],1,[435],[],0,1,[],0
69,"Knockback","Chance to Knockback","Chances de Repoussement","Chance auf Zurückstoßen","ノックバック発生率","밀어내기 확률","Chance de Empurrar","Шанс отбрасывания","Probabilidad de empuje","โอกาสผลักศัตรูออกไป","擊退機率",[2319],1,[435],[2644],0,1,[],0
70,"KnockbackOnCrit","Knockback on Critical Strike","Repoussement via Coup critique","Zurückstoßen bei kritischem Treffer","クリティカル時ノックバック","치명타 시 밀어내기","Empurrão no Acerto Crítico","Шанс отбрасывания при критическом ударе","Empuje con golpe crítico","ผลักศัตรูออกไปเมื่อคริติคอล","暴擊擊退",[461],1,[435],[2644],0,1,[],0
71,"KnockbackDistance","Knockback distance modifier","Modificateur de distance de Repoussement","Modifikator für Rückstoßdistanz","ノックバック距離モッド","밀어내기 거리 속성 부여","Modificador de distância do Empurrão","Дистанция отбрасывания","Modificador de distancia de empuje","ม็อดเพิ่มระยะการผลักศัตรูออกไป","擊退距離修正",[12123],7,[],[2644],0,1,[],0
72,"Blind","Chance to Blind","Chance d'Aveuglement","Chance auf Blenden","盲目付与率","실명 확률","Chance de Cegar","Шанс ослепить","Probabilidad de cegar","โอกาสสร้างสถานะ ตาบอด","致盲機率",[973],1,[435],[],0,1,[],0
73,"Flee","Chance to cause Flee","Chances d'inciter à la Fuite","Chance, Gegner in die Flucht zu schlagen","逃走発生率","도망치게 할 확률","Chance de causar Fuga","Шанс испугать цель при атаке","Probabilidad de causar huida","โอกาสทำให้ หลบหนี","攻擊造成逃跑",[680],1,[435],[],0,1,[],0
74,"AttackStunDuration","Stun Duration modifier","Modificateur de Durée d'Étourdissement","Modifikator für Betäubungsdauer","スタン持続時間モッド","기절 지속시간 속성 부여","Modificador de Duração do Atordoamento","Модификатор длительности оглушения","Modificador de duración del aturdimiento","ม็อดระยะเวลาของสถานะ มึนงง","暈眩門檻修正",[203],7,[],[435],0,1,[],0
75,"SpellstunDuration","Stun Duration modifier","Modificateur de Durée d'Étourdissement","Modifikator für Betäubungsdauer","スタン持続時間モッド","기절 지속시간 속성 부여","Modificador de Duração do Atordoamento","Модификатор длительности оглушения","Modificador de duración del aturdimiento","ม็อดระยะเวลาของสถานะ มึนงง","暈眩門檻修正",[341],7,[435],[],0,1,[],0
76,"MH_BleedingChance","Chance to inflict Bleeding from Main Hand hits","Chances de Saignement (Main principale)","Chance, Blutung durch Haupthandftreffer zu verursachen","メインハンドヒット出血確率","주 무기로 명중 시 출혈 유발 확률","Chance de infligir Sangramento com acertos da Mão Principal","Шанс наложить кровотечение от ударов правой рукой","<size:23>{Probabilidad de infligir sangrado con golpes de la mano principal}","โอกาสสร้างสถานะ เลือดไหล จากการปะทะ ด้วยมือหลัก","主手武器擊中時機率造成流血",[6480],1,[7650],"[435,2684,1635]",0,1,[],0
77,"OH_BleedingChance","Chance to inflict Bleeding from Off Hand hits","Chances de Saignement (Main secondaire)","Chance, Blutung durch Nebenhandftreffer zu verursachen","オフハンドヒット出血確率","보조 장비로 명중 시 출혈 유발 확률","Chance de infligir Sangramento com acertos da Mão Secundária","Шанс наложить кровотечение от ударов левой рукой","<size:23>{Probabilidad de infligir sangrado con golpes de la mano secundaria}","โอกาสสร้างสถานะ เลือดไหล จากการปะทะ ด้วยมือรอง","副手武器擊中時機率造成流血",[6481],1,[7651],"[435,2684,1635]",0,1,[],0
