"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","Duration","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
38,"RoyaleShrineFreezing",60,"",425,0,0,"",2855,2856,0,10,0,"",[],"","","",6040,6039,1,"",[]
39,"RoyaleShrineGloom",60,"",426,0,0,"","","",0,10,11,"",[],"","","",6064,6091,1,"",[]
40,"RoyaleShrineHexing",60,"",427,100,0,"","",3138,0,10,5,"",[],"","","",6064,6063,1,"",[]
41,"RoyaleShrineImpenetrable",60,"",428,0,0,"","","",0,10,6,"",[],"","","",6056,6055,1,"",[]
42,"RoyaleShrineLightning",60,"",429,0,0,"",2853,2854,0,10,2,"",[],"","","",6038,6037,1,"",[]
43,"RoyaleShrineMassive",60,"",430,100,0,"","","",0,10,4,"",[],"","","",6054,6053,1,"",[]
44,"RoyaleShrineReplenishing",60,"",431,100,0,"","","",0,10,4,"",[],"","","",6052,6051,1,"",[]
45,"RoyaleShrineResistance",60,"",432,100,0,"","","",0,10,6,"",[],"","","",6058,6057,1,"",[]
46,"RoyaleShrineShrouded",60,"",433,0,0,"",2857,2858,0,10,9,"",[],"","","",6068,6067,1,"",[]
47,"RoyaleShrineStatic",60,"",434,0,0,"",2859,2860,0,10,2,"",[],"","","",6044,6043,1,"",[]
48,"Greed",0,"",439,0,0,438,"","",50,45,12,"",[10390],"",1,"",6109,6108,"","",[]
49,"BrineKing",0,"",503,0,0,504,"","",50,45,0,"",[10390],"",1,"",6455,6439,"",32333,"[2854,2855,2856,2857,2858]"
50,"Lunaris",0,"",505,0,0,506,"","",50,45,0,"",[10390],"",1,"",6456,6440,"",32329,"[2859,2860,2861,2862]"
51,"Solaris",0,"",507,0,0,508,"","",50,45,1,"",[10390],"",1,"",6457,6441,"",32330,"[2863,2864,2865,2866]"
52,"Arakaali",0,"",509,0,0,510,"","",50,45,11,"",[10390],"",1,"",6458,6442,"",32331,"[2867,2868,2869,2870]"
53,"Warlord",0,"",631,0,0,413,10158,10158,50,45,1,"",[],"",1,"",6449,6443,"","","[2481,2482,2483]"
54,"Crusader",0,"",632,0,0,415,10159,10159,50,45,2,"",[],"",1,"",6450,6444,"","","[2454,2455,2456,2457]"
55,"Redeemer",0,"",633,0,0,416,10160,10160,50,45,0,"",[],"",1,"",6452,6446,"","","[2463,2464,2465,2466,2467]"
56,"Hunter",0,"",634,0,0,414,10161,10161,50,45,11,"",[],"",1,"",6451,6445,"","","[2473,2474,2475,2476,2477]"
57,"Vaal",0,"",635,0,0,417,10162,10162,50,45,5,"",[],"",1,"",6453,6447,"","",[]
58,"UpgradeOnKill",0,"",636,0,0,418,"","",50,45,9,"",[],"",1,"",6454,6448,"","",[]
