"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","TagsKeys","ExperienceMultiplier","[i32]","i32","i32","i32","CriticalStrikeChance","i32","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[string]","bool","bool","bool","i32","i32","f32","rid","rid","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","[string]","i32","i32","i32","i32","i32","bool","bool","bool"
10,"Metadata/Monsters/Bandits/BanditBowPoisonArrow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,769,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,639,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Alira's Deadeye",144,108,1995,[8375],[7296],7692,13,"","",0,[],[],[646],1,1,6,100,0,0,100,1342237867,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-738197504,22,0,0,-738197504,22,0,0,-738197504,22,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-738197504,22,0,0,-738197504,22,167772160,1342177280,0,0,[],"",1,"",-5,5,0,108,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
11,"Metadata/Monsters/Bandits/BanditCaster",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,639]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Shadow Archer",144,108,1995,[8375],[7296],7692,13,"","",0,[],[],[643],1,1,6,100,0,0,100,1342208150,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,16777216,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-1509949440,24,0,0,-1509949440,24,0,0,-1509949440,24,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-1509949440,24,0,0,-1509949440,24,167772160,1342177280,0,0,[],"",1,"",-5,5,0,108,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
12,"Metadata/Monsters/Bandits/BanditCasterSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,639]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Shadow Archer",60,96,1995,[8375],[7296],7692,13,"","",0,[],[],[],"",1,6,100,0,0,100,1342213986,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,16777216,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-939524096,26,0,0,-939524096,26,0,0,-939524096,26,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-939524096,26,0,0,-939524096,26,167772160,1342177280,0,0,[],"",1,"",0,0,0,96,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
13,"Metadata/Monsters/Bandits/BanditBowBossBlackwood",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowUnique","[4000,7834,13723]",1,"","",130,3,6,4,1,0,"[750,806,786,71,48,768,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,"[4346,1987,3006,1848,391]","Metadata/Monsters/Bandits/BanditBowBossBlackwood.ais","[6190,6196]","",1,"Targa, Beast Poacher",120,200,1995,[8375],[7296],7692,13,"","",0,[],[8448],[],"",1,6,100,0,0,100,1342230825,0,-33554432,-16843010,-16843010,-16843010,67043070,0,0,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-301989888,29,0,0,-301989888,29,0,0,-301989888,29,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-301989888,29,0,0,-301989888,29,167772160,1342177280,0,0,[],"",1,1,0,0,0,200,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
14,"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",[4000],1,"","",130,3,6,4,1,0,"[750,806,786,71,48,829,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,[391],"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone.ais","[6190,6196]","",1,"Targa, Beast Poacher",120,200,1995,[8375],[7296],7692,13,"","",0,[],[8448],[],"",1,6,100,0,0,100,1342193244,0,-33554432,-16843010,-16843010,-16843010,67043070,0,0,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,838860800,32,0,0,838860800,32,0,0,838860800,32,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,838860800,32,0,0,838860800,32,167772160,1342177280,0,0,[],"",1,1,0,0,0,200,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
15,"Metadata/Monsters/Bandits/BanditGuardMeleeChaos",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6292,20602]",1,"","",100,3,6,1,1,0,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Alira's Blood Hand",90,115,1350,"[7280,7260]","[9381,9382]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,1342191675,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-100663296,34,0,0,-100663296,34,0,0,-100663296,34,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-100663296,34,0,0,-100663296,34,167772160,1342177280,0,0,[],"",1,"",-5,5,0,115,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
16,"Metadata/Monsters/Bandits/BanditGuardMeleePuncture",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20602],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1828,11095]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6190,6196]","",1,"Kraityn's Stalwart",90,115,1350,"[7280,7260]","[7407,7408]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,1342219944,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-2080374784,37,0,0,-2080374784,37,0,0,-2080374784,37,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-2080374784,37,0,0,-2080374784,37,167772160,1342177280,0,0,[],"",1,"",-5,5,0,115,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
17,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6630,20602]",1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1828,11095]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6190,6196]","",1,"Kraityn's Stalwart",90,115,1350,"[7280,7260]","[7407,7408]","",9,26,"",0,[],[36720],[],"",1,6,100,0,0,100,1342214186,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-1375731712,39,0,0,-1375731712,39,0,0,-1375731712,39,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-1375731712,39,0,0,-1375731712,39,167772160,1342177280,0,0,[],"",1,"",-5,5,0,115,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
18,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20602],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1828,11095]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6190,6196]","",1,"Guard Stalwart",80,100,1350,"[7280,7260]","[7407,7408]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,1342214912,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,671088640,42,0,0,671088640,42,0,0,671088640,42,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,671088640,42,0,0,671088640,42,167772160,1342177280,0,0,[],"",1,"",-5,5,0,100,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
19,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMark",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20602],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1105,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Oak's Fist",90,115,1350,"[7280,7260]","[7407,7408]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,1342228209,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,1409286144,44,0,0,1409286144,44,0,0,1409286144,44,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,1409286144,44,0,0,1409286144,44,167772160,1342177280,0,0,[],"",1,"",-5,5,0,115,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
20,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6630,20602]",1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1105,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Oak's Fist",90,115,1350,"[7280,7260]","[7407,7408]","",9,26,"",0,[],[36720],[],"",1,6,100,0,0,100,1342180268,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-1778384896,46,0,0,-1778384896,46,0,0,-1778384896,46,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-1778384896,46,0,0,-1778384896,46,167772160,1342177280,0,0,[],"",1,"",-5,5,0,115,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
21,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20602],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1105,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Guard Stalwart",80,100,1350,"[7280,7260]","[7407,7408]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,1342209271,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-1375731712,48,0,0,-1375731712,48,0,0,-1375731712,48,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-1375731712,48,0,0,-1375731712,48,167772160,1342177280,0,0,[],"",1,"",-5,5,0,100,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
22,"Metadata/Monsters/Bandits/BanditGuardBow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,4957]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Oak's Guardian",72,108,1995,[8375],[7296],7692,13,"","",0,[],[],[],"",1,6,100,0,0,100,1342232563,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-905969664,50,0,0,-905969664,50,0,0,-905969664,50,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-905969664,50,0,0,-905969664,50,167772160,1342177280,0,0,[],"",1,"",-5,5,0,108,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
23,"Metadata/Monsters/Bandits/BanditGuardBow2",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Treacherous Deserter",144,108,1995,[8375],[7296],7692,13,"","",0,[],[],[],"",1,6,100,0,0,100,1342180450,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,33554432,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,-2147483648,52,0,0,-2147483648,52,0,0,-2147483648,52,-33554432,-16843010,-16843010,-16843010,-922812674,0,0,0,-2147483648,52,0,0,-2147483648,52,167772160,1342177280,0,0,[],"",1,"",-5,5,0,108,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
