"rownum","HideoutArea","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","string","[i32]","bool","bool","bool","rid","string"
70,1622,1398022710,0,0,0,1406926848,0,-16908288,-16843010,-16843010,-16843010,1406992126,0,65536,0,16777216,"Atlas Hideout","[36,37]","",1,1,6694,""
71,1623,1417605557,0,0,0,1427243008,0,-16908288,-16843010,-16843010,-16843010,1427308286,0,65536,0,16777216,"Tangled Hideout",[],"",1,1,6695,""
72,1624,1438646367,0,0,0,1448345600,0,-16908288,-16843010,-16843010,-16843010,1448410878,0,65536,0,16777216,"Searing Hideout",[],"",1,1,6696,""
73,1864,1459797524,0,0,0,1468399616,0,-16908288,-16843010,-16843010,-16843010,1468464894,0,65536,0,16777216,"ExileCon 2023 Hideout",[],"",1,1,6697,"You own this Hideout, but it is currently unsupported in this version of the game. It will be enabled in an upcoming patch. We apologise for the delay."
74,1625,1500254853,0,0,0,1508638720,0,-16908288,-16843010,-16843010,-16843010,1508703998,0,65536,0,16777216,"Forge of the Titans Hideout",[],"",1,1,6698,""
75,1626,1521798121,0,0,0,1530920960,0,-16908288,-16843010,-16843010,-16843010,1530986238,0,65536,0,16777216,"Trial of the Ancestors Hideout",[],"",1,1,6699,""
76,1627,1545124271,0,0,0,1553203200,0,-16908288,-16843010,-16843010,-16843010,1553268478,0,65536,0,16777216,"Enigma Hideout",[],"",1,1,6700,""
77,1629,1563576358,0,0,0,1572339712,0,-16908288,-16843010,-16843010,-16843010,1572404990,0,65536,0,16777216,"Cosmic Turtle Hideout",[],"",1,1,6701,""
78,1630,1584290771,0,0,0,1592131584,0,-16908288,-16843010,-16843010,-16843010,438107902,0,65536,0,16777216,"[DNT] Lake Hideout",[],"",1,1,6702,""
79,1628,1594772184,0,0,0,1603272704,0,-16908288,-16843010,-16843010,-16843010,1603337982,0,65536,0,16777216,"Wildwood Hideout",[],"",1,1,6703,""
80,1631,1614216032,0,0,0,1622540288,0,-16908288,-16843010,-16843010,-16843010,438107902,0,65536,0,16777216,"[DNT] Lake Hideout Evil",[],"",1,1,6704,""
81,1632,1625817470,0,0,0,1634336768,0,-16908288,-16843010,-16843010,-16843010,1634402046,0,65536,0,16777216,"Vastiri Racecourse Hideout",[],"",1,1,6705,""
