"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
40,3534,"[0,50,100,150,200,250,300,350]",574,[],575,8,[],[],[],"","","",""
41,3535,"[0,100,200,300,400,500,600,700]",16890,[],604,8,[],[],[],"","","",""
42,3536,"[0,50,100,150,200,250,300,350]",15363,[],17255,8,[],[],[],"","","",""
43,3677,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
44,3676,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
45,3675,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
46,3678,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
47,4849,"[0,10,20,30,40,50,60]",16124,[],"",7,[],[],[],"","","",""
48,3503,"[0,12,20,29]",16758,[48],"",4,[],[],[],1,"","",""
49,3504,"[0,14,22,32]",16758,[48],"",4,[],[],[],1,"","",""
50,3508,"[0,16,24,35]",16758,[48],"",4,[],[],[],1,"","",""
51,3506,"[0,18,26,38]",16758,[48],"",4,[],[],[],1,"","",""
52,3703,"[0,20,50,100]",16638,[],"",4,[],[],[],"","","",""
53,3705,"[0,20,50,100]",16638,[],"",4,[],[],[],"","","",""
54,3704,"[0,20,50,100]",16638,[],"",4,[],[],[],"","","",""
55,3706,"[0,20,50,100]",16638,[],"",4,[],[],[],"","","",""
56,3520,"[0,30,65,100,150,200]",1419,[],25,6,[],[],[],"","","",""
57,3735,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","",""
58,3721,"[0,25,50,75]",242,[],177,4,[],[],[],"","","",""
59,3657,"[0,100000,1000000]",16215,[],"",3,[],[],[],1,"","",""
60,3772,"[0,18,26,38]",17393,[50],"",4,[],[],[],1,"","",""
61,3769,"[0,16,24,35]",17393,[50],"",4,[],[],[],1,"","",""
62,3771,"[0,12,20,29]",17393,[50],"",4,[],[],[],1,"","",""
63,3770,"[0,14,22,32]",17393,[50],"",4,[17445],[1],[4],1,"","",""
64,3761,"[1,34,70,90,120]",17590,[],123,5,[],[],[],"","","",""
65,3792,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
66,3793,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
67,3794,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
68,3795,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
69,3825,"[0,1]",365,[],"",2,[],[],[],"","","",""
70,4972,"[0,1,2]",366,[],"",3,[],[],[],"","","",""
71,3978,"[0,1000,5000,10000,15000,20000]",240,[],116,6,[],[],[],"","","",""
72,3936,"[0,18,26,38,38]",18309,"[52,53]",18243,5,"[18385,18385,17741,18385]","[1,1,1,1]","[3,4,5,5]",1,"","",""
73,3933,"[0,16,24,35]",18309,"[52,53]",18243,4,[],[],[],1,"","",""
74,3935,"[0,12,20,29]",18309,"[52,53]",18243,4,[],[],[],1,"","",""
75,3934,"[0,14,22,32]",18309,"[52,53]",18243,4,[],[],[],1,"","",""
76,4005,"[0,10,20,50,100,150,200]",18456,[],"",7,[],[],[],"","","",""
77,4019,"[1,1]",0,[],"",2,[],[],[],"","","",""
78,4074,[],"",[],"",0,[],[],[],"",1,18766,1
79,4114,"[0,2000,5000]",18829,[],"",3,[],[],[],"","","",""
80,4116,"[0,2000,5000]",18829,[],"",3,[],[],[],"","","",""
81,4117,"[0,2000,5000]",18829,[],"",3,[],[],[],"","","",""
82,4118,"[0,2000,5000]",18829,[],"",3,[],[],[],"","","",""
83,4113,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70]",0,[],"",15,[],[],[],"","","",""
84,4027,"[0,22,29,35,35]",18924,"[54,55]",18922,5,[],[],[],1,"","",""
85,4024,"[0,24,32,38]",18924,"[54,55]",18922,4,[],[],[],1,"","",""
86,4026,"[0,20,26]",18924,"[54,55]",18922,3,[],[],[],1,"","",""
87,4168,"[1,1,1,1]",365,[],"",4,"[19019,19019,19019,19019]","[1,2,3,4]","[1,2,3,4]","","","",1
88,4196,"[0,0]",365,[],"",2,"[17608,17608]","[0,1]","[1,2]","","","",1
89,4184,"[0,0]",365,[],"",2,[],[],[],"","","",""
90,4187,"[0,0]",365,[],"",2,[],[],[],"","","",""
91,4186,"[0,0]",365,[],"",2,[],[],[],"","","",""
92,4185,"[0,0]",365,[],"",2,[],[],[],"","","",""
93,4191,"[0,0,0,0]",365,[],"",4,"[19212,19212,19212,19212]","[1,2,3,4]","[1,2,3,4]","","","",1
94,4228,"[0,22,28,35,35]",19557,"[59,60]",19555,5,[19547],[1],[3],1,"","",""
95,4226,"[0,26]",19557,"[59,60]",19555,2,[1366],[115],[2],1,"","",""
96,4227,"[0,20,32]",19557,"[59,60]",19555,3,[19558],[1],[3],1,"","",""
97,4225,"[0,0,24,38]",19557,"[59,60]",19555,4,[19390],[1],[4],1,"","",""
98,4204,"[0,0]",365,[],"",2,[19584],[1],[2],"","","",""
99,4427,"[0,24,28,38]",20224,"[61,62]",20222,4,[19884],[1],[4],1,"","",""
100,4430,"[0,22,26,35]",20224,"[61,62]",20222,4,[20183],[1],[4],1,"","",""
101,4429,"[0,20,32]",20224,"[61,62]",20222,3,[19944],[1],[3],1,"","",""
102,4448,"[0,0]",365,[],"",2,[],[],[],"","","",""
103,4493,"[1,1]",0,[],"",2,[],[],[],"","","",1
104,4480,"[1,1]",0,[],"",2,[],[],[],"","","",1
105,4481,"[1,1]",0,[],"",2,[],[],[],"","","",1
106,4485,"[1,1]",0,[],"",2,[],[],[],"","","",1
107,4484,"[1,1]",0,[],"",2,"[20675,20675]","[0,1]","[1,2]","","","",1
108,4500,"[1,1]",0,[],"",2,"[20771,20771]","[0,1]","[1,2]","","","",1
109,4501,"[1,1]",0,[],"",2,"[20771,20771]","[0,2]","[1,2]","","","",1
