"rownum","string","i32","string","string","string","string","string","string","rid","rid","rid","string","i32","i32","i32","i32","i32","bool","string","bool","bool","bool"
25,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS16",1380870328,"Upgrade Scroll S16","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
26,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS17",1007127359,"Upgrade Scroll S17","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
27,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS18",-1548495512,"Upgrade Scroll S18","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
28,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS19",1460207865,"Upgrade Scroll S19","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
29,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS20",-277834820,"Upgrade Scroll S20","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
30,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS21",-733169509,"Upgrade Scroll S21","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
31,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS22",1745415408,"Upgrade Scroll S22","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","TencentUpgradeScrollS22",1,"",""
32,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS23",1051856677,"Upgrade Scroll S23","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","TencentUpgradeScrollS23",1,"",""
33,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS24",1368697644,"Upgrade Scroll S24","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","TencentUpgradeScrollS24",1,"",""
34,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS25",465453272,"Upgrade Scroll S25","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","TencentUpgradeScrollS25",1,"",""
35,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS26",-324988382,"Upgrade Scroll S26","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
36,"Metadata/Items/MicrotransactionCurrency/MicrotransactionSalvageFragmentSmall",2001537470,"Small Salvage Fragment","","Can be salvaged to improve the result from Salvage Boxes.","Use this with a Salvage Box to improve the outcome.","","","","",365,"",3,1,1,1,5,"","",1,"",""
37,"Metadata/Items/MicrotransactionCurrency/MicrotransactionSalvageFragment",773589332,"Salvage Fragment","","Can be salvaged to improve the result from Salvage Boxes.","Use this with a Salvage Box to improve the outcome.","","","","",365,"",3,1,1,1,5,"","",1,"",""
38,"Metadata/Items/MicrotransactionCurrency/MicrotransactionSalvageFragmentLarge",1915036228,"Large Salvage Fragment","","Can be salvaged to improve the result from Salvage Boxes.","Use this with a Salvage Box to improve the outcome.","","","","",365,"",3,1,1,1,5,"","",1,"",""
39,"Metadata/Items/MicrotransactionCurrency/MicrotransactionGarenaPassiveRefund",1370484412,"Passive Skill Refund","","Grants a passive skill refund point","","","","","",365,"skill_point_respec",3,2,2,100,5,"","GarenaPassiveRefund",1,"",""
40,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentPremiumMessage",-560334899,"Premium Message","","Allows you to send a chat message to all players.","","","","",2,365,"premium_message",3,2,2,100,5,"","",1,"",""
41,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentPremiumRevive",-2058648022,"Revive Coin","","Allows you to revive at the most recent checkpoint without losing experience to the death penalty.","","","","",1,365,"",3,2,2,100,5,"","",1,"",""
42,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentExpandInventory0to1",1204874870,"Tencent Inventory Expansion 0 to 1","","","","","","","",365,"inventory_upgrade",3,1,1,1,5,"","",1,"",""
43,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentExpandInventory1to2",-1269531705,"Tencent Inventory Expansion 1 to 2","","","","","","","",365,"inventory_upgrade",3,1,1,1,5,"","",1,"",""
44,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentExpandInventory2to3",-1315918663,"Tencent Inventory Expansion 2 to 3","","","","","","","",365,"inventory_upgrade",3,1,1,1,5,"","",1,"",""
45,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentExpandInventory3to4",1774387985,"Tencent Inventory Expansion 3 to 4","","","","","","","",365,"inventory_upgrade",3,1,1,1,5,"","",1,"",""
46,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentExpandInventory4to5",886198938,"Tencent Inventory Expansion 4 to 5","","","","","","","",365,"inventory_upgrade",3,1,1,1,5,"","",1,"",""
47,"Metadata/Items/MicrotransactionCurrency/MicrotransactionTencentExpandInventory5to6",-1762001746,"Tencent Inventory Expansion 5 to 6","","","","","","","",365,"inventory_upgrade",3,1,1,1,5,"","",1,"",""
48,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTencentInfernalWeapon",2098390884,"Tencent Infernal Weapon Effect","","Adds a flaming effect to any equipped weapon","","","Weapon Effect","","",348,"",3,1,1,20,5,"","",1,"",""
49,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceDuelist",764677544,"Dance - Duelist","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Duelist","<<xbox_button_a>> to dance! Requires class: Duelist","","",0,375,"dance",3,2,2,1,1,"","DanceDuelist",1,"",""
50,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceMarauder",-133617948,"Dance - Marauder","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Marauder","<<xbox_button_a>> to dance! Requires class: Marauder","","",0,375,"dance",3,2,2,1,1,"","DanceMarauder",1,"",""
51,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceRanger",894012439,"Dance - Ranger","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Ranger","<<xbox_button_a>> to dance! Requires class: Ranger","","",0,375,"dance",3,2,2,1,1,"","DanceRanger",1,"",""
52,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceShadow",1932987927,"Dance - Shadow","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Shadow","<<xbox_button_a>> to dance! Requires class: Shadow","","",0,375,"dance",3,2,2,1,1,"","DanceShadow",1,"",""
53,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceTemplar",1085850729,"Dance - Templar","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Templar","<<xbox_button_a>> to dance! Requires class: Templar","","",0,375,"dance",3,2,2,1,1,"","DanceTemplar",1,"",""
54,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceWitch",-215052667,"Dance - Witch","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Witch","<<xbox_button_a>> to dance! Requires class: Witch","","",0,375,"dance",3,2,2,1,1,"","DanceWitch",1,"",""
55,"Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceScion",2078232870,"Dance - Scion","","Performs a rousing dance!"," Click (or type /dance) to dance! Requires class: Scion","<<xbox_button_a>> to dance! Requires class: Scion","","",0,375,"dance",3,2,2,1,1,"","DanceScion",1,"",""
56,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExtraGore",-1494958884,"Extra Gore","","Your Physical Damage and Critical Strikes cause excessive gore","","","Weapon Modifier","","",352,"",3,1,1,20,1,"","ExtraGore",1,"",""
57,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFirstBlood",-1990619007,"First Blood","","Your Physical Damage and Critical Strikes cause extra blood","","","Weapon Modifier","","",352,"",3,1,1,20,1,"","",1,"",""
58,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFirstBloodWeaponEffect",2073935927,"First Blood Weapon Effect","","Adds the First Blood Weapon Effect to any equipped weapon.","","","Weapon Effect","","",352,"",3,1,1,20,1,"","FirstBloodWeaponEffect",1,"",""
59,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVanishingDye",1535580561,"Vanishing Dye","","Removes the appearance of an armour slot item","","","Item Skin","",0,387,"",3,1,1,20,1,"","VanishingDye",1,"",""
60,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVanishingDyeSkills",-1684812490,"Invisible Buff Effect","","Removes the visual effects on the player from arctic armour, tempest shield, blood rage, molten shell, plague bearer, phase run, petrified blood, withering step, any aura, any blasphemied curse, or any herald gem.","","","Item Skin","",0,387,"",3,1,1,20,2,"","VanishingDyeSkills",1,"",""
61,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionInvisibleFlaskEffect",-452143636,"Invisible Flask Effect","","Removes the effect on the player from the flask that this effect is applied to.","","","Flask Effect","","",387,"",3,1,1,1,1,"","InvisibleFlaskEffect",1,"",""
62,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRemoveCosmetic",1823140599,"Recover Cosmetic Effect","","Recovers the most recent cosmetic effect on an item","","","","","",365,"",3,1,1,20,5,"","",1,"",""
63,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFireFace",-854892667,"Fiery Visage","","Adds a fiery visage to any equipped headdress","","","Helmet Attachment","",0,348,"",3,1,1,20,1,"","FireyVisage",1,"",""
64,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHaloBlue",2136627586,"Cobalt Halo","","Adds a cobalt halo to any equipped headdress","","","Helmet Attachment","","",387,"",3,1,1,20,1,"","CobaltHalo",1,"",""
65,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHaloYellow",663878173,"Aureate Halo","","Adds an aureate halo to any equipped headdress","","","Helmet Attachment","",0,367,"",3,1,1,20,1,"","AureateHalo",1,"",""
66,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHornBack",-2056374678,"Bent Horns","","Adds glowing bent horns to any equipped headdress","","","Helmet Attachment","",0,387,"",3,1,1,20,1,"","BentHorn",1,"",""
67,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHornDown",2079413393,"Curved Horns","","Adds glowing curled horn to any equipped headdress","","","Helmet Attachment","",0,387,"",3,1,1,20,1,"","CurvedHorn",1,"",""
68,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionIceCrown",-422053138,"Ice Crown","","Adds an ice crown to any equipped headdress","","","Helmet Attachment","",0,358,"",3,1,1,20,1,"","IceCrown",1,"",""
69,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMarkOfThePhoenix",691494889,"Mark of the Phoenix","","Adds a blazing Phoenix crest to any equipped headdress","","","Helmet Attachment","",1,387,"",3,1,1,20,1,"","MarkOfThePhoenix",1,"",""
70,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSilverWings",1771730686,"Silver Wings","","Adds silver wings to any equipped headdress","","","Helmet Attachment","",0,387,"",3,1,1,20,1,"","SilverWings",1,"",""
71,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBrilliantFeathers",1107251189,"Brilliant Feathers","","Adds a radiant floating feather design to any equipped headdress","","","Helmet Attachment","",0,367,"",3,1,1,20,1,"","BrilliantFeathers",1,"",""
72,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVictoriousWings",213548987,"Victorious Wings","","Adds a pair of golden luminous wings to any equipped headdress","","","Helmet Attachment","",0,367,"",3,1,1,20,1,"","VictoriousWings",1,"",""
73,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDivineSign",1659704216,"Divine Sign","","Adds a detailed glowing pattern to any equipped headdress","","","Helmet Attachment","",0,367,"",3,1,1,20,1,"","DivineSign",1,"",""
74,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSpiritCharm",1128435202,"Spirit Charm","","Adds a glyphic paper charm and two hovering spirits to any equipped headdress","","","Helmet Attachment","",0,367,"",3,1,1,20,1,"","SpiritCharm",1,"",""
75,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAntlers",-1340005407,"Antlers","","Adds a pair of curled antlers to any equipped headdress","","","Helmet Attachment","",0,376,"",3,1,1,20,1,"","Antlers",1,"",""
76,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTwistedHorns",92394827,"Twisted Horns","","Adds a pair of twisted horns to any equipped headdress","","","Helmet Attachment","",0,376,"",3,1,1,20,1,"","TwistedHorns",1,"",""
77,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDemonKingHorns",-169378190,"Demon King Horns","","Changes the appearance of any equipped headdress to a crown of demon horns","","","Helmet Skin","",2,356,"",3,1,1,20,1,"","DemonKingHorns",1,"",""
78,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBrilliantCrown",1534190444,"Brilliant Crown Effect","","Adds a shining crown to any equipped headdress","","","Helmet Attachment","",0,367,"",3,1,1,20,1,"","BrilliantCrown",1,"",""
79,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSerratedMohawk",886832076,"Serrated Mohawk","","Adds a mohawk of blades to any equipped headdress","","","Helmet Attachment","",0,387,"",3,1,1,20,1,"","SerratedMohawk",1,"",""
80,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionIronMaiden",-1637329557,"Iron Maiden","","Changes the appearance of any equipped headdress to a dark metal mask","","","Helmet Skin","",0,361,"",3,1,1,20,1,"","IronMaiden",1,"",""
81,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSkullHood",-103060079,"Skull Hood","","Changes the appearance of any equipped headdress to a hooded skull","","","Helmet Skin","",1,387,"",3,1,1,20,1,"","SkullHood",1,"",""
82,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDecapitation",-1454607471,"Decapitation","","Removes your headdress, leaving only a bloody stump","","","Helmet Skin","","",387,"",3,1,1,20,1,"","Decapitation",1,"",""
83,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSnakeHair",-1272506640,"Medusa Snakes","","Changes the appearance of any equipped headdress to a knot of writhing snakes","","","Helmet Skin","",1,387,"",3,1,1,20,1,"","MedusaHelmetSkin",1,"",""
84,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPilgrimHat",837161242,"Pilgrim Hat","","Changes the appearance of any equipped headdress to a dark pilgrim's hat","","","Helmet Skin","","",387,"",3,1,1,20,1,"","PilgrimHat",1,"",""
85,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionOrnatePilgrimHat",1561832778,"Ornate Pilgrim Hat","","Changes the appearance of any equipped headdress to a fancy pilgrim's hat","","","Helmet Skin","","",387,"",3,1,1,20,1,"","OrnatePilgrimHat",1,"",""
86,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionInfernalSkull",1087074195,"Infernal Skull","","Changes the appearance of any equipped headdress to a burning skull","","","Helmet Skin","","",348,"",3,1,1,20,1,"","InfernalSkullHelmetSkin",1,"",""
87,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBatSkullTurquoise",-1363762202,"Turquoise Imp Mask","","Changes the appearance of any equipped headdress to a turquoise imp mask","","","Helmet Skin","","",387,"",3,1,1,1,1,"","SteamOnlyTurqoiseImpMask",1,"",""
88,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBatSkullEmerald",-1780244551,"Emerald Imp Mask","","Changes the appearance of any equipped headdress to an emerald imp mask","","","Helmet Skin","","",387,"",3,1,1,1,1,"","SteamOnlyEmeraldImpMask",1,"",""
89,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBatSkullLavender",-313618067,"Lavender Imp Mask","","Changes the appearance of any equipped headdress to a lavender imp mask","","","Helmet Skin","","",387,"",3,1,1,1,1,"","SteamOnlyLavenderImpMask",1,"",""
90,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBatSkullAzure",-195334578,"Azure Imp Mask","","Changes the appearance of any equipped headdress to an azure imp mask","","","Helmet Skin","","",387,"",3,1,1,1,1,"","SteamOnlyAzureImpMask",1,"",""
91,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBatSkullGolden",-735119120,"Golden Imp Mask","","Changes the appearance of any equipped headdress to a golden imp mask","","","Helmet Skin","","",387,"",3,1,1,1,1,"","SteamOnlyGoldenImpMask",1,"",""
92,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBatSkullCrimson",1444347650,"Crimson Imp Mask","","Changes the appearance of any equipped headdress to a crimson imp mask","","","Helmet Skin","","",387,"",3,1,1,1,1,"","SteamOnlyCrimsonImpMask",1,"",""
93,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcticSkull",-1989147311,"Arctic Skull","","Changes the appearance of any equipped headdress to an icy skull","","","Helmet Skin","","",358,"",3,1,1,20,1,"","ArcticSkullHelmetSkin",1,"",""
94,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningSkull",-375910214,"Lightning Skull","","Changes the appearance of any equipped headdress to a sparking skull","","","Helmet Skin","","",368,"",3,1,1,20,1,"","LightningSkullHelmetSkin",1,"",""
95,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGuardianMask",1937371224,"Guardian Mask","","Changes the appearance of any equipped headdress to a glowing guardian mask","","","Helmet Skin","",0,387,"",3,1,1,20,1,"","GuardianMaskHelmetSkin",1,"",""
96,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAngelicMask",-900618253,"Angelic Mask","","Changes the appearance of any equipped headdress to a divine angelic mask. Awarded for supporting the Child's Play charity in the May 2014 Ambush/Invasion race.","","","Helmet Skin","","",387,"",3,1,1,20,1,"","AngelicMaskHelmetSkin",1,"",""
97,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTitanPlate",-1647190226,"Titan Armour","","","","","Body Armour Skin","","",387,"",3,1,1,20,1,"","",1,"",""
98,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionTombstoneDesecrate",1565403323,"Tombstone Desecrate Effect","","Your Desecrate summons a cluster of necrotic tombstones","","","Desecrate Skin","",0,353,"",3,1,1,20,2,"","TombstoneDesecrate",1,"",""
99,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionStatueSummonSkeletons",-731639260,"Summon Statues Skin","","Your Summoned Skeletons become animated statues","","","Summon Skeletons Skin","",2,387,"",3,1,1,20,2,"","SummonStatues",1,"",""
100,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionStatueSummonSkeletons2",1256304676,"Summon Statues Skin Male Stone","","Your Summoned Skeletons become animated statues","","","Summon Skeletons Skin","","",387,"",3,1,1,20,2,"","",1,"",""
101,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionStatueSummonSkeletons3",1647482830,"Summon Statues Skin Female Gold","","Your Summoned Skeletons become animated statues","","","Summon Skeletons Skin","","",387,"",3,1,1,20,2,"","",1,"",""
102,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionStatueSummonSkeletons4",-1375165285,"Summon Statues Skin Male Gold","","Your Summoned Skeletons become animated statues","","","Summon Skeletons Skin","",0,387,"",3,1,1,20,2,"","",1,"",""
103,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionMummyRaiseZombie",1151211009,"Raise Mummy Skin","","Your Raised Zombies become animated mummies","","","Raise Zombie Skin","",0,387,"",3,1,1,20,2,"","RaiseMummy",1,"",""
104,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionAlternatePortal",-1832622294,"Crimson Portal","","","","","Portal Modification","","",387,"",3,1,1,20,5,"","",1,"",""
105,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionBloodSlam",-1941913445,"Blood Slam","","Your Ground Slam becomes a gory slam of blood","","","Ground Slam Skin","","",387,"",3,1,1,20,2,"","",1,"",""
106,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDragonFireball",81988163,"Dragon Fireball Effect","","Your Fireball becomes a flaming dragon whelp skeleton that explodes on impact","","","Fireball Skin","",0,348,"",3,1,1,20,2,"","DragonFireball",1,"",""
107,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionEmeraldRainOfArrows",75534711,"Emerald Rain of Arrows Effect","","Your Rain of Arrows glow a ghostly green","","","Rain of Arrows Skin","",0,374,"",3,1,1,20,2,"","EmeraldRainOfArrows",1,"",""
